,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,108571,2008-12-01,Albany,13.3,18.5,0.0,,,NNW,SW,4.0,17.0,82.0,63.0,1017.9,1015.2,15.2,17.9,No,No,1,12,2008
1,108572,2008-12-02,Albany,14.7,21.0,0.0,,,NE,ESE,6.0,17.0,64.0,71.0,1012.8,1009.3,17.8,19.1,No,No,2,12,2008
2,108573,2008-12-03,Albany,16.5,24.0,0.2,,,ENE,WSW,19.0,24.0,36.0,73.0,999.8,998.7,20.0,21.0,No,Yes,3,12,2008
3,108574,2008-12-04,Albany,14.1,20.6,7.8,,,N,WSW,13.0,41.0,69.0,81.0,1006.7,1008.5,19.8,18.0,Yes,No,4,12,2008
4,108575,2008-12-05,Albany,13.0,17.8,0.0,,,SW,SW,13.0,19.0,73.0,63.0,1015.3,1016.3,16.0,17.0,No,No,5,12,2008
5,108576,2008-12-06,Albany,14.8,18.5,0.0,,,ESE,ESE,11.0,20.0,46.0,48.0,1020.1,1017.9,16.9,17.7,No,No,6,12,2008
6,108577,2008-12-07,Albany,14.0,20.0,0.0,,,ENE,ESE,7.0,31.0,62.0,72.0,1013.4,1007.9,18.0,19.5,No,No,7,12,2008
7,108578,2008-12-08,Albany,16.3,19.6,0.0,,,SW,WSW,20.0,31.0,68.0,55.0,1008.2,1008.0,18.3,18.7,No,No,8,12,2008
8,108579,2008-12-09,Albany,10.8,19.4,0.0,,,NNW,SSE,6.0,13.0,71.0,66.0,1010.5,1010.3,17.0,17.8,No,Yes,9,12,2008
9,108580,2008-12-10,Albany,13.6,19.2,14.4,,,ENE,SE,6.0,20.0,84.0,69.0,1013.1,1013.0,14.9,18.8,Yes,No,10,12,2008
10,108581,2008-12-11,Albany,14.6,19.7,0.2,,,ESE,ESE,22.0,20.0,71.0,67.0,1016.3,1015.1,18.5,18.9,No,No,11,12,2008
11,108582,2008-12-12,Albany,14.6,21.0,0.2,,,SW,SW,17.0,30.0,72.0,64.0,1018.1,1016.6,17.7,19.6,No,No,12,12,2008
12,108583,2008-12-13,Albany,16.5,21.3,0.2,,,W,WSW,4.0,31.0,90.0,82.0,1020.0,1019.1,18.0,21.0,No,No,13,12,2008
13,108584,2008-12-14,Albany,14.6,22.5,0.0,,,NE,N,6.0,22.0,72.0,75.0,1018.9,1015.6,19.5,20.8,No,No,14,12,2008
14,108585,2008-12-15,Albany,17.5,20.6,0.0,,,S,S,24.0,19.0,81.0,77.0,1012.4,1013.3,18.5,19.5,No,No,15,12,2008
15,108586,2008-12-16,Albany,14.0,18.8,0.8,,,N,S,9.0,19.0,87.0,69.0,1017.6,1016.9,14.9,17.7,No,No,16,12,2008
16,108587,2008-12-17,Albany,14.5,19.0,0.2,,,W,SW,6.0,28.0,69.0,64.0,1018.3,1018.3,17.2,18.0,No,No,17,12,2008
17,108588,2008-12-18,Albany,12.0,21.0,0.0,,,ENE,SE,6.0,33.0,85.0,60.0,1019.1,1014.8,17.0,20.0,No,No,18,12,2008
18,108589,2008-12-19,Albany,15.8,22.0,0.0,,,ESE,SSE,19.0,19.0,76.0,78.0,1010.6,1007.7,20.2,21.1,No,No,19,12,2008
19,108590,2008-12-20,Albany,18.9,27.7,0.2,,,WNW,W,9.0,19.0,71.0,53.0,998.9,997.6,21.9,24.0,No,No,20,12,2008
20,108591,2008-12-21,Albany,15.5,18.5,0.6,,,N,WSW,37.0,30.0,87.0,68.0,1011.9,1013.1,16.0,17.5,No,Yes,21,12,2008
21,108592,2008-12-22,Albany,10.5,20.8,1.2,,,NNE,,4.0,,68.0,,1016.2,1014.4,17.5,,Yes,No,22,12,2008
