,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,136071,2008-12-01,AliceSprings,19.6,37.6,0.0,WNW,87.0,NNE,NE,20.0,11.0,17.0,16.0,1010.5,1005.8,30.4,37.2,No,Yes,1,12,2008
1,136072,2008-12-02,AliceSprings,21.0,39.1,1.2,NNW,41.0,NNW,S,24.0,9.0,18.0,13.0,1009.3,1004.6,32.5,38.2,Yes,No,2,12,2008
2,136073,2008-12-03,AliceSprings,22.9,40.9,0.0,NNW,48.0,ENE,N,7.0,24.0,17.0,11.0,1006.3,1003.4,35.0,40.4,No,No,3,12,2008
3,136074,2008-12-04,AliceSprings,24.7,40.5,0.0,WNW,72.0,SSW,W,2.0,22.0,29.0,24.0,1008.7,1006.9,32.3,36.5,No,No,4,12,2008
4,136075,2008-12-05,AliceSprings,23.4,32.4,0.2,SSW,46.0,S,S,9.0,17.0,58.0,43.0,1014.0,1010.7,26.8,31.1,No,Yes,5,12,2008
5,136076,2008-12-06,AliceSprings,21.7,25.1,2.6,SSE,35.0,SSW,N,19.0,11.0,90.0,78.0,1014.3,1011.1,21.9,22.9,Yes,Yes,6,12,2008
6,136077,2008-12-07,AliceSprings,20.9,25.7,4.8,N,31.0,SSW,NNW,11.0,17.0,70.0,77.0,1011.4,1009.9,25.0,24.3,Yes,No,7,12,2008
7,136078,2008-12-08,AliceSprings,17.7,34.6,0.6,E,26.0,ENE,NNW,15.0,9.0,63.0,27.0,1010.9,1005.9,24.5,33.6,No,No,8,12,2008
8,136079,2008-12-09,AliceSprings,24.4,39.0,0.0,S,50.0,N,WNW,28.0,11.0,40.0,20.0,1006.2,1002.6,32.5,38.0,No,No,9,12,2008
9,136080,2008-12-10,AliceSprings,25.3,38.6,0.0,W,54.0,NNE,WSW,22.0,35.0,38.0,51.0,1005.9,1004.4,32.8,29.6,No,No,10,12,2008
10,136081,2008-12-11,AliceSprings,25.0,32.3,0.0,NW,63.0,NNW,WSW,26.0,9.0,50.0,73.0,1005.6,1001.3,29.5,27.6,No,Yes,11,12,2008
11,136082,2008-12-12,AliceSprings,20.7,32.2,14.4,NW,41.0,NNW,WSW,13.0,19.0,88.0,37.0,1005.2,1002.7,22.5,31.0,Yes,No,12,12,2008
12,136083,2008-12-13,AliceSprings,16.6,26.6,0.0,S,37.0,S,S,26.0,24.0,55.0,39.0,1012.9,1009.6,20.7,25.9,No,No,13,12,2008
13,136084,2008-12-14,AliceSprings,13.7,26.8,0.0,SSE,46.0,SE,SSE,20.0,19.0,37.0,24.0,1014.1,1010.5,20.5,26.0,No,No,14,12,2008
14,136085,2008-12-15,AliceSprings,13.1,28.5,0.0,ESE,35.0,ESE,SE,20.0,13.0,30.0,15.0,1013.7,1009.6,21.7,27.3,No,No,15,12,2008
15,136086,2008-12-16,AliceSprings,13.6,31.7,0.0,ENE,31.0,E,SW,22.0,13.0,21.0,15.0,1011.9,1007.9,24.6,31.2,No,No,16,12,2008
16,136087,2008-12-17,AliceSprings,15.7,36.3,0.0,W,35.0,NE,W,9.0,9.0,18.0,11.0,1009.3,1004.9,29.2,36.0,No,No,17,12,2008
17,136088,2008-12-18,AliceSprings,19.6,36.9,0.0,S,41.0,SSW,SSW,15.0,17.0,21.0,12.0,1007.4,1004.9,31.0,36.2,No,No,18,12,2008
18,136089,2008-12-19,AliceSprings,24.5,35.2,0.0,ESE,41.0,ESE,SE,26.0,17.0,32.0,19.0,1010.1,1006.6,27.4,33.5,No,No,19,12,2008
19,136090,2008-12-20,AliceSprings,19.4,35.2,0.0,E,41.0,ESE,ESE,31.0,13.0,20.0,14.0,1010.9,1007.0,26.9,34.4,No,No,20,12,2008
20,136091,2008-12-21,AliceSprings,19.9,39.3,0.0,SE,30.0,E,SW,19.0,15.0,11.0,12.0,1007.8,1004.1,30.7,38.6,No,No,21,12,2008
21,136092,2008-12-22,AliceSprings,21.5,39.9,0.0,E,33.0,NE,ENE,13.0,19.0,16.0,13.0,1007.7,1004.9,33.2,38.2,No,No,22,12,2008
22,136093,2008-12-23,AliceSprings,21.6,39.4,0.0,ENE,48.0,NE,ESE,28.0,20.0,12.0,13.0,1007.9,1005.0,34.0,39.0,No,No,23,12,2008
23,136094,2008-12-24,AliceSprings,22.5,38.5,0.0,SE,37.0,ESE,S,20.0,17.0,17.0,19.0,1009.8,1005.7,30.5,37.1,No,No,24,12,2008
24,136095,2008-12-25,AliceSprings,27.2,37.6,0.0,ESE,30.0,E,S,13.0,13.0,30.0,22.0,1010.2,1006.1,30.4,35.6,No,No,25,12,2008
