,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,55102,2008-12-01,Ballarat,5.8,17.6,3.2,W,52.0,W,WNW,26.0,30.0,71.0,37.0,1008.2,1007.5,10.4,15.7,Yes,No,1,12,2008
1,55103,2008-12-02,Ballarat,4.3,19.5,0.4,WNW,44.0,WNW,WNW,20.0,24.0,66.0,47.0,1009.3,1007.3,12.5,17.6,No,No,2,12,2008
2,55104,2008-12-03,Ballarat,9.5,18.8,0.6,W,43.0,WSW,SW,22.0,20.0,82.0,42.0,1009.5,1011.5,11.2,16.5,No,No,3,12,2008
3,55105,2008-12-04,Ballarat,6.7,21.8,0.2,NNE,39.0,ENE,N,9.0,22.0,60.0,33.0,1016.2,1012.6,14.4,20.6,No,Yes,4,12,2008
4,55106,2008-12-05,Ballarat,13.3,25.6,1.2,NW,61.0,NNW,NW,30.0,39.0,74.0,40.0,1006.6,1005.5,18.3,24.3,Yes,No,5,12,2008
5,55107,2008-12-06,Ballarat,9.6,23.0,0.0,WNW,61.0,WNW,WNW,15.0,39.0,76.0,42.0,1009.6,1005.7,13.8,20.8,No,No,6,12,2008
6,55108,2008-12-07,Ballarat,4.6,16.4,0.0,SW,39.0,SW,SW,20.0,24.0,71.0,42.0,1012.3,1012.1,9.6,15.6,No,No,7,12,2008
7,55109,2008-12-08,Ballarat,2.9,23.1,0.2,NW,43.0,SSE,WSW,17.0,7.0,64.0,30.0,1014.0,1010.5,9.7,20.6,No,No,8,12,2008
8,55110,2008-12-09,Ballarat,5.3,17.6,0.0,S,35.0,NW,SSE,9.0,19.0,55.0,87.0,1007.5,1006.4,13.2,12.4,No,Yes,9,12,2008
9,55111,2008-12-10,Ballarat,8.3,18.3,5.0,SE,50.0,SSE,SE,28.0,22.0,71.0,43.0,1011.8,1010.9,10.6,18.1,Yes,No,10,12,2008
10,55112,2008-12-11,Ballarat,6.9,23.8,0.0,SSE,54.0,SE,SSE,28.0,26.0,67.0,28.0,1013.8,1011.0,12.2,22.9,No,No,11,12,2008
11,55113,2008-12-12,Ballarat,12.1,19.6,0.0,SE,41.0,NE,E,24.0,11.0,47.0,97.0,1006.2,1002.2,18.8,15.3,No,Yes,12,12,2008
12,55114,2008-12-13,Ballarat,13.1,13.9,53.6,SW,63.0,SSW,SW,26.0,39.0,99.0,99.0,990.5,996.5,13.5,13.0,Yes,Yes,13,12,2008
13,55115,2008-12-14,Ballarat,10.0,16.2,11.0,SSW,46.0,SSW,SW,19.0,26.0,99.0,71.0,1005.8,1007.5,11.0,15.0,Yes,Yes,14,12,2008
14,55116,2008-12-15,Ballarat,8.3,18.7,1.4,W,37.0,SW,WNW,17.0,20.0,72.0,50.0,1012.3,1011.2,9.2,16.9,Yes,No,15,12,2008
15,55117,2008-12-16,Ballarat,7.9,19.1,0.0,W,35.0,W,W,15.0,24.0,84.0,57.0,1012.5,1011.6,13.4,17.9,No,Yes,16,12,2008
16,55118,2008-12-17,Ballarat,10.3,20.1,1.8,ESE,31.0,S,WSW,7.0,7.0,91.0,64.0,1012.3,1008.8,12.3,18.7,Yes,No,17,12,2008
17,55119,2008-12-18,Ballarat,11.1,19.2,0.6,SSW,48.0,SW,WSW,15.0,22.0,86.0,49.0,1005.6,1005.1,13.6,18.8,No,Yes,18,12,2008
18,55120,2008-12-19,Ballarat,6.3,16.9,1.4,SSW,52.0,SSW,SSW,26.0,26.0,69.0,41.0,1014.1,1014.6,8.9,16.3,Yes,No,19,12,2008
19,55121,2008-12-20,Ballarat,5.5,21.4,0.0,SSE,37.0,SSE,SE,22.0,20.0,76.0,44.0,1020.4,1018.0,11.6,20.6,No,No,20,12,2008
20,55122,2008-12-21,Ballarat,6.8,26.7,0.0,N,46.0,NNE,N,20.0,28.0,44.0,32.0,1017.6,1013.8,19.2,25.2,No,No,21,12,2008
21,55123,2008-12-22,Ballarat,18.8,32.2,0.0,NNW,72.0,N,NNW,44.0,41.0,39.0,21.0,1007.6,1004.2,22.3,30.2,No,No,22,12,2008
22,55124,2008-12-23,Ballarat,10.5,20.1,0.0,SSW,44.0,SSW,S,26.0,24.0,90.0,52.0,1013.2,1012.7,11.2,18.0,No,No,23,12,2008
23,55125,2008-12-24,Ballarat,7.2,24.8,0.2,SW,33.0,SE,WSW,15.0,17.0,68.0,27.0,1013.2,1011.3,12.8,24.0,No,No,24,12,2008
24,55126,2008-12-25,Ballarat,8.8,25.5,0.0,WSW,37.0,SE,SSW,13.0,9.0,61.0,32.0,1014.2,1012.3,15.9,22.7,No,No,25,12,2008
25,55127,2008-12-26,Ballarat,10.6,28.9,0.0,ESE,46.0,N,WNW,22.0,11.0,42.0,32.0,1010.3,1008.1,21.4,26.9,No,No,26,12,2008
26,55128,2008-12-27,Ballarat,11.3,28.0,0.0,S,43.0,N,W,13.0,19.0,55.0,43.0,1006.1,1003.2,22.6,26.5,No,No,27,12,2008
27,55129,2008-12-28,Ballarat,7.6,25.6,0.0,WSW,44.0,NNW,WSW,17.0,26.0,62.0,44.0,1003.9,1002.7,17.9,22.8,No,No,28,12,2008
28,55130,2008-12-29,Ballarat,9.3,19.8,0.0,W,46.0,WSW,SW,17.0,24.0,70.0,40.0,1008.2,1008.0,11.8,17.4,No,Yes,29,12,2008
29,55131,2008-12-30,Ballarat,10.2,20.1,2.4,W,61.0,WSW,W,22.0,37.0,99.0,45.0,1003.6,1003.2,11.9,18.0,Yes,No,30,12,2008
30,55132,2008-12-31,Ballarat,9.0,20.4,0.2,NW,39.0,WSW,NW,15.0,26.0,81.0,44.0,1006.1,1004.7,10.6,17.2,No,No,31,12,2008
31,55133,2009-01-01,Ballarat,8.3,17.0,0.2,SW,54.0,W,WSW,26.0,30.0,87.0,48.0,1004.7,1006.5,11.6,16.0,No,No,1,1,2009
