,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,84007,2008-07-01,Brisbane,10.3,25.2,0.0,WNW,26.0,SSW,W,6.0,15.0,81.0,37.0,1019.6,1014.8,14.9,24.6,No,No,1,7,2008
1,84008,2008-07-02,Brisbane,8.1,22.9,0.0,W,30.0,W,WNW,15.0,19.0,41.0,30.0,1018.8,1015.0,16.2,22.4,No,No,2,7,2008
2,84009,2008-07-03,Brisbane,9.7,22.4,0.0,E,22.0,SW,E,7.0,15.0,55.0,52.0,1021.4,1019.1,15.4,21.3,No,No,3,7,2008
3,84010,2008-07-04,Brisbane,11.8,20.0,0.8,SW,24.0,SW,SSE,9.0,7.0,76.0,53.0,1023.5,1021.7,14.1,19.6,No,No,4,7,2008
4,84011,2008-07-05,Brisbane,12.3,16.7,0.0,S,37.0,S,SSW,11.0,7.0,81.0,89.0,1027.3,1026.2,16.1,15.0,No,Yes,5,7,2008
5,84012,2008-07-06,Brisbane,12.6,21.5,16.2,ENE,31.0,SSW,E,7.0,17.0,78.0,52.0,1028.5,1025.7,15.9,20.0,Yes,No,6,7,2008
6,84013,2008-07-07,Brisbane,12.9,21.9,0.0,NE,17.0,SW,NE,9.0,9.0,83.0,63.0,1026.9,1023.1,14.7,20.1,No,Yes,7,7,2008
7,84014,2008-07-08,Brisbane,14.5,17.4,24.2,WSW,31.0,SW,NW,7.0,2.0,94.0,73.0,1024.0,1019.3,14.7,17.0,Yes,Yes,8,7,2008
8,84015,2008-07-09,Brisbane,6.0,16.7,3.8,W,43.0,WSW,W,13.0,19.0,48.0,34.0,1022.6,1020.2,12.4,16.2,Yes,No,9,7,2008
9,84016,2008-07-10,Brisbane,10.3,19.7,0.2,W,39.0,WSW,WSW,17.0,17.0,47.0,34.0,1021.8,1017.0,13.2,18.8,No,No,10,7,2008
10,84017,2008-07-11,Brisbane,6.6,19.6,0.0,W,28.0,WSW,WSW,11.0,9.0,48.0,38.0,1021.7,1019.4,14.2,18.7,No,No,11,7,2008
11,84018,2008-07-12,Brisbane,7.9,21.1,0.0,ENE,30.0,SW,E,7.0,15.0,60.0,48.0,1025.9,1023.4,12.8,19.3,No,No,12,7,2008
12,84019,2008-07-13,Brisbane,12.0,22.8,0.0,ENE,20.0,SSW,ENE,6.0,9.0,72.0,69.0,1026.6,1023.3,15.3,21.2,No,No,13,7,2008
13,84020,2008-07-14,Brisbane,13.6,25.7,0.0,N,19.0,SSW,NE,4.0,9.0,86.0,65.0,1025.3,1021.0,18.3,23.3,No,No,14,7,2008
14,84021,2008-07-15,Brisbane,16.7,24.8,0.0,W,31.0,SSW,NNE,9.0,9.0,80.0,65.0,1022.2,1018.7,19.1,23.4,No,Yes,15,7,2008
