,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,45587,2007-11-01,Canberra,8.0,24.3,0.0,NW,30.0,SW,NW,6.0,20.0,68.0,29.0,1019.7,1015.0,14.4,23.6,No,Yes,1,11,2007
1,45588,2007-11-02,Canberra,14.0,26.9,3.6,ENE,39.0,E,W,4.0,17.0,80.0,36.0,1012.4,1008.4,17.5,25.7,Yes,Yes,2,11,2007
2,45589,2007-11-03,Canberra,13.7,23.4,3.6,NW,85.0,N,NNE,6.0,6.0,82.0,69.0,1009.5,1007.2,15.4,20.2,Yes,Yes,3,11,2007
3,45590,2007-11-04,Canberra,13.3,15.5,39.8,NW,54.0,WNW,W,30.0,24.0,62.0,56.0,1005.5,1007.0,13.5,14.1,Yes,Yes,4,11,2007
4,45591,2007-11-05,Canberra,7.6,16.1,2.8,SSE,50.0,SSE,ESE,20.0,28.0,68.0,49.0,1018.3,1018.5,11.1,15.4,Yes,No,5,11,2007
5,45592,2007-11-06,Canberra,6.2,16.9,0.0,SE,44.0,SE,E,20.0,24.0,70.0,57.0,1023.8,1021.7,10.9,14.8,No,No,6,11,2007
6,45593,2007-11-07,Canberra,6.1,18.2,0.2,SE,43.0,SE,ESE,19.0,26.0,63.0,47.0,1024.6,1022.2,12.4,17.3,No,No,7,11,2007
7,45594,2007-11-08,Canberra,8.3,17.0,0.0,E,41.0,SE,E,11.0,24.0,65.0,57.0,1026.2,1024.2,12.1,15.5,No,No,8,11,2007
8,45595,2007-11-09,Canberra,8.8,19.5,0.0,S,48.0,E,ENE,19.0,17.0,70.0,48.0,1026.1,1022.7,14.1,18.9,No,Yes,9,11,2007
9,45596,2007-11-10,Canberra,8.4,22.8,16.2,E,31.0,S,ESE,7.0,6.0,82.0,32.0,1024.1,1020.7,13.3,21.7,Yes,No,10,11,2007
10,45597,2007-11-11,Canberra,9.1,25.2,0.0,N,30.0,SE,NW,6.0,9.0,74.0,34.0,1024.4,1021.1,14.6,24.0,No,No,11,11,2007
11,45598,2007-11-12,Canberra,8.5,27.3,0.2,E,41.0,E,NW,2.0,15.0,54.0,35.0,1023.8,1019.9,16.8,26.0,No,No,12,11,2007
12,45599,2007-11-13,Canberra,10.1,27.9,0.0,WNW,30.0,S,NW,6.0,7.0,62.0,29.0,1022.0,1017.1,17.0,27.1,No,No,13,11,2007
13,45600,2007-11-14,Canberra,12.1,30.9,0.0,NW,44.0,WNW,W,7.0,20.0,67.0,20.0,1017.3,1013.1,19.7,30.7,No,No,14,11,2007
