,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,6049,2009-01-01,Cobar,17.9,35.2,0.0,SSW,48.0,ENE,SW,6.0,20.0,20.0,13.0,1006.3,1004.4,26.6,33.4,No,No,1,1,2009
1,6050,2009-01-02,Cobar,18.4,28.9,0.0,S,37.0,SSE,SSE,19.0,19.0,30.0,8.0,1012.9,1012.1,20.3,27.0,No,No,2,1,2009
2,6051,2009-01-03,Cobar,15.5,34.1,0.0,SE,30.0,,N,,7.0,,7.0,,1011.6,,32.7,No,No,3,1,2009
3,6052,2009-01-04,Cobar,19.4,37.6,0.0,NNE,46.0,NNE,NNW,30.0,15.0,42.0,22.0,1012.3,1009.2,28.7,34.9,No,No,4,1,2009
4,6053,2009-01-05,Cobar,21.9,38.4,0.0,WNW,31.0,WNW,WSW,6.0,6.0,37.0,22.0,1012.7,1009.1,29.1,35.6,No,No,5,1,2009
5,6054,2009-01-06,Cobar,24.2,41.0,0.0,WNW,35.0,NW,WNW,17.0,13.0,19.0,15.0,1010.7,1007.4,33.6,37.6,No,No,6,1,2009
6,6055,2009-01-07,Cobar,27.1,36.1,0.0,N,43.0,N,WNW,7.0,20.0,26.0,19.0,1007.7,1007.4,30.7,34.3,No,No,7,1,2009
7,6056,2009-01-08,Cobar,23.3,34.0,0.0,SSW,41.0,S,SSE,17.0,19.0,33.0,15.0,1011.3,1009.9,25.0,31.5,No,No,8,1,2009
8,6057,2009-01-09,Cobar,16.1,34.2,0.0,SE,37.0,SE,S,15.0,6.0,25.0,9.0,1013.3,1009.2,20.7,32.8,No,No,9,1,2009
9,6058,2009-01-10,Cobar,19.0,35.5,0.0,ENE,48.0,ENE,WSW,30.0,9.0,46.0,28.0,1008.3,1004.0,23.4,33.3,No,No,10,1,2009
10,6059,2009-01-11,Cobar,19.7,35.5,0.0,NE,41.0,NNE,WSW,15.0,17.0,61.0,14.0,1007.9,1005.8,24.0,33.6,No,No,11,1,2009
11,6060,2009-01-12,Cobar,20.9,37.8,0.0,E,30.0,SE,ENE,11.0,7.0,27.0,9.0,1012.6,1010.1,29.8,36.4,No,No,12,1,2009
12,6061,2009-01-13,Cobar,23.9,39.1,0.0,ENE,39.0,NE,N,24.0,9.0,40.0,15.0,1013.6,1010.4,29.1,37.0,No,No,13,1,2009
13,6062,2009-01-14,Cobar,24.9,41.2,0.0,SSW,43.0,N,NNW,17.0,11.0,25.0,15.0,1012.9,1010.1,31.5,38.1,No,No,14,1,2009
14,6063,2009-01-15,Cobar,25.2,40.5,0.0,SW,44.0,W,SW,13.0,22.0,24.0,15.0,1012.4,1009.0,31.4,37.8,No,No,15,1,2009
15,6064,2009-01-16,Cobar,21.6,34.2,0.0,SW,44.0,S,S,17.0,19.0,19.0,8.0,1014.1,1012.3,25.0,32.2,No,No,16,1,2009
