,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,80998,2009-01-01,Dartmoor,,,,,,,,,,,,,,,,,,1,1,2009
1,80999,2009-01-02,Dartmoor,,,,,,,,,,,,,,,,,,2,1,2009
2,81000,2009-01-03,Dartmoor,,,,,,,,,,,,,,,,,,3,1,2009
3,81001,2009-01-04,Dartmoor,,,,,,,,,,,,,,,,,,4,1,2009
4,81002,2009-01-05,Dartmoor,,,,,,,,,,,,,,,,,,5,1,2009
5,81003,2009-01-06,Dartmoor,,,,,,,,,,,,,,,,,,6,1,2009
6,81004,2009-01-07,Dartmoor,,,,,,,,,,,,,,,,,,7,1,2009
7,81005,2009-01-08,Dartmoor,,,,,,,,,,,,,,,,,,8,1,2009
8,81006,2009-01-09,Dartmoor,,,,,,,,,,,,,,,,,,9,1,2009
9,81007,2009-01-10,Dartmoor,,,,,,,,,,,,,,,,,,10,1,2009
10,81008,2009-01-11,Dartmoor,,,,,,,,,,,,,,,,,,11,1,2009
11,81009,2009-01-12,Dartmoor,,,,,,,,,,,,,,,,,,12,1,2009
12,81010,2009-01-13,Dartmoor,,,,,,,,,,,,,,,,,,13,1,2009
13,81011,2009-01-14,Dartmoor,,,,,,,,,,,,,,,,,,14,1,2009
14,81012,2009-01-15,Dartmoor,,,,,,,,,,,,,,,,,,15,1,2009
15,81013,2009-01-16,Dartmoor,,,,,,,,,,,,,,,,,,16,1,2009
16,81014,2009-01-17,Dartmoor,,,,,,,,,,,,,,,,,,17,1,2009
17,81015,2009-01-18,Dartmoor,,,,,,,,,,,,,,,,,,18,1,2009
18,81016,2009-01-19,Dartmoor,,,,,,,,,,,,,,,,,,19,1,2009
