,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,139111,2008-07-01,Darwin,20.0,33.1,0.0,E,41.0,ENE,SSE,13.0,17.0,81.0,32.0,1016.0,1012.1,25.4,32.3,No,No,1,7,2008
1,139112,2008-07-02,Darwin,19.4,32.4,0.0,ENE,50.0,SE,E,15.0,28.0,81.0,17.0,1016.8,1012.4,24.3,31.9,No,No,2,7,2008
2,139113,2008-07-03,Darwin,18.2,31.8,0.0,E,46.0,ESE,ENE,22.0,19.0,38.0,24.0,1017.2,1013.0,24.3,31.2,No,No,3,7,2008
3,139114,2008-07-04,Darwin,17.3,30.7,0.0,E,44.0,SE,E,22.0,13.0,55.0,16.0,1017.3,1013.6,21.3,29.8,No,No,4,7,2008
4,139115,2008-07-05,Darwin,15.5,30.8,0.0,ESE,46.0,E,E,20.0,19.0,37.0,16.0,1016.3,1012.6,22.2,29.6,No,No,5,7,2008
5,139116,2008-07-06,Darwin,16.2,31.9,0.0,E,41.0,ESE,SE,11.0,13.0,62.0,18.0,1015.8,1012.2,22.8,30.5,No,No,6,7,2008
6,139117,2008-07-07,Darwin,17.0,32.7,0.0,E,48.0,SE,ESE,11.0,22.0,54.0,18.0,1016.7,1013.1,23.3,31.5,No,No,7,7,2008
7,139118,2008-07-08,Darwin,19.6,30.8,0.0,ESE,54.0,SE,ESE,20.0,33.0,36.0,12.0,1018.2,1014.6,22.3,30.2,No,No,8,7,2008
8,139119,2008-07-09,Darwin,17.3,29.2,0.0,ESE,50.0,SE,ESE,31.0,24.0,26.0,15.0,1019.1,1015.2,20.3,28.6,No,No,9,7,2008
9,139120,2008-07-10,Darwin,17.1,30.3,0.0,ESE,48.0,SE,ESE,17.0,13.0,33.0,14.0,1018.3,1013.2,19.5,28.8,No,No,10,7,2008
10,139121,2008-07-11,Darwin,17.7,30.6,0.0,E,41.0,ESE,NE,20.0,11.0,21.0,11.0,1015.7,1011.0,22.4,30.0,No,No,11,7,2008
11,139122,2008-07-12,Darwin,14.7,30.9,0.0,NE,35.0,E,WSW,13.0,15.0,43.0,40.0,1014.5,1010.6,22.2,29.0,No,No,12,7,2008
12,139123,2008-07-13,Darwin,18.7,31.3,0.0,WNW,28.0,SSE,NW,13.0,22.0,75.0,42.0,1015.8,1012.1,22.7,29.9,No,No,13,7,2008
13,139124,2008-07-14,Darwin,18.8,31.0,0.0,ENE,33.0,ESE,NNW,7.0,20.0,69.0,56.0,1015.8,1012.1,25.3,28.7,No,No,14,7,2008
14,139125,2008-07-15,Darwin,21.4,33.1,0.0,ESE,41.0,SE,NNW,9.0,20.0,64.0,45.0,1014.9,1010.5,26.5,30.2,No,No,15,7,2008
15,139126,2008-07-16,Darwin,18.7,33.5,0.0,ESE,41.0,SSE,ESE,15.0,22.0,71.0,32.0,1014.0,1009.7,25.1,32.3,No,No,16,7,2008
16,139127,2008-07-17,Darwin,17.2,33.4,0.0,E,43.0,SE,ENE,15.0,20.0,41.0,15.0,1013.7,1009.4,24.8,32.7,No,No,17,7,2008
17,139128,2008-07-18,Darwin,17.6,32.3,0.0,N,41.0,ESE,NNE,13.0,24.0,44.0,41.0,1013.4,1010.1,25.5,31.3,No,No,18,7,2008
18,139129,2008-07-19,Darwin,21.4,29.9,0.0,WNW,26.0,E,NW,9.0,15.0,61.0,57.0,1013.3,1009.8,26.9,29.9,No,No,19,7,2008
19,139130,2008-07-20,Darwin,21.9,31.4,0.0,NW,35.0,S,NW,7.0,22.0,83.0,72.0,1013.6,1010.0,25.2,28.3,No,No,20,7,2008
20,139131,2008-07-21,Darwin,21.4,32.7,0.0,SE,41.0,SE,NW,22.0,22.0,70.0,36.0,1012.2,1009.0,24.0,30.9,No,No,21,7,2008
21,139132,2008-07-22,Darwin,22.5,32.5,0.0,ESE,52.0,SE,SSE,26.0,19.0,30.0,28.0,1012.8,1009.1,24.8,31.8,No,No,22,7,2008
22,139133,2008-07-23,Darwin,21.4,30.9,0.0,SE,52.0,SE,SE,31.0,26.0,30.0,20.0,1014.4,1010.7,22.9,30.3,No,No,23,7,2008
23,139134,2008-07-24,Darwin,17.3,29.1,0.0,SE,44.0,SE,S,28.0,15.0,27.0,19.0,1014.5,1010.3,20.5,28.3,No,No,24,7,2008
24,139135,2008-07-25,Darwin,15.9,29.3,0.0,ESE,43.0,SE,SSE,24.0,17.0,24.0,13.0,1015.0,1010.8,19.5,28.4,No,No,25,7,2008
25,139136,2008-07-26,Darwin,14.6,30.2,0.0,E,41.0,ESE,SE,17.0,15.0,32.0,8.0,1014.4,1010.7,19.8,29.7,No,No,26,7,2008
26,139137,2008-07-27,Darwin,12.5,31.3,0.0,NNW,28.0,S,NNW,4.0,19.0,60.0,37.0,1014.9,1011.2,21.7,27.4,No,No,27,7,2008
27,139138,2008-07-28,Darwin,15.5,30.0,0.0,N,33.0,E,NW,2.0,20.0,70.0,56.0,1014.6,1011.3,23.9,27.9,No,No,28,7,2008
28,139139,2008-07-29,Darwin,17.4,31.6,0.0,E,33.0,SSE,NNW,11.0,19.0,68.0,33.0,1015.0,1010.6,24.9,29.5,No,No,29,7,2008
29,139140,2008-07-30,Darwin,18.9,28.7,0.0,NW,35.0,S,NW,7.0,22.0,95.0,54.0,1015.8,1011.7,20.6,27.6,No,No,30,7,2008
30,139141,2008-07-31,Darwin,17.4,30.3,0.0,E,33.0,ENE,NNW,17.0,22.0,66.0,54.0,1016.7,1012.6,22.9,27.1,No,No,31,7,2008
31,139142,2008-08-01,Darwin,17.3,32.0,0.0,SSE,33.0,SE,N,13.0,28.0,67.0,50.0,1015.5,1011.8,23.4,29.5,No,No,1,8,2008
32,139143,2008-08-02,Darwin,18.1,32.2,0.0,E,44.0,E,ESE,15.0,24.0,78.0,23.0,1015.5,1011.2,23.7,32.0,No,No,2,8,2008
33,139144,2008-08-03,Darwin,18.8,34.1,0.0,ESE,54.0,ESE,E,17.0,33.0,64.0,11.0,1015.6,1010.9,23.1,33.5,No,No,3,8,2008
34,139145,2008-08-04,Darwin,17.5,34.7,0.0,ESE,52.0,S,WNW,11.0,28.0,77.0,45.0,1016.2,1011.8,23.3,29.3,No,No,4,8,2008
35,139146,2008-08-05,Darwin,18.0,33.8,0.0,ESE,44.0,,NW,0.0,24.0,74.0,62.0,1015.2,1011.3,25.2,28.3,No,No,5,8,2008
36,139147,2008-08-06,Darwin,17.6,32.6,0.0,E,46.0,SE,ENE,15.0,24.0,84.0,21.0,1015.7,1011.9,23.1,31.8,No,No,6,8,2008
37,139148,2008-08-07,Darwin,18.4,32.3,0.0,ESE,50.0,ESE,E,24.0,24.0,33.0,18.0,1016.3,1012.0,22.7,31.3,No,No,7,8,2008
38,139149,2008-08-08,Darwin,15.9,32.1,0.0,ESE,52.0,SE,E,19.0,19.0,,13.0,1015.5,1012.0,21.4,31.9,No,No,8,8,2008
39,139150,2008-08-09,Darwin,16.6,31.7,0.0,E,41.0,ESE,NW,15.0,24.0,32.0,18.0,1016.0,1011.7,21.2,30.7,No,No,9,8,2008
40,139151,2008-08-10,Darwin,18.1,32.4,0.0,E,37.0,SE,E,15.0,17.0,36.0,25.0,1016.1,1011.9,22.6,30.9,No,No,10,8,2008
41,139152,2008-08-11,Darwin,19.2,32.2,0.0,ESE,46.0,SE,WNW,26.0,20.0,21.0,15.0,1015.2,1011.6,22.4,31.0,No,No,11,8,2008
42,139153,2008-08-12,Darwin,19.0,31.7,0.0,ESE,37.0,SE,WNW,20.0,19.0,21.0,24.0,1015.9,1012.1,22.8,30.1,No,No,12,8,2008
43,139154,2008-08-13,Darwin,19.9,32.7,0.0,E,43.0,SE,NW,20.0,26.0,22.0,19.0,1016.5,1012.5,22.9,31.7,No,No,13,8,2008
44,139155,2008-08-14,Darwin,19.8,32.0,0.0,NNE,31.0,SE,NNW,20.0,22.0,25.0,27.0,1015.9,1012.2,23.4,29.4,No,No,14,8,2008
45,139156,2008-08-15,Darwin,19.8,33.8,0.0,N,41.0,SE,N,24.0,11.0,26.0,13.0,1014.7,1010.4,23.8,33.5,No,No,15,8,2008
46,139157,2008-08-16,Darwin,20.5,31.5,0.0,ESE,43.0,ESE,NNW,30.0,17.0,15.0,13.0,1015.6,1012.5,23.6,30.8,No,No,16,8,2008
47,139158,2008-08-17,Darwin,18.3,30.8,0.0,E,44.0,SE,SSE,26.0,24.0,18.0,8.0,1017.6,1013.7,21.7,29.8,No,No,17,8,2008
48,139159,2008-08-18,Darwin,18.1,30.8,0.0,SE,46.0,SE,SE,31.0,17.0,13.0,9.0,1018.4,1014.7,21.1,29.5,No,No,18,8,2008
49,139160,2008-08-19,Darwin,17.7,31.3,0.0,E,48.0,SE,N,20.0,15.0,24.0,20.0,1016.8,1013.2,21.5,30.5,No,No,19,8,2008
50,139161,2008-08-20,Darwin,16.3,31.8,0.0,ENE,39.0,NE,NNE,13.0,22.0,50.0,37.0,1016.4,1013.0,24.7,30.7,No,No,20,8,2008
51,139162,2008-08-21,Darwin,20.2,33.2,0.0,E,41.0,E,NNW,13.0,20.0,70.0,48.0,1016.9,1012.6,25.1,29.5,No,No,21,8,2008
52,139163,2008-08-22,Darwin,19.4,34.7,0.0,E,52.0,SSE,ESE,17.0,19.0,67.0,25.0,1015.8,1010.8,24.7,33.2,No,No,22,8,2008
53,139164,2008-08-23,Darwin,22.0,31.7,0.0,ESE,48.0,SE,SSE,24.0,20.0,17.0,15.0,1015.5,1011.3,22.1,30.1,No,No,23,8,2008
54,139165,2008-08-24,Darwin,21.1,32.7,0.0,ESE,37.0,SE,SE,19.0,11.0,24.0,26.0,1016.1,1010.9,23.1,32.1,No,No,24,8,2008
55,139166,2008-08-25,Darwin,20.9,32.9,0.0,ENE,48.0,E,NNE,22.0,31.0,54.0,43.0,1014.7,1010.1,27.3,31.6,No,No,25,8,2008
56,139167,2008-08-26,Darwin,24.7,33.1,0.0,N,46.0,SSE,N,9.0,30.0,65.0,44.0,1013.9,1010.2,27.0,31.2,No,No,26,8,2008
57,139168,2008-08-27,Darwin,22.0,34.2,0.0,NE,48.0,E,NNE,7.0,31.0,63.0,43.0,1014.1,1009.8,27.2,33.0,No,No,27,8,2008
