,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,90240,2008-12-01,GoldCoast,17.0,30.4,0.0,NNW,31.0,NNW,NE,17.0,22.0,52.0,61.0,1013.5,1010.7,26.2,28.5,No,No,1,12,2008
1,90241,2008-12-02,GoldCoast,19.0,29.7,0.0,NNE,37.0,NNW,NNE,19.0,31.0,55.0,70.0,1013.1,1010.2,27.8,26.2,No,No,2,12,2008
2,90242,2008-12-03,GoldCoast,21.3,28.6,0.0,NNE,52.0,N,N,24.0,31.0,61.0,74.0,1013.4,1009.8,27.8,24.6,No,No,3,12,2008
3,90243,2008-12-04,GoldCoast,20.9,28.7,0.8,SE,52.0,ENE,SE,15.0,39.0,65.0,75.0,1014.7,1014.5,27.5,23.6,No,No,4,12,2008
4,90244,2008-12-05,GoldCoast,19.7,29.5,0.2,NW,43.0,E,SE,11.0,11.0,67.0,83.0,1017.5,1015.2,26.0,23.8,No,Yes,5,12,2008
5,90245,2008-12-06,GoldCoast,22.8,34.5,3.6,NW,48.0,NW,NW,22.0,17.0,52.0,50.0,1011.2,1006.7,29.4,31.9,Yes,Yes,6,12,2008
6,90246,2008-12-07,GoldCoast,22.1,29.1,15.4,SSE,54.0,NNW,SSE,17.0,39.0,82.0,75.0,1007.2,1006.2,26.0,23.6,Yes,No,7,12,2008
7,90247,2008-12-08,GoldCoast,20.2,27.7,0.2,SE,41.0,S,SE,26.0,26.0,64.0,62.0,1013.4,1011.0,25.1,25.5,No,Yes,8,12,2008
8,90248,2008-12-09,GoldCoast,19.9,29.0,1.2,,,SSE,ENE,19.0,26.0,71.0,61.0,1013.5,1011.4,25.6,28.4,Yes,,9,12,2008
9,90249,2008-12-10,GoldCoast,,30.3,,NNE,41.0,N,NNE,19.0,31.0,58.0,70.0,1011.3,1007.5,27.3,26.5,,No,10,12,2008
10,90250,2008-12-11,GoldCoast,23.4,31.0,0.0,SSE,50.0,SE,NNE,20.0,30.0,70.0,80.0,1011.1,1006.7,26.7,25.5,No,Yes,11,12,2008
11,90251,2008-12-12,GoldCoast,21.5,27.5,13.2,S,39.0,S,S,28.0,22.0,99.0,100.0,1014.4,1010.9,21.6,22.3,Yes,Yes,12,12,2008
12,90252,2008-12-13,GoldCoast,21.5,32.0,6.2,N,41.0,NNW,N,22.0,30.0,63.0,77.0,1006.4,1000.7,27.5,26.5,Yes,No,13,12,2008
