,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,129838,2008-07-01,Hobart,4.6,12.2,3.0,WSW,81.0,NNE,NW,17.0,24.0,72.0,42.0,988.3,992.3,6.5,12.1,Yes,Yes,1,7,2008
1,129839,2008-07-02,Hobart,5.1,10.8,16.2,W,83.0,NW,SW,24.0,26.0,78.0,60.0,991.7,1002.5,6.0,8.5,Yes,Yes,2,7,2008
2,129840,2008-07-03,Hobart,5.5,12.4,3.0,SW,100.0,WNW,SW,37.0,39.0,55.0,53.0,1008.7,1015.1,10.1,9.3,Yes,No,3,7,2008
3,129841,2008-07-04,Hobart,0.9,10.4,1.0,NNW,28.0,NW,N,17.0,9.0,76.0,54.0,1028.9,1028.1,3.2,9.6,No,No,4,7,2008
4,129842,2008-07-05,Hobart,0.5,10.0,0.0,NNW,28.0,NNW,NW,13.0,15.0,79.0,53.0,1028.2,1025.4,2.9,9.7,No,No,5,7,2008
5,129843,2008-07-06,Hobart,1.3,10.0,0.0,NNW,41.0,NNW,N,19.0,7.0,77.0,70.0,1021.6,1017.8,4.2,9.1,No,No,6,7,2008
6,129844,2008-07-07,Hobart,4.1,15.8,0.0,NNW,39.0,NNW,WNW,13.0,4.0,82.0,61.0,1017.2,1015.2,7.7,13.8,No,Yes,7,7,2008
7,129845,2008-07-08,Hobart,7.3,14.2,8.4,NNW,24.0,N,NNW,7.0,13.0,96.0,72.0,1017.6,1017.2,8.3,14.0,Yes,No,8,7,2008
8,129846,2008-07-09,Hobart,5.4,11.4,0.4,NW,35.0,NW,N,11.0,13.0,88.0,74.0,1017.8,1012.4,7.5,10.7,No,No,9,7,2008
9,129847,2008-07-10,Hobart,5.2,12.9,0.6,NNW,44.0,NNW,NW,19.0,20.0,68.0,49.0,998.7,996.5,9.0,10.3,No,Yes,10,7,2008
10,129848,2008-07-11,Hobart,3.7,10.0,2.6,SW,52.0,NW,SW,20.0,28.0,66.0,52.0,1002.3,1007.4,7.1,9.5,Yes,No,11,7,2008
11,129849,2008-07-12,Hobart,6.4,10.9,0.2,NW,43.0,SW,N,6.0,9.0,73.0,63.0,1016.5,1014.8,8.3,10.8,No,No,12,7,2008
12,129850,2008-07-13,Hobart,6.5,13.0,0.0,N,30.0,NW,NNW,17.0,11.0,77.0,56.0,1016.2,1016.0,7.6,12.2,No,No,13,7,2008
13,129851,2008-07-14,Hobart,5.1,13.1,0.0,NNW,28.0,NW,E,13.0,9.0,88.0,64.0,1020.4,1019.6,5.8,11.6,No,No,14,7,2008
14,129852,2008-07-15,Hobart,5.7,12.4,0.8,SSE,26.0,NNW,SSE,11.0,11.0,88.0,69.0,1023.3,1022.4,7.1,11.6,No,No,15,7,2008
15,129853,2008-07-16,Hobart,6.1,10.1,0.8,NNW,17.0,NNW,,11.0,0.0,88.0,87.0,1023.8,1021.5,7.3,10.1,No,No,16,7,2008
16,129854,2008-07-17,Hobart,4.9,12.6,0.2,NNE,20.0,,ENE,0.0,7.0,91.0,66.0,1015.9,1010.0,6.2,11.4,No,No,17,7,2008
17,129855,2008-07-18,Hobart,3.6,13.9,0.0,NNW,46.0,NNE,NW,4.0,22.0,85.0,53.0,1001.7,999.7,6.0,13.2,No,No,18,7,2008
18,129856,2008-07-19,Hobart,3.9,12.1,0.0,WNW,41.0,NE,NNW,11.0,17.0,66.0,50.0,1005.0,1005.2,7.4,10.8,No,No,19,7,2008
19,129857,2008-07-20,Hobart,1.3,8.2,0.0,NNW,28.0,N,NNW,9.0,7.0,74.0,70.0,1011.4,1008.5,3.5,7.2,No,Yes,20,7,2008
20,129858,2008-07-21,Hobart,3.3,8.0,3.2,SW,65.0,SSW,SSW,30.0,28.0,80.0,74.0,1000.6,1004.5,5.1,4.6,Yes,Yes,21,7,2008
21,129859,2008-07-22,Hobart,3.3,10.9,5.2,WSW,52.0,N,SW,11.0,20.0,59.0,54.0,1020.3,1022.2,7.9,10.6,Yes,No,22,7,2008
22,129860,2008-07-23,Hobart,4.6,12.5,0.0,WSW,30.0,NW,NW,13.0,15.0,76.0,58.0,1031.2,1030.3,7.4,11.2,No,No,23,7,2008
23,129861,2008-07-24,Hobart,2.7,12.8,0.0,NW,30.0,NW,NNW,17.0,11.0,75.0,45.0,1032.2,1028.9,5.3,12.1,No,No,24,7,2008
24,129862,2008-07-25,Hobart,2.7,13.0,0.0,NNW,30.0,NW,NNW,19.0,13.0,74.0,43.0,1024.9,1021.0,4.2,12.6,No,No,25,7,2008
25,129863,2008-07-26,Hobart,1.5,11.4,0.0,NW,30.0,NW,SE,19.0,7.0,78.0,60.0,1017.3,1014.5,3.6,9.9,No,No,26,7,2008
26,129864,2008-07-27,Hobart,3.6,10.8,0.6,S,37.0,WNW,SSE,9.0,24.0,96.0,62.0,1017.6,1017.9,4.8,9.6,No,Yes,27,7,2008
27,129865,2008-07-28,Hobart,4.8,10.0,1.2,S,39.0,S,SSW,19.0,13.0,73.0,88.0,1024.2,1024.1,6.9,7.7,Yes,No,28,7,2008
28,129866,2008-07-29,Hobart,5.4,11.5,1.0,N,28.0,NNW,NNW,15.0,15.0,82.0,47.0,1024.0,1019.4,6.5,10.7,No,No,29,7,2008
29,129867,2008-07-30,Hobart,0.3,11.1,0.0,NW,28.0,N,NNW,15.0,15.0,93.0,48.0,1017.6,1013.5,1.2,10.6,No,No,30,7,2008
30,129868,2008-07-31,Hobart,1.1,14.1,0.0,NW,35.0,NNW,NNW,28.0,19.0,73.0,54.0,1008.9,1003.8,5.3,13.4,No,No,31,7,2008
31,129869,2008-08-01,Hobart,4.9,13.1,1.0,WSW,33.0,NNW,ESE,20.0,2.0,85.0,68.0,993.8,991.7,6.7,11.4,No,No,1,8,2008
32,129870,2008-08-02,Hobart,6.4,12.0,0.0,WSW,57.0,NNE,WSW,13.0,31.0,69.0,55.0,1004.5,1006.2,8.4,10.8,No,No,2,8,2008
33,129871,2008-08-03,Hobart,4.7,15.2,0.0,NNW,33.0,NW,ESE,17.0,13.0,71.0,52.0,1014.5,1013.0,7.8,12.6,No,No,3,8,2008
34,129872,2008-08-04,Hobart,4.7,15.9,0.0,NNW,35.0,NNW,NNW,19.0,7.0,74.0,41.0,1017.7,1017.4,6.6,15.0,No,No,4,8,2008
35,129873,2008-08-05,Hobart,4.5,16.2,0.0,NNW,35.0,NNW,NNW,17.0,15.0,74.0,43.0,1021.8,1020.0,7.9,16.0,No,No,5,8,2008
36,129874,2008-08-06,Hobart,3.7,14.3,0.0,NNW,28.0,NNW,ESE,17.0,9.0,72.0,50.0,1018.9,1017.6,7.6,12.9,No,No,6,8,2008
37,129875,2008-08-07,Hobart,6.6,12.9,0.0,SE,20.0,,SE,0.0,15.0,76.0,63.0,1020.5,1019.2,9.0,12.2,No,No,7,8,2008
38,129876,2008-08-08,Hobart,6.1,13.2,0.0,NNW,24.0,NNW,ENE,13.0,9.0,84.0,70.0,1019.0,1015.6,7.2,11.7,No,No,8,8,2008
39,129877,2008-08-09,Hobart,3.9,13.1,0.4,NNW,28.0,NNW,SE,17.0,17.0,70.0,51.0,1015.7,1013.3,7.1,10.9,No,No,9,8,2008
40,129878,2008-08-10,Hobart,1.8,10.4,0.0,NNW,22.0,NNW,SE,7.0,9.0,85.0,66.0,1012.4,1011.8,3.4,9.9,No,No,10,8,2008
41,129879,2008-08-11,Hobart,1.7,12.7,0.0,NNW,50.0,NNW,E,19.0,9.0,78.0,53.0,1014.9,1012.5,4.7,10.5,No,No,11,8,2008
42,129880,2008-08-12,Hobart,4.6,11.9,0.4,WSW,63.0,N,W,19.0,28.0,71.0,46.0,1006.1,1004.7,8.2,8.3,No,Yes,12,8,2008
43,129881,2008-08-13,Hobart,2.0,11.1,3.0,W,78.0,NW,W,22.0,31.0,62.0,44.0,1012.0,1009.4,7.0,10.5,Yes,Yes,13,8,2008
44,129882,2008-08-14,Hobart,6.6,11.1,15.0,SW,57.0,SW,WSW,20.0,26.0,77.0,73.0,1009.0,1007.7,8.5,8.8,Yes,Yes,14,8,2008
45,129883,2008-08-15,Hobart,5.4,9.5,1.8,SW,44.0,SSE,S,7.0,15.0,78.0,63.0,1011.2,1010.2,6.5,8.5,Yes,Yes,15,8,2008
46,129884,2008-08-16,Hobart,4.3,10.0,5.6,SW,61.0,SSW,S,26.0,22.0,67.0,65.0,1013.7,1015.7,6.1,9.1,Yes,Yes,16,8,2008
47,129885,2008-08-17,Hobart,5.0,12.3,3.2,WSW,33.0,NW,S,9.0,17.0,73.0,84.0,1021.9,1020.8,7.7,8.3,Yes,No,17,8,2008
48,129886,2008-08-18,Hobart,1.2,13.5,1.0,N,56.0,N,NNW,11.0,22.0,71.0,48.0,1020.8,1018.2,6.4,12.0,No,No,18,8,2008
49,129887,2008-08-19,Hobart,6.2,17.2,0.0,NNW,91.0,NNW,NNW,24.0,43.0,51.0,35.0,1012.3,1005.6,13.2,15.4,No,No,19,8,2008
50,129888,2008-08-20,Hobart,4.3,13.1,0.8,NNW,39.0,NNW,WNW,11.0,13.0,70.0,36.0,1015.1,1011.7,8.1,12.7,No,No,20,8,2008
51,129889,2008-08-21,Hobart,5.5,11.6,0.2,S,54.0,NNW,S,13.0,20.0,56.0,61.0,1012.9,1015.9,9.9,7.5,No,Yes,21,8,2008
52,129890,2008-08-22,Hobart,1.4,12.7,5.2,NNW,28.0,NNW,WSW,15.0,13.0,66.0,40.0,1025.5,1023.4,5.4,11.8,Yes,No,22,8,2008
53,129891,2008-08-23,Hobart,3.3,14.0,0.0,WSW,50.0,NNW,NNE,13.0,4.0,65.0,57.0,1025.1,1023.8,8.8,13.0,No,No,23,8,2008
54,129892,2008-08-24,Hobart,4.0,15.5,0.0,NNW,33.0,NNW,E,17.0,9.0,63.0,45.0,1026.5,1024.7,9.9,13.4,No,No,24,8,2008
55,129893,2008-08-25,Hobart,3.6,15.5,0.0,WNW,35.0,NNW,WSW,15.0,15.0,64.0,41.0,1023.4,1018.4,8.6,15.3,No,No,25,8,2008
56,129894,2008-08-26,Hobart,6.4,13.8,0.0,SSW,37.0,NNW,NW,15.0,11.0,61.0,51.0,1014.0,1012.4,8.7,13.4,No,No,26,8,2008
57,129895,2008-08-27,Hobart,5.2,16.2,0.0,NNW,26.0,NNW,S,11.0,13.0,64.0,48.0,1024.3,1024.2,10.4,14.8,No,No,27,8,2008
58,129896,2008-08-28,Hobart,4.0,13.8,0.0,ESE,22.0,N,SE,11.0,13.0,70.0,53.0,1029.7,1027.5,9.4,13.5,No,No,28,8,2008
59,129897,2008-08-29,Hobart,5.1,16.6,0.0,NNW,31.0,NNW,E,20.0,11.0,73.0,49.0,1026.1,1022.0,8.7,14.8,No,No,29,8,2008
60,129898,2008-08-30,Hobart,5.1,17.5,0.0,NNW,52.0,NNW,NNW,19.0,22.0,74.0,43.0,1018.4,1011.2,9.2,16.6,No,No,30,8,2008
61,129899,2008-08-31,Hobart,9.0,19.5,1.0,WNW,54.0,NNW,WNW,15.0,15.0,66.0,40.0,997.1,997.2,13.6,15.9,No,No,31,8,2008
62,129900,2008-09-01,Hobart,7.3,13.7,0.0,NW,63.0,NNW,NW,35.0,28.0,48.0,48.0,1004.8,1006.2,10.3,13.3,No,Yes,1,9,2008
63,129901,2008-09-02,Hobart,7.3,12.6,1.6,NNW,74.0,N,SW,31.0,28.0,70.0,32.0,1013.5,1021.7,8.5,9.9,Yes,No,2,9,2008
64,129902,2008-09-03,Hobart,2.4,14.0,0.0,NNW,33.0,N,ESE,15.0,13.0,60.0,47.0,1036.7,1036.2,8.0,10.9,No,No,3,9,2008
65,129903,2008-09-04,Hobart,2.2,15.4,0.0,NNW,31.0,NNW,NNW,17.0,9.0,66.0,32.0,1037.5,1032.9,6.9,15.0,No,No,4,9,2008
66,129904,2008-09-05,Hobart,4.6,17.2,0.0,NW,39.0,N,NNW,15.0,15.0,55.0,36.0,1027.1,1021.7,9.3,15.3,No,No,5,9,2008
67,129905,2008-09-06,Hobart,6.0,19.2,0.0,NW,37.0,NNW,WNW,17.0,19.0,57.0,28.0,1020.6,1016.0,10.9,18.9,No,No,6,9,2008
68,129906,2008-09-07,Hobart,9.3,16.1,0.0,NW,50.0,NNE,SW,7.0,11.0,68.0,60.0,1012.7,1012.8,10.9,10.7,No,No,7,9,2008
69,129907,2008-09-08,Hobart,4.8,10.6,0.4,SSW,52.0,SSW,SSE,19.0,20.0,58.0,58.0,1023.2,1024.0,7.4,9.1,No,No,8,9,2008
70,129908,2008-09-09,Hobart,3.4,12.1,0.8,SSW,31.0,S,E,7.0,9.0,46.0,52.0,1025.7,1023.0,10.3,10.5,No,No,9,9,2008
71,129909,2008-09-10,Hobart,4.2,16.1,0.0,SSW,28.0,NNW,NNW,17.0,13.0,66.0,48.0,1019.3,1015.6,10.1,15.0,No,No,10,9,2008
72,129910,2008-09-11,Hobart,5.8,20.0,0.8,NNW,52.0,N,NNE,28.0,20.0,51.0,43.0,1010.8,1005.9,10.3,18.2,No,No,11,9,2008
73,129911,2008-09-12,Hobart,10.2,18.9,0.8,NW,87.0,NNW,NNW,15.0,39.0,75.0,43.0,999.7,993.7,11.7,18.4,No,Yes,12,9,2008
74,129912,2008-09-13,Hobart,10.9,21.0,2.2,NW,93.0,NW,NW,33.0,54.0,50.0,38.0,997.8,995.4,15.4,20.0,Yes,No,13,9,2008
75,129913,2008-09-14,Hobart,12.8,20.0,0.0,NNW,87.0,NNW,NW,43.0,31.0,44.0,46.0,986.3,989.3,19.5,14.9,No,No,14,9,2008
76,129914,2008-09-15,Hobart,7.5,16.0,0.4,NNW,83.0,NNW,NNW,43.0,39.0,48.0,31.0,988.0,984.0,14.7,15.5,No,Yes,15,9,2008
77,129915,2008-09-16,Hobart,7.4,11.1,1.4,SW,59.0,WNW,WSW,15.0,13.0,60.0,60.0,1004.5,1012.6,8.0,8.4,Yes,No,16,9,2008
78,129916,2008-09-17,Hobart,3.3,16.8,0.2,NW,43.0,NNW,NNW,20.0,17.0,55.0,37.0,1021.9,1018.1,10.0,16.5,No,No,17,9,2008
79,129917,2008-09-18,Hobart,5.0,18.7,0.0,,,NNW,NNE,15.0,20.0,49.0,42.0,1014.4,1007.9,12.3,17.6,No,No,18,9,2008
80,129918,2008-09-19,Hobart,10.0,21.4,0.0,NW,67.0,N,N,20.0,22.0,42.0,36.0,1001.8,996.7,15.7,20.3,No,No,19,9,2008
81,129919,2008-09-20,Hobart,6.5,15.3,0.0,WNW,85.0,N,NNW,19.0,31.0,52.0,48.0,995.5,994.8,10.7,12.0,No,Yes,20,9,2008
82,129920,2008-09-21,Hobart,5.8,17.5,10.8,NW,98.0,NW,NW,39.0,50.0,51.0,36.0,1003.6,998.3,12.0,17.0,Yes,No,21,9,2008
83,129921,2008-09-22,Hobart,11.8,16.5,0.0,NW,80.0,NNW,SSE,37.0,7.0,50.0,88.0,992.1,994.7,15.9,8.9,No,Yes,22,9,2008
84,129922,2008-09-23,Hobart,5.8,14.4,1.2,W,70.0,WNW,W,22.0,22.0,39.0,38.0,1003.4,1007.7,11.1,12.8,Yes,No,23,9,2008
85,129923,2008-09-24,Hobart,7.6,16.8,0.2,NW,54.0,NW,WNW,22.0,20.0,58.0,39.0,1022.5,1021.9,11.5,15.5,No,No,24,9,2008
