,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,142304,2013-03-01,Katherine,24.7,34.6,0.0,WNW,43.0,NW,W,17.0,19.0,74.0,49.0,1008.5,1005.0,28.7,34.1,No,No,1,3,2013
1,142305,2013-03-02,Katherine,25.2,31.1,0.8,WNW,26.0,WNW,SW,11.0,7.0,88.0,77.0,1008.6,1004.1,27.0,29.0,No,No,2,3,2013
2,142306,2013-03-03,Katherine,25.4,35.9,0.0,S,48.0,WSW,SW,13.0,15.0,82.0,55.0,1004.1,999.6,29.2,35.1,No,Yes,3,3,2013
3,142307,2013-03-04,Katherine,21.6,33.0,81.0,W,37.0,NW,WNW,13.0,20.0,95.0,64.0,1005.1,1002.0,25.1,31.2,Yes,No,4,3,2013
4,142308,2013-03-05,Katherine,24.9,,0.0,NW,30.0,WNW,WNW,13.0,13.0,89.0,61.0,1007.1,1003.8,26.9,33.6,No,No,5,3,2013
5,142309,2013-03-06,Katherine,,35.9,0.0,NNE,46.0,NNW,WNW,19.0,13.0,,49.0,1008.0,1004.3,,35.0,No,No,6,3,2013
6,142310,2013-03-07,Katherine,24.5,35.7,0.0,NW,26.0,WNW,W,17.0,11.0,81.0,49.0,1008.4,1004.8,28.0,35.0,No,No,7,3,2013
7,142311,2013-03-08,Katherine,25.2,36.5,0.0,NNW,39.0,W,N,9.0,9.0,77.0,50.0,1009.3,1004.3,28.5,35.2,No,Yes,8,3,2013
8,142312,2013-03-09,Katherine,21.7,32.8,6.6,SSE,61.0,ESE,WNW,22.0,13.0,93.0,63.0,1009.8,1003.9,22.6,31.4,Yes,No,9,3,2013
9,142313,2013-03-10,Katherine,21.7,35.9,0.4,SSW,46.0,W,S,9.0,9.0,85.0,53.0,1007.7,1002.3,28.5,34.8,No,Yes,10,3,2013
10,142314,2013-03-11,Katherine,23.4,34.6,6.6,SSE,31.0,S,SSE,4.0,15.0,83.0,54.0,1007.1,1003.0,27.7,34.5,Yes,No,11,3,2013
11,142315,2013-03-12,Katherine,23.9,34.8,0.0,SSW,20.0,,S,0.0,9.0,87.0,47.0,1008.2,1003.6,26.8,34.0,No,No,12,3,2013
12,142316,2013-03-13,Katherine,23.2,37.3,0.0,NE,59.0,WNW,WNW,13.0,15.0,78.0,48.0,1007.8,1004.2,28.0,35.8,No,No,13,3,2013
13,142317,2013-03-14,Katherine,22.9,37.0,0.0,NW,30.0,NNW,WSW,13.0,13.0,76.0,55.0,1008.5,1004.9,27.0,35.2,No,No,14,3,2013
14,142318,2013-03-15,Katherine,25.1,37.5,0.0,E,74.0,WNW,W,20.0,11.0,77.0,47.0,1011.2,1007.2,29.5,36.2,No,No,15,3,2013
15,142319,2013-03-16,Katherine,23.4,37.4,1.0,SE,63.0,WNW,S,11.0,9.0,68.0,,1012.1,1008.1,29.0,36.1,No,Yes,16,3,2013
16,142320,2013-03-17,Katherine,23.0,36.8,3.2,ENE,24.0,NNW,E,9.0,9.0,75.0,38.0,1011.4,1007.7,28.2,36.0,Yes,No,17,3,2013
