,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,133031,2008-12-01,Launceston,9.5,17.9,3.4,WNW,57.0,WNW,NW,19.0,28.0,53.0,61.0,1000.6,1000.7,12.9,14.1,Yes,Yes,1,12,2008
1,133032,2008-12-02,Launceston,9.4,18.3,4.0,WNW,46.0,NW,NW,24.0,28.0,60.0,46.0,1001.4,1000.5,14.6,17.3,Yes,No,2,12,2008
2,133033,2008-12-03,Launceston,9.1,18.4,1.0,WSW,50.0,NW,WNW,17.0,24.0,62.0,37.0,1002.4,1004.2,13.7,16.5,No,No,3,12,2008
3,133034,2008-12-04,Launceston,2.2,19.4,0.0,NW,39.0,N,NW,7.0,19.0,56.0,41.0,1017.8,1014.6,10.8,18.1,No,Yes,4,12,2008
4,133035,2008-12-05,Launceston,9.6,19.8,4.6,NNW,39.0,SE,NNW,7.0,11.0,91.0,89.0,1008.7,1004.2,11.2,15.9,Yes,No,5,12,2008
5,133036,2008-12-06,Launceston,10.6,19.3,1.0,N,54.0,NNW,NNW,24.0,26.0,71.0,70.0,1003.8,1001.1,16.1,16.8,No,No,6,12,2008
6,133037,2008-12-07,Launceston,6.7,20.4,0.4,W,37.0,NNW,WNW,17.0,17.0,59.0,37.0,1005.5,1005.3,13.4,19.1,No,No,7,12,2008
7,133038,2008-12-08,Launceston,4.3,18.8,0.0,NW,43.0,NW,NNW,9.0,24.0,63.0,52.0,1011.8,1008.8,12.0,16.9,No,No,8,12,2008
8,133039,2008-12-09,Launceston,10.7,17.5,0.8,NNW,39.0,NNW,N,13.0,24.0,93.0,63.0,1005.4,1002.8,12.6,16.3,No,No,9,12,2008
9,133040,2008-12-10,Launceston,5.0,19.7,0.0,NNW,37.0,SSE,NW,15.0,11.0,46.0,27.0,1013.3,1012.0,12.9,18.6,No,No,10,12,2008
10,133041,2008-12-11,Launceston,7.0,21.8,0.0,NW,37.0,SE,NNW,7.0,19.0,63.0,41.0,1017.0,1014.9,14.7,21.0,No,No,11,12,2008
11,133042,2008-12-12,Launceston,8.3,22.8,0.0,SE,65.0,SE,NNE,7.0,19.0,55.0,44.0,1014.0,1008.7,16.7,22.2,No,Yes,12,12,2008
12,133043,2008-12-13,Launceston,14.9,15.4,13.6,SSE,74.0,SSE,SSE,22.0,39.0,85.0,80.0,997.7,996.0,15.3,14.5,Yes,Yes,13,12,2008
13,133044,2008-12-14,Launceston,12.7,18.6,15.0,S,56.0,SSE,SSE,30.0,28.0,65.0,58.0,1003.6,1005.3,14.9,17.9,Yes,No,14,12,2008
14,133045,2008-12-15,Launceston,5.5,19.8,0.0,NW,44.0,W,NNW,4.0,28.0,67.0,62.0,1008.4,1005.3,12.6,18.4,No,No,15,12,2008
15,133046,2008-12-16,Launceston,11.4,19.8,0.0,NNW,43.0,NNW,NNW,15.0,22.0,62.0,77.0,1006.9,1006.3,16.8,16.1,No,No,16,12,2008
16,133047,2008-12-17,Launceston,6.2,20.4,0.2,NNW,33.0,ESE,NW,11.0,20.0,61.0,49.0,1010.5,1008.2,14.8,19.3,No,No,17,12,2008
17,133048,2008-12-18,Launceston,9.6,19.1,0.0,NNW,37.0,WNW,NW,9.0,20.0,58.0,51.0,1005.6,1001.3,14.6,17.8,No,Yes,18,12,2008
18,133049,2008-12-19,Launceston,10.1,21.0,2.0,S,46.0,SSE,S,30.0,19.0,46.0,37.0,1008.5,1011.1,13.7,19.7,Yes,No,19,12,2008
19,133050,2008-12-20,Launceston,6.6,22.6,0.0,NNW,35.0,NNW,NW,9.0,17.0,75.0,54.0,1018.9,1016.8,15.2,21.8,No,No,20,12,2008
20,133051,2008-12-21,Launceston,11.4,23.4,0.0,NW,35.0,NW,NW,11.0,22.0,80.0,51.0,1019.5,1016.3,15.9,22.3,No,No,21,12,2008
21,133052,2008-12-22,Launceston,13.1,26.3,0.0,NW,46.0,NE,NW,4.0,17.0,64.0,62.0,1009.5,1003.9,18.7,21.4,No,No,22,12,2008
22,133053,2008-12-23,Launceston,11.1,27.7,0.2,N,48.0,SE,S,7.0,11.0,63.0,24.0,1009.2,1008.6,19.3,26.4,No,No,23,12,2008
23,133054,2008-12-24,Launceston,13.1,21.9,0.0,NW,41.0,W,NW,6.0,17.0,75.0,52.0,1015.3,1011.5,15.0,19.6,No,Yes,24,12,2008
24,133055,2008-12-25,Launceston,12.3,24.3,1.2,N,39.0,S,N,7.0,17.0,71.0,33.0,1013.4,1011.2,15.3,23.7,Yes,No,25,12,2008
25,133056,2008-12-26,Launceston,10.4,21.4,0.0,NW,41.0,WNW,NW,11.0,24.0,76.0,67.0,1011.1,1009.2,15.4,17.4,No,No,26,12,2008
26,133057,2008-12-27,Launceston,9.4,25.3,0.2,NW,50.0,SE,NNW,6.0,28.0,75.0,50.0,1004.6,999.6,15.4,24.2,No,No,27,12,2008
27,133058,2008-12-28,Launceston,15.3,21.8,0.0,NNW,52.0,NNW,NNW,28.0,30.0,74.0,81.0,998.1,996.0,17.3,17.8,No,No,28,12,2008
28,133059,2008-12-29,Launceston,10.5,20.0,0.2,WNW,43.0,NW,NNW,19.0,26.0,52.0,47.0,1001.1,1000.6,14.8,19.2,No,Yes,29,12,2008
29,133060,2008-12-30,Launceston,11.3,22.5,6.6,NNW,48.0,NNW,W,13.0,26.0,92.0,45.0,992.8,991.5,14.3,19.6,Yes,No,30,12,2008
30,133061,2008-12-31,Launceston,9.2,20.1,0.2,WNW,44.0,NW,WNW,13.0,24.0,53.0,37.0,997.2,996.6,12.8,18.4,No,No,31,12,2008
31,133062,2009-01-01,Launceston,12.6,19.6,0.0,WNW,54.0,WNW,WNW,20.0,24.0,48.0,33.0,994.3,997.1,16.0,18.5,No,No,1,1,2009
32,133063,2009-01-02,Launceston,5.8,19.9,0.0,S,39.0,SW,SSW,6.0,19.0,51.0,36.0,1010.7,1012.7,12.7,18.0,No,No,2,1,2009
33,133064,2009-01-03,Launceston,5.5,20.3,0.0,NNW,35.0,ENE,NW,2.0,20.0,64.0,50.0,1018.6,1015.5,10.6,18.5,No,No,3,1,2009
34,133065,2009-01-04,Launceston,9.4,22.0,0.0,NW,43.0,WNW,NNW,9.0,28.0,66.0,51.0,1015.2,1011.8,15.9,20.8,No,No,4,1,2009
35,133066,2009-01-05,Launceston,12.5,21.5,0.0,N,50.0,NNW,N,22.0,28.0,62.0,58.0,1008.5,1004.9,16.1,19.7,No,No,5,1,2009
36,133067,2009-01-06,Launceston,16.0,23.8,0.0,NNW,54.0,NNW,NNW,28.0,33.0,68.0,63.0,1004.7,1002.4,19.3,22.8,No,No,6,1,2009
37,133068,2009-01-07,Launceston,10.3,22.1,0.0,NNW,54.0,NNW,NNW,17.0,28.0,72.0,48.0,1006.7,1004.1,15.1,20.5,No,No,7,1,2009
38,133069,2009-01-08,Launceston,8.5,21.6,0.0,WSW,43.0,WSW,WSW,17.0,22.0,45.0,29.0,1011.5,1013.1,13.8,20.1,No,No,8,1,2009
39,133070,2009-01-09,Launceston,5.2,22.2,0.0,NW,33.0,SSE,NNW,11.0,13.0,48.0,38.0,1021.0,1018.3,13.7,20.2,No,No,9,1,2009
40,133071,2009-01-10,Launceston,11.9,23.8,0.0,N,39.0,NW,N,7.0,22.0,69.0,48.0,1015.0,1011.2,16.3,21.9,No,No,10,1,2009
41,133072,2009-01-11,Launceston,11.2,23.3,0.0,WNW,44.0,NNW,NW,6.0,24.0,81.0,36.0,1010.0,1007.3,16.0,22.0,No,No,11,1,2009
42,133073,2009-01-12,Launceston,10.6,26.0,0.0,NW,39.0,NW,NW,11.0,20.0,67.0,31.0,1015.8,1015.3,16.0,24.6,No,No,12,1,2009
43,133074,2009-01-13,Launceston,12.0,24.6,0.0,NW,43.0,NW,NW,11.0,24.0,70.0,58.0,1016.2,1011.9,17.3,22.2,No,No,13,1,2009
44,133075,2009-01-14,Launceston,13.6,32.7,0.0,NNW,41.0,N,NW,9.0,26.0,67.0,38.0,1003.8,1003.4,21.6,30.1,No,No,14,1,2009
45,133076,2009-01-15,Launceston,15.5,24.0,0.0,NNW,56.0,NW,WNW,15.0,24.0,73.0,34.0,1006.5,1006.9,17.3,22.8,No,No,15,1,2009
46,133077,2009-01-16,Launceston,10.9,19.6,0.0,W,54.0,WNW,W,20.0,26.0,47.0,36.0,1006.7,1009.4,14.3,19.0,No,No,16,1,2009
47,133078,2009-01-17,Launceston,6.6,22.3,0.0,N,41.0,WSW,NNW,6.0,22.0,56.0,40.0,1021.7,1019.6,13.5,19.7,No,No,17,1,2009
48,133079,2009-01-18,Launceston,8.9,25.4,0.0,NNW,37.0,NNW,NW,9.0,15.0,74.0,43.0,1018.5,1015.4,15.6,25.4,No,No,18,1,2009
49,133080,2009-01-19,Launceston,13.6,26.9,0.0,NW,33.0,NNW,NNW,15.0,22.0,73.0,39.0,1013.8,1010.7,17.1,26.4,No,No,19,1,2009
