,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,64191,2009-01-01,MelbourneAirport,11.2,19.9,0.0,SW,69.0,W,SW,33.0,43.0,55.0,37.0,1005.1,1006.4,15.9,18.1,No,Yes,1,1,2009
1,64192,2009-01-02,MelbourneAirport,7.8,17.8,1.2,SSE,56.0,SW,SSE,31.0,26.0,50.0,43.0,1018.0,1019.3,12.5,15.8,Yes,No,2,1,2009
2,64193,2009-01-03,MelbourneAirport,6.3,21.1,0.0,SSE,31.0,E,S,13.0,19.0,51.0,35.0,1020.8,1017.6,13.4,19.6,No,No,3,1,2009
3,64194,2009-01-04,MelbourneAirport,8.1,29.2,0.0,SSE,35.0,NE,SSE,2.0,20.0,67.0,23.0,1016.2,1012.8,16.0,28.2,No,No,4,1,2009
4,64195,2009-01-05,MelbourneAirport,9.7,29.0,0.0,SE,33.0,SW,SSE,9.0,20.0,51.0,31.0,1011.9,1010.3,19.4,27.1,No,No,5,1,2009
5,64196,2009-01-06,MelbourneAirport,13.5,31.7,0.0,SSE,50.0,NNE,S,11.0,28.0,50.0,34.0,1010.7,1007.7,21.3,29.8,No,No,6,1,2009
6,64197,2009-01-07,MelbourneAirport,15.8,21.4,0.2,S,46.0,SSW,SSE,17.0,28.0,98.0,67.0,1010.0,1009.9,16.0,19.9,No,No,7,1,2009
7,64198,2009-01-08,MelbourneAirport,9.7,18.4,0.2,SE,56.0,SSW,SSE,28.0,35.0,51.0,42.0,1017.4,1018.9,14.5,17.7,No,No,8,1,2009
8,64199,2009-01-09,MelbourneAirport,10.2,19.7,0.0,S,43.0,SSE,S,19.0,28.0,51.0,42.0,1021.4,1018.0,14.2,19.3,No,No,9,1,2009
9,64200,2009-01-10,MelbourneAirport,10.7,23.6,0.0,S,43.0,WSW,S,7.0,24.0,76.0,46.0,1013.8,1010.3,14.5,21.8,No,No,10,1,2009
10,64201,2009-01-11,MelbourneAirport,10.7,23.5,0.0,S,41.0,SW,SSE,9.0,17.0,77.0,52.0,1012.0,1009.7,14.8,23.0,No,No,11,1,2009
11,64202,2009-01-12,MelbourneAirport,10.4,25.1,0.0,SSE,26.0,SSW,SE,11.0,17.0,73.0,47.0,1018.6,1017.4,15.3,22.4,No,No,12,1,2009
12,64203,2009-01-13,MelbourneAirport,11.5,37.1,0.0,N,52.0,N,NNW,35.0,22.0,39.0,12.0,1013.8,1010.0,25.0,35.1,No,No,13,1,2009
13,64204,2009-01-14,MelbourneAirport,24.9,33.5,0.0,N,57.0,N,S,35.0,24.0,12.0,45.0,1007.5,1009.4,31.2,24.8,No,No,14,1,2009
14,64205,2009-01-15,MelbourneAirport,13.8,23.1,0.0,SW,44.0,SW,SE,28.0,22.0,56.0,44.0,1015.8,1014.5,16.5,21.4,No,No,15,1,2009
