,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,70393,2009-01-01,Mildura,13.8,27.4,0.0,SSW,56.0,SW,WSW,17.0,31.0,51.0,24.0,1009.8,1008.5,19.2,26.0,No,No,1,1,2009
1,70394,2009-01-02,Mildura,8.9,24.8,0.0,S,39.0,SSE,SSE,24.0,15.0,39.0,21.0,1019.8,1017.7,14.1,23.3,No,No,2,1,2009
2,70395,2009-01-03,Mildura,10.6,28.6,0.0,ESE,30.0,E,SW,20.0,9.0,39.0,18.0,1019.2,1016.0,17.0,27.1,No,No,3,1,2009
3,70396,2009-01-04,Mildura,13.2,34.5,0.0,NNW,26.0,E,NW,9.0,17.0,24.0,9.0,1014.2,1012.1,24.1,32.8,No,No,4,1,2009
4,70397,2009-01-05,Mildura,16.5,37.3,0.0,WSW,37.0,SSE,WNW,11.0,13.0,37.0,7.0,1013.7,1010.8,23.7,35.6,No,No,5,1,2009
5,70398,2009-01-06,Mildura,15.7,39.2,0.0,W,37.0,SSE,W,9.0,15.0,34.0,6.0,1011.8,1007.7,23.3,37.8,No,No,6,1,2009
6,70399,2009-01-07,Mildura,17.0,32.3,0.0,WSW,48.0,SSW,SW,11.0,26.0,67.0,22.0,1010.0,1008.7,19.9,31.5,No,No,7,1,2009
7,70400,2009-01-08,Mildura,12.9,27.3,0.0,SSE,46.0,SSE,SSW,24.0,17.0,50.0,20.0,1018.3,1017.0,16.1,24.7,No,No,8,1,2009
8,70401,2009-01-09,Mildura,12.3,27.8,0.0,SE,35.0,SE,ESE,20.0,17.0,43.0,14.0,1019.1,1014.8,15.7,26.4,No,No,9,1,2009
9,70402,2009-01-10,Mildura,12.7,32.2,0.0,SW,52.0,SSE,SE,13.0,11.0,35.0,11.0,1010.9,1008.0,19.1,30.4,No,No,10,1,2009
10,70403,2009-01-11,Mildura,15.4,33.4,0.0,WSW,56.0,SW,SW,11.0,17.0,53.0,14.0,1010.0,1008.9,18.5,32.0,No,No,11,1,2009
11,70404,2009-01-12,Mildura,15.3,34.4,0.0,SSE,50.0,SSE,S,17.0,20.0,40.0,9.0,1016.6,1013.9,19.7,33.0,No,No,12,1,2009
12,70405,2009-01-13,Mildura,17.7,40.4,0.0,N,35.0,NE,N,13.0,6.0,22.0,9.0,1012.7,1009.4,28.0,38.7,No,No,13,1,2009
13,70406,2009-01-14,Mildura,22.3,42.4,0.0,W,41.0,N,WNW,11.0,20.0,13.0,7.0,1009.1,1007.6,31.4,41.4,No,No,14,1,2009
14,70407,2009-01-15,Mildura,16.4,29.7,0.0,S,52.0,S,SSW,24.0,20.0,51.0,23.0,1016.8,1015.8,18.4,25.9,No,No,15,1,2009
15,70408,2009-01-16,Mildura,12.8,29.8,0.0,SSW,48.0,S,SSW,24.0,20.0,53.0,21.0,1021.3,1018.3,16.8,27.6,No,No,16,1,2009
16,70409,2009-01-17,Mildura,12.0,28.6,0.0,SSE,43.0,SE,SSE,17.0,20.0,45.0,15.0,1022.8,1019.5,15.5,25.7,No,No,17,1,2009
17,70410,2009-01-18,Mildura,15.4,32.7,0.0,SE,28.0,SE,SE,15.0,13.0,30.0,12.0,1019.0,1016.0,19.6,30.0,No,No,18,1,2009
18,70411,2009-01-19,Mildura,17.2,39.0,0.0,WNW,26.0,NNE,N,9.0,9.0,24.0,8.0,1012.5,1008.8,27.2,36.8,No,No,19,1,2009
19,70412,2009-01-20,Mildura,20.1,42.3,0.0,NW,46.0,NNE,NW,9.0,20.0,19.0,4.0,1007.1,1005.2,28.7,41.3,No,No,20,1,2009
20,70413,2009-01-21,Mildura,19.2,36.7,0.0,WNW,54.0,SSE,WNW,4.0,11.0,44.0,18.0,1010.7,1007.0,23.2,34.5,No,No,21,1,2009
21,70414,2009-01-22,Mildura,22.9,38.3,0.8,W,78.0,NW,WNW,28.0,31.0,63.0,8.0,1002.8,1000.8,27.6,37.1,No,No,22,1,2009
22,70415,2009-01-23,Mildura,14.8,36.4,0.0,WNW,41.0,S,WNW,13.0,15.0,41.0,24.0,1008.3,1003.8,19.7,33.3,No,No,23,1,2009
23,70416,2009-01-24,Mildura,18.6,30.3,0.0,SW,39.0,SSW,SSW,22.0,13.0,53.0,24.0,1011.5,1011.9,19.9,27.1,No,No,24,1,2009
24,70417,2009-01-25,Mildura,14.7,34.7,0.0,ESE,30.0,SE,SSE,11.0,9.0,36.0,12.0,1017.3,1015.8,19.8,32.4,No,No,25,1,2009
25,70418,2009-01-26,Mildura,17.7,38.0,0.0,SE,35.0,SE,ESE,19.0,17.0,38.0,9.0,1018.6,1016.1,22.2,35.7,No,No,26,1,2009
26,70419,2009-01-27,Mildura,19.6,41.5,0.0,SE,26.0,E,E,15.0,11.0,28.0,8.0,1014.9,1011.9,25.9,40.0,No,No,27,1,2009
27,70420,2009-01-28,Mildura,25.3,43.7,0.0,NNW,50.0,N,NNW,24.0,13.0,23.0,14.0,1011.0,1008.4,34.6,42.4,No,No,28,1,2009
28,70421,2009-01-29,Mildura,25.6,42.8,0.0,NNE,44.0,N,N,19.0,19.0,22.0,11.0,1011.9,1009.7,34.2,42.3,No,No,29,1,2009
29,70422,2009-01-30,Mildura,24.8,43.3,0.0,N,35.0,N,SSW,17.0,11.0,18.0,12.0,1011.5,1008.7,33.9,41.9,No,No,30,1,2009
30,70423,2009-01-31,Mildura,26.7,44.1,0.0,NNE,33.0,N,NNE,11.0,9.0,20.0,9.0,1011.8,1009.2,32.6,42.4,No,No,31,1,2009
31,70424,2009-02-01,Mildura,24.6,42.9,0.0,SSE,33.0,ESE,NNW,15.0,13.0,42.0,11.0,1012.3,1009.3,28.1,41.5,No,No,1,2,2009
32,70425,2009-02-02,Mildura,24.6,42.6,0.0,SSE,24.0,S,S,9.0,20.0,50.0,13.0,1009.8,1007.0,26.5,41.6,No,No,2,2,2009
33,70426,2009-02-03,Mildura,24.8,40.1,0.0,SSW,31.0,SSE,SE,17.0,11.0,46.0,22.0,1009.5,1006.1,27.5,38.2,No,No,3,2,2009
34,70427,2009-02-04,Mildura,22.5,40.9,0.0,NNW,35.0,S,NW,9.0,19.0,37.0,13.0,1007.0,1003.7,27.7,39.6,No,No,4,2,2009
35,70428,2009-02-05,Mildura,20.1,41.1,0.0,S,44.0,SSW,S,13.0,19.0,41.0,12.0,1006.4,1004.5,25.4,39.5,No,No,5,2,2009
36,70429,2009-02-06,Mildura,22.5,43.1,0.0,S,33.0,ENE,NNW,11.0,15.0,38.0,12.0,1008.4,1005.2,27.5,41.4,No,No,6,2,2009
37,70430,2009-02-07,Mildura,26.1,46.7,0.0,NNW,56.0,NNE,NW,24.0,31.0,11.0,10.0,1004.4,1002.9,36.4,46.1,No,No,7,2,2009
38,70431,2009-02-08,Mildura,22.2,34.6,0.0,SSW,44.0,S,S,19.0,17.0,44.0,22.0,1011.0,1010.3,23.3,33.5,No,No,8,2,2009
39,70432,2009-02-09,Mildura,14.8,26.6,0.0,SSE,46.0,SSE,S,30.0,24.0,49.0,19.0,1016.7,1014.5,16.3,24.1,No,No,9,2,2009
40,70433,2009-02-10,Mildura,12.0,24.5,0.0,SSE,48.0,SSE,S,22.0,24.0,49.0,19.0,1018.7,1016.4,14.4,22.2,No,No,10,2,2009
41,70434,2009-02-11,Mildura,10.2,24.6,0.0,S,52.0,S,S,24.0,28.0,57.0,20.0,1020.1,1017.3,13.3,22.8,No,No,11,2,2009
42,70435,2009-02-12,Mildura,10.8,27.3,0.0,SSE,48.0,S,SSE,22.0,24.0,60.0,22.0,1019.9,1016.8,13.4,24.7,No,No,12,2,2009
43,70436,2009-02-13,Mildura,13.3,26.9,0.0,ESE,50.0,SE,ESE,24.0,28.0,54.0,35.0,1020.6,1018.6,17.2,25.0,No,No,13,2,2009
44,70437,2009-02-14,Mildura,17.0,30.3,0.0,ENE,39.0,ENE,SE,22.0,24.0,46.0,29.0,1020.4,1017.3,20.1,28.0,No,No,14,2,2009
45,70438,2009-02-15,Mildura,17.3,31.1,0.0,S,33.0,SW,SSE,4.0,15.0,51.0,20.0,1015.3,1013.3,19.1,30.4,No,No,15,2,2009
46,70439,2009-02-16,Mildura,18.5,32.4,0.0,ESE,43.0,SE,ESE,13.0,24.0,45.0,21.0,1015.7,1013.2,23.0,30.8,No,No,16,2,2009
47,70440,2009-02-17,Mildura,18.2,33.2,0.0,ESE,41.0,NE,ESE,19.0,26.0,47.0,19.0,1013.8,1011.8,23.5,31.2,No,No,17,2,2009
48,70441,2009-02-18,Mildura,15.4,32.6,0.0,ESE,31.0,E,SSE,7.0,19.0,48.0,23.0,1011.6,1008.6,23.3,30.8,No,No,18,2,2009
49,70442,2009-02-19,Mildura,16.7,36.2,0.0,SW,50.0,NNW,WNW,7.0,19.0,36.0,14.0,1008.7,1007.1,24.7,35.1,No,No,19,2,2009
50,70443,2009-02-20,Mildura,18.3,30.2,0.0,SW,33.0,SW,SSW,17.0,19.0,69.0,28.0,1014.8,1013.6,18.5,27.3,No,No,20,2,2009
51,70444,2009-02-21,Mildura,14.3,28.8,0.0,S,43.0,S,S,17.0,22.0,57.0,28.0,1018.4,1015.4,17.1,26.7,No,No,21,2,2009
52,70445,2009-02-22,Mildura,13.8,30.9,0.0,SSE,33.0,SE,WNW,13.0,11.0,63.0,22.0,1016.5,1013.5,17.4,28.8,No,No,22,2,2009
53,70446,2009-02-23,Mildura,14.2,36.4,0.0,W,57.0,N,WNW,9.0,24.0,29.0,8.0,1012.5,1010.6,22.4,35.3,No,No,23,2,2009
54,70447,2009-02-24,Mildura,11.9,28.6,0.0,S,41.0,SE,SE,17.0,20.0,52.0,15.0,1018.9,1016.6,14.6,26.0,No,No,24,2,2009
