,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,12067,2009-01-01,Moree,16.4,38.7,0.0,NW,54.0,N,WNW,15.0,28.0,27.0,11.0,1005.5,1003.3,28.9,37.4,No,No,1,1,2009
1,12068,2009-01-02,Moree,22.3,30.3,0.0,NNE,30.0,NNE,N,19.0,15.0,68.0,40.0,1009.5,1009.0,25.2,29.4,No,No,2,1,2009
2,12069,2009-01-03,Moree,21.2,33.3,0.0,ENE,46.0,ENE,ENE,22.0,22.0,57.0,31.0,1014.9,1012.2,24.5,32.7,No,No,3,1,2009
3,12070,2009-01-04,Moree,16.4,33.5,0.0,ENE,39.0,NE,ENE,20.0,20.0,51.0,28.0,1016.9,1012.2,22.9,31.9,No,No,4,1,2009
4,12071,2009-01-05,Moree,19.2,34.5,0.0,SE,35.0,ENE,S,19.0,11.0,44.0,22.0,1015.1,1010.6,24.2,32.9,No,No,5,1,2009
5,12072,2009-01-06,Moree,21.3,36.8,0.0,SSE,33.0,NNE,NE,24.0,9.0,54.0,26.0,1013.6,1009.1,25.4,34.6,No,No,6,1,2009
6,12073,2009-01-07,Moree,22.2,34.5,0.0,NNE,39.0,NNE,N,26.0,7.0,56.0,23.0,1012.7,1008.5,25.2,32.5,No,No,7,1,2009
7,12074,2009-01-08,Moree,23.7,36.4,0.0,ENE,46.0,NNE,ENE,24.0,9.0,46.0,31.0,1009.6,1007.0,26.3,34.3,No,No,8,1,2009
8,12075,2009-01-09,Moree,20.4,34.3,0.0,SSW,69.0,E,SE,26.0,7.0,53.0,31.0,1011.2,1008.0,26.3,32.1,No,Yes,9,1,2009
9,12076,2009-01-10,Moree,16.0,32.1,9.2,SW,76.0,,N,,9.0,51.0,29.0,1012.0,1007.3,21.1,30.4,Yes,Yes,10,1,2009
10,12077,2009-01-11,Moree,18.2,33.0,3.4,SW,76.0,NNE,NNE,24.0,13.0,56.0,37.0,1011.2,1008.0,22.5,30.3,Yes,No,11,1,2009
