,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,99513,2008-12-01,MountGambier,6.6,18.7,4.0,WNW,61.0,WNW,WNW,20.0,30.0,73.0,39.0,1009.4,1008.9,13.4,17.8,Yes,No,1,12,2008
1,99514,2008-12-02,MountGambier,8.9,18.1,0.0,W,50.0,NW,WNW,17.0,31.0,74.0,49.0,1009.8,1008.9,14.4,16.2,No,No,2,12,2008
2,99515,2008-12-03,MountGambier,10.1,19.3,1.0,WSW,43.0,WSW,SW,20.0,24.0,73.0,47.0,1011.9,1013.9,13.6,18.2,No,No,3,12,2008
3,99516,2008-12-04,MountGambier,5.9,21.2,0.0,NNE,50.0,ENE,NNE,17.0,26.0,69.0,39.0,1014.8,1009.5,13.7,20.5,No,Yes,4,12,2008
4,99517,2008-12-05,MountGambier,13.6,19.3,12.8,WNW,63.0,NW,WNW,24.0,39.0,86.0,65.0,1005.7,1006.9,16.1,18.7,Yes,No,5,12,2008
5,99518,2008-12-06,MountGambier,12.7,19.6,0.6,W,57.0,NW,W,26.0,39.0,81.0,46.0,1008.9,1008.7,15.7,18.5,No,No,6,12,2008
6,99519,2008-12-07,MountGambier,10.2,16.8,0.0,SW,39.0,WSW,SSW,11.0,26.0,65.0,46.0,1015.3,1014.6,12.6,16.4,No,No,7,12,2008
7,99520,2008-12-08,MountGambier,11.1,21.0,0.0,SSW,35.0,WNW,SSW,15.0,26.0,51.0,42.0,1015.3,1011.0,13.9,20.4,No,No,8,12,2008
8,99521,2008-12-09,MountGambier,6.9,16.5,0.4,SSE,33.0,S,N,22.0,15.0,87.0,91.0,1006.9,1007.8,11.1,13.1,No,Yes,9,12,2008
9,99522,2008-12-10,MountGambier,7.5,19.9,4.2,SSE,50.0,SE,SSE,20.0,35.0,58.0,43.0,1014.2,1012.2,14.9,19.3,Yes,No,10,12,2008
10,99523,2008-12-11,MountGambier,6.2,25.8,0.0,ESE,35.0,ESE,E,26.0,15.0,56.0,25.0,1014.8,1010.3,14.7,24.7,No,No,11,12,2008
11,99524,2008-12-12,MountGambier,13.6,15.4,0.8,SSE,59.0,NNE,E,7.0,22.0,85.0,93.0,1005.2,1000.3,15.2,13.5,No,Yes,12,12,2008
12,99525,2008-12-13,MountGambier,11.4,14.9,78.8,SSE,63.0,S,SSW,37.0,33.0,86.0,74.0,1002.3,1005.8,11.9,13.6,Yes,Yes,13,12,2008
13,99526,2008-12-14,MountGambier,11.0,15.9,2.0,SSW,41.0,S,S,24.0,22.0,69.0,61.0,1011.4,1012.5,13.0,15.8,Yes,No,14,12,2008
14,99527,2008-12-15,MountGambier,10.6,19.9,0.0,WSW,46.0,WSW,W,17.0,30.0,61.0,50.0,1014.4,1012.3,13.2,19.6,No,No,15,12,2008
15,99528,2008-12-16,MountGambier,11.4,19.3,0.4,SW,43.0,NW,WSW,15.0,22.0,89.0,72.0,1013.6,1012.6,14.1,18.4,No,Yes,16,12,2008
16,99529,2008-12-17,MountGambier,12.4,19.7,6.0,SSE,31.0,ESE,ESE,15.0,15.0,87.0,64.0,1012.8,1009.1,14.5,18.5,Yes,No,17,12,2008
17,99530,2008-12-18,MountGambier,10.4,19.1,0.0,WSW,50.0,,WSW,0.0,33.0,63.0,58.0,1008.0,1008.8,15.2,16.2,No,No,18,12,2008
18,99531,2008-12-19,MountGambier,8.9,18.5,0.6,SSW,41.0,S,S,28.0,26.0,46.0,45.0,1017.9,1018.4,15.4,18.0,No,No,19,12,2008
19,99532,2008-12-20,MountGambier,6.2,24.9,0.0,S,33.0,E,SSE,20.0,11.0,63.0,39.0,1021.5,1017.8,15.5,24.0,No,No,20,12,2008
20,99533,2008-12-21,MountGambier,11.3,30.2,0.0,NNE,41.0,NNE,N,20.0,19.0,38.0,18.0,1014.6,1010.2,22.0,28.2,No,No,21,12,2008
21,99534,2008-12-22,MountGambier,18.2,20.6,0.0,N,54.0,WNW,W,30.0,30.0,71.0,64.0,1006.1,1007.2,18.2,19.8,No,No,22,12,2008
22,99535,2008-12-23,MountGambier,13.7,20.5,0.0,S,33.0,S,S,20.0,19.0,61.0,51.0,1016.2,1015.3,15.6,19.0,No,No,23,12,2008
23,99536,2008-12-24,MountGambier,6.6,25.4,0.0,WSW,46.0,NE,WNW,17.0,28.0,57.0,35.0,1013.5,1011.8,16.2,24.8,No,No,24,12,2008
24,99537,2008-12-25,MountGambier,9.3,24.0,0.0,SSW,33.0,ESE,SSW,13.0,19.0,63.0,40.0,1015.9,1012.6,16.8,23.5,No,No,25,12,2008
25,99538,2008-12-26,MountGambier,11.2,25.8,0.0,SSW,30.0,SSW,SSW,13.0,13.0,68.0,45.0,1010.8,1008.1,18.4,24.8,No,No,26,12,2008
26,99539,2008-12-27,MountGambier,12.9,22.8,0.0,W,39.0,SW,WSW,15.0,22.0,66.0,50.0,1007.6,1005.6,18.0,21.6,No,No,27,12,2008
27,99540,2008-12-28,MountGambier,13.3,20.6,0.0,WNW,56.0,NW,WSW,24.0,28.0,89.0,59.0,1004.6,1004.3,16.2,20.1,No,No,28,12,2008
28,99541,2008-12-29,MountGambier,10.7,19.1,0.8,W,48.0,WSW,W,28.0,30.0,45.0,49.0,1010.5,1009.8,16.2,17.9,No,Yes,29,12,2008
29,99542,2008-12-30,MountGambier,13.2,18.8,6.0,W,59.0,WSW,W,30.0,39.0,60.0,50.0,1006.2,1006.6,16.4,17.4,Yes,No,30,12,2008
30,99543,2008-12-31,MountGambier,12.2,19.6,0.0,W,52.0,WSW,WNW,24.0,31.0,64.0,51.0,1007.7,1006.3,14.6,18.6,No,No,31,12,2008
31,99544,2009-01-01,MountGambier,12.6,17.0,0.8,SW,56.0,SW,SW,28.0,35.0,66.0,43.0,1008.3,1011.6,14.3,16.6,No,No,1,1,2009
32,99545,2009-01-02,MountGambier,7.3,18.8,0.0,SSW,43.0,S,SSW,28.0,20.0,48.0,37.0,1020.6,1020.6,15.5,17.4,No,No,2,1,2009
33,99546,2009-01-03,MountGambier,4.0,22.6,0.0,SSW,43.0,E,SE,13.0,13.0,55.0,33.0,1020.5,1017.0,13.3,21.3,No,No,3,1,2009
34,99547,2009-01-04,MountGambier,6.2,25.3,0.0,SSW,33.0,SE,S,11.0,20.0,56.0,44.0,1016.2,1013.8,16.6,23.9,No,No,4,1,2009
35,99548,2009-01-05,MountGambier,6.2,23.1,0.0,WSW,37.0,SW,WNW,17.0,22.0,68.0,45.0,1014.8,1013.3,15.8,22.3,No,No,5,1,2009
36,99549,2009-01-06,MountGambier,12.7,24.7,0.0,WSW,43.0,NW,WSW,17.0,31.0,90.0,65.0,1011.9,1010.4,16.4,21.6,No,Yes,6,1,2009
37,99550,2009-01-07,MountGambier,13.7,21.2,1.4,SW,44.0,SSW,SW,19.0,26.0,89.0,41.0,1012.3,1013.0,14.8,19.9,Yes,No,7,1,2009
38,99551,2009-01-08,MountGambier,10.1,19.3,0.0,S,48.0,SW,S,26.0,31.0,42.0,44.0,1020.2,1021.1,17.1,17.5,No,No,8,1,2009
39,99552,2009-01-09,MountGambier,6.4,21.6,0.0,S,43.0,ESE,SSE,19.0,28.0,52.0,41.0,1021.7,1017.7,15.3,20.8,No,No,9,1,2009
40,99553,2009-01-10,MountGambier,9.0,22.5,0.0,S,46.0,SE,SSW,20.0,31.0,59.0,47.0,1014.0,1011.9,16.4,21.4,No,No,10,1,2009
41,99554,2009-01-11,MountGambier,7.7,22.6,0.0,SSW,39.0,S,SW,7.0,28.0,68.0,39.0,1013.3,1012.7,14.7,22.1,No,No,11,1,2009
42,99555,2009-01-12,MountGambier,14.0,27.2,0.0,S,33.0,S,S,2.0,19.0,71.0,45.0,1018.5,1016.0,18.1,26.0,No,No,12,1,2009
43,99556,2009-01-13,MountGambier,13.6,39.3,0.0,NNW,63.0,N,NW,28.0,37.0,24.0,8.0,1010.6,1006.3,26.6,38.2,No,No,13,1,2009
44,99557,2009-01-14,MountGambier,15.2,23.0,0.0,,,SSE,S,22.0,26.0,78.0,53.0,1012.1,1011.9,17.5,22.4,No,No,14,1,2009
45,99558,2009-01-15,MountGambier,11.8,22.1,0.0,WSW,46.0,WSW,SW,24.0,26.0,56.0,44.0,1016.8,1017.7,17.3,21.2,No,No,15,1,2009
46,99559,2009-01-16,MountGambier,13.3,19.9,0.0,SSW,46.0,SSW,SW,28.0,33.0,63.0,38.0,1021.5,1022.8,15.4,18.3,No,No,16,1,2009
47,99560,2009-01-17,MountGambier,6.8,23.1,0.0,SSW,35.0,ESE,SSW,15.0,24.0,50.0,37.0,1024.7,1022.6,16.2,22.6,No,No,17,1,2009
48,99561,2009-01-18,MountGambier,4.9,29.0,0.0,SSW,39.0,ESE,S,13.0,22.0,53.0,25.0,1021.3,1017.7,16.7,28.6,No,No,18,1,2009
49,99562,2009-01-19,MountGambier,9.7,33.7,0.0,W,43.0,N,SW,15.0,26.0,32.0,14.0,1011.7,1009.3,23.0,32.5,No,No,19,1,2009
50,99563,2009-01-20,MountGambier,12.3,30.2,0.0,WSW,48.0,SW,NNW,15.0,13.0,69.0,17.0,1007.2,1007.3,19.8,29.5,No,No,20,1,2009
51,99564,2009-01-21,MountGambier,9.0,25.7,0.0,WSW,43.0,NNW,W,13.0,26.0,72.0,40.0,1011.4,1007.7,17.6,24.3,No,No,21,1,2009
52,99565,2009-01-22,MountGambier,14.9,22.7,0.0,NW,80.0,NW,WNW,50.0,39.0,42.0,51.0,996.5,1000.2,22.7,19.1,No,No,22,1,2009
53,99566,2009-01-23,MountGambier,7.8,24.5,0.0,NW,54.0,N,NNW,22.0,31.0,60.0,31.0,1006.6,1002.8,15.6,23.3,No,Yes,23,1,2009
54,99567,2009-01-24,MountGambier,12.9,20.6,3.2,W,46.0,WSW,W,28.0,22.0,54.0,37.0,1010.5,1013.9,16.0,19.3,Yes,No,24,1,2009
55,99568,2009-01-25,MountGambier,5.7,24.6,0.0,S,37.0,NNW,SSW,9.0,13.0,65.0,39.0,1019.0,1018.2,15.6,23.2,No,No,25,1,2009
56,99569,2009-01-26,MountGambier,7.8,27.6,0.0,S,37.0,SE,S,15.0,26.0,74.0,44.0,1022.8,1019.4,18.3,26.6,No,No,26,1,2009
57,99570,2009-01-27,MountGambier,10.6,39.5,0.0,N,39.0,NNE,WSW,11.0,17.0,57.0,10.0,1015.6,1011.8,21.2,38.3,No,No,27,1,2009
58,99571,2009-01-28,MountGambier,21.1,43.6,0.0,N,48.0,N,SSW,24.0,30.0,13.0,13.0,1009.0,1007.4,32.4,38.6,No,No,28,1,2009
59,99572,2009-01-29,MountGambier,21.2,43.6,0.0,NW,69.0,NNW,NNW,26.0,39.0,23.0,12.0,1007.4,1007.5,35.2,40.1,No,No,29,1,2009
60,99573,2009-01-30,MountGambier,20.5,36.8,0.0,S,52.0,S,S,20.0,30.0,53.0,37.0,1011.1,1010.1,26.5,33.0,No,No,30,1,2009
61,99574,2009-01-31,MountGambier,17.5,32.4,0.0,SSE,54.0,S,SSE,26.0,28.0,65.0,48.0,1014.6,1014.6,24.0,29.0,No,No,31,1,2009
62,99575,2009-02-01,MountGambier,16.6,32.2,0.0,SSW,41.0,SSE,SSW,24.0,28.0,64.0,43.0,1016.1,1013.4,21.7,30.8,No,No,1,2,2009
