,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,52062,2008-12-01,MountGinini,5.2,13.0,0.4,,,,,,,,,,,,,No,No,1,12,2008
1,52063,2008-12-02,MountGinini,3.0,15.0,0.4,,,W,WNW,26.0,24.0,66.0,51.0,,,7.1,14.2,No,No,2,12,2008
2,52064,2008-12-03,MountGinini,6.0,15.0,0.0,,,W,W,33.0,30.0,58.0,50.0,,,9.8,14.2,No,No,3,12,2008
3,52065,2008-12-04,MountGinini,2.0,15.0,0.0,,,NNE,N,11.0,15.0,82.0,52.0,,,6.9,13.4,No,Yes,4,12,2008
4,52066,2008-12-05,MountGinini,8.0,17.8,3.0,,,,,,,,,,,,,Yes,No,5,12,2008
5,52067,2008-12-06,MountGinini,9.4,17.0,0.4,,,,W,,30.0,,45.0,,,,14.8,No,No,6,12,2008
6,52068,2008-12-07,MountGinini,6.0,16.0,0.0,,,WSW,W,30.0,24.0,72.0,30.0,,,9.5,15.5,No,No,7,12,2008
7,52069,2008-12-08,MountGinini,1.7,16.0,0.0,,,,W,,22.0,,45.0,,,,14.2,No,No,8,12,2008
8,52070,2008-12-09,MountGinini,6.0,17.9,0.0,,,W,W,22.0,17.0,43.0,33.0,,,11.0,17.2,No,Yes,9,12,2008
9,52071,2008-12-10,MountGinini,6.5,17.8,2.0,,,,NW,,13.0,,64.0,,,,15.0,Yes,No,10,12,2008
10,52072,2008-12-11,MountGinini,5.6,13.1,0.6,,,,,,,,,,,,,No,Yes,11,12,2008
11,52073,2008-12-12,MountGinini,4.9,14.0,5.0,,,,ENE,,26.0,,,,,,7.9,Yes,Yes,12,12,2008
12,52074,2008-12-13,MountGinini,6.0,13.8,46.0,,,WNW,,37.0,,100.0,,,,9.1,,Yes,Yes,13,12,2008
13,52075,2008-12-14,MountGinini,2.8,8.0,9.0,,,,WSW,,24.0,,100.0,,,,5.5,Yes,No,14,12,2008
14,52076,2008-12-15,MountGinini,1.0,15.0,0.0,,,S,WSW,11.0,20.0,94.0,68.0,,,5.5,13.5,No,No,15,12,2008
15,52077,2008-12-16,MountGinini,2.0,15.0,0.0,,,WSW,WSW,20.0,22.0,61.0,70.0,,,8.3,12.6,No,No,16,12,2008
16,52078,2008-12-17,MountGinini,7.0,15.0,0.0,,,W,SW,17.0,24.0,84.0,100.0,,,11.8,7.8,No,Yes,17,12,2008
17,52079,2008-12-18,MountGinini,6.4,14.0,12.0,,,,,,,,,,,,,Yes,Yes,18,12,2008
18,52080,2008-12-19,MountGinini,2.0,11.8,4.0,,,WSW,WSW,20.0,19.0,89.0,58.0,,,4.8,10.0,Yes,No,19,12,2008
19,52081,2008-12-20,MountGinini,-1.0,13.0,0.0,,,,NE,,11.0,,65.0,,,,11.7,No,No,20,12,2008
20,52082,2008-12-21,MountGinini,3.0,15.4,0.0,,,ENE,ENE,13.0,11.0,61.0,57.0,,,9.6,14.9,No,No,21,12,2008
21,52083,2008-12-22,MountGinini,6.7,20.0,0.0,,,,WNW,,19.0,,56.0,,,,18.0,No,No,22,12,2008
22,52084,2008-12-23,MountGinini,11.0,19.0,1.0,,,NW,WNW,28.0,17.0,100.0,100.0,,,11.0,15.4,No,No,23,12,2008
23,52085,2008-12-24,MountGinini,8.0,14.7,0.4,,,NNE,N,11.0,11.0,100.0,99.0,,,10.0,14.4,No,No,24,12,2008
24,52086,2008-12-25,MountGinini,8.2,20.0,0.0,,,,W,,17.0,,42.0,,,,19.1,No,No,25,12,2008
25,52087,2008-12-26,MountGinini,11.0,22.0,0.2,,,W,WNW,15.0,20.0,53.0,36.0,,,14.4,20.6,No,No,26,12,2008
26,52088,2008-12-27,MountGinini,13.0,18.0,0.0,,,NNW,WNW,24.0,17.0,72.0,100.0,,,15.3,12.5,No,Yes,27,12,2008
27,52089,2008-12-28,MountGinini,10.0,20.0,11.0,,,W,,26.0,,100.0,,,,11.9,,Yes,No,28,12,2008
28,52090,2008-12-29,MountGinini,10.0,17.0,0.4,,,W,,20.0,,74.0,,,,13.3,,No,No,29,12,2008
29,52091,2008-12-30,MountGinini,5.0,10.0,0.0,,,W,W,37.0,31.0,65.0,100.0,,,8.4,5.5,No,Yes,30,12,2008
30,52092,2008-12-31,MountGinini,3.0,14.0,2.0,,,WSW,W,20.0,22.0,78.0,53.0,,,6.1,13.1,Yes,No,31,12,2008
31,52093,2009-01-01,MountGinini,5.0,16.0,0.0,,,W,W,31.0,39.0,76.0,53.0,,,9.7,15.3,No,No,1,1,2009
32,52094,2009-01-02,MountGinini,1.0,16.1,0.0,,,SW,SW,13.0,15.0,32.0,32.0,,,7.1,15.2,No,No,2,1,2009
33,52095,2009-01-03,MountGinini,2.0,18.0,0.0,,,,WNW,,15.0,,54.0,,,,15.8,No,No,3,1,2009
34,52096,2009-01-04,MountGinini,4.0,22.0,0.0,,,NW,WNW,20.0,13.0,88.0,56.0,,,11.7,19.7,No,No,4,1,2009
35,52097,2009-01-05,MountGinini,11.0,22.0,0.0,,,W,W,24.0,20.0,29.0,30.0,,,15.7,21.2,No,No,5,1,2009
36,52098,2009-01-06,MountGinini,14.0,24.6,0.0,,,W,W,20.0,24.0,26.0,24.0,,,18.3,24.1,No,No,6,1,2009
37,52099,2009-01-07,MountGinini,16.4,26.9,0.0,,,,WNW,,26.0,,26.0,,,,26.9,No,No,7,1,2009
38,52100,2009-01-08,MountGinini,11.4,21.0,0.0,,,,,,,,,,,,,No,No,8,1,2009
39,52101,2009-01-09,MountGinini,3.0,14.0,0.2,,,E,ENE,15.0,17.0,99.0,59.0,,,4.2,12.9,No,No,9,1,2009
40,52102,2009-01-10,MountGinini,2.0,17.0,0.0,,,ENE,,17.0,,99.0,,,,4.9,,No,No,10,1,2009
41,52103,2009-01-11,MountGinini,4.0,20.0,0.2,,,WNW,WNW,11.0,22.0,83.0,54.0,,,12.6,18.6,No,Yes,11,1,2009
42,52104,2009-01-12,MountGinini,9.0,22.0,7.0,,,WNW,NW,9.0,13.0,79.0,51.0,,,14.2,18.6,Yes,No,12,1,2009
43,52105,2009-01-13,MountGinini,9.0,24.0,0.2,,,NW,WNW,20.0,20.0,87.0,48.0,,,15.5,22.6,No,No,13,1,2009
44,52106,2009-01-14,MountGinini,15.0,26.7,0.0,,,WNW,,28.0,,60.0,,,,17.8,,No,No,14,1,2009
45,52107,2009-01-15,MountGinini,17.2,26.4,0.0,,,,WNW,,20.0,,36.0,,,,26.0,No,No,15,1,2009
46,52108,2009-01-16,MountGinini,8.0,19.0,0.0,,,,W,,26.0,,27.0,,,,17.7,No,No,16,1,2009
47,52109,2009-01-17,MountGinini,3.0,17.0,0.0,,,E,,17.0,,46.0,,,,6.3,,No,No,17,1,2009
48,52110,2009-01-18,MountGinini,5.0,21.0,0.0,,,WSW,,20.0,,48.0,,,,11.6,,No,No,18,1,2009
49,52111,2009-01-19,MountGinini,9.0,22.6,0.0,,,WNW,,15.0,,50.0,,,,14.8,,No,No,19,1,2009
50,52112,2009-01-20,MountGinini,13.6,25.0,0.0,,,,NW,,19.0,,61.0,,,,19.1,No,Yes,20,1,2009
51,52113,2009-01-21,MountGinini,12.0,23.7,15.0,,,WNW,WNW,22.0,17.0,90.0,52.0,,,15.0,23.1,Yes,No,21,1,2009
52,52114,2009-01-22,MountGinini,12.2,16.9,1.0,,,,NNW,,33.0,,100.0,,,,13.8,No,Yes,22,1,2009
53,52115,2009-01-23,MountGinini,12.4,20.0,33.0,,,,NNW,,26.0,,100.0,,,,17.0,Yes,Yes,23,1,2009
54,52116,2009-01-24,MountGinini,12.0,19.0,22.0,,,W,W,31.0,20.0,100.0,61.0,,,12.7,17.1,Yes,No,24,1,2009
55,52117,2009-01-25,MountGinini,7.0,21.3,0.2,,,W,WSW,13.0,9.0,63.0,64.0,,,14.5,20.0,No,No,25,1,2009
56,52118,2009-01-26,MountGinini,12.6,25.0,0.0,,,,N,,11.0,,55.0,,,,23.3,No,No,26,1,2009
57,52119,2009-01-27,MountGinini,10.0,23.8,0.0,,,NNW,NW,11.0,17.0,49.0,61.0,,,19.2,23.2,No,No,27,1,2009
58,52120,2009-01-28,MountGinini,15.0,25.2,0.0,,,,W,,11.0,,50.0,,,,24.5,No,No,28,1,2009
59,52121,2009-01-29,MountGinini,16.9,28.0,0.0,,,,E,,6.0,,33.0,,,,26.8,No,No,29,1,2009
60,52122,2009-01-30,MountGinini,18.0,29.0,0.0,,,W,,13.0,,29.0,,,,21.3,,No,No,30,1,2009
61,52123,2009-01-31,MountGinini,17.0,29.0,0.0,,,SW,,22.0,,34.0,,,,21.3,,No,No,31,1,2009
62,52124,2009-02-01,MountGinini,18.0,25.0,0.0,,,E,ENE,19.0,17.0,22.0,36.0,,,21.1,24.8,No,No,1,2,2009
63,52125,2009-02-02,MountGinini,9.0,25.0,0.0,,,NNW,,19.0,,21.0,,,,20.2,,No,No,2,2,2009
64,52126,2009-02-03,MountGinini,13.0,26.7,0.2,,,WSW,ENE,13.0,24.0,60.0,72.0,,,18.1,21.2,No,Yes,3,2,2009
65,52127,2009-02-04,MountGinini,10.9,23.3,3.0,,,,WNW,,15.0,,65.0,,,,22.6,Yes,No,4,2,2009
66,52128,2009-02-05,MountGinini,15.6,27.0,0.0,,,,,,,,,,,,,No,No,5,2,2009
67,52129,2009-02-06,MountGinini,16.0,29.0,0.0,,,NNW,,13.0,,59.0,,,,20.8,,No,No,6,2,2009
68,52130,2009-02-07,MountGinini,17.0,28.9,0.0,,,NNW,,26.0,,55.0,,,,21.1,,No,No,7,2,2009
69,52131,2009-02-08,MountGinini,20.2,29.0,0.0,,,,,,,,,,,,,No,No,8,2,2009
70,52132,2009-02-09,MountGinini,11.3,21.0,0.0,,,,NW,,15.0,,73.0,,,,20.0,No,No,9,2,2009
71,52133,2009-02-10,MountGinini,7.6,18.0,0.0,,,,N,,11.0,,71.0,,,,14.0,No,No,10,2,2009
72,52134,2009-02-11,MountGinini,3.0,13.0,0.2,,,ESE,,15.0,,99.0,,,,3.9,,No,No,11,2,2009
73,52135,2009-02-12,MountGinini,3.0,6.0,0.0,,,E,,19.0,,99.0,,,,3.9,,No,Yes,12,2,2009
74,52136,2009-02-13,MountGinini,1.0,8.0,3.0,,,E,E,35.0,28.0,99.0,99.0,,,3.9,5.9,Yes,No,13,2,2009
75,52137,2009-02-14,MountGinini,2.0,12.0,0.0,,,ESE,E,19.0,19.0,99.0,75.0,,,3.7,10.3,No,No,14,2,2009
76,52138,2009-02-15,MountGinini,4.0,11.0,0.4,,,E,,20.0,,100.0,,,,7.0,,No,Yes,15,2,2009
77,52139,2009-02-16,MountGinini,5.0,10.4,9.0,,,E,,35.0,,100.0,,,,6.6,,Yes,No,16,2,2009
78,52140,2009-02-17,MountGinini,3.6,13.0,0.2,,,,ENE,,20.0,,84.0,,,,11.2,No,No,17,2,2009
79,52141,2009-02-18,MountGinini,5.0,17.0,0.0,,,ESE,,19.0,,100.0,,,,7.9,,No,No,18,2,2009
80,52142,2009-02-19,MountGinini,8.0,20.0,0.0,,,W,W,24.0,20.0,99.0,45.0,,,9.4,19.1,No,No,19,2,2009
81,52143,2009-02-20,MountGinini,9.0,21.0,0.2,,,WNW,WSW,11.0,19.0,48.0,49.0,,,16.1,19.3,No,No,20,2,2009
82,52144,2009-02-21,MountGinini,9.0,20.0,0.0,,,N,WNW,6.0,19.0,87.0,56.0,,,11.6,17.4,No,No,21,2,2009
83,52145,2009-02-22,MountGinini,7.0,19.0,0.2,,,NE,NW,13.0,15.0,100.0,64.0,,,9.1,16.3,No,No,22,2,2009
84,52146,2009-02-23,MountGinini,9.0,19.5,0.2,,,NW,W,24.0,24.0,99.0,65.0,,,12.7,17.6,No,No,23,2,2009
85,52147,2009-02-24,MountGinini,9.7,21.0,0.4,,,,WNW,,33.0,,33.0,,,,20.0,No,No,24,2,2009
86,52148,2009-02-25,MountGinini,9.0,22.3,0.0,,,WSW,SW,22.0,19.0,20.0,16.0,,,13.0,21.6,No,No,25,2,2009
87,52149,2009-02-26,MountGinini,5.7,19.0,0.0,,,,ENE,,11.0,,47.0,,,,17.7,No,No,26,2,2009
88,52150,2009-02-27,MountGinini,7.0,21.0,0.0,,,SW,SW,11.0,20.0,66.0,36.0,,,13.4,20.8,No,No,27,2,2009
89,52151,2009-02-28,MountGinini,12.0,24.0,0.0,,,W,W,17.0,24.0,56.0,34.0,,,14.8,23.3,No,No,28,2,2009
90,52152,2009-03-01,MountGinini,7.0,20.0,0.0,,,NE,NW,15.0,15.0,99.0,48.0,,,9.3,18.8,No,No,1,3,2009
91,52153,2009-03-02,MountGinini,8.0,19.0,0.0,,,ENE,N,19.0,11.0,99.0,59.0,,,8.8,17.5,No,No,2,3,2009
92,52154,2009-03-03,MountGinini,9.0,16.1,0.2,,,N,NNW,20.0,13.0,100.0,81.0,,,10.6,15.9,No,No,3,3,2009
93,52155,2009-03-04,MountGinini,3.6,11.5,0.8,,,,W,,22.0,,45.0,,,,11.0,No,No,4,3,2009
94,52156,2009-03-05,MountGinini,0.8,11.1,0.0,,,,WSW,,20.0,,50.0,,,,10.9,No,No,5,3,2009
95,52157,2009-03-06,MountGinini,1.8,16.0,0.0,,,,W,,13.0,,51.0,,,,14.9,No,No,6,3,2009
96,52158,2009-03-07,MountGinini,5.0,18.6,0.0,,,WSW,WSW,15.0,15.0,55.0,30.0,,,8.5,18.6,No,No,7,3,2009
97,52159,2009-03-08,MountGinini,5.7,18.0,0.0,,,,N,,13.0,,56.0,,,,17.2,No,No,8,3,2009
98,52160,2009-03-09,MountGinini,7.0,17.7,0.2,,,NE,N,13.0,15.0,100.0,76.0,,,8.3,15.6,No,No,9,3,2009
99,52161,2009-03-10,MountGinini,8.0,19.0,0.4,,,,ENE,,17.0,,57.0,,,,17.4,No,No,10,3,2009
100,52162,2009-03-11,MountGinini,6.0,15.4,0.0,,,ENE,,28.0,,100.0,,,,7.6,,No,No,11,3,2009
101,52163,2009-03-12,MountGinini,7.8,20.0,0.6,,,,NW,,15.0,,57.0,,,,19.6,No,No,12,3,2009
102,52164,2009-03-13,MountGinini,9.0,17.0,0.2,,,W,NNW,13.0,15.0,99.0,98.0,,,11.0,12.4,No,Yes,13,3,2009
103,52165,2009-03-14,MountGinini,9.0,13.0,4.0,,,WNW,WNW,19.0,19.0,100.0,100.0,,,10.7,12.9,Yes,Yes,14,3,2009
104,52166,2009-03-15,MountGinini,2.0,10.0,9.0,,,W,W,17.0,28.0,80.0,54.0,,,3.0,10.0,Yes,No,15,3,2009
105,52167,2009-03-16,MountGinini,0.8,12.0,0.0,,,,,,,,,,,,,No,No,16,3,2009
106,52168,2009-03-17,MountGinini,1.0,17.0,0.0,,,SSW,W,31.0,13.0,93.0,50.0,,,3.6,16.1,No,No,17,3,2009
107,52169,2009-03-18,MountGinini,4.0,19.0,0.0,,,WNW,,20.0,,77.0,,,,9.0,,No,No,18,3,2009
