,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,15076,2008-12-01,Newcastle,13.2,,0.0,,,NW,NW,6.0,19.0,50.0,24.0,,,21.8,30.6,No,No,1,12,2008
1,15077,2008-12-02,Newcastle,,32.2,0.0,,,,NE,,19.0,,59.0,,,,25.4,No,No,2,12,2008
2,15078,2008-12-03,Newcastle,16.2,32.2,0.0,,,N,SE,2.0,2.0,74.0,26.0,,,22.2,32.0,No,No,3,12,2008
3,15079,2008-12-04,Newcastle,19.2,24.0,0.0,,,SE,SE,22.0,22.0,66.0,61.0,,,20.4,23.0,No,No,4,12,2008
4,15080,2008-12-05,Newcastle,18.8,30.2,0.0,,,NE,,4.0,,85.0,,,,20.0,,No,No,5,12,2008
5,15081,2008-12-06,Newcastle,19.8,34.2,0.0,,,NW,NW,4.0,7.0,56.0,39.0,,,29.2,31.8,No,No,6,12,2008
6,15082,2008-12-07,Newcastle,19.4,27.8,0.0,,,,SE,0.0,6.0,91.0,39.0,,,20.8,27.0,No,No,7,12,2008
7,15083,2008-12-08,Newcastle,,26.2,0.0,,,,NE,,22.0,,71.0,,,,22.2,No,No,8,12,2008
8,15084,2008-12-09,Newcastle,15.6,29.4,0.0,,,NE,NW,4.0,19.0,78.0,53.0,,,21.2,28.2,No,No,9,12,2008
9,15085,2008-12-10,Newcastle,19.2,26.4,0.0,,,SE,,22.0,,63.0,,,,25.8,,No,No,10,12,2008
10,15086,2008-12-11,Newcastle,19.4,21.4,0.0,,,NE,SE,2.0,9.0,83.0,72.0,,,19.6,20.0,No,No,11,12,2008
11,15087,2008-12-12,Newcastle,18.0,22.4,0.4,,,NE,NE,4.0,9.0,87.0,96.0,,,18.8,18.8,No,Yes,12,12,2008
12,15088,2008-12-13,Newcastle,18.2,31.6,29.8,,,,NW,0.0,50.0,95.0,51.0,,,22.2,28.8,Yes,No,13,12,2008
13,15089,2008-12-14,Newcastle,18.2,27.2,1.0,,,SW,NW,19.0,46.0,55.0,39.0,,,22.0,25.4,No,No,14,12,2008
14,15090,2008-12-15,Newcastle,16.6,22.8,0.0,,,S,SE,9.0,28.0,42.0,49.0,,,20.4,21.8,No,No,15,12,2008
15,15091,2008-12-16,Newcastle,11.6,27.0,0.0,,,,NE,0.0,4.0,72.0,51.0,,,18.8,26.0,No,No,16,12,2008
16,15092,2008-12-17,Newcastle,14.4,29.0,0.0,,,,SE,0.0,7.0,51.0,44.0,,,23.2,28.2,No,No,17,12,2008
17,15093,2008-12-18,Newcastle,17.6,34.0,0.0,,,SE,SE,4.0,56.0,91.0,34.0,,,20.0,31.0,No,Yes,18,12,2008
18,15094,2008-12-19,Newcastle,18.0,26.6,1.2,,,,SE,0.0,46.0,71.0,98.0,,,22.4,23.0,Yes,No,19,12,2008
19,15095,2008-12-20,Newcastle,17.6,21.6,0.0,,,S,SE,19.0,9.0,96.0,96.0,,,19.4,20.8,No,No,20,12,2008
20,15096,2008-12-21,Newcastle,12.6,24.2,0.0,,,SE,SE,4.0,19.0,96.0,98.0,,,20.0,23.6,No,No,21,12,2008
21,15097,2008-12-22,Newcastle,15.2,26.4,0.0,,,NE,NE,7.0,19.0,100.0,49.0,,,20.6,25.4,No,No,22,12,2008
22,15098,2008-12-23,Newcastle,16.0,31.0,0.0,,,NW,,4.0,0.0,62.0,42.0,,,21.6,29.0,No,Yes,23,12,2008
23,15099,2008-12-24,Newcastle,18.8,,2.0,,,SE,SE,9.0,9.0,81.0,73.0,,,20.2,21.0,Yes,No,24,12,2008
24,15100,2008-12-25,Newcastle,,25.6,0.0,,,,,,,,,,,,,No,No,25,12,2008
25,15101,2008-12-26,Newcastle,19.2,29.4,0.0,,,NE,SE,4.0,11.0,87.0,63.0,,,21.8,29.0,No,No,26,12,2008
26,15102,2008-12-27,Newcastle,19.2,30.6,0.0,,,NE,NE,4.0,19.0,88.0,51.0,,,23.4,30.4,No,No,27,12,2008
27,15103,2008-12-28,Newcastle,18.6,31.2,0.0,,,NW,,4.0,,74.0,,,,23.8,,No,No,28,12,2008
28,15104,2008-12-29,Newcastle,20.2,28.8,0.0,,,NW,SW,2.0,19.0,57.0,80.0,,,28.0,21.6,No,Yes,29,12,2008
29,15105,2008-12-30,Newcastle,19.2,33.4,10.6,,,,NW,0.0,7.0,77.0,36.0,,,22.0,30.8,Yes,No,30,12,2008
30,15106,2008-12-31,Newcastle,15.4,33.4,0.0,,,,NW,0.0,15.0,50.0,23.0,,,23.8,32.2,No,No,31,12,2008
31,15107,2009-01-01,Newcastle,15.2,32.8,0.0,,,N,NW,4.0,9.0,71.0,47.0,,,22.8,28.0,No,No,1,1,2009
32,15108,2009-01-02,Newcastle,19.2,25.6,0.0,,,,SE,0.0,11.0,65.0,52.0,,,21.2,24.8,No,No,2,1,2009
33,15109,2009-01-03,Newcastle,16.4,22.6,0.8,,,SE,NE,4.0,4.0,64.0,60.0,,,19.6,22.2,No,No,3,1,2009
34,15110,2009-01-04,Newcastle,17.8,28.8,0.0,,,NE,SE,4.0,37.0,67.0,53.0,,,21.6,27.0,No,No,4,1,2009
35,15111,2009-01-05,Newcastle,16.8,36.0,0.0,,,NE,SE,7.0,4.0,69.0,40.0,,,22.2,34.4,No,No,5,1,2009
36,15112,2009-01-06,Newcastle,19.6,31.8,0.0,,,SE,SE,4.0,4.0,55.0,65.0,,,28.0,26.8,No,No,6,1,2009
37,15113,2009-01-07,Newcastle,21.2,34.8,0.0,,,,,0.0,0.0,77.0,57.0,,,24.2,30.6,No,No,7,1,2009
38,15114,2009-01-08,Newcastle,21.2,23.8,0.0,,,SE,SE,11.0,15.0,74.0,77.0,,,22.4,21.6,No,Yes,8,1,2009
39,15115,2009-01-09,Newcastle,16.8,22.6,2.4,,,SE,SE,19.0,28.0,61.0,48.0,,,19.0,22.2,Yes,No,9,1,2009
40,15116,2009-01-10,Newcastle,15.4,25.4,0.2,,,SE,N,7.0,28.0,58.0,45.0,,,21.6,24.4,No,No,10,1,2009
41,15117,2009-01-11,Newcastle,17.4,27.6,0.0,,,NE,SE,6.0,46.0,59.0,74.0,,,22.6,22.6,No,No,11,1,2009
42,15118,2009-01-12,Newcastle,18.4,28.2,0.0,,,,SE,0.0,19.0,70.0,46.0,,,23.4,27.6,No,No,12,1,2009
43,15119,2009-01-13,Newcastle,19.2,28.4,0.0,,,NE,SE,4.0,28.0,65.0,56.0,,,24.6,27.6,No,No,13,1,2009
44,15120,2009-01-14,Newcastle,18.6,35.2,0.0,,,NE,NE,4.0,22.0,74.0,35.0,,,23.0,34.4,No,No,14,1,2009
45,15121,2009-01-15,Newcastle,19.0,40.6,0.0,,,N,NW,4.0,7.0,54.0,17.0,,,26.6,40.2,No,Yes,15,1,2009
46,15122,2009-01-16,Newcastle,19.6,27.0,6.6,,,NE,SE,4.0,7.0,80.0,60.0,,,20.6,25.8,Yes,Yes,16,1,2009
47,15123,2009-01-17,Newcastle,17.4,22.0,1.6,,,SE,SE,19.0,22.0,61.0,53.0,,,19.0,20.0,Yes,No,17,1,2009
48,15124,2009-01-18,Newcastle,12.2,25.0,0.0,,,,SE,0.0,11.0,69.0,47.0,,,19.6,23.8,No,No,18,1,2009
49,15125,2009-01-19,Newcastle,15.4,28.6,0.0,,,NE,SE,4.0,19.0,66.0,48.0,,,20.6,26.8,No,No,19,1,2009
50,15126,2009-01-20,Newcastle,15.5,35.0,0.0,,,NW,NW,4.0,4.0,69.0,35.0,,,22.4,33.2,No,No,20,1,2009
51,15127,2009-01-21,Newcastle,22.0,38.2,0.0,,,,NW,0.0,28.0,63.0,26.0,,,26.4,37.8,No,No,21,1,2009
52,15128,2009-01-22,Newcastle,22.2,28.8,0.0,,,NE,NW,4.0,19.0,72.0,71.0,,,25.4,26.6,No,Yes,22,1,2009
53,15129,2009-01-23,Newcastle,21.8,35.4,2.0,,,NW,NE,4.0,11.0,63.0,46.0,,,28.0,33.6,Yes,No,23,1,2009
54,15130,2009-01-24,Newcastle,23.6,40.0,0.0,,,NW,NW,9.0,9.0,53.0,35.0,,,30.6,38.2,No,Yes,24,1,2009
55,15131,2009-01-25,Newcastle,18.8,24.0,2.4,,,SE,SE,11.0,22.0,65.0,65.0,,,21.4,23.2,Yes,No,25,1,2009
56,15132,2009-01-26,Newcastle,19.2,26.4,0.0,,,,SE,0.0,9.0,92.0,81.0,,,20.6,25.4,No,No,26,1,2009
57,15133,2009-01-27,Newcastle,20.6,29.0,0.0,,,NE,SE,7.0,28.0,83.0,70.0,,,24.4,27.4,No,No,27,1,2009
58,15134,2009-01-28,Newcastle,20.2,30.8,0.0,,,NE,NE,4.0,19.0,81.0,51.0,,,24.0,29.8,No,No,28,1,2009
59,15135,2009-01-29,Newcastle,20.2,32.0,0.0,,,N,NE,19.0,22.0,80.0,59.0,,,24.0,30.4,No,No,29,1,2009
60,15136,2009-01-30,Newcastle,19.8,32.2,0.0,,,NE,NE,4.0,28.0,67.0,51.0,,,24.0,30.4,No,No,30,1,2009
61,15137,2009-01-31,Newcastle,20.6,34.8,0.0,,,NW,NW,4.0,15.0,67.0,26.0,,,25.2,34.4,No,No,31,1,2009
62,15138,2009-02-01,Newcastle,19.6,31.4,0.0,,,,SE,0.0,28.0,75.0,53.0,,,23.6,30.2,No,No,1,2,2009
63,15139,2009-02-02,Newcastle,20.6,31.0,0.0,,,NE,NE,4.0,28.0,74.0,52.0,,,25.4,29.4,No,No,2,2,2009
64,15140,2009-02-03,Newcastle,19.6,31.8,0.0,,,N,SE,4.0,11.0,74.0,51.0,,,23.0,31.5,No,No,3,2,2009
65,15141,2009-02-04,Newcastle,21.4,31.0,0.0,,,SE,SE,4.0,7.0,76.0,62.0,,,25.0,29.4,No,No,4,2,2009
66,15142,2009-02-05,Newcastle,21.0,34.2,0.0,,,NE,SE,4.0,7.0,74.0,47.0,,,24.8,33.0,No,No,5,2,2009
67,15143,2009-02-06,Newcastle,21.4,35.0,0.0,,,,SE,0.0,15.0,72.0,44.0,,,25.6,33.2,No,No,6,2,2009
68,15144,2009-02-07,Newcastle,22.2,37.8,0.0,,,NE,SE,7.0,19.0,51.0,31.0,,,27.4,35.6,No,No,7,2,2009
69,15145,2009-02-08,Newcastle,20.0,34.2,0.0,,,NE,SE,15.0,11.0,61.0,43.0,,,24.8,33.2,No,No,8,2,2009
70,15146,2009-02-09,Newcastle,20.2,27.6,0.0,,,SE,,7.0,,77.0,,,,24.4,,No,No,9,2,2009
71,15147,2009-02-10,Newcastle,20.0,25.0,0.8,,,SW,WSW,4.0,7.0,89.0,83.0,,,21.0,22.6,No,Yes,10,2,2009
72,15148,2009-02-11,Newcastle,17.2,23.8,13.4,,,SW,SE,11.0,15.0,94.0,69.0,,,17.4,22.6,Yes,Yes,11,2,2009
73,15149,2009-02-12,Newcastle,16.6,21.8,13.2,,,SE,SE,7.0,19.0,82.0,71.0,,,18.4,20.0,Yes,Yes,12,2,2009
74,15150,2009-02-13,Newcastle,16.4,24.4,45.4,,,SE,NW,7.0,19.0,96.0,58.0,,,17.0,23.0,Yes,Yes,13,2,2009
75,15151,2009-02-14,Newcastle,17.0,19.6,3.6,,,SE,SE,19.0,9.0,81.0,100.0,,,19.0,17.0,Yes,Yes,14,2,2009
76,15152,2009-02-15,Newcastle,17.4,22.8,147.2,,,,,0.0,,100.0,,,,18.4,,Yes,Yes,15,2,2009
77,15153,2009-02-16,Newcastle,18.0,25.0,13.8,,,SE,SE,28.0,37.0,69.0,60.0,,,22.4,24.0,Yes,No,16,2,2009
78,15154,2009-02-17,Newcastle,18.8,23.4,0.0,,,SE,SE,9.0,9.0,73.0,86.0,,,21.2,21.0,No,Yes,17,2,2009
79,15155,2009-02-18,Newcastle,18.6,25.6,22.6,,,,SE,0.0,4.0,92.0,71.0,,,19.8,24.8,Yes,No,18,2,2009
80,15156,2009-02-19,Newcastle,19.0,30.0,0.0,,,,SE,0.0,11.0,91.0,61.0,,,21.0,27.6,No,Yes,19,2,2009
81,15157,2009-02-20,Newcastle,21.0,29.6,2.6,,,,SE,0.0,7.0,86.0,70.0,,,23.0,28.0,Yes,No,20,2,2009
82,15158,2009-02-21,Newcastle,22.0,25.8,0.0,,,SE,SE,6.0,9.0,78.0,76.0,,,24.0,23.8,No,No,21,2,2009
83,15159,2009-02-22,Newcastle,18.6,26.6,0.0,,,SE,SE,4.0,4.0,73.0,62.0,,,23.2,26.0,No,No,22,2,2009
84,15160,2009-02-23,Newcastle,19.0,30.6,0.0,,,,NE,0.0,4.0,79.0,54.0,,,22.4,30.2,No,Yes,23,2,2009
85,15161,2009-02-24,Newcastle,20.8,34.6,1.4,,,NW,SE,4.0,9.0,82.0,51.0,,,24.2,30.2,Yes,No,24,2,2009
86,15162,2009-02-25,Newcastle,21.4,27.6,0.0,,,,SE,0.0,9.0,82.0,68.0,,,23.2,27.0,No,No,25,2,2009
87,15163,2009-02-26,Newcastle,21.4,24.8,0.0,,,SE,SE,7.0,37.0,66.0,62.0,,,22.4,23.4,No,No,26,2,2009
88,15164,2009-02-27,Newcastle,17.6,24.6,0.0,,,S,SE,4.0,19.0,72.0,57.0,,,22.0,23.6,No,No,27,2,2009
89,15165,2009-02-28,Newcastle,14.6,31.4,0.0,,,NW,SE,4.0,9.0,88.0,59.0,,,17.4,27.0,No,No,28,2,2009
90,15166,2009-03-01,Newcastle,14.2,26.4,0.0,,,SE,,7.0,,75.0,,,,23.4,,No,No,1,3,2009
91,15167,2009-03-02,Newcastle,20.2,27.0,0.0,,,SE,NE,4.0,4.0,66.0,61.0,,,22.6,26.4,No,No,2,3,2009
92,15168,2009-03-03,Newcastle,20.2,28.0,0.0,,,NE,NE,4.0,11.0,69.0,62.0,,,23.6,27.6,No,No,3,3,2009
93,15169,2009-03-04,Newcastle,21.8,29.0,0.0,,,,SE,0.0,9.0,86.0,80.0,,,22.8,23.8,No,No,4,3,2009
94,15170,2009-03-05,Newcastle,12.2,23.8,0.0,,,NW,SE,4.0,9.0,53.0,37.0,,,17.8,22.8,No,No,5,3,2009
95,15171,2009-03-06,Newcastle,12.4,24.8,0.0,,,,,0.0,0.0,78.0,57.0,,,17.4,22.6,No,No,6,3,2009
96,15172,2009-03-07,Newcastle,14.6,27.2,0.0,,,,SE,0.0,4.0,85.0,67.0,,,19.4,25.4,No,No,7,3,2009
97,15173,2009-03-08,Newcastle,19.0,27.2,0.0,,,SE,SE,6.0,28.0,78.0,55.0,,,23.2,26.8,No,No,8,3,2009
98,15174,2009-03-09,Newcastle,20.4,26.6,0.0,,,SE,SE,19.0,19.0,71.0,63.0,,,23.8,25.8,No,No,9,3,2009
99,15175,2009-03-10,Newcastle,21.4,26.2,0.0,,,NE,NE,15.0,11.0,68.0,58.0,,,22.4,24.8,No,No,10,3,2009
100,15176,2009-03-11,Newcastle,20.0,25.8,0.0,,,SE,SE,19.0,19.0,74.0,60.0,,,23.6,25.0,No,No,11,3,2009
101,15177,2009-03-12,Newcastle,18.6,27.0,0.0,,,NE,SE,4.0,37.0,65.0,58.0,,,23.0,25.6,No,No,12,3,2009
102,15178,2009-03-13,Newcastle,18.8,28.6,0.0,,,N,SE,4.0,4.0,77.0,57.0,,,21.4,27.4,No,Yes,13,3,2009
103,15179,2009-03-14,Newcastle,18.2,30.2,3.2,,,,NE,0.0,15.0,96.0,53.0,,,20.4,29.4,Yes,Yes,14,3,2009
104,15180,2009-03-15,Newcastle,17.4,32.0,4.2,,,,NW,0.0,4.0,86.0,51.0,,,21.4,31.4,Yes,No,15,3,2009
105,15181,2009-03-16,Newcastle,17.8,25.0,0.4,,,SE,N,4.0,4.0,46.0,46.0,,,19.0,24.8,No,No,16,3,2009
106,15182,2009-03-17,Newcastle,12.2,25.0,0.0,,,,SE,0.0,11.0,62.0,40.0,,,18.0,23.4,No,No,17,3,2009
107,15183,2009-03-18,Newcastle,13.6,25.8,0.0,,,,S,0.0,19.0,86.0,57.0,,,18.0,25.2,No,No,18,3,2009
108,15184,2009-03-19,Newcastle,14.4,29.0,0.0,,,,NE,0.0,6.0,88.0,63.0,,,18.4,27.0,No,No,19,3,2009
109,15185,2009-03-20,Newcastle,17.8,28.2,0.0,,,,SE,0.0,19.0,83.0,64.0,,,22.6,26.8,No,No,20,3,2009
110,15186,2009-03-21,Newcastle,18.8,26.6,0.0,,,SE,ESE,4.0,13.0,91.0,70.0,,,22.0,23.9,No,No,21,3,2009
111,15187,2009-03-22,Newcastle,16.2,27.4,0.0,,,,SE,0.0,11.0,87.0,60.0,,,21.4,27.0,No,No,22,3,2009
112,15188,2009-03-23,Newcastle,15.4,28.6,0.0,,,,SE,0.0,7.0,82.0,69.0,,,19.5,28.0,No,No,23,3,2009
113,15189,2009-03-24,Newcastle,17.0,30.2,0.0,,,,SE,0.0,11.0,87.0,,,,20.6,29.4,No,No,24,3,2009
114,15190,2009-03-25,Newcastle,17.8,31.4,0.0,,,NE,NE,4.0,4.0,81.0,52.0,,,20.0,30.8,No,No,25,3,2009
115,15191,2009-03-26,Newcastle,16.4,31.2,0.0,,,NW,SE,4.0,4.0,83.0,51.0,,,20.0,28.8,No,Yes,26,3,2009
116,15192,2009-03-27,Newcastle,19.8,25.6,2.2,,,SE,SE,19.0,28.0,74.0,69.0,,,22.0,22.2,Yes,No,27,3,2009
117,15193,2009-03-28,Newcastle,15.6,25.4,0.0,,,,SE,0.0,4.0,78.0,49.0,,,20.4,24.4,No,No,28,3,2009
118,15194,2009-03-29,Newcastle,15.2,25.8,0.0,,,,SE,0.0,11.0,81.0,58.0,,,20.4,24.8,No,No,29,3,2009
119,15195,2009-03-30,Newcastle,19.2,25.8,0.0,,,SE,SE,4.0,46.0,72.0,72.0,,,22.0,23.4,No,Yes,30,3,2009
120,15196,2009-03-31,Newcastle,17.4,22.8,35.2,,,SE,SE,28.0,19.0,72.0,92.0,,,21.4,20.8,Yes,Yes,31,3,2009
121,15197,2009-04-01,Newcastle,19.4,23.8,21.8,,,SE,SE,11.0,37.0,86.0,90.0,,,22.2,21.7,Yes,Yes,1,4,2009
122,15198,2009-04-02,Newcastle,19.2,26.2,67.0,,,,SE,0.0,11.0,91.0,77.0,,,21.6,24.6,Yes,No,2,4,2009
123,15199,2009-04-03,Newcastle,20.0,27.0,0.0,,,,SE,0.0,7.0,81.0,76.0,,,22.8,25.4,No,No,3,4,2009
124,15200,2009-04-04,Newcastle,19.0,27.0,0.0,,,,SE,0.0,9.0,81.0,91.0,,,20.0,20.0,No,Yes,4,4,2009
