,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,73402,2013-03-01,Nhil,9.8,27.4,0.2,SE,54.0,SSE,SE,28.0,30.0,62.0,27.0,1021.2,1019.3,14.3,25.3,No,No,1,3,2013
1,73403,2013-03-02,Nhil,12.6,30.1,0.0,ESE,46.0,ESE,ESE,35.0,19.0,60.0,22.0,1022.7,1019.9,16.0,27.6,No,No,2,3,2013
2,73404,2013-03-03,Nhil,13.7,30.6,0.0,ENE,50.0,ENE,NE,22.0,20.0,51.0,26.0,1021.0,1017.8,18.9,29.4,No,No,3,3,2013
3,73405,2013-03-04,Nhil,16.9,32.4,0.0,ENE,48.0,ENE,NE,20.0,17.0,52.0,23.0,1018.9,1015.9,21.0,32.0,No,No,4,3,2013
4,73406,2013-03-05,Nhil,18.9,34.2,0.0,SE,54.0,ENE,ESE,28.0,20.0,48.0,25.0,1016.9,1014.5,22.3,32.6,No,No,5,3,2013
5,73407,2013-03-06,Nhil,19.4,35.2,0.4,E,28.0,ENE,SSW,17.0,9.0,41.0,26.0,1015.3,1012.8,23.7,32.7,No,No,6,3,2013
6,73408,2013-03-07,Nhil,21.5,35.2,0.0,ESE,33.0,SE,NW,9.0,9.0,45.0,29.0,1015.5,1014.2,24.7,32.8,No,No,7,3,2013
7,73409,2013-03-08,Nhil,23.1,37.3,0.0,NE,33.0,ENE,NNE,19.0,11.0,42.0,18.0,1017.1,1014.3,25.7,35.4,No,No,8,3,2013
8,73410,2013-03-09,Nhil,20.5,36.5,0.0,SW,43.0,NNE,N,11.0,20.0,33.0,17.0,1015.1,1012.8,26.1,34.4,No,No,9,3,2013
9,73411,2013-03-10,Nhil,21.7,37.7,0.0,E,30.0,E,W,15.0,9.0,44.0,20.0,1015.8,1013.9,25.1,34.6,No,No,10,3,2013
10,73412,2013-03-11,Nhil,21.4,39.0,0.0,NNW,43.0,ENE,N,13.0,13.0,35.0,16.0,1015.8,1013.5,26.2,37.5,No,No,11,3,2013
11,73413,2013-03-12,Nhil,22.4,38.5,0.0,NNW,50.0,NE,N,9.0,26.0,31.0,15.0,1014.1,1010.2,26.5,36.8,No,No,12,3,2013
12,73414,2013-03-13,Nhil,18.1,25.4,0.0,W,54.0,SW,SSW,31.0,30.0,54.0,30.0,1011.6,1011.6,19.2,24.7,No,No,13,3,2013
13,73415,2013-03-14,Nhil,11.9,26.5,0.0,S,46.0,SSW,SW,22.0,22.0,55.0,28.0,1017.1,1015.0,16.0,24.7,No,No,14,3,2013
14,73416,2013-03-15,Nhil,9.2,26.9,0.0,SW,41.0,S,S,9.0,19.0,81.0,28.0,1019.1,1016.7,13.5,25.1,No,No,15,3,2013
15,73417,2013-03-16,Nhil,13.5,23.8,0.0,SW,63.0,SSW,SW,20.0,28.0,69.0,80.0,1017.5,1016.8,16.4,17.6,No,No,16,3,2013
16,73418,2013-03-17,Nhil,6.7,21.3,0.2,SSE,50.0,S,S,19.0,26.0,71.0,28.0,1026.3,1024.6,10.6,19.2,No,No,17,3,2013
17,73419,2013-03-18,Nhil,6.7,23.5,0.0,E,48.0,SSE,SSE,13.0,19.0,77.0,33.0,1025.2,1022.6,10.8,21.4,No,No,18,3,2013
18,73420,2013-03-19,Nhil,9.9,25.9,0.0,ESE,30.0,ESE,ESE,15.0,7.0,72.0,26.0,1023.5,1020.6,14.1,24.8,No,No,19,3,2013
19,73421,2013-03-20,Nhil,12.1,30.9,0.0,NNW,39.0,ENE,N,20.0,19.0,41.0,15.0,1018.6,1013.1,16.2,29.8,No,No,20,3,2013
20,73422,2013-03-21,Nhil,16.2,25.0,0.0,WNW,89.0,N,WNW,31.0,57.0,29.0,38.0,1001.0,1003.0,24.6,22.6,No,No,21,3,2013
21,73423,2013-03-22,Nhil,12.5,18.3,0.2,WNW,43.0,WNW,WNW,11.0,24.0,64.0,47.0,1014.5,1014.6,14.5,17.6,No,No,22,3,2013
22,73424,2013-03-23,Nhil,10.3,24.7,0.2,WNW,48.0,NNW,WNW,20.0,26.0,85.0,40.0,1017.2,1015.1,12.3,23.2,No,No,23,3,2013
23,73425,2013-03-24,Nhil,12.2,24.3,0.0,W,56.0,NW,W,24.0,31.0,74.0,56.0,1014.5,1014.6,17.2,22.1,No,No,24,3,2013
24,73426,2013-03-25,Nhil,9.8,23.0,0.0,NW,26.0,,NW,0.0,11.0,87.0,43.0,1019.3,1017.4,14.2,22.0,No,No,25,3,2013
25,73427,2013-03-26,Nhil,11.0,33.5,0.0,NNW,39.0,NNE,N,9.0,24.0,60.0,23.0,1015.5,1010.7,17.2,32.3,No,No,26,3,2013
26,73428,2013-03-27,Nhil,17.1,31.5,0.0,NW,63.0,NNE,WNW,15.0,26.0,23.0,30.0,1006.8,1007.8,25.3,28.6,No,Yes,27,3,2013
27,73429,2013-03-28,Nhil,12.4,20.2,4.2,WSW,70.0,WNW,WSW,15.0,37.0,82.0,47.0,1017.8,1018.8,13.8,18.6,Yes,No,28,3,2013
28,73430,2013-03-29,Nhil,6.8,19.6,0.2,WNW,26.0,NNW,W,9.0,13.0,84.0,49.0,1023.6,1021.0,9.1,18.4,No,No,29,3,2013
29,73431,2013-03-30,Nhil,9.1,20.9,0.0,WNW,43.0,NW,WNW,11.0,30.0,87.0,55.0,1017.1,1014.5,13.8,19.5,No,No,30,3,2013
30,73432,2013-03-31,Nhil,10.7,22.1,0.4,SW,41.0,WSW,WSW,15.0,24.0,92.0,49.0,1015.9,1015.9,13.0,19.8,No,No,31,3,2013
31,73433,2013-04-01,Nhil,11.4,22.1,0.0,W,39.0,W,W,4.0,24.0,80.0,49.0,1020.3,1018.8,13.3,19.5,No,No,1,4,2013
32,73434,2013-04-02,Nhil,11.7,23.8,0.0,S,44.0,WNW,WSW,13.0,26.0,84.0,46.0,1020.1,1018.8,14.9,23.6,No,No,2,4,2013
33,73435,2013-04-03,Nhil,5.1,20.5,0.2,SSE,44.0,S,SSE,13.0,24.0,91.0,35.0,1026.5,1024.7,8.4,19.3,No,No,3,4,2013
34,73436,2013-04-04,Nhil,4.6,23.9,0.0,ESE,33.0,SSE,ESE,13.0,17.0,84.0,30.0,1028.3,1025.9,8.1,22.1,No,No,4,4,2013
35,73437,2013-04-05,Nhil,8.0,28.4,0.0,ENE,41.0,E,NE,31.0,19.0,66.0,27.0,1027.4,1024.2,14.1,26.8,No,No,5,4,2013
36,73438,2013-04-06,Nhil,14.1,31.1,0.0,NNW,31.0,ENE,NNW,17.0,11.0,60.0,23.0,1023.5,1019.6,16.6,29.5,No,No,6,4,2013
37,73439,2013-04-07,Nhil,12.0,30.1,0.0,SSW,33.0,ENE,W,7.0,17.0,39.0,25.0,1022.1,1019.1,20.6,29.3,No,No,7,4,2013
38,73440,2013-04-08,Nhil,10.6,27.4,0.0,SE,33.0,SSE,SW,17.0,15.0,71.0,24.0,1025.2,1022.3,14.9,26.7,No,No,8,4,2013
39,73441,2013-04-09,Nhil,9.1,28.0,0.0,SW,28.0,SE,SSE,17.0,7.0,73.0,27.0,1025.9,1021.9,16.8,26.9,No,No,9,4,2013
40,73442,2013-04-10,Nhil,8.9,28.8,0.0,SSW,30.0,SE,WSW,9.0,9.0,60.0,13.0,1023.4,1020.2,18.9,28.2,No,No,10,4,2013
41,73443,2013-04-11,Nhil,10.3,28.7,0.0,S,33.0,SE,SW,11.0,11.0,42.0,29.0,1024.0,1021.6,19.3,27.0,No,No,11,4,2013
42,73444,2013-04-12,Nhil,13.6,30.4,0.0,NNW,28.0,ENE,N,15.0,13.0,57.0,21.0,1022.9,1017.4,19.2,29.5,No,No,12,4,2013
43,73445,2013-04-13,Nhil,17.2,25.4,0.0,W,41.0,NW,W,26.0,24.0,28.0,38.0,1013.6,1012.0,22.0,24.3,No,No,13,4,2013
44,73446,2013-04-14,Nhil,12.7,23.8,0.0,WSW,44.0,S,WSW,11.0,28.0,78.0,50.0,1012.8,1010.0,15.5,21.0,No,No,14,4,2013
45,73447,2013-04-15,Nhil,8.1,20.6,0.0,SSW,44.0,,SW,0.0,19.0,88.0,35.0,1014.5,1013.1,13.0,19.9,No,No,15,4,2013
46,73448,2013-04-16,Nhil,3.5,19.9,0.0,S,30.0,S,SSE,6.0,20.0,74.0,31.0,1019.5,1016.3,9.6,19.2,No,No,16,4,2013
47,73449,2013-04-17,Nhil,6.6,20.8,0.0,SSW,35.0,SSE,S,6.0,20.0,68.0,30.0,1018.7,1016.3,11.5,19.9,No,No,17,4,2013
48,73450,2013-04-18,Nhil,6.9,22.0,0.0,S,48.0,S,S,9.0,26.0,93.0,35.0,1021.8,1020.5,11.3,20.3,No,No,18,4,2013
49,73451,2013-04-19,Nhil,2.2,18.5,0.0,SE,41.0,SSE,SSE,17.0,22.0,69.0,25.0,1027.6,1024.0,9.1,17.8,No,No,19,4,2013
50,73452,2013-04-20,Nhil,4.1,20.3,0.0,E,33.0,ESE,NE,24.0,15.0,64.0,28.0,1022.8,1017.7,11.3,19.3,No,No,20,4,2013
51,73453,2013-04-21,Nhil,5.6,17.4,0.0,NNW,61.0,NE,N,13.0,15.0,48.0,81.0,1011.1,1006.5,11.2,10.3,No,Yes,21,4,2013
52,73454,2013-04-22,Nhil,9.9,19.4,9.8,NW,43.0,WNW,NW,15.0,28.0,86.0,64.0,1009.0,1008.4,12.6,18.0,Yes,No,22,4,2013
53,73455,2013-04-23,Nhil,8.0,17.4,0.4,SSW,35.0,SW,WSW,13.0,20.0,84.0,55.0,1017.4,1017.3,11.7,16.1,No,No,23,4,2013
54,73456,2013-04-24,Nhil,9.8,19.8,0.0,W,37.0,WNW,SW,13.0,9.0,77.0,71.0,1021.2,1018.9,12.8,17.3,No,Yes,24,4,2013
55,73457,2013-04-25,Nhil,9.6,20.8,1.2,WNW,54.0,NW,W,20.0,33.0,90.0,44.0,1022.8,1021.2,12.7,20.5,Yes,No,25,4,2013
56,73458,2013-04-26,Nhil,11.9,22.6,0.0,W,33.0,WNW,W,17.0,17.0,94.0,51.0,1024.7,1022.4,14.4,22.0,No,No,26,4,2013
57,73459,2013-04-27,Nhil,12.5,27.8,0.0,NW,59.0,N,NNW,24.0,33.0,58.0,20.0,1018.3,1012.3,16.7,27.3,No,No,27,4,2013
58,73460,2013-04-28,Nhil,13.9,18.6,0.0,WNW,33.0,SW,WSW,22.0,19.0,78.0,57.0,1016.9,1017.1,15.5,18.0,No,No,28,4,2013
59,73461,2013-04-29,Nhil,12.2,19.1,0.0,W,30.0,,WNW,0.0,11.0,65.0,39.0,1024.9,1024.0,13.6,18.5,No,No,29,4,2013
60,73462,2013-04-30,Nhil,7.9,19.9,0.0,NE,24.0,ENE,NW,17.0,7.0,62.0,36.0,1026.1,1022.7,12.5,19.4,No,No,30,4,2013
61,73463,2013-05-01,Nhil,7.7,20.3,0.0,SW,50.0,SW,SW,7.0,37.0,79.0,39.0,1024.4,1022.9,11.2,18.8,No,No,1,5,2013
62,73464,2013-05-02,Nhil,0.5,18.4,0.0,NE,31.0,ESE,NNE,11.0,9.0,73.0,31.0,1029.0,1025.4,9.7,17.8,No,No,2,5,2013
63,73465,2013-05-03,Nhil,5.4,22.4,0.0,NNW,41.0,NNE,N,15.0,24.0,51.0,21.0,1021.5,1016.1,9.7,21.8,No,No,3,5,2013
64,73466,2013-05-04,Nhil,6.9,17.4,0.0,SSE,43.0,SSE,SSE,19.0,20.0,65.0,33.0,1027.3,1025.1,10.8,16.6,No,No,4,5,2013
65,73467,2013-05-05,Nhil,0.5,16.9,0.0,SE,31.0,SE,ESE,7.0,13.0,77.0,35.0,1027.9,1024.3,7.9,16.1,No,No,5,5,2013
66,73468,2013-05-06,Nhil,7.8,12.2,0.0,E,33.0,E,E,9.0,13.0,66.0,69.0,1026.1,1023.0,9.5,11.8,No,Yes,6,5,2013
67,73469,2013-05-07,Nhil,8.4,23.9,1.2,NE,31.0,ENE,NE,19.0,17.0,70.0,28.0,1023.8,1021.4,10.9,23.5,Yes,No,7,5,2013
68,73470,2013-05-08,Nhil,8.8,26.3,0.0,ENE,31.0,ENE,NNE,20.0,11.0,75.0,27.0,1026.7,1023.8,11.9,25.9,No,No,8,5,2013
69,73471,2013-05-09,Nhil,9.6,27.9,0.0,NNE,37.0,ENE,N,17.0,13.0,66.0,24.0,1028.3,1025.5,14.8,27.3,No,No,9,5,2013
