,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,18115,2009-01-01,NorahHead,17.9,28.1,0.0,SSW,63.0,NW,NE,9.0,24.0,69.0,69.0,1005.3,1001.7,23.7,25.9,No,No,1,1,2009
1,18116,2009-01-02,NorahHead,19.1,23.8,0.0,S,69.0,SSE,SE,15.0,28.0,62.0,62.0,1012.5,1012.8,22.6,23.0,No,No,2,1,2009
2,18117,2009-01-03,NorahHead,17.1,23.0,0.0,NNE,52.0,E,NE,19.0,19.0,61.0,62.0,1021.1,1019.1,20.0,22.1,No,No,3,1,2009
3,18118,2009-01-04,NorahHead,19.7,25.0,0.0,NE,61.0,NNE,NE,39.0,46.0,70.0,68.0,1018.4,1015.2,22.8,23.7,No,No,4,1,2009
4,18119,2009-01-05,NorahHead,18.5,25.9,0.0,NNE,48.0,NNE,NE,20.0,35.0,73.0,73.0,1013.4,1009.0,22.8,23.7,No,No,5,1,2009
5,18120,2009-01-06,NorahHead,19.8,26.5,0.0,N,43.0,S,NE,28.0,20.0,92.0,80.0,1011.8,1008.7,20.1,24.3,No,No,6,1,2009
6,18121,2009-01-07,NorahHead,20.0,27.7,0.0,S,44.0,S,NNE,24.0,15.0,85.0,82.0,1010.1,1006.3,21.9,23.7,No,No,7,1,2009
7,18122,2009-01-08,NorahHead,20.4,22.3,0.0,SSE,57.0,S,SSE,35.0,41.0,86.0,81.0,1011.3,1012.3,21.0,20.6,No,Yes,8,1,2009
8,18123,2009-01-09,NorahHead,17.5,22.8,2.8,SSE,59.0,SSE,SE,43.0,30.0,64.0,59.0,1019.0,1018.3,19.3,20.9,Yes,No,9,1,2009
9,18124,2009-01-10,NorahHead,18.4,25.6,0.0,NE,50.0,NNE,ENE,19.0,22.0,62.0,51.0,1016.8,1013.8,20.9,23.4,No,No,10,1,2009
10,18125,2009-01-11,NorahHead,19.6,27.3,0.0,NE,43.0,NNE,ENE,19.0,30.0,69.0,66.0,1013.8,1011.6,23.0,24.0,No,No,11,1,2009
