,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,21119,2009-01-01,NorfolkIsland,20.4,25.8,0.0,NNW,31.0,NNW,NW,13.0,19.0,84.0,71.0,1014.5,1013.6,23.3,24.7,No,No,1,1,2009
1,21120,2009-01-02,NorfolkIsland,20.9,26.7,0.2,N,31.0,NNE,NE,15.0,6.0,79.0,77.0,1016.3,1015.5,25.0,25.1,No,No,2,1,2009
2,21121,2009-01-03,NorfolkIsland,22.3,26.3,0.0,E,35.0,ENE,SE,6.0,19.0,87.0,90.0,1014.6,1014.3,24.7,23.8,No,Yes,3,1,2009
3,21122,2009-01-04,NorfolkIsland,21.6,22.2,1.2,ESE,41.0,ESE,ESE,20.0,22.0,92.0,95.0,1016.0,1015.3,22.1,21.2,Yes,Yes,4,1,2009
4,21123,2009-01-05,NorfolkIsland,20.4,23.5,2.6,ESE,52.0,ESE,ESE,24.0,28.0,86.0,86.0,1015.3,1013.7,21.8,21.6,Yes,No,5,1,2009
5,21124,2009-01-06,NorfolkIsland,20.4,24.4,0.0,E,48.0,ESE,ESE,30.0,24.0,84.0,79.0,1014.5,1012.7,21.4,23.3,No,No,6,1,2009
6,21125,2009-01-07,NorfolkIsland,20.2,24.2,0.0,ESE,52.0,ESE,ESE,28.0,31.0,86.0,79.0,1014.1,1013.0,21.9,23.3,No,No,7,1,2009
7,21126,2009-01-08,NorfolkIsland,20.5,24.0,0.0,E,52.0,ESE,SE,28.0,28.0,82.0,82.0,1011.5,1009.4,22.5,22.8,No,No,8,1,2009
8,21127,2009-01-09,NorfolkIsland,20.9,22.0,0.0,SSE,61.0,SSE,SSE,28.0,33.0,92.0,95.0,1003.9,1000.4,21.9,21.6,No,Yes,9,1,2009
9,21128,2009-01-10,NorfolkIsland,18.5,23.1,45.2,SE,81.0,SE,ESE,46.0,33.0,77.0,64.0,1001.7,1001.2,19.8,22.1,Yes,No,10,1,2009
10,21129,2009-01-11,NorfolkIsland,19.7,22.8,0.4,SE,54.0,SE,SE,30.0,28.0,83.0,82.0,1006.4,1006.9,21.6,22.1,No,No,11,1,2009
