,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,102553,2009-01-01,Nuriootpa,13.3,22.7,0.0,WSW,61.0,SW,W,22.0,28.0,66.0,37.0,1010.4,1011.4,16.7,21.1,No,No,1,1,2009
1,102554,2009-01-02,Nuriootpa,7.0,22.4,0.0,SE,41.0,ESE,ESE,20.0,17.0,47.0,25.0,1020.1,1017.8,13.7,20.8,No,No,2,1,2009
2,102555,2009-01-03,Nuriootpa,10.5,28.9,0.0,SE,41.0,ENE,ESE,19.0,7.0,35.0,13.0,1018.0,1014.5,16.8,26.4,No,No,3,1,2009
3,102556,2009-01-04,Nuriootpa,9.8,33.1,0.0,WSW,37.0,ENE,WNW,15.0,22.0,23.0,7.0,1014.1,1011.8,23.5,32.8,No,No,4,1,2009
4,102557,2009-01-05,Nuriootpa,12.5,32.6,0.0,W,35.0,ESE,W,9.0,17.0,26.0,12.0,1015.0,1012.4,22.0,31.0,No,No,5,1,2009
5,102558,2009-01-06,Nuriootpa,12.1,33.8,0.0,SW,50.0,NE,WSW,7.0,22.0,23.0,14.0,1012.1,1008.9,24.3,32.5,No,No,6,1,2009
6,102559,2009-01-07,Nuriootpa,11.7,26.0,0.0,WSW,43.0,SW,SW,11.0,17.0,,44.0,1012.7,1012.4,18.2,24.7,No,No,7,1,2009
7,102560,2009-01-08,Nuriootpa,9.0,23.3,0.0,SE,43.0,SSE,SSE,17.0,20.0,49.0,29.0,1019.3,1018.4,16.0,21.8,No,No,8,1,2009
8,102561,2009-01-09,Nuriootpa,9.8,24.9,0.0,SE,46.0,E,ENE,22.0,13.0,43.0,22.0,1018.6,1014.7,14.3,22.3,No,No,9,1,2009
9,102562,2009-01-10,Nuriootpa,12.0,29.4,0.0,SSE,41.0,ESE,NNE,13.0,9.0,43.0,15.0,1012.1,1008.9,18.4,27.8,No,No,10,1,2009
10,102563,2009-01-11,Nuriootpa,11.2,28.3,0.0,SE,52.0,SE,SW,11.0,20.0,61.0,20.0,1012.1,1010.3,17.4,27.6,No,No,11,1,2009
