,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,114620,2009-01-01,PearceRAAF,18.8,38.4,0.0,E,50.0,ESE,SE,22.0,13.0,46.0,20.0,1010.4,1007.2,23.1,35.6,No,No,1,1,2009
1,114621,2009-01-02,PearceRAAF,22.0,39.1,0.0,E,52.0,NW,SW,4.0,31.0,38.0,23.0,1008.3,1007.4,27.1,36.0,No,No,2,1,2009
2,114622,2009-01-03,PearceRAAF,15.9,35.6,0.0,,,S,SSW,13.0,28.0,58.0,29.0,1012.1,1010.2,24.0,34.8,No,No,3,1,2009
3,114623,2009-01-04,PearceRAAF,,37.0,0.0,SE,43.0,SE,ESE,24.0,20.0,45.0,19.0,1016.6,1012.6,22.7,35.2,No,No,4,1,2009
4,114624,2009-01-05,PearceRAAF,21.8,38.6,0.0,E,59.0,ESE,SSE,15.0,15.0,35.0,15.0,1014.1,1010.1,26.8,37.3,No,No,5,1,2009
5,114625,2009-01-06,PearceRAAF,19.9,38.0,0.0,SSW,43.0,SE,SSE,24.0,20.0,50.0,20.0,1013.5,1009.1,24.9,37.1,No,No,6,1,2009
6,114626,2009-01-07,PearceRAAF,18.8,36.6,0.0,E,69.0,E,ESE,26.0,22.0,49.0,23.0,1013.8,1010.5,23.2,34.3,No,No,7,1,2009
7,114627,2009-01-08,PearceRAAF,19.6,38.1,0.0,SE,44.0,ESE,S,19.0,26.0,49.0,22.0,1014.1,1010.7,23.9,36.6,No,No,8,1,2009
8,114628,2009-01-09,PearceRAAF,19.4,38.3,0.0,,,SE,SSW,11.0,22.0,49.0,23.0,1015.0,1010.8,24.1,37.3,No,No,9,1,2009
9,114629,2009-01-10,PearceRAAF,,37.4,0.0,SSE,50.0,SE,SSW,17.0,30.0,41.0,22.0,1012.7,1009.7,26.0,35.9,No,No,10,1,2009
10,114630,2009-01-11,PearceRAAF,19.8,40.6,0.0,E,61.0,ENE,WSW,31.0,13.0,31.0,12.0,1008.6,1004.9,26.6,39.0,No,No,11,1,2009
11,114631,2009-01-12,PearceRAAF,13.3,28.8,0.0,SSW,59.0,SSW,SW,11.0,31.0,64.0,49.0,1007.3,1008.6,22.1,27.2,No,No,12,1,2009
12,114632,2009-01-13,PearceRAAF,9.1,27.8,0.0,SSW,48.0,S,S,11.0,17.0,50.0,27.0,1017.4,1014.5,19.8,26.5,No,No,13,1,2009
13,114633,2009-01-14,PearceRAAF,12.0,32.7,0.0,W,41.0,SE,SE,15.0,13.0,49.0,19.0,1016.8,1013.7,21.0,31.9,No,No,14,1,2009
