,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,24128,2008-12-01,Penrith,15.2,32.6,0.0,WNW,59.0,NNE,W,13.0,22.0,35.0,23.0,,,24.4,31.3,No,No,1,12,2008
1,24129,2008-12-02,Penrith,15.0,31.7,0.0,ENE,28.0,NNE,N,13.0,15.0,64.0,38.0,,,20.4,30.1,No,No,2,12,2008
2,24130,2008-12-03,Penrith,15.9,33.4,0.0,NW,52.0,N,NW,9.0,30.0,63.0,16.0,,,21.0,31.4,No,No,3,12,2008
3,24131,2008-12-04,Penrith,17.2,24.8,0.0,E,35.0,SSE,E,9.0,19.0,71.0,55.0,,,19.5,22.7,No,No,4,12,2008
4,24132,2008-12-05,Penrith,17.8,32.2,0.0,ENE,28.0,NE,ENE,7.0,15.0,97.0,48.0,,,19.8,29.6,No,No,5,12,2008
5,24133,2008-12-06,Penrith,18.1,36.2,0.2,W,46.0,NW,W,7.0,24.0,75.0,26.0,,,25.9,35.7,No,No,6,12,2008
6,24134,2008-12-07,Penrith,19.3,27.8,0.0,S,50.0,NE,SE,4.0,24.0,99.0,89.0,,,20.3,21.7,No,Yes,7,12,2008
7,24135,2008-12-08,Penrith,17.2,26.9,12.0,NNE,37.0,W,NNE,6.0,11.0,84.0,99.0,,,20.5,19.6,Yes,Yes,8,12,2008
8,24136,2008-12-09,Penrith,15.9,33.0,4.8,NNW,35.0,NNE,WNW,7.0,15.0,89.0,21.0,,,20.0,32.2,Yes,No,9,12,2008
9,24137,2008-12-10,Penrith,19.5,,0.0,,,SSE,,15.0,,60.0,,,,23.5,,No,,10,12,2008
10,24138,2008-12-11,Penrith,,18.7,,ESE,31.0,S,ESE,13.0,11.0,100.0,84.0,,,17.4,18.6,,Yes,11,12,2008
11,24139,2008-12-12,Penrith,15.5,21.1,6.8,SSW,17.0,E,SSW,7.0,9.0,100.0,,,,15.8,16.7,Yes,Yes,12,12,2008
12,24140,2008-12-13,Penrith,15.8,32.7,42.2,NW,76.0,NNW,WNW,9.0,31.0,100.0,35.0,,,21.1,32.0,Yes,No,13,12,2008
13,24141,2008-12-14,Penrith,19.1,25.5,0.0,WSW,61.0,W,WSW,26.0,30.0,42.0,37.0,,,21.8,23.3,No,No,14,12,2008
14,24142,2008-12-15,Penrith,15.1,27.3,0.0,S,43.0,SSW,SE,19.0,9.0,42.0,34.0,,,20.0,25.8,No,No,15,12,2008
15,24143,2008-12-16,Penrith,12.9,30.5,0.0,E,24.0,SSE,E,2.0,13.0,70.0,32.0,,,18.4,29.2,No,No,16,12,2008
16,24144,2008-12-17,Penrith,14.8,31.6,0.0,SE,50.0,N,N,4.0,13.0,69.0,30.0,,,21.9,30.4,No,No,17,12,2008
17,24145,2008-12-18,Penrith,18.6,33.5,0.0,NW,56.0,NNE,NW,7.0,30.0,60.0,26.0,,,23.3,32.1,No,No,18,12,2008
18,24146,2008-12-19,Penrith,15.8,28.5,0.0,SE,54.0,SE,SE,6.0,20.0,44.0,27.0,,,23.0,28.0,No,No,19,12,2008
19,24147,2008-12-20,Penrith,14.2,24.1,0.0,SSE,39.0,S,SE,19.0,20.0,52.0,55.0,,,18.3,20.6,No,No,20,12,2008
20,24148,2008-12-21,Penrith,10.7,25.8,0.0,ENE,30.0,SSW,E,6.0,13.0,66.0,40.0,,,18.6,24.1,No,No,21,12,2008
21,24149,2008-12-22,Penrith,13.3,30.1,0.0,ENE,33.0,N,NE,7.0,17.0,72.0,33.0,,,19.5,29.0,No,No,22,12,2008
22,24150,2008-12-23,Penrith,16.3,29.4,0.0,SE,35.0,S,ESE,17.0,7.0,82.0,47.0,,,21.2,29.4,No,No,23,12,2008
23,24151,2008-12-24,Penrith,18.3,19.9,0.0,S,24.0,SSE,WSW,9.0,7.0,86.0,99.0,,,18.9,19.1,No,No,24,12,2008
24,24152,2008-12-25,Penrith,17.6,27.8,0.6,NE,33.0,NNE,NNE,7.0,15.0,99.0,56.0,,,19.0,26.4,No,No,25,12,2008
25,24153,2008-12-26,Penrith,19.0,34.7,0.0,E,37.0,NW,NE,6.0,22.0,81.0,35.0,,,23.0,32.7,No,No,26,12,2008
26,24154,2008-12-27,Penrith,18.9,33.0,0.0,W,59.0,NW,NNE,4.0,28.0,93.0,48.0,,,23.7,30.2,No,Yes,27,12,2008
27,24155,2008-12-28,Penrith,17.2,34.9,1.8,NE,35.0,E,NNE,7.0,13.0,79.0,34.0,,,23.1,33.2,Yes,No,28,12,2008
28,24156,2008-12-29,Penrith,18.9,29.3,0.0,ESE,35.0,S,ESE,7.0,19.0,79.0,68.0,,,25.0,24.3,No,Yes,29,12,2008
29,24157,2008-12-30,Penrith,17.5,32.9,1.4,WNW,57.0,NNW,W,11.0,28.0,99.0,21.0,,,19.9,31.6,Yes,No,30,12,2008
30,24158,2008-12-31,Penrith,17.8,33.2,0.2,WNW,46.0,W,WNW,26.0,24.0,31.0,13.0,,,25.7,32.6,No,No,31,12,2008
31,24159,2009-01-01,Penrith,14.8,35.4,0.0,NW,59.0,NNE,WNW,9.0,28.0,65.0,17.0,,,21.9,34.4,No,No,1,1,2009
32,24160,2009-01-02,Penrith,16.9,28.5,0.0,SE,43.0,SE,SE,7.0,28.0,65.0,50.0,,,20.4,23.5,No,No,2,1,2009
