,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,74980,2009-01-01,Portland,12.5,16.6,0.0,SW,59.0,SW,SW,28.0,28.0,97.0,99.0,1006.7,1010.5,13.7,14.5,No,Yes,1,1,2009
1,74981,2009-01-02,Portland,8.6,15.2,1.6,SSW,39.0,SW,S,20.0,17.0,60.0,61.0,1020.0,1021.3,11.9,14.0,Yes,No,2,1,2009
2,74982,2009-01-03,Portland,1.6,18.0,0.2,S,30.0,NE,ESE,9.0,15.0,67.0,52.0,1020.4,1018.3,11.6,17.5,No,No,3,1,2009
3,74983,2009-01-04,Portland,4.8,20.1,0.0,S,28.0,E,S,11.0,17.0,73.0,63.0,1016.4,1015.2,14.7,18.1,No,No,4,1,2009
4,74984,2009-01-05,Portland,4.4,18.8,0.0,W,46.0,W,W,20.0,31.0,72.0,68.0,1014.0,1013.4,14.9,18.0,No,No,5,1,2009
5,74985,2009-01-06,Portland,,20.0,0.0,,,WNW,W,17.0,26.0,99.0,81.0,1010.9,1010.8,15.4,18.9,No,Yes,6,1,2009
6,74986,2009-01-07,Portland,12.8,18.6,1.4,WSW,50.0,SW,W,9.0,28.0,88.0,57.0,1011.5,1012.8,14.6,17.9,Yes,No,7,1,2009
7,74987,2009-01-08,Portland,10.8,16.2,0.0,S,39.0,SSW,S,20.0,22.0,58.0,50.0,1019.8,1021.5,12.9,15.0,No,No,8,1,2009
8,74988,2009-01-09,Portland,10.9,18.0,0.0,SE,35.0,SE,ESE,17.0,19.0,56.0,51.0,1022.2,1019.7,14.1,17.2,No,No,9,1,2009
9,74989,2009-01-10,Portland,11.8,18.5,0.0,ESE,33.0,E,SSE,15.0,19.0,71.0,56.0,1014.5,1013.0,15.4,17.7,No,No,10,1,2009
10,74990,2009-01-11,Portland,7.4,18.6,0.0,W,35.0,,WSW,0.0,24.0,75.0,51.0,1012.7,1013.1,14.0,17.5,No,No,11,1,2009
11,74991,2009-01-12,Portland,13.4,21.6,0.2,S,24.0,WNW,SSE,9.0,13.0,89.0,64.0,1018.3,1017.5,16.2,20.8,No,No,12,1,2009
12,74992,2009-01-13,Portland,11.0,36.8,0.0,NW,48.0,N,W,15.0,30.0,51.0,14.0,1010.9,1006.7,21.4,36.3,No,No,13,1,2009
13,74993,2009-01-14,Portland,15.2,18.5,0.0,W,43.0,SSW,S,17.0,15.0,90.0,71.0,1011.5,1012.7,15.4,17.2,No,No,14,1,2009
14,74994,2009-01-15,Portland,10.5,20.0,0.0,WSW,54.0,W,WSW,20.0,30.0,61.0,58.0,1015.8,1017.5,16.7,18.2,No,No,15,1,2009
15,74995,2009-01-16,Portland,13.0,17.6,0.0,WSW,52.0,SW,SW,28.0,26.0,51.0,47.0,1020.3,1022.7,14.6,15.7,No,No,16,1,2009
16,74996,2009-01-17,Portland,7.4,18.5,0.0,SSW,41.0,SE,SE,9.0,15.0,59.0,52.0,1024.4,1023.9,14.5,17.2,No,No,17,1,2009
17,74997,2009-01-18,Portland,2.7,22.6,0.0,E,28.0,ENE,ESE,13.0,19.0,67.0,50.0,1021.8,1019.7,14.1,20.9,No,No,18,1,2009
18,74998,2009-01-19,Portland,8.4,29.4,0.0,WSW,39.0,E,SSW,9.0,20.0,72.0,28.0,1012.3,1010.3,16.9,26.0,No,No,19,1,2009
19,74999,2009-01-20,Portland,13.2,27.8,0.0,W,56.0,WSW,NNW,9.0,20.0,78.0,27.0,1006.3,1007.6,18.0,24.6,No,No,20,1,2009
20,75000,2009-01-21,Portland,8.4,22.4,0.0,W,43.0,NW,W,17.0,35.0,79.0,53.0,1011.3,1008.2,16.3,21.2,No,No,21,1,2009
21,75001,2009-01-22,Portland,13.5,23.2,0.0,WNW,83.0,NW,W,44.0,41.0,46.0,63.0,994.6,998.9,21.7,17.8,No,No,22,1,2009
22,75002,2009-01-23,Portland,8.1,23.3,0.2,WNW,57.0,N,W,15.0,31.0,75.0,50.0,1006.6,1003.1,12.8,21.4,No,Yes,23,1,2009
23,75003,2009-01-24,Portland,12.6,18.3,7.4,W,57.0,WSW,WSW,28.0,28.0,60.0,48.0,1008.8,1013.6,15.3,17.3,Yes,No,24,1,2009
24,75004,2009-01-25,Portland,6.5,20.4,0.0,W,39.0,N,W,7.0,24.0,78.0,54.0,1018.5,1018.9,13.8,19.6,No,No,25,1,2009
25,75005,2009-01-26,Portland,6.9,21.5,0.0,SE,33.0,SE,ESE,9.0,19.0,86.0,63.0,1022.6,1021.4,16.6,20.4,No,No,26,1,2009
26,75006,2009-01-27,Portland,12.3,33.1,0.0,E,28.0,ENE,ESE,15.0,15.0,87.0,35.0,1016.3,1013.3,15.5,32.1,No,No,27,1,2009
27,75007,2009-01-28,Portland,15.1,39.1,0.0,N,41.0,N,S,11.0,15.0,29.0,19.0,1009.0,1008.6,27.5,33.4,No,No,28,1,2009
28,75008,2009-01-29,Portland,18.3,39.3,0.0,W,59.0,N,W,19.0,28.0,33.0,21.0,1006.9,1007.8,31.3,36.5,No,No,29,1,2009
29,75009,2009-01-30,Portland,18.2,30.9,0.0,,,S,S,13.0,19.0,64.0,65.0,1011.7,1011.8,23.2,23.7,No,No,30,1,2009
30,75010,2009-01-31,Portland,,25.2,0.0,SE,50.0,SE,ESE,20.0,28.0,77.0,77.0,1015.7,1017.2,21.2,20.8,No,No,31,1,2009
31,75011,2009-02-01,Portland,16.1,26.1,0.0,ESE,41.0,ESE,SE,20.0,20.0,87.0,64.0,1017.1,1014.7,17.9,25.2,No,No,1,2,2009
32,75012,2009-02-02,Portland,17.6,21.4,0.0,SE,35.0,S,SSE,9.0,19.0,93.0,89.0,1012.6,1013.7,19.3,19.2,No,No,2,2,2009
33,75013,2009-02-03,Portland,15.9,24.0,0.0,E,39.0,ESE,ESE,20.0,28.0,83.0,64.0,1014.7,1012.2,17.4,23.1,No,No,3,2,2009
34,75014,2009-02-04,Portland,14.9,26.2,0.0,E,31.0,E,E,19.0,17.0,83.0,57.0,1009.7,1007.5,17.8,25.5,No,No,4,2,2009
35,75015,2009-02-05,Portland,13.4,20.4,0.0,,,WSW,SSW,17.0,15.0,84.0,68.0,1008.4,1010.6,17.2,20.4,No,No,5,2,2009
36,75016,2009-02-06,Portland,6.1,26.8,0.0,SW,57.0,ENE,SSE,15.0,17.0,89.0,77.0,1009.5,1008.6,14.3,18.7,No,No,6,2,2009
37,75017,2009-02-07,Portland,14.3,33.8,0.0,WSW,67.0,ESE,SW,9.0,15.0,82.0,74.0,1000.4,1003.2,20.4,21.5,No,No,7,2,2009
38,75018,2009-02-08,Portland,14.2,20.4,0.0,SW,46.0,WSW,SW,22.0,26.0,57.0,58.0,1013.6,1016.1,16.3,18.2,No,No,8,2,2009
39,75019,2009-02-09,Portland,12.1,17.9,0.0,SSW,35.0,S,SSW,17.0,22.0,53.0,44.0,1019.9,1019.7,14.0,16.6,No,Yes,9,2,2009
40,75020,2009-02-10,Portland,9.9,17.2,1.6,S,43.0,SSW,S,15.0,20.0,67.0,58.0,1020.5,1021.3,13.1,15.5,Yes,No,10,2,2009
41,75021,2009-02-11,Portland,11.9,16.7,0.0,S,39.0,S,S,19.0,17.0,56.0,62.0,1023.1,1023.3,13.1,14.1,No,No,11,2,2009
42,75022,2009-02-12,Portland,11.5,17.7,0.8,ESE,52.0,SE,SE,20.0,28.0,60.0,56.0,1024.5,1024.3,14.4,17.3,No,No,12,2,2009
43,75023,2009-02-13,Portland,13.5,22.9,0.0,E,50.0,E,ESE,30.0,20.0,54.0,48.0,1026.5,1024.3,16.4,22.1,No,No,13,2,2009
44,75024,2009-02-14,Portland,8.8,21.9,0.0,SSW,35.0,ESE,S,9.0,15.0,82.0,61.0,1023.0,1020.8,16.0,20.5,No,No,14,2,2009
45,75025,2009-02-15,Portland,15.3,21.0,0.0,ESE,52.0,ESE,SE,28.0,31.0,80.0,72.0,1020.7,1020.5,17.4,18.8,No,No,15,2,2009
46,75026,2009-02-16,Portland,15.2,23.7,0.0,SE,37.0,ESE,SE,24.0,22.0,87.0,61.0,1019.7,1017.1,17.4,22.1,No,No,16,2,2009
47,75027,2009-02-17,Portland,14.5,25.8,0.0,ESE,31.0,ENE,SE,19.0,20.0,80.0,52.0,1015.5,1013.6,17.0,24.8,No,No,17,2,2009
48,75028,2009-02-18,Portland,13.1,31.3,0.0,W,37.0,ENE,WSW,9.0,26.0,80.0,23.0,1011.5,1009.5,18.4,30.3,No,No,18,2,2009
49,75029,2009-02-19,Portland,12.0,27.6,0.0,WSW,43.0,NNE,W,7.0,22.0,83.0,65.0,1007.9,1007.5,17.7,22.5,No,No,19,2,2009
50,75030,2009-02-20,Portland,14.9,20.4,0.0,WSW,37.0,WSW,WSW,17.0,17.0,75.0,66.0,1014.2,1016.2,16.0,17.3,No,No,20,2,2009
