,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,27167,2009-01-01,Richmond,12.0,33.1,0.0,W,61.0,ENE,W,9.0,31.0,,,1005.5,1001.0,20.0,32.1,No,No,1,1,2009
1,27168,2009-01-02,Richmond,15.9,25.8,0.0,SE,50.0,ENE,SE,13.0,35.0,,,1012.6,1012.1,20.0,23.7,No,No,2,1,2009
2,27169,2009-01-03,Richmond,13.6,20.8,0.0,E,24.0,SSW,NNE,7.0,9.0,,,1021.9,1019.1,16.8,20.0,No,No,3,1,2009
3,27170,2009-01-04,Richmond,16.3,30.1,0.0,NE,33.0,ENE,NE,4.0,17.0,,,1018.7,1013.5,19.6,29.3,No,No,4,1,2009
4,27171,2009-01-05,Richmond,14.6,36.5,0.0,W,57.0,NNE,WSW,7.0,24.0,,,1013.1,1007.7,21.2,36.1,No,No,5,1,2009
5,27172,2009-01-06,Richmond,14.0,38.2,0.0,NNW,59.0,ESE,NE,6.0,11.0,,,1011.8,1006.1,22.5,38.0,No,No,6,1,2009
6,27173,2009-01-07,Richmond,15.6,38.2,0.0,W,48.0,NE,NW,9.0,19.0,,,1010.0,1004.2,22.2,35.8,No,No,7,1,2009
7,27174,2009-01-08,Richmond,19.4,21.4,0.0,SE,43.0,SSE,SE,11.0,19.0,,,1012.4,1013.4,20.2,18.3,No,Yes,8,1,2009
8,27175,2009-01-09,Richmond,14.2,21.2,1.4,E,37.0,SSW,E,17.0,13.0,,,1020.3,1018.5,16.9,19.9,Yes,No,9,1,2009
9,27176,2009-01-10,Richmond,11.3,25.1,0.0,NE,35.0,SSE,E,6.0,19.0,,,1017.1,1012.7,17.2,23.3,No,No,10,1,2009
10,27177,2009-01-11,Richmond,11.8,28.5,0.0,ESE,37.0,W,NE,2.0,17.0,,,1014.3,1009.8,19.4,27.8,No,Yes,11,1,2009
11,27178,2009-01-12,Richmond,15.4,28.3,3.4,ENE,50.0,W,ESE,4.0,30.0,,,1015.8,1014.8,17.8,26.4,Yes,No,12,1,2009
12,27179,2009-01-13,Richmond,17.8,31.1,0.2,NE,35.0,NE,NE,11.0,17.0,,,1019.4,1015.0,22.7,29.3,No,No,13,1,2009
13,27180,2009-01-14,Richmond,15.1,38.4,0.0,ENE,37.0,E,ENE,4.0,13.0,,,1014.6,1009.5,22.3,37.0,No,No,14,1,2009
14,27181,2009-01-15,Richmond,17.6,40.7,0.0,SE,72.0,NE,NW,11.0,24.0,,,1008.9,1005.1,29.7,39.9,No,No,15,1,2009
15,27182,2009-01-16,Richmond,15.9,34.9,0.4,SE,63.0,S,NNE,6.0,11.0,,,1012.9,1007.4,19.8,30.7,No,No,16,1,2009
16,27183,2009-01-17,Richmond,14.7,21.4,0.2,SSE,35.0,SSW,SE,11.0,17.0,,,1020.8,1020.1,15.9,20.0,No,No,17,1,2009
17,27184,2009-01-18,Richmond,10.7,28.0,0.0,NE,33.0,NE,ENE,4.0,11.0,,,1022.1,1018.5,18.0,27.1,No,No,18,1,2009
18,27185,2009-01-19,Richmond,11.6,33.5,0.0,ESE,41.0,NNE,NE,6.0,19.0,,23.0,1019.4,1013.5,18.9,31.9,No,No,19,1,2009
19,27186,2009-01-20,Richmond,15.4,39.0,0.0,NNW,44.0,NE,NW,4.0,19.0,60.0,19.0,1013.7,1008.8,22.7,38.5,No,No,20,1,2009
20,27187,2009-01-21,Richmond,21.6,38.9,0.0,SSW,46.0,NNE,NW,9.0,17.0,61.0,26.0,1011.7,1006.6,26.5,38.1,No,Yes,21,1,2009
21,27188,2009-01-22,Richmond,21.2,32.6,1.6,NW,48.0,ENE,NNW,13.0,22.0,65.0,48.0,1008.9,1005.7,26.0,30.9,Yes,No,22,1,2009
22,27189,2009-01-23,Richmond,23.0,36.4,0.2,ESE,46.0,NNE,ENE,17.0,19.0,53.0,40.0,1008.9,1006.0,29.6,35.0,No,No,23,1,2009
23,27190,2009-01-24,Richmond,23.0,41.0,0.0,SE,69.0,NW,WNW,20.0,35.0,51.0,23.0,1004.8,1002.6,32.6,40.5,No,No,24,1,2009
24,27191,2009-01-25,Richmond,19.8,27.6,0.0,E,33.0,SSE,ENE,15.0,13.0,57.0,40.0,1019.8,1017.4,21.5,27.2,No,No,25,1,2009
25,27192,2009-01-26,Richmond,21.1,30.7,0.0,ESE,39.0,WSW,SE,9.0,19.0,64.0,51.0,1019.4,1018.1,22.5,30.1,No,Yes,26,1,2009
26,27193,2009-01-27,Richmond,19.8,29.2,10.6,S,28.0,SW,SE,9.0,9.0,99.0,63.0,1021.4,1019.1,20.3,27.3,Yes,No,27,1,2009
27,27194,2009-01-28,Richmond,18.1,35.1,0.2,ENE,33.0,NNE,NE,7.0,17.0,99.0,38.0,1018.7,1014.6,19.3,32.9,No,No,28,1,2009
28,27195,2009-01-29,Richmond,16.9,34.7,0.0,ENE,35.0,NE,NNE,6.0,11.0,89.0,37.0,1018.8,1014.9,21.5,32.8,No,No,29,1,2009
29,27196,2009-01-30,Richmond,17.6,34.8,0.0,ENE,37.0,ENE,NNE,6.0,13.0,74.0,32.0,1018.5,1014.2,24.3,33.3,No,No,30,1,2009
30,27197,2009-01-31,Richmond,17.5,37.5,0.0,E,35.0,ESE,ENE,6.0,15.0,76.0,31.0,1017.4,1012.1,23.5,36.6,No,No,31,1,2009
31,27198,2009-02-01,Richmond,19.7,33.3,0.0,SE,39.0,S,ESE,13.0,26.0,71.0,43.0,1015.6,1014.4,24.8,31.8,No,No,1,2,2009
32,27199,2009-02-02,Richmond,19.5,35.5,0.0,E,37.0,,ENE,0.0,15.0,75.0,36.0,1016.3,1010.4,25.0,34.0,No,No,2,2,2009
33,27200,2009-02-03,Richmond,20.5,34.0,0.0,SE,46.0,SE,SSE,6.0,28.0,69.0,37.0,1010.8,1008.7,24.0,31.9,No,No,3,2,2009
34,27201,2009-02-04,Richmond,21.6,33.2,0.0,E,31.0,ESE,NNE,2.0,11.0,77.0,43.0,1011.6,1007.9,23.9,31.8,No,No,4,2,2009
35,27202,2009-02-05,Richmond,19.7,40.1,0.0,ENE,35.0,N,NE,2.0,15.0,76.0,26.0,1009.2,1004.1,25.0,38.3,No,No,5,2,2009
36,27203,2009-02-06,Richmond,22.1,41.3,0.0,ENE,44.0,SSE,NE,11.0,20.0,71.0,23.0,1010.8,1006.2,26.0,40.4,No,No,6,2,2009
37,27204,2009-02-07,Richmond,21.7,41.9,0.0,ENE,43.0,WNW,NE,4.0,24.0,64.0,18.0,1013.4,1008.7,26.1,41.0,No,No,7,2,2009
38,27205,2009-02-08,Richmond,17.6,41.4,0.0,SE,43.0,NNE,NNE,9.0,11.0,54.0,24.0,1010.8,1005.7,24.3,39.5,No,No,8,2,2009
39,27206,2009-02-09,Richmond,21.6,23.5,0.0,S,30.0,SSE,SE,11.0,15.0,83.0,71.0,1012.1,1011.6,22.0,22.5,No,Yes,9,2,2009
40,27207,2009-02-10,Richmond,17.3,19.8,2.8,SE,24.0,SSE,S,9.0,9.0,95.0,97.0,1011.4,1010.2,18.2,19.2,Yes,Yes,10,2,2009
41,27208,2009-02-11,Richmond,16.2,21.8,4.6,S,35.0,SW,SSW,13.0,19.0,84.0,64.0,1011.6,1011.8,16.7,21.1,Yes,No,11,2,2009
42,27209,2009-02-12,Richmond,15.6,20.6,0.0,SE,39.0,SSW,S,17.0,17.0,75.0,69.0,1017.8,1018.6,18.1,20.1,No,Yes,12,2,2009
43,27210,2009-02-13,Richmond,15.0,18.9,7.6,SE,50.0,WSW,SE,11.0,19.0,97.0,91.0,1026.1,1024.9,15.3,17.3,Yes,Yes,13,2,2009
44,27211,2009-02-14,Richmond,15.0,18.4,18.2,S,28.0,SSW,SSW,17.0,15.0,96.0,96.0,1023.3,1019.2,15.6,17.8,Yes,Yes,14,2,2009
45,27212,2009-02-15,Richmond,15.6,21.7,27.6,S,35.0,SSW,SW,17.0,17.0,93.0,90.0,1015.2,1014.1,17.6,20.1,Yes,Yes,15,2,2009
46,27213,2009-02-16,Richmond,16.5,24.4,39.8,SE,52.0,SSW,SE,11.0,31.0,97.0,60.0,1018.1,1017.4,18.3,22.5,Yes,Yes,16,2,2009
47,27214,2009-02-17,Richmond,16.5,21.8,3.4,SE,31.0,SSW,SSE,9.0,13.0,94.0,67.0,1017.3,1015.7,18.2,21.4,Yes,Yes,17,2,2009
48,27215,2009-02-18,Richmond,17.4,27.4,13.6,SSW,35.0,SW,SSW,17.0,15.0,83.0,55.0,1011.0,1008.4,20.5,26.4,Yes,No,18,2,2009
49,27216,2009-02-19,Richmond,18.9,29.7,0.0,W,59.0,N,N,15.0,17.0,73.0,76.0,1008.0,1005.3,23.1,24.5,No,Yes,19,2,2009
50,27217,2009-02-20,Richmond,18.8,32.4,5.0,SE,41.0,NNE,ENE,6.0,11.0,82.0,43.0,1011.8,1008.6,21.2,31.6,Yes,No,20,2,2009
51,27218,2009-02-21,Richmond,20.8,26.8,0.2,SE,41.0,S,E,2.0,11.0,90.0,87.0,1013.2,1012.6,22.0,21.7,No,Yes,21,2,2009
52,27219,2009-02-22,Richmond,18.5,26.1,24.6,SE,28.0,WSW,ENE,6.0,7.0,89.0,60.0,1018.9,1017.0,19.6,24.9,Yes,No,22,2,2009
53,27220,2009-02-23,Richmond,19.5,31.6,0.2,NNW,54.0,NNE,NE,13.0,22.0,76.0,56.0,1016.9,1011.6,22.5,31.1,No,Yes,23,2,2009
54,27221,2009-02-24,Richmond,18.0,32.5,8.2,SE,37.0,,ESE,0.0,26.0,99.0,51.0,1014.7,1011.5,19.2,31.5,Yes,No,24,2,2009
55,27222,2009-02-25,Richmond,19.2,30.0,0.2,SE,39.0,,NE,0.0,6.0,82.0,55.0,1016.5,1013.1,22.0,29.1,No,No,25,2,2009
56,27223,2009-02-26,Richmond,18.8,25.5,0.0,ESE,35.0,SW,SE,7.0,13.0,75.0,49.0,1020.7,1017.8,20.3,24.8,No,No,26,2,2009
57,27224,2009-02-27,Richmond,15.2,26.2,0.0,E,24.0,SW,E,7.0,11.0,72.0,45.0,1018.4,1015.1,20.0,24.9,No,No,27,2,2009
58,27225,2009-02-28,Richmond,14.6,32.8,0.0,SW,31.0,,NNE,0.0,6.0,85.0,44.0,1009.8,1005.6,17.4,31.7,No,No,28,2,2009
59,27226,2009-03-01,Richmond,17.4,28.8,0.0,ESE,31.0,NNE,NE,7.0,7.0,76.0,43.0,1010.8,1009.7,22.2,28.4,No,No,1,3,2009
60,27227,2009-03-02,Richmond,18.3,27.8,0.0,ENE,52.0,,NNE,0.0,15.0,85.0,52.0,1016.6,1014.4,20.6,27.1,No,No,2,3,2009
