,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,61182,2009-01-01,Sale,10.7,22.1,0.0,WSW,76.0,W,WSW,41.0,31.0,46.0,62.0,1001.7,1003.4,18.4,16.7,No,No,1,1,2009
1,61183,2009-01-02,Sale,8.0,18.9,0.0,W,50.0,W,WSW,30.0,33.0,61.0,36.0,1016.2,1017.3,12.5,16.7,No,No,2,1,2009
2,61184,2009-01-03,Sale,4.2,20.0,0.0,ESE,33.0,WNW,ESE,7.0,15.0,63.0,43.0,1020.9,1018.0,12.9,18.8,No,No,3,1,2009
3,61185,2009-01-04,Sale,6.7,24.3,0.0,ESE,33.0,SSW,E,6.0,19.0,70.0,47.0,1017.0,1013.4,16.4,23.2,No,No,4,1,2009
4,61186,2009-01-05,Sale,8.9,27.9,0.0,ENE,37.0,WNW,SE,11.0,24.0,79.0,52.0,1011.4,1008.9,15.9,25.5,No,No,5,1,2009
5,61187,2009-01-06,Sale,10.8,32.2,0.0,SE,44.0,W,SE,13.0,30.0,58.0,45.0,1010.0,1006.9,19.7,26.3,No,No,6,1,2009
6,61188,2009-01-07,Sale,15.3,20.2,0.0,W,30.0,SSW,SE,15.0,15.0,84.0,74.0,1008.6,1008.3,17.8,19.6,No,No,7,1,2009
7,61189,2009-01-08,Sale,11.4,20.4,0.0,SSW,43.0,W,SW,20.0,28.0,59.0,49.0,1016.0,1017.2,16.3,16.8,No,No,8,1,2009
8,61190,2009-01-09,Sale,4.7,21.1,0.0,E,43.0,NW,E,9.0,20.0,66.0,33.0,1021.6,1018.6,13.6,20.4,No,No,9,1,2009
9,61191,2009-01-10,Sale,10.6,26.3,0.0,S,44.0,NW,SSE,11.0,22.0,73.0,54.0,1012.8,1009.8,16.2,22.9,No,No,10,1,2009
10,61192,2009-01-11,Sale,11.0,22.5,0.0,SE,33.0,S,SE,11.0,13.0,73.0,61.0,1011.4,1009.7,19.3,21.4,No,No,11,1,2009
11,61193,2009-01-12,Sale,7.7,23.3,0.0,ESE,35.0,WNW,ESE,11.0,20.0,68.0,52.0,1018.4,1017.9,16.2,22.9,No,No,12,1,2009
12,61194,2009-01-13,Sale,11.9,34.7,0.0,ESE,37.0,ENE,SSE,6.0,15.0,74.0,27.0,1014.8,1010.1,18.4,33.1,No,No,13,1,2009
