,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,123831,2009-01-01,SalmonGums,14.8,31.8,0.4,E,46.0,ESE,SE,28.0,20.0,62.0,28.0,,,18.2,30.1,No,No,1,1,2009
1,123832,2009-01-02,SalmonGums,14.7,37.6,0.0,NNE,43.0,NE,NNW,24.0,17.0,58.0,22.0,,,21.2,35.7,No,No,2,1,2009
2,123833,2009-01-03,SalmonGums,15.8,32.0,0.0,SSW,54.0,SSW,SSW,15.0,30.0,60.0,37.0,,,23.5,30.4,No,No,3,1,2009
3,123834,2009-01-04,SalmonGums,17.0,30.8,0.0,E,50.0,SE,ESE,24.0,22.0,66.0,29.0,,,19.0,28.7,No,No,4,1,2009
4,123835,2009-01-05,SalmonGums,11.0,35.9,0.0,SSE,41.0,NE,E,15.0,11.0,61.0,21.0,,,19.7,33.2,No,No,5,1,2009
5,123836,2009-01-06,SalmonGums,15.6,31.8,0.0,SSE,44.0,SE,ESE,19.0,19.0,67.0,32.0,,,20.3,30.4,No,No,6,1,2009
6,123837,2009-01-07,SalmonGums,16.2,30.9,0.0,ENE,46.0,ENE,E,28.0,24.0,68.0,33.0,,,19.2,28.7,No,No,7,1,2009
7,123838,2009-01-08,SalmonGums,15.9,34.3,0.0,ESE,44.0,ENE,E,24.0,22.0,60.0,30.0,,,20.7,31.9,No,No,8,1,2009
8,123839,2009-01-09,SalmonGums,15.1,34.5,0.0,SE,46.0,ENE,ENE,22.0,9.0,59.0,25.0,,,20.7,32.6,No,No,9,1,2009
9,123840,2009-01-10,SalmonGums,14.3,35.3,0.0,SSE,50.0,NE,SSE,15.0,11.0,52.0,23.0,,,21.1,34.2,No,No,10,1,2009
10,123841,2009-01-11,SalmonGums,10.2,38.0,0.0,NNW,39.0,NNE,WNW,19.0,19.0,47.0,19.0,,,23.1,35.7,No,No,11,1,2009
11,123842,2009-01-12,SalmonGums,23.0,42.5,0.0,NW,76.0,N,SSW,35.0,41.0,18.0,34.0,,,32.0,30.2,No,No,12,1,2009
12,123843,2009-01-13,SalmonGums,14.1,26.9,0.8,SSE,39.0,SSW,W,17.0,13.0,62.0,31.0,,,19.4,25.5,No,No,13,1,2009
13,123844,2009-01-14,SalmonGums,8.7,28.3,0.0,SE,41.0,E,SSE,9.0,19.0,58.0,32.0,,,19.6,27.2,No,No,14,1,2009
14,123845,2009-01-15,SalmonGums,10.2,31.9,0.0,E,39.0,E,E,26.0,22.0,59.0,22.0,,,19.4,29.7,No,No,15,1,2009
15,123846,2009-01-16,SalmonGums,14.6,37.0,0.0,NE,39.0,NNE,NNE,26.0,19.0,54.0,13.0,,,21.2,35.1,No,No,16,1,2009
16,123847,2009-01-17,SalmonGums,21.2,39.0,0.0,SSW,54.0,NNW,S,24.0,31.0,20.0,28.0,,,28.9,33.7,No,No,17,1,2009
17,123848,2009-01-18,SalmonGums,18.1,25.8,0.0,S,46.0,SE,S,19.0,35.0,73.0,55.0,,,19.9,24.2,No,Yes,18,1,2009
18,123849,2009-01-19,SalmonGums,15.0,18.2,16.8,SSE,41.0,SE,S,24.0,22.0,94.0,94.0,,,15.4,16.0,Yes,Yes,19,1,2009
19,123850,2009-01-20,SalmonGums,13.0,26.5,11.2,SE,31.0,SE,SSW,11.0,19.0,62.0,44.0,,,16.1,24.6,Yes,No,20,1,2009
20,123851,2009-01-21,SalmonGums,10.9,33.7,0.0,WSW,48.0,N,W,4.0,28.0,70.0,23.0,,,19.2,31.1,No,No,21,1,2009
21,123852,2009-01-22,SalmonGums,16.8,29.3,0.0,SSW,39.0,SW,SSW,19.0,15.0,74.0,34.0,,,20.5,27.5,No,No,22,1,2009
22,123853,2009-01-23,SalmonGums,13.0,30.2,0.0,S,44.0,WSW,SSW,22.0,24.0,64.0,37.0,,,22.4,29.3,No,No,23,1,2009
23,123854,2009-01-24,SalmonGums,10.6,33.8,0.0,SSE,44.0,NNE,SSW,15.0,11.0,66.0,24.0,,,18.6,31.6,No,No,24,1,2009
24,123855,2009-01-25,SalmonGums,12.5,37.0,0.0,SE,50.0,ENE,NE,15.0,15.0,52.0,19.0,,,22.6,34.6,No,No,25,1,2009
25,123856,2009-01-26,SalmonGums,20.8,43.4,0.0,NNW,57.0,NNE,N,30.0,33.0,22.0,14.0,,,28.9,41.4,No,Yes,26,1,2009
26,123857,2009-01-27,SalmonGums,18.0,21.9,7.4,S,33.0,SSE,E,19.0,13.0,94.0,92.0,,,18.2,20.6,Yes,Yes,27,1,2009
27,123858,2009-01-28,SalmonGums,18.1,20.8,47.8,E,26.0,ENE,ESE,11.0,11.0,95.0,94.0,,,19.4,20.7,Yes,Yes,28,1,2009
28,123859,2009-01-29,SalmonGums,17.6,24.8,28.8,ESE,39.0,S,SE,13.0,19.0,95.0,72.0,,,19.5,23.6,Yes,No,29,1,2009
29,123860,2009-01-30,SalmonGums,17.2,25.4,0.0,E,39.0,ESE,E,19.0,20.0,89.0,66.0,,,18.0,24.8,No,No,30,1,2009
30,123861,2009-01-31,SalmonGums,17.2,24.3,0.0,ESE,33.0,E,E,20.0,20.0,89.0,74.0,,,18.6,23.3,No,No,31,1,2009
31,123862,2009-02-01,SalmonGums,18.3,32.6,0.0,ESE,31.0,E,ESE,15.0,13.0,80.0,50.0,,,22.5,31.8,No,No,1,2,2009
32,123863,2009-02-02,SalmonGums,17.6,34.0,0.0,SE,35.0,E,E,20.0,17.0,65.0,41.0,,,24.3,33.1,No,No,2,2,2009
33,123864,2009-02-03,SalmonGums,17.2,38.6,0.0,SSW,44.0,NNW,S,13.0,31.0,56.0,46.0,,,27.5,34.0,No,No,3,2,2009
34,123865,2009-02-04,SalmonGums,18.2,25.7,0.0,S,46.0,S,SSE,17.0,30.0,90.0,55.0,,,19.2,24.2,No,No,4,2,2009
35,123866,2009-02-05,SalmonGums,13.9,,0.0,,,E,ENE,17.0,13.0,76.0,52.0,,,18.0,25.6,No,,5,2,2009
36,123867,2009-02-06,SalmonGums,,22.7,,E,33.0,ESE,S,11.0,20.0,79.0,83.0,,,19.3,19.6,,No,6,2,2009
37,123868,2009-02-07,SalmonGums,12.6,22.2,0.0,SSE,44.0,SSW,S,20.0,24.0,61.0,58.0,,,19.1,20.6,No,No,7,2,2009
38,123869,2009-02-08,SalmonGums,6.2,25.1,0.0,ESE,43.0,E,SE,15.0,22.0,54.0,38.0,,,17.9,24.5,No,No,8,2,2009
39,123870,2009-02-09,SalmonGums,9.1,25.3,0.0,ESE,46.0,E,E,24.0,26.0,57.0,41.0,,,20.0,24.5,No,No,9,2,2009
40,123871,2009-02-10,SalmonGums,13.7,27.0,0.0,E,48.0,ENE,ENE,26.0,22.0,49.0,31.0,,,19.5,26.4,No,No,10,2,2009
41,123872,2009-02-11,SalmonGums,14.9,28.9,0.0,NNE,46.0,NE,ENE,30.0,15.0,58.0,31.0,,,17.7,27.7,No,No,11,2,2009
42,123873,2009-02-12,SalmonGums,14.1,33.2,0.0,NNE,48.0,NNE,NE,24.0,20.0,56.0,22.0,,,19.4,31.4,No,No,12,2,2009
43,123874,2009-02-13,SalmonGums,18.3,28.4,0.0,S,39.0,SSW,S,6.0,20.0,36.0,52.0,,,23.1,26.6,No,No,13,2,2009
44,123875,2009-02-14,SalmonGums,19.5,35.6,0.0,E,57.0,ENE,ENE,28.0,35.0,53.0,14.0,,,22.6,34.6,No,No,14,2,2009
45,123876,2009-02-15,SalmonGums,18.0,33.6,0.0,ENE,54.0,ENE,NNE,30.0,28.0,63.0,24.0,,,19.6,31.4,No,No,15,2,2009
46,123877,2009-02-16,SalmonGums,18.7,35.9,0.0,S,48.0,NNE,SSW,13.0,20.0,31.0,36.0,,,25.6,30.0,No,No,16,2,2009
47,123878,2009-02-17,SalmonGums,16.6,26.6,1.0,S,43.0,SSE,SSE,22.0,24.0,79.0,47.0,,,18.7,25.0,No,No,17,2,2009
48,123879,2009-02-18,SalmonGums,15.4,22.8,0.0,S,37.0,ESE,SE,20.0,17.0,69.0,52.0,,,17.4,21.4,No,No,18,2,2009
49,123880,2009-02-19,SalmonGums,5.7,27.4,0.0,SE,44.0,ESE,ESE,19.0,19.0,69.0,34.0,,,18.3,25.5,No,No,19,2,2009
50,123881,2009-02-20,SalmonGums,9.4,28.9,0.0,SE,39.0,ENE,ENE,19.0,20.0,67.0,26.0,,,17.6,28.1,No,No,20,2,2009
51,123882,2009-02-21,SalmonGums,13.0,32.2,0.0,N,37.0,NNE,NE,26.0,17.0,66.0,26.0,,,18.8,30.1,No,No,21,2,2009
52,123883,2009-02-22,SalmonGums,17.7,27.6,0.0,S,48.0,SSW,S,17.0,31.0,36.0,50.0,,,26.3,24.7,No,No,22,2,2009
53,123884,2009-02-23,SalmonGums,11.9,30.1,0.0,NE,41.0,E,NE,26.0,17.0,59.0,34.0,,,17.1,27.4,No,No,23,2,2009
54,123885,2009-02-24,SalmonGums,16.6,29.2,0.0,NE,50.0,NE,NE,30.0,26.0,80.0,52.0,,,18.3,27.1,No,No,24,2,2009
55,123886,2009-02-25,SalmonGums,15.1,25.2,0.6,WSW,46.0,SSW,NE,15.0,13.0,88.0,63.0,,,18.5,24.3,No,No,25,2,2009
56,123887,2009-02-26,SalmonGums,11.5,25.3,0.2,SW,48.0,WSW,SSW,19.0,20.0,67.0,25.0,,,15.5,24.0,No,No,26,2,2009
57,123888,2009-02-27,SalmonGums,6.6,26.8,0.0,SSE,37.0,ENE,ENE,13.0,13.0,79.0,33.0,,,16.9,25.1,No,No,27,2,2009
58,123889,2009-02-28,SalmonGums,12.7,29.6,0.0,ENE,46.0,ENE,ENE,19.0,26.0,82.0,33.0,,,17.0,28.5,No,No,28,2,2009
59,123890,2009-03-01,SalmonGums,16.8,26.1,0.0,NE,43.0,NE,NNE,19.0,22.0,84.0,61.0,,,17.8,24.8,No,No,1,3,2009
60,123891,2009-03-02,SalmonGums,17.8,22.6,0.0,SW,63.0,NW,SSW,19.0,24.0,82.0,77.0,,,22.4,18.9,No,No,2,3,2009
61,123892,2009-03-03,SalmonGums,7.8,20.0,0.0,SSW,41.0,WSW,SSW,17.0,24.0,67.0,39.0,,,13.2,18.3,No,No,3,3,2009
62,123893,2009-03-04,SalmonGums,6.1,24.2,0.0,SE,39.0,ESE,ESE,15.0,19.0,64.0,37.0,,,15.8,22.2,No,No,4,3,2009
63,123894,2009-03-05,SalmonGums,6.3,26.6,0.0,SSE,30.0,ENE,SE,19.0,15.0,73.0,35.0,,,15.5,25.0,No,No,5,3,2009
64,123895,2009-03-06,SalmonGums,7.5,27.7,0.0,S,46.0,NNW,S,13.0,24.0,71.0,39.0,,,18.6,25.6,No,No,6,3,2009
65,123896,2009-03-07,SalmonGums,10.7,23.3,0.0,E,37.0,SE,SE,17.0,19.0,68.0,43.0,,,16.3,22.2,No,No,7,3,2009
66,123897,2009-03-08,SalmonGums,5.9,26.8,0.0,ENE,41.0,NE,E,15.0,17.0,77.0,35.0,,,15.6,25.3,No,No,8,3,2009
67,123898,2009-03-09,SalmonGums,9.4,29.2,0.0,ENE,35.0,NNE,W,17.0,7.0,61.0,27.0,,,17.5,28.1,No,No,9,3,2009
68,123899,2009-03-10,SalmonGums,11.7,31.3,0.0,ENE,37.0,NNE,NNE,17.0,15.0,68.0,21.0,,,19.1,29.6,No,No,10,3,2009
69,123900,2009-03-11,SalmonGums,16.0,35.8,0.0,S,52.0,N,WNW,20.0,13.0,54.0,17.0,,,21.3,33.6,No,No,11,3,2009
70,123901,2009-03-12,SalmonGums,15.7,23.6,0.0,SE,31.0,SE,SE,13.0,7.0,83.0,53.0,,,16.8,22.7,No,No,12,3,2009
71,123902,2009-03-13,SalmonGums,12.3,24.9,0.0,SSE,54.0,SSW,S,24.0,35.0,61.0,58.0,,,17.7,20.2,No,No,13,3,2009
72,123903,2009-03-14,SalmonGums,5.9,26.0,0.0,SSE,33.0,ESE,E,17.0,13.0,55.0,28.0,,,16.1,24.7,No,No,14,3,2009
73,123904,2009-03-15,SalmonGums,10.8,26.7,0.0,NE,37.0,NE,ENE,24.0,22.0,67.0,30.0,,,15.4,25.2,No,No,15,3,2009
