,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,30176,2008-02-01,Sydney,19.5,22.4,15.6,,,S,SSW,17.0,20.0,92.0,84.0,1017.6,1017.4,20.7,20.9,Yes,Yes,1,2,2008
1,30177,2008-02-02,Sydney,19.5,25.6,6.0,,,W,E,9.0,13.0,83.0,73.0,1017.9,1016.4,22.4,24.8,Yes,Yes,2,2,2008
2,30178,2008-02-03,Sydney,21.6,24.5,6.6,,,ESE,ESE,17.0,2.0,88.0,86.0,1016.7,1015.6,23.5,23.0,Yes,Yes,3,2,2008
3,30179,2008-02-04,Sydney,20.2,22.8,18.8,,,NNE,E,22.0,20.0,83.0,90.0,1014.2,1011.8,21.4,20.9,Yes,Yes,4,2,2008
4,30180,2008-02-05,Sydney,19.7,25.7,77.4,,,NNE,W,11.0,6.0,88.0,74.0,1008.3,1004.8,22.5,25.5,Yes,Yes,5,2,2008
5,30181,2008-02-06,Sydney,20.2,27.2,1.6,,,W,ENE,9.0,22.0,69.0,62.0,1002.7,998.6,23.8,26.0,Yes,Yes,6,2,2008
6,30182,2008-02-07,Sydney,18.6,26.3,6.2,,,W,S,15.0,15.0,75.0,80.0,999.0,1000.3,21.7,22.3,Yes,Yes,7,2,2008
7,30183,2008-02-08,Sydney,17.2,22.3,27.6,,,S,SE,7.0,15.0,77.0,61.0,1008.3,1007.4,18.9,21.1,Yes,Yes,8,2,2008
8,30184,2008-02-09,Sydney,16.4,20.8,12.6,,,SSW,W,19.0,9.0,92.0,91.0,1006.4,1007.6,17.1,16.5,Yes,Yes,9,2,2008
9,30185,2008-02-10,Sydney,14.6,24.2,8.8,,,W,SSE,11.0,20.0,80.0,53.0,1014.0,1013.4,17.2,23.3,Yes,No,10,2,2008
10,30186,2008-02-11,Sydney,16.4,23.9,0.0,,,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,18.9,23.7,No,No,11,2,2008
11,30187,2008-02-12,Sydney,18.9,27.3,0.0,,,N,NE,7.0,24.0,68.0,67.0,1010.7,1007.5,22.9,24.7,No,Yes,12,2,2008
12,30188,2008-02-13,Sydney,18.4,22.8,14.4,,,S,S,24.0,30.0,87.0,70.0,1009.2,1011.7,20.9,21.0,Yes,Yes,13,2,2008
13,30189,2008-02-14,Sydney,16.9,24.3,3.0,,,SSW,SSE,15.0,19.0,81.0,51.0,1017.2,1016.5,18.4,23.3,Yes,No,14,2,2008
14,30190,2008-02-15,Sydney,18.3,24.4,0.0,,,SW,SSE,19.0,22.0,80.0,56.0,1020.2,1018.9,19.5,23.8,No,No,15,2,2008
15,30191,2008-02-16,Sydney,16.7,24.1,0.0,,,WNW,SSE,11.0,26.0,77.0,52.0,1023.0,1022.6,19.8,23.3,No,No,16,2,2008
16,30192,2008-02-17,Sydney,19.5,24.8,0.0,,,SE,ESE,13.0,24.0,63.0,62.0,1024.7,1023.1,21.8,23.4,No,No,17,2,2008
17,30193,2008-02-18,Sydney,18.6,25.3,0.0,,,SSE,ENE,13.0,24.0,70.0,59.0,1021.7,1019.4,21.2,23.8,No,No,18,2,2008
18,30194,2008-02-19,Sydney,19.0,24.8,0.0,,,WNW,E,7.0,17.0,79.0,65.0,1018.0,1015.4,20.8,23.4,No,No,19,2,2008
19,30195,2008-02-20,Sydney,18.3,26.4,0.0,,,W,E,13.0,22.0,80.0,60.0,1013.4,1010.8,21.3,25.2,No,No,20,2,2008
20,30196,2008-02-21,Sydney,20.6,26.8,0.0,,,WNW,SE,4.0,15.0,86.0,62.0,1011.4,1009.7,22.1,24.9,No,No,21,2,2008
21,30197,2008-02-22,Sydney,19.1,25.4,0.4,,,WNW,E,11.0,28.0,77.0,66.0,1009.2,1003.1,22.3,24.9,No,No,22,2,2008
22,30198,2008-02-23,Sydney,20.5,26.0,0.0,,,WSW,ESE,20.0,24.0,38.0,45.0,1007.4,1007.0,22.5,24.0,No,No,23,2,2008
23,30199,2008-02-24,Sydney,16.5,28.3,0.0,,,WNW,ESE,11.0,24.0,48.0,40.0,1007.9,1008.0,21.2,26.1,No,No,24,2,2008
24,30200,2008-02-25,Sydney,20.5,24.2,0.0,,,E,E,15.0,20.0,58.0,54.0,1017.5,1016.9,21.6,23.5,No,No,25,2,2008
25,30201,2008-02-26,Sydney,19.3,26.2,0.0,,,WSW,E,2.0,28.0,73.0,65.0,1018.3,1015.6,23.0,25.8,No,Yes,26,2,2008
26,30202,2008-02-27,Sydney,19.0,29.0,22.2,,,,NNE,0.0,15.0,82.0,52.0,1014.1,1010.6,21.3,24.7,Yes,Yes,27,2,2008
27,30203,2008-02-28,Sydney,17.9,21.4,4.2,,,S,ESE,20.0,9.0,77.0,88.0,1010.0,1010.1,20.4,19.2,Yes,Yes,28,2,2008
28,30204,2008-02-29,Sydney,14.7,20.6,33.0,,,SW,S,24.0,28.0,65.0,51.0,1015.3,1015.6,17.1,19.9,Yes,No,29,2,2008
29,30205,2008-03-01,Sydney,12.8,22.0,0.2,,,W,SSE,19.0,31.0,55.0,46.0,1020.9,1020.6,15.9,21.2,No,Yes,1,3,2008
30,30206,2008-03-02,Sydney,14.2,23.4,5.4,,,W,SE,13.0,17.0,93.0,54.0,1026.2,1025.2,15.1,22.4,Yes,No,2,3,2008
