,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,33520,2009-01-01,SydneyAirport,17.7,35.1,0.0,S,72.0,NW,NW,15.0,33.0,63.0,13.0,1005.3,1000.2,22.9,34.0,No,No,1,1,2009
1,33521,2009-01-02,SydneyAirport,18.5,23.0,0.0,S,63.0,SSE,SE,15.0,35.0,63.0,58.0,1012.9,1014.1,20.6,20.1,No,No,2,1,2009
2,33522,2009-01-03,SydneyAirport,16.9,23.2,0.0,,,ESE,ENE,15.0,17.0,52.0,50.0,1021.8,1019.4,18.9,22.0,No,No,3,1,2009
3,33523,2009-01-04,SydneyAirport,18.7,27.1,0.0,NE,65.0,NNE,NE,24.0,48.0,60.0,51.0,1018.5,1014.9,22.9,25.9,No,No,4,1,2009
4,33524,2009-01-05,SydneyAirport,20.2,31.6,0.0,NNE,63.0,WNW,NE,11.0,35.0,58.0,52.0,1013.2,1008.0,24.9,29.0,No,No,5,1,2009
5,33525,2009-01-06,SydneyAirport,19.9,29.7,0.0,NE,41.0,S,E,19.0,20.0,82.0,54.0,1011.7,1007.8,22.7,28.7,No,No,6,1,2009
6,33526,2009-01-07,SydneyAirport,20.6,34.9,0.0,S,59.0,SSE,NE,15.0,26.0,79.0,52.0,1010.0,1004.7,22.3,30.3,No,No,7,1,2009
7,33527,2009-01-08,SydneyAirport,20.2,21.7,0.2,SSW,56.0,S,S,33.0,35.0,85.0,78.0,1012.4,1013.6,20.7,19.7,No,No,8,1,2009
8,33528,2009-01-09,SydneyAirport,17.4,22.9,0.0,SSE,50.0,SSE,SE,30.0,28.0,54.0,44.0,1020.2,1018.8,19.4,22.3,No,No,9,1,2009
9,33529,2009-01-10,SydneyAirport,16.3,24.0,0.0,ENE,48.0,E,NE,17.0,28.0,49.0,44.0,1017.0,1013.8,20.3,23.2,No,No,10,1,2009
10,33530,2009-01-11,SydneyAirport,18.0,26.6,0.0,NE,54.0,NNE,NE,24.0,33.0,57.0,48.0,1013.9,1011.3,23.1,25.7,No,No,11,1,2009
11,33531,2009-01-12,SydneyAirport,18.5,24.0,0.8,S,39.0,S,S,9.0,28.0,81.0,72.0,1015.5,1016.5,21.8,23.7,No,No,12,1,2009
12,33532,2009-01-13,SydneyAirport,19.3,27.9,0.6,NNE,59.0,SSE,NE,11.0,35.0,84.0,48.0,1019.5,1016.1,21.9,26.7,No,No,13,1,2009
13,33533,2009-01-14,SydneyAirport,20.9,32.0,0.0,NE,67.0,N,NE,9.0,46.0,57.0,39.0,1014.5,1010.5,26.5,30.9,No,No,14,1,2009
