,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,93280,2008-12-01,Townsville,24.4,31.4,23.6,ENE,33.0,NE,ENE,11.0,26.0,72.0,74.0,1011.9,1008.9,30.1,30.1,Yes,No,1,12,2008
1,93281,2008-12-02,Townsville,25.9,31.7,0.6,ENE,37.0,E,ENE,19.0,28.0,72.0,70.0,1012.4,1008.9,29.7,30.4,No,Yes,2,12,2008
2,93282,2008-12-03,Townsville,26.1,32.0,2.4,ENE,33.0,ENE,NNE,20.0,9.0,59.0,44.0,1013.5,1010.4,29.4,31.2,Yes,No,3,12,2008
3,93283,2008-12-04,Townsville,23.9,31.2,0.0,NE,41.0,ENE,NE,11.0,26.0,63.0,62.0,1014.2,1011.9,29.0,30.5,No,No,4,12,2008
4,93284,2008-12-05,Townsville,24.2,32.3,0.0,ENE,39.0,ESE,ENE,20.0,26.0,65.0,65.0,1015.1,1012.3,29.8,30.7,No,Yes,5,12,2008
5,93285,2008-12-06,Townsville,26.2,31.8,1.4,ENE,35.0,NE,ENE,22.0,28.0,74.0,66.0,1013.2,1009.2,29.9,30.9,Yes,No,6,12,2008
6,93286,2008-12-07,Townsville,26.7,32.4,0.0,NNE,39.0,N,N,20.0,24.0,71.0,65.0,1010.6,1006.4,29.3,31.5,No,Yes,7,12,2008
7,93287,2008-12-08,Townsville,22.5,30.9,76.8,SSW,54.0,NE,ENE,2.0,13.0,93.0,70.0,1011.0,1006.3,24.4,30.4,Yes,Yes,8,12,2008
8,93288,2008-12-09,Townsville,23.8,32.2,3.8,ESE,59.0,E,ENE,17.0,28.0,76.0,71.0,1010.3,1006.3,29.2,30.8,Yes,No,9,12,2008
9,93289,2008-12-10,Townsville,27.5,31.5,0.0,ENE,39.0,ENE,ENE,20.0,28.0,72.0,73.0,1010.4,1007.2,30.2,30.7,No,No,10,12,2008
10,93290,2008-12-11,Townsville,27.3,31.6,0.0,NE,33.0,ENE,ENE,20.0,26.0,70.0,63.0,1010.8,1007.1,29.9,31.0,No,No,11,12,2008
11,93291,2008-12-12,Townsville,25.2,31.4,0.0,ENE,39.0,NE,ENE,15.0,22.0,61.0,57.0,1011.0,1008.1,29.8,30.3,No,No,12,12,2008
12,93292,2008-12-13,Townsville,26.2,32.2,0.0,N,33.0,N,N,17.0,20.0,71.0,61.0,1009.7,1005.9,29.5,31.7,No,No,13,12,2008
13,93293,2008-12-14,Townsville,27.5,34.0,0.0,WSW,80.0,NNW,N,13.0,15.0,74.0,66.0,1006.7,1002.2,29.9,33.0,No,Yes,14,12,2008
14,93294,2008-12-15,Townsville,23.4,33.8,21.2,ENE,28.0,SW,NE,17.0,17.0,36.0,42.0,1007.8,1004.8,30.7,32.3,Yes,No,15,12,2008
15,93295,2008-12-16,Townsville,26.1,31.7,0.0,ENE,43.0,ESE,ENE,26.0,31.0,67.0,53.0,1011.0,1008.8,29.9,31.1,No,No,16,12,2008
16,93296,2008-12-17,Townsville,27.2,31.2,0.0,ENE,41.0,ENE,ENE,24.0,30.0,63.0,64.0,1012.1,1009.2,29.8,30.2,No,No,17,12,2008
