,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,36529,2009-01-01,WaggaWagga,9.9,28.4,0.0,WNW,59.0,NW,W,7.0,35.0,37.0,24.0,1005.2,1003.5,20.8,27.0,No,No,1,1,2009
1,36530,2009-01-02,WaggaWagga,8.9,25.3,0.0,WSW,48.0,SW,SW,22.0,28.0,37.0,10.0,1013.9,1012.9,14.7,23.2,No,No,2,1,2009
2,36531,2009-01-03,WaggaWagga,11.0,30.7,0.0,NE,39.0,ENE,NNE,26.0,9.0,43.0,18.0,1017.8,1014.3,18.9,28.0,No,No,3,1,2009
3,36532,2009-01-04,WaggaWagga,14.7,35.2,0.0,N,39.0,NE,NW,17.0,13.0,46.0,19.0,1014.8,1010.6,24.7,33.7,No,No,4,1,2009
4,36533,2009-01-05,WaggaWagga,11.8,36.5,0.0,W,43.0,NNE,SW,7.0,19.0,23.0,5.0,1013.1,1009.8,23.6,34.6,No,No,5,1,2009
5,36534,2009-01-06,WaggaWagga,12.5,39.1,0.0,SW,72.0,NE,W,6.0,30.0,23.0,3.0,1011.4,1007.4,25.8,37.4,No,No,6,1,2009
6,36535,2009-01-07,WaggaWagga,15.6,41.8,0.0,NNW,59.0,ESE,W,13.0,30.0,17.0,5.0,1006.4,1002.5,29.1,39.4,No,No,7,1,2009
7,36536,2009-01-08,WaggaWagga,14.5,30.4,0.0,W,54.0,WSW,WSW,19.0,28.0,38.0,8.0,1011.9,1010.9,18.9,28.5,No,No,8,1,2009
8,36537,2009-01-09,WaggaWagga,14.8,28.7,0.0,ENE,78.0,E,NE,30.0,20.0,46.0,18.0,1016.9,1013.5,19.0,27.2,No,No,9,1,2009
9,36538,2009-01-10,WaggaWagga,15.9,29.7,0.0,ENE,61.0,ENE,ENE,26.0,20.0,43.0,31.0,1013.4,1008.8,19.3,27.1,No,No,10,1,2009
10,36539,2009-01-11,WaggaWagga,18.1,31.3,0.0,E,33.0,ENE,NNW,20.0,9.0,51.0,38.0,1010.1,1007.3,22.6,29.1,No,No,11,1,2009
11,36540,2009-01-12,WaggaWagga,16.5,35.4,0.0,NE,39.0,ENE,WSW,9.0,15.0,53.0,17.0,1013.9,1011.8,24.9,33.9,No,No,12,1,2009
12,36541,2009-01-13,WaggaWagga,19.4,38.3,0.0,ENE,41.0,ENE,N,15.0,13.0,50.0,16.0,1016.1,1011.2,25.0,36.1,No,No,13,1,2009
13,36542,2009-01-14,WaggaWagga,20.9,42.0,0.0,WNW,50.0,N,W,13.0,24.0,29.0,10.0,1012.3,1008.1,31.0,41.0,No,No,14,1,2009
14,36543,2009-01-15,WaggaWagga,25.6,36.9,0.0,W,48.0,W,WSW,26.0,26.0,19.0,7.0,1008.6,1009.0,32.4,35.0,No,No,15,1,2009
15,36544,2009-01-16,WaggaWagga,14.0,28.4,0.0,SW,61.0,WSW,SW,24.0,37.0,35.0,15.0,1014.6,1012.3,20.0,26.7,No,No,16,1,2009
16,36545,2009-01-17,WaggaWagga,10.8,29.3,0.0,E,35.0,ESE,NE,15.0,11.0,27.0,14.0,1018.4,1016.6,18.1,26.6,No,No,17,1,2009
17,36546,2009-01-18,WaggaWagga,13.7,31.8,0.0,E,30.0,ENE,NNE,17.0,9.0,45.0,14.0,1020.1,1016.7,18.9,29.9,No,No,18,1,2009
18,36547,2009-01-19,WaggaWagga,15.9,36.4,0.0,W,46.0,ENE,W,13.0,20.0,36.0,10.0,1016.0,1011.0,25.2,35.0,No,No,19,1,2009
19,36548,2009-01-20,WaggaWagga,21.8,40.0,0.0,W,115.0,N,NNE,17.0,20.0,41.0,19.0,1011.0,1006.0,30.9,37.2,No,Yes,20,1,2009
20,36549,2009-01-21,WaggaWagga,16.4,37.9,15.8,N,65.0,NNE,NW,17.0,20.0,47.0,13.0,1009.3,1006.7,27.9,36.7,Yes,No,21,1,2009
21,36550,2009-01-22,WaggaWagga,23.1,35.0,0.2,WNW,94.0,NNW,NNW,26.0,33.0,61.0,39.0,1007.0,1001.5,25.2,32.5,No,Yes,22,1,2009
22,36551,2009-01-23,WaggaWagga,19.8,35.5,12.8,NNW,46.0,N,NNW,4.0,28.0,69.0,42.0,1008.1,1004.6,23.4,33.3,Yes,No,23,1,2009
