,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,126832,2009-01-01,Walpole,15.7,24.5,0.0,ESE,44.0,E,SE,17.0,28.0,73.0,66.0,1016.5,1014.0,18.0,23.1,No,No,1,1,2009
1,126833,2009-01-02,Walpole,13.2,25.7,0.0,S,35.0,E,S,11.0,13.0,78.0,71.0,1013.4,1011.1,20.0,24.7,No,No,2,1,2009
2,126834,2009-01-03,Walpole,17.1,21.8,0.0,SE,33.0,SSE,SSE,13.0,15.0,73.0,66.0,1017.0,1016.6,19.1,20.7,No,No,3,1,2009
3,126835,2009-01-04,Walpole,12.9,24.9,0.0,SE,31.0,ESE,S,4.0,13.0,74.0,53.0,1019.7,1017.4,19.8,23.9,No,No,4,1,2009
4,126836,2009-01-05,Walpole,14.3,24.5,0.0,SW,31.0,NE,SSE,9.0,15.0,71.0,75.0,1017.5,1015.5,20.4,22.4,No,No,5,1,2009
5,126837,2009-01-06,Walpole,17.4,23.3,0.0,SE,39.0,SE,SSE,9.0,19.0,73.0,90.0,1018.0,1017.3,20.5,18.6,No,No,6,1,2009
6,126838,2009-01-07,Walpole,12.5,23.4,0.0,SE,46.0,E,SE,15.0,30.0,68.0,55.0,1020.4,1017.0,17.3,22.2,No,No,7,1,2009
7,126839,2009-01-08,Walpole,13.1,25.6,0.0,SE,41.0,E,SE,19.0,24.0,75.0,64.0,1020.1,1017.6,18.9,24.3,No,No,8,1,2009
8,126840,2009-01-09,Walpole,13.9,25.6,0.0,SSE,35.0,E,SSE,15.0,17.0,70.0,67.0,1019.6,1017.0,19.9,22.8,No,No,9,1,2009
9,126841,2009-01-10,Walpole,13.3,24.1,0.0,SSE,30.0,W,SSE,4.0,17.0,98.0,66.0,1016.1,1015.1,15.9,23.2,No,No,10,1,2009
10,126842,2009-01-11,Walpole,13.2,31.3,0.0,SSE,30.0,N,SSE,9.0,15.0,84.0,64.0,1011.1,1007.1,19.3,25.9,No,No,11,1,2009
11,126843,2009-01-12,Walpole,16.0,22.6,0.0,W,41.0,NW,WSW,15.0,17.0,85.0,92.0,1005.5,1008.3,21.1,16.7,No,No,12,1,2009
12,126844,2009-01-13,Walpole,13.0,22.2,1.0,WSW,33.0,SW,WSW,17.0,15.0,60.0,51.0,1016.3,1016.3,18.5,21.0,No,No,13,1,2009
13,126845,2009-01-14,Walpole,11.6,23.5,0.0,SSW,33.0,WNW,S,9.0,15.0,74.0,49.0,1019.6,1019.3,17.0,22.3,No,No,14,1,2009
14,126846,2009-01-15,Walpole,13.1,29.4,0.0,SE,37.0,ENE,SE,17.0,24.0,75.0,50.0,1021.3,1017.2,18.9,27.3,No,No,15,1,2009
15,126847,2009-01-16,Walpole,16.9,38.4,0.0,NW,41.0,NE,SSE,9.0,13.0,51.0,46.0,1013.3,1009.6,25.5,30.9,No,No,16,1,2009
