,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,77989,2009-01-01,Watsonia,13.9,20.0,0.0,SSW,61.0,W,SW,19.0,31.0,56.0,48.0,1004.8,1006.0,16.9,18.0,No,No,1,1,2009
1,77990,2009-01-02,Watsonia,8.9,18.4,0.8,SW,52.0,SW,SW,13.0,24.0,75.0,41.0,1017.8,1019.0,11.7,17.1,No,No,2,1,2009
2,77991,2009-01-03,Watsonia,5.2,21.4,0.0,SSW,28.0,SE,SW,6.0,17.0,59.0,44.0,1020.7,1017.4,12.9,19.9,No,No,3,1,2009
3,77992,2009-01-04,Watsonia,7.7,30.5,0.0,SSW,30.0,NNE,SSW,6.0,13.0,73.0,16.0,1016.4,1012.7,13.7,29.0,No,No,4,1,2009
4,77993,2009-01-05,Watsonia,10.6,29.9,0.0,SW,33.0,ENE,SW,4.0,13.0,66.0,27.0,1011.5,1010.1,18.8,28.4,No,No,5,1,2009
5,77994,2009-01-06,Watsonia,12.8,31.7,0.0,SSW,48.0,E,SSW,6.0,24.0,53.0,36.0,1010.4,1007.4,20.9,29.7,No,No,6,1,2009
6,77995,2009-01-07,Watsonia,16.5,22.6,0.0,SSW,39.0,SSE,SW,7.0,24.0,89.0,58.0,1009.7,1009.9,16.9,21.9,No,No,7,1,2009
7,77996,2009-01-08,Watsonia,11.4,19.3,0.0,S,52.0,SW,SSW,19.0,30.0,59.0,42.0,1017.2,1018.6,15.1,17.7,No,No,8,1,2009
8,77997,2009-01-09,Watsonia,9.6,22.4,0.0,SW,43.0,SSE,SSE,13.0,15.0,52.0,36.0,1021.4,1017.3,15.0,21.4,No,No,9,1,2009
9,77998,2009-01-10,Watsonia,10.8,25.6,0.0,SW,39.0,NW,SSW,4.0,22.0,69.0,46.0,1013.6,1009.6,15.2,23.2,No,No,10,1,2009
10,77999,2009-01-11,Watsonia,13.4,25.4,0.0,SW,41.0,E,SSW,6.0,17.0,85.0,51.0,1011.8,1009.4,15.1,23.8,No,No,11,1,2009
11,78000,2009-01-12,Watsonia,10.0,26.0,0.0,S,30.0,E,S,2.0,13.0,75.0,44.0,1018.4,1017.1,14.7,23.9,No,No,12,1,2009
12,78001,2009-01-13,Watsonia,11.4,37.2,0.0,NNW,43.0,NE,NNW,9.0,17.0,62.0,15.0,1013.9,1009.8,20.5,34.4,No,No,13,1,2009
13,78002,2009-01-14,Watsonia,20.5,34.5,0.0,N,46.0,N,WSW,28.0,17.0,12.0,44.0,1006.9,1008.5,33.3,27.5,No,No,14,1,2009
14,78003,2009-01-15,Watsonia,14.4,24.4,0.0,SW,44.0,WSW,SW,17.0,20.0,63.0,41.0,1015.6,1014.4,16.6,22.3,No,No,15,1,2009
15,78004,2009-01-16,Watsonia,14.0,20.3,0.0,SSW,57.0,WSW,SSW,24.0,26.0,51.0,39.0,1017.0,1018.4,17.0,20.0,No,No,16,1,2009
16,78005,2009-01-17,Watsonia,12.6,21.5,0.0,SW,44.0,S,SW,15.0,22.0,53.0,43.0,1022.7,1022.2,15.1,19.6,No,No,17,1,2009
17,78006,2009-01-18,Watsonia,8.2,27.8,0.0,SW,30.0,ESE,SW,6.0,19.0,64.0,39.0,1021.7,1018.5,14.9,24.7,No,No,18,1,2009
