,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,39538,2009-01-01,Williamtown,15.2,34.0,0.0,NW,41.0,WNW,SE,17.0,20.0,62.0,36.0,1005.2,1001.5,23.7,28.7,No,No,1,1,2009
1,39539,2009-01-02,Williamtown,18.3,24.5,0.0,S,54.0,S,E,13.0,30.0,61.0,57.0,1012.1,1011.7,21.6,23.4,No,No,2,1,2009
2,39540,2009-01-03,Williamtown,16.8,23.5,0.4,NE,37.0,ESE,ENE,19.0,22.0,60.0,58.0,1020.4,1018.4,20.1,21.7,No,No,3,1,2009
3,39541,2009-01-04,Williamtown,17.5,27.8,0.0,E,50.0,NE,ENE,19.0,35.0,60.0,51.0,1018.4,1014.6,22.7,26.4,No,No,4,1,2009
4,39542,2009-01-05,Williamtown,14.8,36.0,0.0,ENE,37.0,NNW,ENE,15.0,26.0,67.0,39.0,1013.6,1008.7,22.5,33.8,No,No,5,1,2009
5,39543,2009-01-06,Williamtown,18.6,33.7,0.0,ENE,39.0,SSE,ESE,13.0,19.0,68.0,49.0,1011.1,1008.1,26.3,29.2,No,No,6,1,2009
6,39544,2009-01-07,Williamtown,19.7,35.5,0.0,NE,30.0,S,ENE,15.0,19.0,81.0,40.0,1009.9,1005.8,24.1,33.8,No,No,7,1,2009
7,39545,2009-01-08,Williamtown,20.7,23.8,0.0,SSW,48.0,SSW,S,35.0,24.0,83.0,79.0,1010.3,1011.9,21.7,21.8,No,Yes,8,1,2009
8,39546,2009-01-09,Williamtown,17.6,23.0,1.4,S,43.0,SE,SSE,24.0,28.0,61.0,51.0,1018.7,1017.6,19.1,21.9,Yes,No,9,1,2009
9,39547,2009-01-10,Williamtown,13.3,24.9,0.0,ESE,44.0,NE,ESE,7.0,30.0,57.0,46.0,1016.2,1012.8,20.6,22.9,No,No,10,1,2009
10,39548,2009-01-11,Williamtown,12.9,27.9,0.0,,,NE,ENE,17.0,28.0,56.0,45.0,1013.3,1010.3,22.7,26.6,No,No,11,1,2009
11,39549,2009-01-12,Williamtown,16.1,28.2,0.0,SE,43.0,ENE,ESE,6.0,31.0,64.0,61.0,1014.4,1014.5,24.0,27.1,No,No,12,1,2009
12,39550,2009-01-13,Williamtown,16.6,28.2,0.0,ENE,46.0,NE,ENE,17.0,26.0,62.0,50.0,1018.8,1016.1,23.7,27.7,No,No,13,1,2009
13,39551,2009-01-14,Williamtown,16.7,35.2,0.0,ENE,39.0,N,ENE,13.0,26.0,67.0,33.0,1015.2,1011.5,24.3,34.5,No,No,14,1,2009
14,39552,2009-01-15,Williamtown,17.1,42.0,0.0,SSW,57.0,N,WNW,11.0,22.0,51.0,15.0,1010.4,1006.2,26.8,40.5,No,Yes,15,1,2009
15,39553,2009-01-16,Williamtown,19.3,26.2,6.0,SE,46.0,S,SE,17.0,22.0,80.0,64.0,1012.1,1009.1,20.2,25.1,Yes,No,16,1,2009
16,39554,2009-01-17,Williamtown,18.8,23.2,0.0,SSE,48.0,SSE,SSE,30.0,30.0,57.0,52.0,1019.0,1019.4,19.8,20.9,No,No,17,1,2009
17,39555,2009-01-18,Williamtown,11.5,24.2,0.0,E,39.0,W,ESE,7.0,28.0,69.0,45.0,1021.5,1019.6,19.7,23.1,No,No,18,1,2009
18,39556,2009-01-19,Williamtown,11.1,30.0,0.0,ENE,35.0,NE,ENE,13.0,22.0,59.0,46.0,1019.0,1014.8,21.2,26.3,No,No,19,1,2009
19,39557,2009-01-20,Williamtown,14.0,34.9,0.0,NE,44.0,N,NE,9.0,24.0,59.0,34.0,1014.4,1010.3,24.5,33.3,No,No,20,1,2009
20,39558,2009-01-21,Williamtown,20.5,38.8,0.0,N,50.0,NW,NE,11.0,19.0,69.0,40.0,1012.6,1008.3,25.4,33.6,No,No,21,1,2009
