,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,111611,2009-01-01,Witchcliffe,11.9,28.3,0.0,SSE,39.0,ESE,SSE,19.0,22.0,66.0,49.0,1015.0,1012.0,17.5,27.7,No,No,1,1,2009
1,111612,2009-01-02,Witchcliffe,15.1,28.8,0.0,SSE,50.0,SE,SSE,11.0,22.0,65.0,48.0,1012.4,1011.4,21.0,27.9,No,No,2,1,2009
2,111613,2009-01-03,Witchcliffe,16.6,24.7,0.0,SE,44.0,SE,S,24.0,22.0,66.0,54.0,1016.9,1016.2,20.3,23.7,No,No,3,1,2009
3,111614,2009-01-04,Witchcliffe,13.9,29.9,0.0,SSE,44.0,SE,SSE,13.0,20.0,62.0,44.0,1020.1,1016.9,19.8,29.1,No,No,4,1,2009
4,111615,2009-01-05,Witchcliffe,15.6,30.1,0.0,SSE,44.0,SE,SSE,13.0,24.0,71.0,56.0,1017.5,1015.5,20.7,26.5,No,No,5,1,2009
5,111616,2009-01-06,Witchcliffe,17.5,26.1,0.0,SSE,54.0,SE,SSE,20.0,24.0,66.0,58.0,1018.1,1016.2,19.9,23.8,No,No,6,1,2009
6,111617,2009-01-07,Witchcliffe,13.9,27.2,0.0,SSE,50.0,ESE,SSE,20.0,28.0,63.0,45.0,1019.0,1015.9,18.1,25.2,No,No,7,1,2009
7,111618,2009-01-08,Witchcliffe,13.0,27.3,0.0,SSE,48.0,SE,SE,17.0,22.0,69.0,50.0,1018.9,1017.0,17.6,26.2,No,No,8,1,2009
8,111619,2009-01-09,Witchcliffe,14.6,28.7,0.0,S,39.0,SE,S,13.0,24.0,74.0,47.0,1019.2,1016.9,18.7,26.9,No,No,9,1,2009
9,111620,2009-01-10,Witchcliffe,15.6,26.7,0.0,S,37.0,SSE,SE,13.0,19.0,99.0,50.0,1016.3,1015.0,17.6,26.0,No,No,10,1,2009
10,111621,2009-01-11,Witchcliffe,12.7,32.6,0.2,WNW,31.0,NNE,WNW,9.0,19.0,68.0,30.0,1011.3,1008.4,21.8,30.5,No,No,11,1,2009
11,111622,2009-01-12,Witchcliffe,14.4,21.8,0.6,WSW,43.0,WNW,SW,9.0,22.0,93.0,72.0,1007.5,1010.1,20.1,19.8,No,Yes,12,1,2009
12,111623,2009-01-13,Witchcliffe,9.4,23.3,2.0,SW,31.0,SSW,SW,17.0,17.0,51.0,47.0,1017.8,1017.4,18.9,22.3,Yes,No,13,1,2009
13,111624,2009-01-14,Witchcliffe,10.4,24.6,0.0,SSE,43.0,SE,SE,9.0,15.0,64.0,41.0,1020.4,1019.0,18.0,23.4,No,No,14,1,2009
14,111625,2009-01-15,Witchcliffe,12.8,32.2,0.0,,,E,SSE,17.0,19.0,70.0,33.0,1019.5,1015.9,18.6,31.8,No,No,15,1,2009
15,111626,2009-01-16,Witchcliffe,,37.8,0.0,WNW,39.0,E,W,7.0,22.0,50.0,27.0,1012.6,1011.5,25.5,32.4,No,No,16,1,2009
16,111627,2009-01-17,Witchcliffe,15.8,26.7,0.0,SSE,50.0,SSE,S,28.0,26.0,62.0,53.0,1017.8,1017.7,21.3,25.9,No,No,17,1,2009
17,111628,2009-01-18,Witchcliffe,17.0,23.4,0.0,SSE,57.0,SE,SSE,17.0,31.0,73.0,55.0,1019.5,1018.3,18.1,21.1,No,No,18,1,2009
18,111629,2009-01-19,Witchcliffe,14.0,22.9,0.0,SE,48.0,ESE,SSE,13.0,26.0,53.0,42.0,1021.5,1018.9,17.3,21.4,No,No,19,1,2009
19,111630,2009-01-20,Witchcliffe,9.8,24.1,0.0,WSW,37.0,,SW,0.0,20.0,66.0,53.0,1020.0,1018.8,17.7,23.1,No,No,20,1,2009
20,111631,2009-01-21,Witchcliffe,17.0,23.7,0.0,W,41.0,W,W,15.0,17.0,61.0,57.0,1016.0,1014.3,20.6,23.6,No,Yes,21,1,2009
21,111632,2009-01-22,Witchcliffe,17.2,24.2,2.6,WSW,31.0,SSW,W,11.0,17.0,96.0,64.0,1013.6,1013.4,18.5,22.3,Yes,No,22,1,2009
22,111633,2009-01-23,Witchcliffe,18.3,24.9,0.2,SW,31.0,WSW,SW,15.0,15.0,86.0,52.0,1013.4,1013.4,19.7,23.8,No,No,23,1,2009
23,111634,2009-01-24,Witchcliffe,8.1,26.9,0.0,SW,28.0,ESE,SW,6.0,11.0,72.0,40.0,1015.8,1014.4,18.0,26.6,No,No,24,1,2009
24,111635,2009-01-25,Witchcliffe,16.5,28.6,0.0,SSE,39.0,E,SSE,17.0,20.0,70.0,49.0,1016.5,1013.3,20.5,27.2,No,No,25,1,2009
25,111636,2009-01-26,Witchcliffe,17.9,25.5,0.0,SE,35.0,SSE,SSW,19.0,19.0,77.0,55.0,1009.9,1009.7,20.3,24.1,No,No,26,1,2009
26,111637,2009-01-27,Witchcliffe,11.7,25.1,0.2,S,50.0,SE,SSE,13.0,26.0,82.0,50.0,1012.7,1010.1,18.5,23.6,No,No,27,1,2009
27,111638,2009-01-28,Witchcliffe,17.0,20.7,0.0,SSE,46.0,SE,SSE,19.0,24.0,65.0,62.0,1008.3,1007.4,18.9,19.0,No,No,28,1,2009
28,111639,2009-01-29,Witchcliffe,16.4,24.1,0.0,SSE,39.0,SE,S,13.0,20.0,54.0,41.0,1011.0,1011.1,19.5,22.3,No,No,29,1,2009
29,111640,2009-01-30,Witchcliffe,9.8,24.7,0.0,SSE,50.0,SE,SSE,13.0,26.0,64.0,60.0,1013.8,1011.7,18.2,21.9,No,No,30,1,2009
30,111641,2009-01-31,Witchcliffe,17.4,32.6,0.0,SSE,33.0,ESE,S,13.0,20.0,69.0,47.0,1011.6,1009.1,21.2,31.6,No,No,31,1,2009
31,111642,2009-02-01,Witchcliffe,20.3,31.6,0.0,SSE,39.0,SE,SW,9.0,20.0,85.0,58.0,1013.9,1012.2,22.6,29.6,No,No,1,2,2009
32,111643,2009-02-02,Witchcliffe,20.0,31.8,0.0,WNW,30.0,SE,WSW,7.0,13.0,77.0,59.0,1012.0,1010.7,23.6,28.5,No,No,2,2,2009
33,111644,2009-02-03,Witchcliffe,20.1,27.1,0.0,SSE,41.0,SSE,S,15.0,20.0,72.0,54.0,1012.3,1012.0,22.0,25.7,No,No,3,2,2009
34,111645,2009-02-04,Witchcliffe,15.6,23.6,0.6,,,S,SSE,13.0,22.0,83.0,51.0,1016.6,1015.9,17.1,22.0,No,,4,2,2009
35,111646,2009-02-05,Witchcliffe,,,,,,,SSE,,20.0,,44.0,,1012.1,,23.6,,No,5,2,2009
36,111647,2009-02-06,Witchcliffe,,22.5,0.0,WSW,41.0,S,SW,15.0,19.0,57.0,40.0,1011.2,1009.9,18.0,21.2,No,No,6,2,2009
37,111648,2009-02-07,Witchcliffe,15.0,21.9,0.4,S,48.0,S,SSE,17.0,28.0,53.0,43.0,1015.8,1016.4,16.9,20.6,No,No,7,2,2009
