,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day,Month,Year
0,42547,2008-12-01,Wollongong,,,,,,,,,,,,1007.9,1003.3,,,,,1,12,2008
1,42548,2008-12-02,Wollongong,,,,,,,,,,,,1010.9,1006.8,,,,,2,12,2008
2,42549,2008-12-03,Wollongong,,27.4,,SSE,70.0,,E,,19.0,,63.0,1007.8,1005.8,,23.9,,No,3,12,2008
3,42550,2008-12-04,Wollongong,15.7,21.5,0.4,NE,39.0,E,ENE,20.0,22.0,67.0,65.0,1020.3,1018.9,18.1,19.5,No,No,4,12,2008
4,42551,2008-12-05,Wollongong,18.0,27.7,0.0,ENE,41.0,NNE,NNE,22.0,19.0,79.0,75.0,1014.3,1009.2,20.1,23.4,No,No,5,12,2008
5,42552,2008-12-06,Wollongong,18.6,32.5,0.2,SSE,44.0,SE,SSE,6.0,22.0,57.0,81.0,1006.0,1004.4,27.6,21.2,No,No,6,12,2008
6,42553,2008-12-07,Wollongong,17.9,23.6,0.6,SSE,50.0,WNW,SSE,28.0,28.0,67.0,80.0,1007.2,1008.9,21.0,20.4,No,Yes,7,12,2008
7,42554,2008-12-08,Wollongong,15.3,21.9,11.2,ENE,54.0,S,ENE,11.0,37.0,79.0,77.0,1014.8,1011.9,18.7,20.4,Yes,Yes,8,12,2008
8,42555,2008-12-09,Wollongong,17.1,23.4,3.0,NE,57.0,ENE,NE,15.0,44.0,74.0,78.0,1010.2,1005.8,21.4,22.9,Yes,No,9,12,2008
9,42556,2008-12-10,Wollongong,17.8,20.2,0.0,SSW,59.0,SSE,SSE,44.0,37.0,77.0,80.0,1008.6,1010.8,20.1,18.5,No,Yes,10,12,2008
10,42557,2008-12-11,Wollongong,15.6,18.5,15.0,E,33.0,E,E,13.0,20.0,93.0,72.0,1014.9,1015.9,16.5,17.9,Yes,Yes,11,12,2008
11,42558,2008-12-12,Wollongong,16.3,22.8,3.4,NNE,67.0,NNE,NE,28.0,24.0,89.0,94.0,1015.5,1010.0,17.1,17.5,Yes,Yes,12,12,2008
12,42559,2008-12-13,Wollongong,16.1,31.6,48.4,NW,91.0,N,W,22.0,30.0,84.0,30.0,994.0,990.7,22.5,31.2,Yes,No,13,12,2008
13,42560,2008-12-14,Wollongong,18.2,25.0,0.0,WNW,85.0,WSW,W,30.0,33.0,43.0,33.0,996.1,996.8,20.5,24.6,No,No,14,12,2008
14,42561,2008-12-15,Wollongong,15.4,20.7,0.6,SSW,56.0,SSW,SSE,31.0,28.0,47.0,54.0,1007.0,1007.6,18.9,19.7,No,No,15,12,2008
15,42562,2008-12-16,Wollongong,14.8,23.1,0.0,ENE,39.0,NE,NNE,9.0,17.0,62.0,67.0,1012.5,1010.1,20.6,22.1,No,No,16,12,2008
