,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,Adelaide,8.8,15.7,5.0,NW,48.0,SW,W,13.0,15.0,92.0,67.0,1017.4,1017.7,13.5,14.9,Yes,No
1,2008-07-02,Adelaide,12.7,15.8,0.8,SW,35.0,SSW,SW,13.0,15.0,75.0,52.0,1022.4,1022.6,13.7,15.5,No,No
2,2008-07-03,Adelaide,6.2,15.1,0.0,W,20.0,NNE,SW,2.0,11.0,81.0,56.0,1027.8,1026.5,9.3,13.9,No,No
3,2008-07-04,Adelaide,5.3,15.9,0.0,NNE,30.0,NNE,NE,6.0,13.0,71.0,46.0,1028.7,1025.6,10.2,15.3,No,No
4,2008-07-05,Adelaide,9.8,15.4,0.0,N,30.0,NNE,NE,9.0,9.0,56.0,67.0,1023.6,1020.2,11.3,13.8,No,Yes
5,2008-07-06,Adelaide,11.3,15.7,8.1,NNW,52.0,NNE,NNW,15.0,22.0,62.0,62.0,1019.5,1016.2,13.0,14.4,Yes,Yes
6,2008-07-07,Adelaide,7.6,11.2,16.2,WSW,46.0,WNW,SW,17.0,13.0,83.0,88.0,1015.9,1017.9,9.8,9.3,Yes,Yes
7,2008-07-08,Adelaide,5.3,13.5,17.0,SW,43.0,SW,WSW,11.0,22.0,73.0,91.0,1025.8,1025.9,10.9,10.8,Yes,Yes
8,2008-07-09,Adelaide,8.4,14.3,1.8,NW,41.0,N,NW,9.0,19.0,90.0,64.0,1025.8,1022.7,10.8,13.5,Yes,Yes
9,2008-07-10,Adelaide,9.5,13.1,9.0,WSW,52.0,WSW,SW,24.0,20.0,54.0,66.0,1019.8,1019.6,10.9,11.2,Yes,No
10,2008-07-11,Adelaide,8.2,14.0,0.2,SW,28.0,ENE,NNW,9.0,13.0,70.0,43.0,1023.8,1021.2,10.0,13.5,No,Yes
11,2008-07-12,Adelaide,8.1,15.8,2.0,N,48.0,NE,N,24.0,22.0,65.0,42.0,1014.0,1009.8,9.5,15.6,Yes,Yes
12,2008-07-13,Adelaide,9.4,16.8,2.9,NNW,54.0,N,NNW,17.0,28.0,67.0,47.0,1011.2,1009.5,11.7,16.5,Yes,Yes
13,2008-07-14,Adelaide,10.0,15.4,3.8,N,48.0,W,W,15.0,19.0,85.0,72.0,1014.0,1015.4,13.2,15.2,Yes,Yes
14,2008-07-15,Adelaide,11.1,14.7,4.0,WSW,43.0,W,WSW,17.0,24.0,91.0,72.0,1020.4,1020.1,12.0,13.0,Yes,No
15,2008-07-16,Adelaide,6.3,14.1,0.2,NNW,39.0,NNE,N,7.0,19.0,74.0,52.0,1019.9,1015.3,10.0,13.9,No,No
16,2008-07-17,Adelaide,9.8,14.7,0.2,NW,44.0,N,NW,17.0,22.0,58.0,61.0,1009.8,1007.4,10.5,14.7,No,Yes
17,2008-07-18,Adelaide,7.4,15.3,1.4,WNW,39.0,NE,NW,9.0,19.0,86.0,58.0,1014.3,1012.4,9.3,13.7,Yes,Yes
18,2008-07-19,Adelaide,9.3,18.1,4.1,NNW,52.0,N,ENE,19.0,11.0,44.0,47.0,1004.7,997.9,14.2,17.6,Yes,Yes
19,2008-07-20,Adelaide,9.9,12.0,5.449999999999999,N,46.0,N,ENE,26.0,11.0,67.0,91.0,1000.7,1000.4,10.0,9.6,Yes,Yes
20,2008-07-21,Adelaide,6.5,14.2,6.8,SSE,41.0,S,S,13.0,15.0,69.0,55.0,1021.2,1024.7,11.9,12.8,Yes,No
21,2008-07-22,Adelaide,6.0,13.8,0.0,SW,20.0,S,SSW,10.0,13.0,70.0,61.0,1032.8,1031.1,9.7,11.8,No,No
