,Date,Location,MinTemp,MaxTemp,Rainfall,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
0,2008-12-01,Albany,13.3,18.5,0.0,NNW,4.0,82.0,1017.9,1015.2,15.2,No,No
1,2008-12-02,Albany,14.7,21.0,0.0,NE,6.0,64.0,1012.8,1009.3,17.8,No,No
2,2008-12-03,Albany,16.5,24.0,0.2,ENE,19.0,36.0,999.8,998.7,20.0,No,Yes
3,2008-12-04,Albany,14.1,20.6,7.8,N,13.0,69.0,1006.7,1008.5,19.8,Yes,No
4,2008-12-05,Albany,13.0,17.8,0.0,SW,13.0,73.0,1015.3,1016.3,16.0,No,No
5,2008-12-06,Albany,14.8,18.5,0.0,ESE,11.0,46.0,1020.1,1017.9,16.9,No,No
6,2008-12-07,Albany,14.0,20.0,0.0,ENE,7.0,62.0,1013.4,1007.9,18.0,No,No
7,2008-12-08,Albany,16.3,19.6,0.0,SW,20.0,68.0,1008.2,1008.0,18.3,No,No
8,2008-12-09,Albany,10.8,19.4,0.0,NNW,6.0,71.0,1010.5,1010.3,17.0,No,Yes
9,2008-12-10,Albany,13.6,19.2,14.4,ENE,6.0,84.0,1013.1,1013.0,14.9,Yes,No
10,2008-12-11,Albany,14.6,19.7,0.2,ESE,22.0,71.0,1016.3,1015.1,18.5,No,No
11,2008-12-12,Albany,14.6,21.0,0.2,SW,17.0,72.0,1018.1,1016.6,17.7,No,No
12,2008-12-13,Albany,16.5,21.3,0.2,W,4.0,90.0,1020.0,1019.1,18.0,No,No
13,2008-12-14,Albany,14.6,22.5,0.0,NE,6.0,72.0,1018.9,1015.6,19.5,No,No
14,2008-12-15,Albany,17.5,20.6,0.0,S,24.0,81.0,1012.4,1013.3,18.5,No,No
15,2008-12-16,Albany,14.0,18.8,0.8,N,9.0,87.0,1017.6,1016.9,14.9,No,No
16,2008-12-17,Albany,14.5,19.0,0.2,W,6.0,69.0,1018.3,1018.3,17.2,No,No
17,2008-12-18,Albany,12.0,21.0,0.0,ENE,6.0,85.0,1019.1,1014.8,17.0,No,No
18,2008-12-19,Albany,15.8,22.0,0.0,ESE,19.0,76.0,1010.6,1007.7,20.2,No,No
19,2008-12-20,Albany,18.9,27.7,0.2,WNW,9.0,71.0,998.9,997.6,21.9,No,No
20,2008-12-21,Albany,15.5,18.5,0.6,N,37.0,87.0,1011.9,1013.1,16.0,No,Yes
21,2008-12-22,Albany,10.5,20.8,1.2,NNE,4.0,68.0,1016.2,1014.4,17.5,Yes,No
22,2008-12-23,Albany,12.0,21.2,0.0,W,6.0,67.0,1012.5,1010.9,17.8,No,No
