,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,Bendigo,9.1,21.7,0.0,W,44.0,WNW,WSW,20.0,20.0,47.0,23.0,1009.1,1007.5,14.0,19.4,No,No
1,2008-12-02,Bendigo,6.2,23.0,0.0,W,48.0,WNW,WNW,20.0,26.0,49.0,29.0,1010.4,1007.8,15.2,21.2,No,No
2,2008-12-03,Bendigo,10.8,23.7,0.0,WSW,44.0,SW,W,17.0,24.0,49.0,23.0,1009.4,1010.7,17.1,21.8,No,No
3,2008-12-04,Bendigo,8.2,24.6,0.0,NNE,41.0,SE,NNE,17.0,13.0,50.0,22.0,1017.0,1012.5,16.1,23.6,No,No
4,2008-12-05,Bendigo,15.1,30.3,0.2,NW,54.0,NW,W,19.0,31.0,68.0,29.0,1008.0,1005.0,21.3,29.2,No,No
5,2008-12-06,Bendigo,9.9,27.2,0.2,WNW,54.0,WNW,NW,9.0,30.0,60.0,29.0,1010.0,1005.6,18.0,26.2,No,No
6,2008-12-07,Bendigo,8.0,22.0,0.2,SW,43.0,SSW,SSW,22.0,15.0,47.0,26.0,1012.4,1010.7,13.1,20.4,No,No
7,2008-12-08,Bendigo,7.8,25.5,0.0,W,35.0,S,WSW,11.0,17.0,47.0,17.0,1014.2,1010.6,13.9,23.5,No,No
8,2008-12-09,Bendigo,9.7,22.0,0.0,WSW,39.0,SSE,WSW,7.0,17.0,44.0,42.0,1007.0,1006.2,16.5,18.9,No,Yes
9,2008-12-10,Bendigo,9.8,23.2,3.2,SE,39.0,SE,S,24.0,17.0,62.0,30.0,1010.4,1009.3,15.3,21.6,Yes,No
10,2008-12-11,Bendigo,8.7,28.7,0.2,SSE,43.0,SSE,ESE,22.0,13.0,43.0,13.0,1012.8,1009.7,16.8,26.3,No,No
11,2008-12-12,Bendigo,16.5,19.9,0.0,ENE,44.0,NE,ENE,13.0,20.0,57.0,94.0,1007.1,1001.9,19.4,16.6,No,Yes
12,2008-12-13,Bendigo,14.1,20.2,30.4,SW,70.0,WNW,SW,13.0,33.0,94.0,68.0,989.5,994.6,15.6,18.6,Yes,Yes
13,2008-12-14,Bendigo,10.9,21.5,4.0,S,50.0,SSW,SSW,19.0,28.0,79.0,41.0,1004.7,1005.4,14.4,20.8,Yes,No
14,2008-12-15,Bendigo,9.9,21.2,0.0,S,41.0,S,WSW,13.0,19.0,58.0,37.0,1012.7,1011.2,11.8,18.8,No,No
15,2008-12-16,Bendigo,7.9,23.9,0.0,W,39.0,W,WNW,13.0,19.0,49.0,41.0,1012.5,1011.2,18.3,22.0,No,Yes
16,2008-12-17,Bendigo,13.5,22.0,1.2,N,24.0,SSE,NNE,4.0,11.0,86.0,58.0,1012.5,1008.4,14.9,20.9,Yes,Yes
17,2008-12-18,Bendigo,12.7,21.8,10.0,SSW,44.0,N,SW,7.0,20.0,95.0,44.0,1006.1,1004.1,14.7,20.3,Yes,Yes
18,2008-12-19,Bendigo,8.4,20.3,5.8,SSE,43.0,S,SSE,20.0,19.0,58.0,32.0,1013.5,1013.6,12.3,17.8,Yes,No
19,2008-12-20,Bendigo,6.3,24.4,0.0,SE,35.0,SE,SE,22.0,11.0,51.0,24.0,1019.9,1017.3,14.8,23.0,No,No
20,2008-12-21,Bendigo,11.2,28.6,0.0,NNE,41.0,NE,NNE,19.0,24.0,54.0,24.0,1018.1,1013.8,19.0,26.7,No,No
21,2008-12-22,Bendigo,15.3,35.0,0.0,NNE,44.5,NNE,NW,20.0,30.0,38.0,15.0,1009.6,1004.3,23.9,34.4,No,No
22,2008-12-23,Bendigo,15.0,24.3,0.0,SSE,48.0,SSE,SSE,22.0,22.0,60.0,34.0,1012.0,1011.2,16.6,23.1,No,No
23,2008-12-24,Bendigo,8.0,28.7,0.0,W,37.0,SSE,WSW,11.0,19.0,53.0,10.0,1012.2,1010.2,16.6,27.7,No,No
24,2008-12-25,Bendigo,12.6,30.4,0.0,WNW,44.0,SSE,W,7.0,24.0,48.0,23.0,1013.4,1010.9,20.3,29.0,No,No
25,2008-12-26,Bendigo,14.5,33.4,0.0,NW,41.0,E,NNW,6.0,22.0,46.0,23.0,1010.5,1007.3,21.7,30.7,No,No
26,2008-12-27,Bendigo,17.5,32.1,0.2,NW,46.0,N,WNW,7.0,22.0,70.0,32.0,1006.8,1002.3,21.1,29.7,No,No
27,2008-12-28,Bendigo,10.9,29.5,0.0,W,46.0,WNW,WNW,15.0,30.0,49.0,25.0,1004.8,1002.7,19.8,27.8,No,No
