,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,Brisbane,10.3,25.2,0.0,WNW,26.0,SSW,W,6.0,15.0,81.0,37.0,1019.6,1014.8,14.9,24.6,No,No
1,2008-07-02,Brisbane,8.1,22.9,0.0,W,30.0,W,WNW,15.0,19.0,41.0,30.0,1018.8,1015.0,16.2,22.4,No,No
2,2008-07-03,Brisbane,9.7,22.4,0.0,E,22.0,SW,E,7.0,15.0,55.0,52.0,1021.4,1019.1,15.4,21.3,No,No
3,2008-07-04,Brisbane,11.8,20.0,0.8,SW,24.0,SW,SSE,9.0,7.0,76.0,53.0,1023.5,1021.7,14.1,19.6,No,No
4,2008-07-05,Brisbane,12.3,16.7,0.0,S,37.0,S,SSW,11.0,7.0,81.0,89.0,1027.3,1026.2,16.1,15.0,No,Yes
5,2008-07-06,Brisbane,12.6,21.5,16.2,ENE,31.0,SSW,E,7.0,17.0,78.0,52.0,1028.5,1025.7,15.9,20.0,Yes,No
6,2008-07-07,Brisbane,12.9,21.9,0.0,NE,17.0,SW,NE,9.0,9.0,83.0,63.0,1026.9,1023.1,14.7,20.1,No,Yes
7,2008-07-08,Brisbane,14.5,17.4,24.2,WSW,31.0,SW,NW,7.0,2.0,94.0,73.0,1024.0,1019.3,14.7,17.0,Yes,Yes
8,2008-07-09,Brisbane,6.0,16.7,3.8,W,43.0,WSW,W,13.0,19.0,48.0,34.0,1022.6,1020.2,12.4,16.2,Yes,No
9,2008-07-10,Brisbane,10.3,19.7,0.2,W,39.0,WSW,WSW,17.0,17.0,47.0,34.0,1021.8,1017.0,13.2,18.8,No,No
10,2008-07-11,Brisbane,6.6,19.6,0.0,W,28.0,WSW,WSW,11.0,9.0,48.0,38.0,1021.7,1019.4,14.2,18.7,No,No
11,2008-07-12,Brisbane,7.9,21.1,0.0,ENE,30.0,SW,E,7.0,15.0,60.0,48.0,1025.9,1023.4,12.8,19.3,No,No
12,2008-07-13,Brisbane,12.0,22.8,0.0,ENE,20.0,SSW,ENE,6.0,9.0,72.0,69.0,1026.6,1023.3,15.3,21.2,No,No
13,2008-07-14,Brisbane,13.6,25.7,0.0,N,19.0,SSW,NE,4.0,9.0,86.0,65.0,1025.3,1021.0,18.3,23.3,No,No
14,2008-07-15,Brisbane,16.7,24.8,0.0,W,31.0,SSW,NNE,9.0,9.0,80.0,65.0,1022.2,1018.7,19.1,23.4,No,Yes
15,2008-07-16,Brisbane,16.5,18.9,5.4,SW,19.0,WSW,WSW,2.0,4.0,93.0,71.0,1020.1,1017.8,17.1,18.7,Yes,Yes
16,2008-07-17,Brisbane,12.2,21.5,2.8,WSW,17.0,SW,NE,7.0,9.0,80.0,57.0,1020.6,1016.1,15.6,21.2,Yes,No
17,2008-07-18,Brisbane,9.4,25.4,0.0,WNW,37.0,SW,WNW,6.0,15.0,72.0,34.0,1017.3,1011.9,15.2,25.0,No,No
18,2008-07-19,Brisbane,6.8,22.9,0.0,W,33.0,SW,WNW,2.0,15.0,55.0,25.0,1018.3,1015.7,15.4,22.4,No,No
19,2008-07-20,Brisbane,7.5,22.9,0.0,NNE,30.0,SW,NNE,6.0,15.0,60.0,45.0,1020.6,1015.4,13.6,21.3,No,No
20,2008-07-21,Brisbane,12.5,22.8,0.0,W,35.0,N,W,6.0,15.0,83.0,54.0,1014.9,1013.8,17.4,18.7,No,No
21,2008-07-22,Brisbane,12.1,20.4,0.0,W,33.0,SW,E,7.0,15.0,48.0,52.0,1022.1,1021.3,16.6,18.7,No,No
22,2008-07-23,Brisbane,12.5,15.7,0.2,SSE,26.0,SW,S,6.0,7.0,73.0,77.0,1026.7,1023.1,12.7,15.2,No,Yes
23,2008-07-24,Brisbane,12.4,14.3,12.6,S,28.0,SSW,S,9.0,9.0,92.0,72.0,1021.0,1018.6,12.9,16.549999999999997,Yes,Yes
24,2008-07-25,Brisbane,12.5,18.9,22.4,SW,28.0,WSW,SW,9.0,11.0,86.0,67.0,1014.8,1014.1,13.8,17.9,Yes,No
25,2008-07-26,Brisbane,8.3,19.9,0.4,WSW,24.0,SW,WNW,9.0,11.0,62.0,42.0,1018.0,1014.1,14.7,19.4,No,No
26,2008-07-27,Brisbane,8.0,18.2,0.0,SSW,30.0,SW,W,6.0,4.0,64.0,41.0,1016.7,1011.7,12.7,17.1,No,Yes
27,2008-07-28,Brisbane,8.2,15.7,2.4,WSW,39.0,WSW,WSW,11.0,15.0,75.0,49.0,1010.5,1005.9,11.5,14.3,Yes,No
28,2008-07-29,Brisbane,8.8,20.3,0.0,WSW,33.0,WSW,SW,11.0,9.0,53.0,36.0,1012.3,1010.0,13.1,19.3,No,No
29,2008-07-30,Brisbane,6.3,20.6,0.0,WNW,22.0,WSW,WSW,11.0,6.0,55.0,25.0,1017.5,1014.2,13.8,20.3,No,No
30,2008-07-31,Brisbane,3.7,21.3,0.0,WSW,26.0,SSE,W,6.0,11.0,47.0,29.0,1020.5,1016.1,13.9,20.6,No,No
31,2008-08-01,Brisbane,7.1,28.7,0.0,W,35.0,SW,N,2.0,7.0,54.0,28.0,1016.0,1009.6,15.7,28.6,No,No
32,2008-08-02,Brisbane,12.3,21.8,0.0,W,46.0,W,W,19.0,17.0,48.0,26.0,1017.3,1014.3,15.1,21.3,No,No
33,2008-08-03,Brisbane,8.5,21.3,0.0,WSW,22.0,SSW,NE,11.0,11.0,47.0,45.0,1021.1,1018.1,14.0,20.2,No,No
34,2008-08-04,Brisbane,8.3,22.1,0.0,NE,26.0,SW,NE,7.0,11.0,75.0,53.0,1021.7,1017.2,14.0,20.9,No,No
35,2008-08-05,Brisbane,8.5,22.4,0.0,E,22.0,WSW,ENE,7.0,11.0,62.0,33.0,1019.2,1016.0,15.4,20.8,No,No
36,2008-08-06,Brisbane,9.2,21.7,0.2,W,39.0,SW,W,7.0,15.0,56.0,29.0,1018.6,1016.0,16.1,21.2,No,No
37,2008-08-07,Brisbane,7.0,21.2,0.0,W,30.0,SW,W,9.0,19.0,49.0,29.0,1021.6,1017.4,15.5,20.5,No,No
38,2008-08-08,Brisbane,7.2,20.9,0.0,W,48.0,W,W,11.0,19.0,36.0,26.0,1021.5,1018.1,13.8,20.4,No,No
39,2008-08-09,Brisbane,7.5,21.5,0.0,SW,19.0,SW,ENE,7.0,13.0,47.0,32.0,1023.4,1019.4,14.3,19.8,No,No
40,2008-08-10,Brisbane,5.0,21.6,0.0,W,31.0,S,W,6.0,17.0,47.0,21.0,1021.4,1016.0,13.2,21.1,No,No
