,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,Cairns,25.2,32.3,0.4,NE,31.0,E,ENE,7.0,13.0,62.0,66.0,1011.3,1008.1,31.2,30.7,No,Yes
1,2008-12-02,Cairns,24.2,32.3,8.4,NE,35.0,S,NE,11.0,13.0,75.0,62.0,1011.9,1008.0,29.0,31.1,Yes,No
2,2008-12-03,Cairns,23.9,32.8,0.6,SSE,31.0,SSE,E,17.0,20.0,69.0,42.0,1012.2,1009.9,29.1,31.6,No,No
3,2008-12-04,Cairns,22.2,33.6,0.0,SE,39.0,SSE,ESE,19.0,24.0,60.0,31.0,1013.3,1010.9,29.6,32.5,No,No
4,2008-12-05,Cairns,23.2,33.5,0.0,SE,43.0,SSE,ESE,22.0,26.0,64.0,56.0,1013.8,1011.0,29.7,32.2,No,No
5,2008-12-06,Cairns,24.7,33.4,0.0,NE,33.0,SE,NE,15.0,20.0,64.0,67.0,1012.7,1009.2,30.8,31.5,No,No
6,2008-12-07,Cairns,23.9,32.0,0.0,NNE,28.0,NW,NE,7.0,17.0,70.0,73.0,1010.9,1007.1,29.3,30.6,No,No
7,2008-12-08,Cairns,26.6,33.2,0.0,NNE,30.0,NW,NNE,13.0,15.0,65.0,69.0,1009.8,1005.8,31.3,31.7,No,Yes
8,2008-12-09,Cairns,26.1,32.8,4.6,NNE,28.0,NE,N,9.0,13.0,72.0,77.0,1009.5,1006.9,30.8,30.2,Yes,No
9,2008-12-10,Cairns,26.0,32.6,0.2,ENE,28.0,ESE,NNE,15.0,11.0,80.0,72.0,1009.9,1007.5,28.9,29.5,No,No
10,2008-12-11,Cairns,25.3,32.9,0.4,ENE,33.0,ENE,NE,15.0,22.0,64.0,57.0,1010.6,1006.6,30.4,31.4,No,No
11,2008-12-12,Cairns,22.9,33.3,0.0,ENE,31.0,SSE,S,19.0,15.0,55.0,57.0,1010.5,1007.6,30.4,31.5,No,No
12,2008-12-13,Cairns,24.7,33.0,0.0,NNE,30.0,SE,NE,9.0,15.0,63.0,68.0,1009.5,1006.3,30.9,31.1,No,No
13,2008-12-14,Cairns,26.5,34.1,0.0,N,37.0,WNW,NNE,15.0,20.0,57.0,68.0,1007.2,1003.2,32.5,32.3,No,Yes
14,2008-12-15,Cairns,23.8,32.9,31.8,S,35.0,SW,N,4.0,17.0,79.0,74.0,1008.8,1005.0,26.3,30.5,Yes,No
