,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,CoffsHarbour,16.1,31.4,0.0,NNE,54.0,N,NNE,7.0,37.0,51.0,58.0,1005.9,1002.3,26.5,28.4,No,No
1,2009-01-02,CoffsHarbour,22.8,24.7,0.0,SSW,56.0,SSW,S,35.0,15.0,68.0,67.0,1010.9,1011.4,23.4,24.4,No,Yes
2,2009-01-03,CoffsHarbour,20.0,24.1,4.6,SE,35.0,SE,E,20.0,19.0,70.0,59.0,1019.3,1018.8,21.7,23.7,Yes,No
3,2009-01-04,CoffsHarbour,14.8,25.0,0.8,E,24.0,SSE,ESE,7.0,17.0,62.0,45.0,1019.5,1017.0,22.5,24.8,No,No
4,2009-01-05,CoffsHarbour,15.5,27.3,0.0,NE,41.0,NW,NE,7.0,30.0,54.0,62.0,1015.7,1012.7,24.6,26.1,No,No
5,2009-01-06,CoffsHarbour,19.8,30.2,0.0,NNE,54.0,NW,NE,24.0,39.0,55.0,58.0,1012.9,1011.0,27.1,27.3,No,No
6,2009-01-07,CoffsHarbour,22.7,29.6,0.0,NNE,56.0,NNW,NNE,20.0,37.0,60.0,66.0,1012.3,1009.7,26.7,27.1,No,No
7,2009-01-08,CoffsHarbour,22.7,29.2,0.0,SSW,44.0,NW,NNE,9.0,20.0,70.0,71.0,1009.4,1008.8,25.8,26.4,No,Yes
8,2009-01-09,CoffsHarbour,19.5,21.4,7.8,S,56.0,SSW,SSE,26.0,28.0,85.0,73.0,1015.7,1015.9,20.0,21.1,Yes,Yes
9,2009-01-10,CoffsHarbour,16.9,24.2,3.2,SW,30.0,SW,SE,20.0,15.0,59.0,47.0,1015.5,1013.5,21.2,23.3,Yes,No
10,2009-01-11,CoffsHarbour,13.7,25.5,0.0,E,26.0,SW,ESE,13.0,15.0,55.0,63.0,1013.7,1012.0,23.2,24.5,No,No
11,2009-01-12,CoffsHarbour,17.5,27.4,0.0,E,31.0,E,E,11.0,19.0,67.0,63.0,1014.5,1014.3,24.8,26.0,No,No
12,2009-01-13,CoffsHarbour,17.7,27.0,0.0,E,28.0,SSW,E,15.0,20.0,64.0,62.0,1019.1,1017.2,24.2,26.1,No,No
13,2009-01-14,CoffsHarbour,16.9,27.4,0.0,N,43.0,NNW,NNE,13.0,30.0,58.0,49.0,1017.8,1015.9,24.9,26.1,No,No
14,2009-01-15,CoffsHarbour,19.1,32.2,0.0,NNE,61.0,NNW,NNE,31.0,46.0,50.0,57.0,1013.9,1010.4,25.1,27.6,No,No
15,2009-01-16,CoffsHarbour,21.0,27.5,0.0,SSW,39.0,SSE,E,6.0,15.0,68.0,74.0,1011.0,1008.8,26.3,26.5,No,Yes
16,2009-01-17,CoffsHarbour,19.0,21.3,6.4,S,50.0,SSW,S,19.0,30.0,93.0,84.0,1016.6,1017.8,19.1,19.3,Yes,Yes
17,2009-01-18,CoffsHarbour,14.8,23.1,7.2,SW,28.0,SW,SE,17.0,9.0,69.0,57.0,1021.2,1020.1,20.9,21.7,Yes,No
18,2009-01-19,CoffsHarbour,14.3,25.9,0.0,NNE,44.0,NNW,NE,7.0,31.0,59.0,55.0,1019.9,1016.8,22.3,23.9,No,No
19,2009-01-20,CoffsHarbour,20.2,28.5,0.0,NNE,59.0,NNW,NNE,17.0,39.0,64.0,60.0,1016.9,1014.0,23.4,26.4,No,No
20,2009-01-21,CoffsHarbour,22.2,30.8,0.0,NNE,48.0,NNW,NNE,17.0,31.0,58.0,61.0,1014.9,1012.0,26.8,26.7,No,No
21,2009-01-22,CoffsHarbour,22.6,28.2,0.2,NNW,48.0,NNW,NNW,24.0,20.0,76.0,68.0,1013.2,1010.6,24.7,26.1,No,No
22,2009-01-23,CoffsHarbour,22.2,29.4,0.0,NNE,50.0,NNW,NNE,17.0,31.0,70.0,71.0,1011.7,1009.1,27.3,28.6,No,No
23,2009-01-24,CoffsHarbour,23.6,30.6,0.0,NNE,56.0,N,NNE,24.0,35.0,68.0,70.0,1008.6,1006.2,29.3,28.0,No,No
24,2009-01-25,CoffsHarbour,22.1,25.6,0.0,S,41.0,S,S,19.0,17.0,94.0,76.0,1014.9,1015.3,22.3,24.4,No,Yes
25,2009-01-26,CoffsHarbour,20.1,27.1,6.0,SSE,31.0,SSW,SE,20.0,15.0,87.0,76.0,1018.2,1017.0,23.0,26.1,Yes,Yes
26,2009-01-27,CoffsHarbour,20.8,27.7,3.0,S,30.0,SW,SSE,13.0,15.0,92.0,72.0,1018.9,1017.8,23.2,26.5,Yes,Yes
27,2009-01-28,CoffsHarbour,20.1,28.2,2.0,SSW,30.0,SSW,E,19.0,15.0,78.0,66.0,1017.7,1017.3,24.9,26.8,Yes,No
28,2009-01-29,CoffsHarbour,19.8,29.1,0.4,NE,31.0,ESE,NE,6.0,19.0,74.0,59.0,1018.3,1017.6,25.4,28.1,No,No
29,2009-01-30,CoffsHarbour,18.2,29.0,0.6,ENE,35.0,WSW,NE,11.0,19.0,87.0,57.0,1018.8,1017.1,22.9,28.0,No,No
30,2009-01-31,CoffsHarbour,20.7,28.7,0.0,ENE,33.0,NNW,ENE,7.0,24.0,69.0,55.0,1019.1,1016.9,25.5,28.1,No,No
31,2009-02-01,CoffsHarbour,20.0,29.6,0.0,ENE,30.0,NNE,E,7.0,19.0,61.0,62.0,1015.9,1015.1,26.6,27.2,No,Yes
