,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
1,2009-01-02,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
2,2009-01-03,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
3,2009-01-04,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
4,2009-01-05,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
5,2009-01-06,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
6,2009-01-07,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
7,2009-01-08,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
8,2009-01-09,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
9,2009-01-10,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
10,2009-01-11,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
11,2009-01-12,Dartmoor,8.2,21.7,0.8,SW,48.0,WNW,W,0.0,19.0,86.0,68.0,1018.2,1016.7,12.7,16.7,No,No
