,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,Hobart,4.6,12.2,3.0,WSW,81.0,NNE,NW,17.0,24.0,72.0,42.0,988.3,992.3,6.5,12.1,Yes,Yes
1,2008-07-02,Hobart,5.1,10.8,16.2,W,83.0,NW,SW,24.0,26.0,78.0,60.0,991.7,1002.5,6.0,8.5,Yes,Yes
2,2008-07-03,Hobart,5.5,12.4,3.0,SW,100.0,WNW,SW,37.0,39.0,55.0,53.0,1008.7,1015.1,10.1,9.3,Yes,No
3,2008-07-04,Hobart,0.9,10.4,1.0,NNW,28.0,NW,N,17.0,9.0,76.0,54.0,1028.9,1028.1,3.2,9.6,No,No
4,2008-07-05,Hobart,0.5,10.0,0.0,NNW,28.0,NNW,NW,13.0,15.0,79.0,53.0,1028.2,1025.4,2.9,9.7,No,No
5,2008-07-06,Hobart,1.3,10.0,0.0,NNW,41.0,NNW,N,19.0,7.0,77.0,70.0,1021.6,1017.8,4.2,9.1,No,No
6,2008-07-07,Hobart,4.1,15.8,0.0,NNW,39.0,NNW,WNW,13.0,4.0,82.0,61.0,1017.2,1015.2,7.7,13.8,No,Yes
7,2008-07-08,Hobart,7.3,14.2,8.4,NNW,24.0,N,NNW,7.0,13.0,96.0,72.0,1017.6,1017.2,8.3,14.0,Yes,No
8,2008-07-09,Hobart,5.4,11.4,0.4,NW,35.0,NW,N,11.0,13.0,88.0,74.0,1017.8,1012.4,7.5,10.7,No,No
9,2008-07-10,Hobart,5.2,12.9,0.6,NNW,44.0,NNW,NW,19.0,20.0,68.0,49.0,998.7,996.5,9.0,10.3,No,Yes
10,2008-07-11,Hobart,3.7,10.0,2.6,SW,52.0,NW,SW,20.0,28.0,66.0,52.0,1002.3,1007.4,7.1,9.5,Yes,No
11,2008-07-12,Hobart,6.4,10.9,0.2,NW,43.0,SW,N,6.0,9.0,73.0,63.0,1016.5,1014.8,8.3,10.8,No,No
12,2008-07-13,Hobart,6.5,13.0,0.0,N,30.0,NW,NNW,17.0,11.0,77.0,56.0,1016.2,1016.0,7.6,12.2,No,No
13,2008-07-14,Hobart,5.1,13.1,0.0,NNW,28.0,NW,E,13.0,9.0,88.0,64.0,1020.4,1019.6,5.8,11.6,No,No
14,2008-07-15,Hobart,5.7,12.4,0.8,SSE,26.0,NNW,SSE,11.0,11.0,88.0,69.0,1023.3,1022.4,7.1,11.6,No,No
15,2008-07-16,Hobart,6.1,10.1,0.8,NNW,17.0,NNW,SSE,11.0,0.0,88.0,87.0,1023.8,1021.5,7.3,10.1,No,No
16,2008-07-17,Hobart,4.9,12.6,0.2,NNE,20.0,NNW,ENE,0.0,7.0,91.0,66.0,1015.9,1010.0,6.2,11.4,No,No
17,2008-07-18,Hobart,3.6,13.9,0.0,NNW,46.0,NNE,NW,4.0,22.0,85.0,53.0,1001.7,999.7,6.0,13.2,No,No
18,2008-07-19,Hobart,3.9,12.1,0.0,WNW,41.0,NE,NNW,11.0,17.0,66.0,50.0,1005.0,1005.2,7.4,10.8,No,No
19,2008-07-20,Hobart,1.3,8.2,0.0,NNW,28.0,N,NNW,9.0,7.0,74.0,70.0,1011.4,1008.5,3.5,7.2,No,Yes
20,2008-07-21,Hobart,3.3,8.0,3.2,SW,65.0,SSW,SSW,30.0,28.0,80.0,74.0,1000.6,1004.5,5.1,4.6,Yes,Yes
21,2008-07-22,Hobart,3.3,10.9,5.2,WSW,52.0,N,SW,11.0,20.0,59.0,54.0,1020.3,1022.2,7.9,10.6,Yes,No
22,2008-07-23,Hobart,4.6,12.5,0.0,WSW,30.0,NW,NW,13.0,15.0,76.0,58.0,1031.2,1030.3,7.4,11.2,No,No
23,2008-07-24,Hobart,2.7,12.8,0.0,NW,30.0,NW,NNW,17.0,11.0,75.0,45.0,1032.2,1028.9,5.3,12.1,No,No
24,2008-07-25,Hobart,2.7,13.0,0.0,NNW,30.0,NW,NNW,19.0,13.0,74.0,43.0,1024.9,1021.0,4.2,12.6,No,No
25,2008-07-26,Hobart,1.5,11.4,0.0,NW,30.0,NW,SE,19.0,7.0,78.0,60.0,1017.3,1014.5,3.6,9.9,No,No
26,2008-07-27,Hobart,3.6,10.8,0.6,S,37.0,WNW,SSE,9.0,24.0,96.0,62.0,1017.6,1017.9,4.8,9.6,No,Yes
27,2008-07-28,Hobart,4.8,10.0,1.2,S,39.0,S,SSW,19.0,13.0,73.0,88.0,1024.2,1024.1,6.9,7.7,Yes,No
