,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
0,2013-03-01,Katherine,24.7,34.6,0.0,WNW,43.0,NW,W,17.0,19.0,74.0,1008.5,1005.0,28.7,No,No
1,2013-03-02,Katherine,25.2,31.1,0.8,WNW,26.0,WNW,SW,11.0,7.0,88.0,1008.6,1004.1,27.0,No,No
2,2013-03-03,Katherine,25.4,35.9,0.0,S,48.0,WSW,SW,13.0,15.0,82.0,1004.1,999.6,29.2,No,Yes
3,2013-03-04,Katherine,21.6,33.0,81.0,W,37.0,NW,WNW,13.0,20.0,95.0,1005.1,1002.0,25.1,Yes,No
4,2013-03-05,Katherine,24.9,34.45,0.0,NW,30.0,WNW,WNW,13.0,13.0,89.0,1007.1,1003.8,26.9,No,No
5,2013-03-06,Katherine,24.7,35.9,0.0,NNE,46.0,NNW,WNW,19.0,13.0,85.0,1008.0,1004.3,27.45,No,No
6,2013-03-07,Katherine,24.5,35.7,0.0,NW,26.0,WNW,W,17.0,11.0,81.0,1008.4,1004.8,28.0,No,No
7,2013-03-08,Katherine,25.2,36.5,0.0,NNW,39.0,W,N,9.0,9.0,77.0,1009.3,1004.3,28.5,No,Yes
8,2013-03-09,Katherine,21.7,32.8,6.6,SSE,61.0,ESE,WNW,22.0,13.0,93.0,1009.8,1003.9,22.6,Yes,No
9,2013-03-10,Katherine,21.7,35.9,0.4,SSW,46.0,W,S,9.0,9.0,85.0,1007.7,1002.3,28.5,No,Yes
10,2013-03-11,Katherine,23.4,34.6,6.6,SSE,31.0,S,SSE,4.0,15.0,83.0,1007.1,1003.0,27.7,Yes,No
11,2013-03-12,Katherine,23.9,34.8,0.0,SSW,20.0,S,S,0.0,9.0,87.0,1008.2,1003.6,26.8,No,No
12,2013-03-13,Katherine,23.2,37.3,0.0,NE,59.0,WNW,WNW,13.0,15.0,78.0,1007.8,1004.2,28.0,No,No
13,2013-03-14,Katherine,22.9,37.0,0.0,NW,30.0,NNW,WSW,13.0,13.0,76.0,1008.5,1004.9,27.0,No,No
14,2013-03-15,Katherine,25.1,37.5,0.0,E,74.0,WNW,W,20.0,11.0,77.0,1011.2,1007.2,29.5,No,No
15,2013-03-16,Katherine,23.4,37.4,1.0,SE,63.0,WNW,S,11.0,9.0,68.0,1012.1,1008.1,29.0,No,Yes
16,2013-03-17,Katherine,23.0,36.8,3.2,ENE,24.0,NNW,E,9.0,9.0,75.0,1011.4,1007.7,28.2,Yes,No
17,2013-03-18,Katherine,22.9,37.0,0.0,WNW,22.0,NW,E,4.0,7.0,74.0,1011.1,1007.1,28.8,No,No
18,2013-03-19,Katherine,22.6,37.0,0.0,NE,35.0,N,WSW,11.0,9.0,67.0,1011.2,1007.2,30.0,No,No
19,2013-03-20,Katherine,24.8,37.5,0.0,SE,22.0,NW,NNW,15.0,6.0,65.0,1012.3,1007.7,29.8,No,No
20,2013-03-21,Katherine,24.0,38.1,0.0,ENE,24.0,WNW,NW,7.0,9.0,67.0,1010.1,1005.6,30.1,No,No
21,2013-03-22,Katherine,24.4,37.9,0.0,W,28.0,WNW,NNE,13.0,7.0,71.0,1010.8,1007.2,29.2,No,No
22,2013-03-23,Katherine,23.8,36.5,0.0,NE,28.0,NE,E,11.0,17.0,66.0,1011.5,1007.3,30.0,No,No
23,2013-03-24,Katherine,24.4,32.5,0.0,E,43.0,SE,SE,15.0,11.0,69.0,1010.4,1006.5,29.7,No,Yes
24,2013-03-25,Katherine,23.2,35.0,1.2,SE,54.0,S,E,9.0,13.0,78.0,1009.8,1005.0,27.3,Yes,No
25,2013-03-26,Katherine,23.5,32.7,0.8,ENE,43.0,ESE,ESE,13.0,20.0,82.0,1008.0,1003.8,26.7,No,Yes
26,2013-03-27,Katherine,24.8,33.8,3.4,ESE,43.0,E,ESE,19.0,26.0,87.0,1006.7,1002.6,26.0,Yes,Yes
27,2013-03-28,Katherine,23.7,33.8,117.6,ESE,35.0,E,ESE,15.0,15.0,98.0,1006.4,1003.1,25.1,Yes,Yes
28,2013-03-29,Katherine,23.2,29.6,79.4,NE,43.0,ENE,ENE,19.0,15.0,91.0,1006.5,1003.7,26.0,Yes,Yes
29,2013-03-30,Katherine,24.0,25.8,63.4,E,28.0,NE,NE,15.0,13.0,96.0,1006.4,1003.9,24.7,Yes,Yes
30,2013-03-31,Katherine,24.1,28.1,23.6,E,31.0,ENE,ENE,15.0,11.0,96.0,1007.5,1005.1,25.2,Yes,Yes
31,2013-04-01,Katherine,23.3,30.4,96.4,E,31.0,E,E,11.0,11.0,91.0,1011.2,1008.8,25.65,Yes,No
32,2013-04-02,Katherine,22.5,33.6,0.0,E,37.0,E,ENE,9.0,13.0,86.0,1011.9,1008.1,26.1,No,Yes
33,2013-04-03,Katherine,24.1,33.5,6.0,ESE,28.0,SE,ESE,7.0,15.0,87.0,1010.9,1007.7,26.5,Yes,No
34,2013-04-04,Katherine,22.9,34.3,0.0,NE,59.0,ESE,E,13.0,19.0,64.0,1011.2,1007.0,27.8,No,No
35,2013-04-05,Katherine,23.6,34.6,0.8,ENE,33.0,ENE,E,15.0,13.0,78.0,1010.9,1007.9,28.2,No,No
36,2013-04-06,Katherine,23.9,33.0,0.0,SE,39.0,ESE,ESE,17.0,19.0,81.0,1011.6,1007.8,27.0,No,No
37,2013-04-07,Katherine,22.6,34.4,0.0,E,39.0,ESE,ESE,17.0,19.0,78.0,1010.3,1007.5,27.3,No,No
38,2013-04-08,Katherine,21.6,34.3,0.0,E,46.0,ESE,E,11.0,24.0,74.0,1011.0,1008.2,27.0,No,No
39,2013-04-09,Katherine,21.8,35.2,0.0,E,35.0,SSE,ESE,15.0,17.0,81.0,1011.7,1007.9,27.5,No,No
40,2013-04-10,Katherine,20.6,34.3,0.0,ESE,44.0,SE,SE,19.0,19.0,53.0,1009.8,1006.5,26.8,No,No
41,2013-04-11,Katherine,18.2,33.8,0.0,SSE,37.0,SE,SE,19.0,20.0,44.0,1009.7,1006.5,26.2,No,No
42,2013-04-12,Katherine,17.2,33.4,0.0,SSE,41.0,SE,SSE,13.0,15.0,62.0,1011.5,1008.2,24.8,No,No
43,2013-04-13,Katherine,16.3,33.4,0.0,ESE,31.0,SE,SSE,0.0,17.0,66.0,1012.3,1008.4,23.8,No,No
44,2013-04-14,Katherine,19.3,34.8,0.0,E,26.0,S,SSE,2.0,9.0,69.0,1011.2,1007.2,25.6,No,No
45,2013-04-15,Katherine,21.2,35.4,0.0,S,30.0,NE,SE,4.0,9.0,71.0,1009.4,1005.7,27.7,No,No
46,2013-04-16,Katherine,20.4,36.0,0.0,SSE,24.0,NW,SSE,9.0,7.0,76.0,1010.6,1006.8,26.9,No,No
47,2013-04-17,Katherine,20.6,35.8,0.0,ENE,35.0,NE,ESE,13.0,20.0,58.0,1011.3,1008.1,28.7,No,No
48,2013-04-18,Katherine,19.6,36.2,0.0,ENE,39.0,E,E,6.0,22.0,71.0,1011.7,1008.1,26.2,No,No
49,2013-04-19,Katherine,18.2,36.0,0.0,E,33.0,S,E,6.0,19.0,67.0,1013.1,1009.6,25.8,No,No
50,2013-04-20,Katherine,19.0,36.3,0.0,SE,33.0,SE,ESE,6.0,17.0,62.5,1013.0,1009.2,27.6,No,No
51,2013-04-21,Katherine,18.8,36.4,0.0,E,24.0,SE,E,0.0,13.0,58.0,1012.8,1008.3,27.7,No,No
52,2013-04-22,Katherine,18.2,36.7,0.0,NW,22.0,NNW,SW,7.0,6.0,70.0,1011.5,1008.2,26.0,No,No
53,2013-04-23,Katherine,19.5,36.3,0.0,NW,29.5,NNW,SSE,6.0,9.0,72.0,1012.5,1008.7,26.9,No,No
54,2013-04-24,Katherine,17.8,35.1,0.0,ESE,37.0,ENE,E,13.0,24.0,63.0,1015.0,1010.4,26.8,No,No
55,2013-04-25,Katherine,18.8,35.4,0.0,SE,41.0,ESE,ESE,13.0,20.0,69.0,1014.7,1011.4,26.5,No,No
56,2013-04-26,Katherine,16.4,33.9,0.0,ESE,43.0,SE,ESE,17.0,19.0,42.0,1015.5,1012.3,25.5,No,No
57,2013-04-27,Katherine,14.8,33.9,0.0,SE,31.0,SE,E,11.0,19.0,53.0,1014.6,1010.5,23.1,No,No
58,2013-04-28,Katherine,16.9,34.7,0.0,ESE,33.0,SW,E,6.0,17.0,58.0,1014.3,1010.2,23.8,No,No
59,2013-04-29,Katherine,18.4,34.1,0.0,E,33.0,SSE,SE,7.0,19.0,63.0,1014.9,1011.1,26.8,No,No
60,2013-04-30,Katherine,15.5,34.2,0.0,E,41.0,SSE,E,13.0,22.0,54.0,1014.9,1010.4,25.3,No,No
61,2013-05-01,Katherine,16.3,35.0,0.0,ESE,48.0,SE,ENE,9.0,20.0,67.0,1013.1,1008.6,24.2,No,No
62,2013-05-02,Katherine,21.1,35.5,0.0,SE,44.0,SE,ESE,13.0,19.0,64.0,1011.8,1008.5,27.7,No,No
63,2013-05-03,Katherine,21.2,35.9,0.0,E,44.0,E,E,17.0,24.0,70.0,1013.0,1009.5,28.1,No,No
64,2013-05-04,Katherine,21.5,35.3,0.0,E,46.0,ENE,ESE,20.0,19.0,78.0,1014.3,1010.7,27.7,No,No
65,2013-05-05,Katherine,21.1,34.9,0.0,ESE,35.0,E,SE,19.0,17.0,71.0,1013.4,1009.2,27.5,No,No
66,2013-05-06,Katherine,20.5,35.3,0.0,ESE,37.0,ENE,SE,11.0,17.0,72.0,1011.9,1008.4,27.6,No,No
67,2013-05-07,Katherine,18.9,34.3,0.0,ESE,37.0,ENE,ESE,19.0,24.0,63.0,1012.1,1008.9,26.3,No,No
68,2013-05-08,Katherine,15.7,33.7,0.0,ESE,43.0,SE,SE,13.0,17.0,71.0,1013.1,1009.1,24.0,No,No
69,2013-05-09,Katherine,19.4,34.1,0.0,ESE,41.0,E,E,17.0,17.0,72.0,1013.8,1009.5,26.2,No,No
70,2013-05-10,Katherine,21.4,34.9,0.0,ENE,37.0,E,E,13.0,17.0,80.0,1013.5,1009.5,26.0,No,No
71,2013-05-11,Katherine,25.3,33.9,0.0,ENE,43.0,E,ESE,15.0,20.0,75.0,1013.2,1009.1,27.3,No,No
72,2013-05-12,Katherine,19.5,34.6,0.0,SE,33.0,NE,ENE,20.0,22.0,70.0,1012.8,1010.2,27.0,No,No
73,2013-05-13,Katherine,20.3,33.6,0.0,SSE,31.0,S,SSE,17.0,19.0,75.0,1013.8,1010.2,26.1,No,No
74,2013-05-14,Katherine,20.3,33.4,0.0,SE,37.0,SE,ESE,20.0,17.0,61.0,1012.9,1008.9,23.3,No,No
75,2013-05-15,Katherine,19.6,32.9,0.0,E,33.0,ESE,ESE,15.0,13.0,68.0,1012.1,1008.4,25.0,No,No
76,2013-05-16,Katherine,22.4,32.1,0.0,SSE,24.0,NE,SE,9.0,11.0,72.0,1012.8,1009.8,26.8,No,No
77,2013-05-17,Katherine,20.9,33.8,0.0,E,30.0,SE,E,15.0,9.0,52.0,1014.1,1010.1,24.0,No,No
78,2013-05-18,Katherine,22.6,35.1,0.0,E,33.0,ESE,E,17.0,19.0,74.0,1014.4,1010.4,27.6,No,No
79,2013-05-19,Katherine,22.1,34.4,0.0,E,39.0,E,E,22.0,17.0,70.0,1013.7,1010.0,26.8,No,No
80,2013-05-20,Katherine,22.8,34.5,0.0,E,39.0,ENE,ENE,15.0,17.0,77.0,1013.1,1009.7,26.8,No,No
