,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,Melbourne,9.5,15.4,2.0,W,63.0,W,W,37.0,35.0,60.0,38.0,1006.8,1010.3,11.0,14.6,Yes,No
1,2008-07-02,Melbourne,11.0,14.5,0.6,W,63.0,W,WSW,30.0,35.0,66.0,52.0,1013.4,1016.2,11.8,13.7,No,Yes
2,2008-07-03,Melbourne,8.4,14.1,1.4,W,39.0,W,W,17.0,24.0,72.0,58.0,1024.8,1024.3,10.6,13.9,Yes,No
3,2008-07-04,Melbourne,9.1,14.5,0.6,E,19.0,NNW,N,9.0,7.0,87.0,49.0,1030.2,1029.0,10.2,13.1,No,No
4,2008-07-05,Melbourne,4.3,15.5,0.0,N,52.0,N,NNE,24.0,30.0,81.0,52.0,1028.9,1024.9,5.5,14.6,No,No
5,2008-07-06,Melbourne,5.5,15.4,0.0,N,74.0,N,NNW,31.0,44.0,68.0,48.0,1023.1,1020.1,11.6,14.6,No,No
6,2008-07-07,Melbourne,11.5,14.3,0.0,NNE,57.0,N,N,28.0,22.0,73.0,63.0,1016.3,1012.9,12.2,13.3,No,Yes
7,2008-07-08,Melbourne,6.9,10.4,5.0,N,37.0,N,N,13.0,11.0,80.0,71.0,1017.1,1017.0,7.3,10.3,Yes,Yes
8,2008-07-09,Melbourne,3.6,14.8,1.2,N,35.0,N,WSW,11.0,17.0,95.0,61.0,1023.1,1019.6,4.2,13.1,Yes,Yes
9,2008-07-10,Melbourne,4.2,13.5,3.0,WNW,69.0,N,WNW,15.0,46.0,87.0,33.0,1009.4,1006.7,9.0,12.2,Yes,No
10,2008-07-11,Melbourne,7.4,13.5,0.2,WSW,52.0,W,WSW,26.0,26.0,71.0,56.0,1016.3,1018.5,9.2,13.0,No,No
11,2008-07-12,Melbourne,6.6,11.3,0.0,N,91.0,N,N,22.0,46.0,68.0,53.0,1023.2,1018.5,8.4,10.3,No,No
12,2008-07-13,Melbourne,8.4,14.3,0.0,N,87.0,N,N,33.0,44.0,49.0,55.0,1017.1,1014.4,11.3,13.8,No,No
13,2008-07-14,Melbourne,7.4,18.9,0.0,N,54.0,SSW,N,7.0,26.0,78.0,24.0,1017.4,1016.2,8.5,17.9,No,No
14,2008-07-15,Melbourne,8.4,17.6,0.0,NNE,39.0,N,N,17.0,24.0,70.0,51.0,1019.9,1018.2,10.8,16.1,No,No
15,2008-07-16,Melbourne,6.2,16.4,0.0,N,43.0,N,N,19.0,30.0,86.0,55.0,1022.2,1018.7,7.5,14.1,No,No
16,2008-07-17,Melbourne,7.5,13.6,0.0,N,59.0,N,N,35.0,30.0,70.0,47.0,1013.5,1009.2,11.4,13.4,No,No
17,2008-07-18,Melbourne,9.1,12.4,0.8,SW,56.0,WNW,WSW,20.0,19.0,87.0,70.0,1008.2,1009.0,9.3,11.7,No,Yes
18,2008-07-19,Melbourne,6.4,14.1,1.6,N,72.0,N,N,33.0,43.0,74.0,55.0,1012.5,1009.2,8.3,13.0,Yes,No
19,2008-07-20,Melbourne,8.3,14.0,0.8,NNE,63.0,NNE,N,43.0,39.0,63.0,60.0,1004.4,1001.5,12.4,13.4,No,Yes
20,2008-07-21,Melbourne,8.5,13.4,13.8,SW,70.0,SSW,SSW,31.0,35.0,78.0,44.0,1011.7,1017.7,10.0,11.7,Yes,Yes
21,2008-07-22,Melbourne,6.2,12.6,2.4,SSW,41.0,WSW,SSW,15.0,13.0,78.0,62.0,1029.0,1029.2,8.0,12.1,Yes,No
22,2008-07-23,Melbourne,6.6,11.9,0.8,SSE,24.0,WSW,SSE,0.0,17.0,85.0,77.0,1034.1,1031.9,8.1,10.8,No,No
23,2008-07-24,Melbourne,4.2,16.1,0.0,NNE,33.0,NNE,N,11.0,17.0,95.0,39.0,1031.2,1026.2,5.5,15.1,No,No
24,2008-07-25,Melbourne,3.8,16.1,0.0,NNE,37.0,N,NNE,20.0,24.0,78.0,46.0,1024.8,1020.4,5.3,14.8,No,No
25,2008-07-26,Melbourne,4.7,13.3,0.0,N,41.0,N,NNE,24.0,20.0,79.0,54.0,1017.3,1013.7,6.6,12.8,No,Yes
26,2008-07-27,Melbourne,6.6,10.2,8.2,S,31.0,WSW,SSW,11.0,13.0,91.0,80.0,1013.5,1012.5,7.8,9.9,Yes,Yes
27,2008-07-28,Melbourne,6.0,13.8,1.6,SSE,41.0,WSW,S,9.0,24.0,71.0,61.0,1021.6,1021.4,9.2,12.7,Yes,No
28,2008-07-29,Melbourne,3.4,14.4,0.0,N,33.0,N,ESE,11.0,6.0,84.0,45.0,1023.0,1017.6,4.8,13.7,No,No
