,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Mildura,13.8,27.4,0.0,SSW,56.0,SW,WSW,17.0,31.0,51.0,24.0,1009.8,1008.5,19.2,26.0,No,No
1,2009-01-02,Mildura,8.9,24.8,0.0,S,39.0,SSE,SSE,24.0,15.0,39.0,21.0,1019.8,1017.7,14.1,23.3,No,No
2,2009-01-03,Mildura,10.6,28.6,0.0,ESE,30.0,E,SW,20.0,9.0,39.0,18.0,1019.2,1016.0,17.0,27.1,No,No
3,2009-01-04,Mildura,13.2,34.5,0.0,NNW,26.0,E,NW,9.0,17.0,24.0,9.0,1014.2,1012.1,24.1,32.8,No,No
4,2009-01-05,Mildura,16.5,37.3,0.0,WSW,37.0,SSE,WNW,11.0,13.0,37.0,7.0,1013.7,1010.8,23.7,35.6,No,No
5,2009-01-06,Mildura,15.7,39.2,0.0,W,37.0,SSE,W,9.0,15.0,34.0,6.0,1011.8,1007.7,23.3,37.8,No,No
6,2009-01-07,Mildura,17.0,32.3,0.0,WSW,48.0,SSW,SW,11.0,26.0,67.0,22.0,1010.0,1008.7,19.9,31.5,No,No
7,2009-01-08,Mildura,12.9,27.3,0.0,SSE,46.0,SSE,SSW,24.0,17.0,50.0,20.0,1018.3,1017.0,16.1,24.7,No,No
8,2009-01-09,Mildura,12.3,27.8,0.0,SE,35.0,SE,ESE,20.0,17.0,43.0,14.0,1019.1,1014.8,15.7,26.4,No,No
9,2009-01-10,Mildura,12.7,32.2,0.0,SW,52.0,SSE,SE,13.0,11.0,35.0,11.0,1010.9,1008.0,19.1,30.4,No,No
10,2009-01-11,Mildura,15.4,33.4,0.0,WSW,56.0,SW,SW,11.0,17.0,53.0,14.0,1010.0,1008.9,18.5,32.0,No,No
11,2009-01-12,Mildura,15.3,34.4,0.0,SSE,50.0,SSE,S,17.0,20.0,40.0,9.0,1016.6,1013.9,19.7,33.0,No,No
12,2009-01-13,Mildura,17.7,40.4,0.0,N,35.0,NE,N,13.0,6.0,22.0,9.0,1012.7,1009.4,28.0,38.7,No,No
13,2009-01-14,Mildura,22.3,42.4,0.0,W,41.0,N,WNW,11.0,20.0,13.0,7.0,1009.1,1007.6,31.4,41.4,No,No
14,2009-01-15,Mildura,16.4,29.7,0.0,S,52.0,S,SSW,24.0,20.0,51.0,23.0,1016.8,1015.8,18.4,25.9,No,No
15,2009-01-16,Mildura,12.8,29.8,0.0,SSW,48.0,S,SSW,24.0,20.0,53.0,21.0,1021.3,1018.3,16.8,27.6,No,No
16,2009-01-17,Mildura,12.0,28.6,0.0,SSE,43.0,SE,SSE,17.0,20.0,45.0,15.0,1022.8,1019.5,15.5,25.7,No,No
17,2009-01-18,Mildura,15.4,32.7,0.0,SE,28.0,SE,SE,15.0,13.0,30.0,12.0,1019.0,1016.0,19.6,30.0,No,No
18,2009-01-19,Mildura,17.2,39.0,0.0,WNW,26.0,NNE,N,9.0,9.0,24.0,8.0,1012.5,1008.8,27.2,36.8,No,No
19,2009-01-20,Mildura,20.1,42.3,0.0,NW,46.0,NNE,NW,9.0,20.0,19.0,4.0,1007.1,1005.2,28.7,41.3,No,No
20,2009-01-21,Mildura,19.2,36.7,0.0,WNW,54.0,SSE,WNW,4.0,11.0,44.0,18.0,1010.7,1007.0,23.2,34.5,No,No
21,2009-01-22,Mildura,22.9,38.3,0.8,W,78.0,NW,WNW,28.0,31.0,63.0,8.0,1002.8,1000.8,27.6,37.1,No,No
22,2009-01-23,Mildura,14.8,36.4,0.0,WNW,41.0,S,WNW,13.0,15.0,41.0,24.0,1008.3,1003.8,19.7,33.3,No,No
23,2009-01-24,Mildura,18.6,30.3,0.0,SW,39.0,SSW,SSW,22.0,13.0,53.0,24.0,1011.5,1011.9,19.9,27.1,No,No
24,2009-01-25,Mildura,14.7,34.7,0.0,ESE,30.0,SE,SSE,11.0,9.0,36.0,12.0,1017.3,1015.8,19.8,32.4,No,No
25,2009-01-26,Mildura,17.7,38.0,0.0,SE,35.0,SE,ESE,19.0,17.0,38.0,9.0,1018.6,1016.1,22.2,35.7,No,No
26,2009-01-27,Mildura,19.6,41.5,0.0,SE,26.0,E,E,15.0,11.0,28.0,8.0,1014.9,1011.9,25.9,40.0,No,No
27,2009-01-28,Mildura,25.3,43.7,0.0,NNW,50.0,N,NNW,24.0,13.0,23.0,14.0,1011.0,1008.4,34.6,42.4,No,No
