,index,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,143,2009-04-23,MountGinini,2.5,9.3,0.0,NW,46.0,E,N,20.0,9.0,100.0,89.0,3.3,8.6,No,No
1,144,2009-04-24,MountGinini,3.1,7.7,0.0,N,69.0,NW,NNW,31.0,30.0,100.0,100.0,6.5,6.1,No,Yes
2,145,2009-04-25,MountGinini,3.0,4.9,24.4,NW,100.0,W,WNW,33.0,33.0,100.0,100.0,3.7,3.6,Yes,Yes
3,146,2009-04-26,MountGinini,-3.0,-1.7,38.8,NNW,76.0,W,W,28.0,31.0,100.0,100.0,-2.3,-1.9,Yes,Yes
4,147,2009-04-27,MountGinini,-3.2,0.0,10.6,W,50.0,W,W,17.0,13.0,100.0,100.0,-2.8,-1.3,Yes,Yes
5,148,2009-04-28,MountGinini,-2.8,0.0,5.6,W,37.0,W,W,9.0,17.0,100.0,96.5,-0.1,0.04999999999999993,Yes,No
6,149,2009-04-29,MountGinini,-5.0,2.4,0.8,E,24.0,ENE,ENE,7.0,9.0,98.0,93.0,-0.3,1.4,No,No
7,150,2009-04-30,MountGinini,-2.7,6.8,0.0,NNE,22.0,ESE,NNW,6.0,4.0,89.0,90.0,1.6,4.4,No,No
8,151,2009-05-01,MountGinini,-0.3,7.9,0.0,W,33.0,W,WSW,13.0,13.0,78.0,56.0,2.3,7.3,No,No
9,152,2009-05-02,MountGinini,0.6,8.8,0.0,ESE,20.0,ESE,SW,7.0,6.0,61.0,67.0,5.4,7.9,No,No
10,153,2009-05-03,MountGinini,1.4,9.9,0.0,WNW,22.0,WSW,W,9.0,13.0,81.0,62.0,5.3,9.2,No,No
11,154,2009-05-04,MountGinini,1.8,10.9,0.0,SW,31.0,SW,SSW,20.0,9.0,53.0,41.0,4.7,10.2,No,No
12,155,2009-05-05,MountGinini,1.4,10.4,0.0,SSE,26.0,WNW,NW,9.0,13.0,66.0,67.0,6.4,9.5,No,No
13,156,2009-05-06,MountGinini,2.2,10.6,0.0,NW,26.0,WSW,W,15.0,13.0,64.0,64.0,5.3,10.0,No,No
14,157,2009-05-07,MountGinini,1.7,11.3,0.0,SW,41.0,SSW,SW,20.0,17.0,36.0,46.0,5.9,10.0,No,No
15,158,2009-05-08,MountGinini,2.2,10.2,0.0,SE,24.0,SSE,WSW,4.0,7.0,26.0,54.0,6.3,9.3,No,No
16,159,2009-05-09,MountGinini,3.5,12.4,0.0,SSE,31.0,S,ESE,13.0,9.0,48.0,57.0,8.5,9.1,No,No
17,160,2009-05-10,MountGinini,0.8,7.6,0.0,ESE,33.0,ESE,E,15.0,13.0,82.0,75.0,4.3,6.8,No,No
18,161,2009-05-11,MountGinini,-0.3,7.5,0.0,WSW,20.0,SSW,SW,13.0,4.0,84.0,87.0,3.7,4.9,No,No
19,162,2009-05-12,MountGinini,0.7,7.1,0.4,SW,28.0,SSW,WNW,7.0,11.0,81.0,80.0,2.6,4.5,No,No
20,163,2009-05-13,MountGinini,0.0,5.3,0.0,WSW,59.0,WSW,WSW,30.0,33.0,91.0,79.0,1.1,2.6,No,No
21,164,2009-05-14,MountGinini,-0.6,2.3,0.2,WSW,80.0,WSW,WSW,35.0,33.0,96.0,97.0,-0.3,0.8,No,No
22,165,2009-05-15,MountGinini,-0.3,4.1,1.0,WSW,81.0,WSW,W,35.0,35.0,98.0,98.0,1.4,2.6,No,Yes
23,166,2009-05-16,MountGinini,1.4,7.1,17.8,W,94.0,W,W,46.0,37.0,98.0,94.0,2.6,2.6,Yes,No
24,167,2009-05-17,MountGinini,-1.7,10.7,0.0,SW,48.0,S,S,28.0,19.0,36.0,34.0,7.0,9.9,No,No
25,168,2009-05-18,MountGinini,2.3,8.7,0.0,ESE,39.0,E,ENE,19.0,15.0,37.0,69.0,5.2,6.6,No,No
