,Date,Location,MinTemp,MaxTemp,Rainfall,WindSpeed9am,Humidity9am,Temp9am,RainToday,RainTomorrow
0,2008-12-01,Newcastle,13.2,32.2,0.0,6.0,50.0,21.8,No,No
1,2008-12-02,Newcastle,14.7,32.2,0.0,4.0,62.0,22.0,No,No
2,2008-12-03,Newcastle,16.2,32.2,0.0,2.0,74.0,22.2,No,No
3,2008-12-04,Newcastle,19.2,24.0,0.0,22.0,66.0,20.4,No,No
4,2008-12-05,Newcastle,18.8,30.2,0.0,4.0,85.0,20.0,No,No
5,2008-12-06,Newcastle,19.8,34.2,0.0,4.0,56.0,29.2,No,No
6,2008-12-07,Newcastle,19.4,27.8,0.0,0.0,91.0,20.8,No,No
7,2008-12-08,Newcastle,17.5,26.2,0.0,2.0,84.5,21.0,No,No
8,2008-12-09,Newcastle,15.6,29.4,0.0,4.0,78.0,21.2,No,No
9,2008-12-10,Newcastle,19.2,26.4,0.0,22.0,63.0,25.8,No,No
10,2008-12-11,Newcastle,19.4,21.4,0.0,2.0,83.0,19.6,No,No
11,2008-12-12,Newcastle,18.0,22.4,0.4,4.0,87.0,18.8,No,Yes
12,2008-12-13,Newcastle,18.2,31.6,29.8,0.0,95.0,22.2,Yes,No
13,2008-12-14,Newcastle,18.2,27.2,1.0,19.0,55.0,22.0,No,No
14,2008-12-15,Newcastle,16.6,22.8,0.0,9.0,42.0,20.4,No,No
15,2008-12-16,Newcastle,11.6,27.0,0.0,0.0,72.0,18.8,No,No
16,2008-12-17,Newcastle,14.4,29.0,0.0,0.0,51.0,23.2,No,No
17,2008-12-18,Newcastle,17.6,34.0,0.0,4.0,91.0,20.0,No,Yes
18,2008-12-19,Newcastle,18.0,26.6,1.2,0.0,71.0,22.4,Yes,No
19,2008-12-20,Newcastle,17.6,21.6,0.0,19.0,96.0,19.4,No,No
20,2008-12-21,Newcastle,12.6,24.2,0.0,4.0,96.0,20.0,No,No
21,2008-12-22,Newcastle,15.2,26.4,0.0,7.0,100.0,20.6,No,No
22,2008-12-23,Newcastle,16.0,31.0,0.0,4.0,62.0,21.6,No,Yes
23,2008-12-24,Newcastle,18.8,28.3,2.0,9.0,81.0,20.2,Yes,No
24,2008-12-25,Newcastle,19.0,25.6,0.0,6.5,84.0,21.0,No,No
25,2008-12-26,Newcastle,19.2,29.4,0.0,4.0,87.0,21.8,No,No
26,2008-12-27,Newcastle,19.2,30.6,0.0,4.0,88.0,23.4,No,No
27,2008-12-28,Newcastle,18.6,31.2,0.0,4.0,74.0,23.8,No,No
28,2008-12-29,Newcastle,20.2,28.8,0.0,2.0,57.0,28.0,No,Yes
29,2008-12-30,Newcastle,19.2,33.4,10.6,0.0,77.0,22.0,Yes,No
30,2008-12-31,Newcastle,15.4,33.4,0.0,0.0,50.0,23.8,No,No
31,2009-01-01,Newcastle,15.2,32.8,0.0,4.0,71.0,22.8,No,No
32,2009-01-02,Newcastle,19.2,25.6,0.0,0.0,65.0,21.2,No,No
33,2009-01-03,Newcastle,16.4,22.6,0.8,4.0,64.0,19.6,No,No
34,2009-01-04,Newcastle,17.8,28.8,0.0,4.0,67.0,21.6,No,No
35,2009-01-05,Newcastle,16.8,36.0,0.0,7.0,69.0,22.2,No,No
36,2009-01-06,Newcastle,19.6,31.8,0.0,4.0,55.0,28.0,No,No
37,2009-01-07,Newcastle,21.2,34.8,0.0,0.0,77.0,24.2,No,No
38,2009-01-08,Newcastle,21.2,23.8,0.0,11.0,74.0,22.4,No,Yes
39,2009-01-09,Newcastle,16.8,22.6,2.4,19.0,61.0,19.0,Yes,No
40,2009-01-10,Newcastle,15.4,25.4,0.2,7.0,58.0,21.6,No,No
41,2009-01-11,Newcastle,17.4,27.6,0.0,6.0,59.0,22.6,No,No
