,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Nuriootpa,13.3,22.7,0.0,WSW,61.0,SW,W,22.0,28.0,66.0,37.0,1010.4,1011.4,16.7,21.1,No,No
1,2009-01-02,Nuriootpa,7.0,22.4,0.0,SE,41.0,ESE,ESE,20.0,17.0,47.0,25.0,1020.1,1017.8,13.7,20.8,No,No
2,2009-01-03,Nuriootpa,10.5,28.9,0.0,SE,41.0,ENE,ESE,19.0,7.0,35.0,13.0,1018.0,1014.5,16.8,26.4,No,No
3,2009-01-04,Nuriootpa,9.8,33.1,0.0,WSW,37.0,ENE,WNW,15.0,22.0,23.0,7.0,1014.1,1011.8,23.5,32.8,No,No
4,2009-01-05,Nuriootpa,12.5,32.6,0.0,W,35.0,ESE,W,9.0,17.0,26.0,12.0,1015.0,1012.4,22.0,31.0,No,No
5,2009-01-06,Nuriootpa,12.1,33.8,0.0,SW,50.0,NE,WSW,7.0,22.0,23.0,14.0,1012.1,1008.9,24.3,32.5,No,No
6,2009-01-07,Nuriootpa,11.7,26.0,0.0,WSW,43.0,SW,SW,11.0,17.0,36.0,44.0,1012.7,1012.4,18.2,24.7,No,No
7,2009-01-08,Nuriootpa,9.0,23.3,0.0,SE,43.0,SSE,SSE,17.0,20.0,49.0,29.0,1019.3,1018.4,16.0,21.8,No,No
8,2009-01-09,Nuriootpa,9.8,24.9,0.0,SE,46.0,E,ENE,22.0,13.0,43.0,22.0,1018.6,1014.7,14.3,22.3,No,No
9,2009-01-10,Nuriootpa,12.0,29.4,0.0,SSE,41.0,ESE,NNE,13.0,9.0,43.0,15.0,1012.1,1008.9,18.4,27.8,No,No
10,2009-01-11,Nuriootpa,11.2,28.3,0.0,SE,52.0,SE,SW,11.0,20.0,61.0,20.0,1012.1,1010.3,17.4,27.6,No,No
11,2009-01-12,Nuriootpa,13.0,32.4,0.0,SE,44.0,E,N,20.0,7.0,47.0,19.0,1016.9,1014.1,19.0,30.0,No,No
12,2009-01-13,Nuriootpa,17.9,40.3,0.0,NNW,48.0,N,NW,20.0,33.0,11.0,4.0,1011.3,1008.2,31.0,38.7,No,No
13,2009-01-14,Nuriootpa,17.2,34.8,0.0,WNW,35.0,NW,WNW,2.0,17.0,75.0,19.0,1012.0,1009.8,20.6,33.8,No,No
14,2009-01-15,Nuriootpa,10.8,27.3,0.0,SSW,39.0,SSW,SSW,11.0,17.0,61.0,25.0,1018.5,1017.2,16.8,26.4,No,No
15,2009-01-16,Nuriootpa,7.9,27.5,0.0,SSE,41.0,SSE,SW,17.0,20.0,57.0,22.0,1022.3,1020.1,16.9,26.6,No,No
16,2009-01-17,Nuriootpa,10.2,26.6,0.0,ESE,39.0,E,SSE,17.0,13.0,48.0,16.0,1023.0,1019.8,14.2,25.2,No,No
17,2009-01-18,Nuriootpa,14.2,31.6,0.0,SE,35.0,E,ENE,15.0,17.0,29.0,10.0,1019.2,1015.7,21.1,30.1,No,No
18,2009-01-19,Nuriootpa,12.3,38.0,0.0,WSW,48.0,NE,WSW,9.0,24.0,17.0,5.0,1012.4,1008.7,28.1,37.2,No,No
19,2009-01-20,Nuriootpa,13.5,36.3,0.0,WSW,52.0,NE,SW,9.0,19.0,20.0,10.0,1007.6,1008.5,29.2,33.9,No,No
20,2009-01-21,Nuriootpa,14.1,30.7,0.0,WSW,37.0,ENE,SW,11.0,15.0,54.0,30.0,1010.9,1007.3,19.5,29.6,No,No
21,2009-01-22,Nuriootpa,11.9,29.5,0.0,WSW,67.0,WNW,W,30.0,37.0,20.0,44.0,1003.0,1003.3,24.2,26.0,No,No
22,2009-01-23,Nuriootpa,9.4,29.0,0.0,W,56.0,NNE,WNW,17.0,26.0,51.0,22.0,1008.1,1004.2,17.2,29.0,No,No
23,2009-01-24,Nuriootpa,14.6,27.0,1.0,W,50.0,WSW,SW,20.0,17.0,63.0,30.0,1012.6,1012.7,16.8,24.4,No,No
24,2009-01-25,Nuriootpa,10.7,32.9,0.0,SE,26.0,ENE,WSW,15.0,13.0,54.0,13.0,1017.4,1016.0,17.7,30.9,No,No
25,2009-01-26,Nuriootpa,13.7,33.9,0.0,SE,39.0,E,ESE,20.0,17.0,49.0,16.0,1019.8,1016.9,20.1,31.2,No,No
26,2009-01-27,Nuriootpa,16.1,41.7,0.0,NE,31.0,NE,NNW,13.0,11.0,20.0,5.0,1014.8,1010.7,29.9,40.0,No,No
27,2009-01-28,Nuriootpa,21.1,44.1,0.0,N,70.0,NNE,NW,19.0,17.0,11.0,8.0,1009.2,1006.6,35.8,41.8,No,No
28,2009-01-29,Nuriootpa,26.9,42.5,0.0,NW,48.0,NNW,N,15.0,15.0,17.0,9.0,1010.7,1008.5,34.9,41.4,No,No
29,2009-01-30,Nuriootpa,22.0,41.9,0.0,NNW,54.0,N,NNE,9.0,15.0,19.0,9.0,1011.4,1008.6,34.4,40.4,No,No
30,2009-01-31,Nuriootpa,23.1,41.0,0.0,SE,59.0,NE,SSE,9.0,13.0,30.0,11.0,1012.9,1010.3,31.7,41.0,No,No
31,2009-02-01,Nuriootpa,23.2,39.8,0.0,ESE,54.0,ENE,WSW,15.0,11.0,45.0,17.0,1013.7,1010.6,25.9,38.0,No,No
32,2009-02-02,Nuriootpa,24.9,37.4,0.6,SSE,52.0,ESE,SE,19.0,26.0,33.0,22.0,1011.7,1009.7,28.8,35.0,No,No
33,2009-02-03,Nuriootpa,18.2,37.7,0.0,WSW,31.0,E,SE,15.0,11.0,52.0,24.0,1010.8,1007.5,25.3,35.3,No,No
34,2009-02-04,Nuriootpa,12.8,35.6,0.0,W,39.0,W,WSW,6.0,22.0,62.0,23.0,1008.5,1005.5,22.3,33.8,No,No
35,2009-02-05,Nuriootpa,12.6,36.1,0.0,W,30.0,NE,W,9.0,15.0,63.0,26.0,1008.0,1007.5,22.2,34.7,No,No
36,2009-02-06,Nuriootpa,17.7,41.7,0.0,NE,41.0,ENE,NNE,17.0,19.0,39.0,13.0,1007.9,1004.2,27.2,40.6,No,No
37,2009-02-07,Nuriootpa,19.8,43.9,0.0,NW,76.0,NNW,WSW,31.0,35.0,11.0,29.0,1002.9,1004.1,37.7,35.3,No,No
38,2009-02-08,Nuriootpa,16.9,24.6,0.0,SSE,43.0,SSE,S,13.0,17.0,70.0,36.0,1013.6,1014.3,19.4,24.0,No,No
39,2009-02-09,Nuriootpa,10.2,22.9,0.0,SSE,46.0,SE,S,20.0,22.0,52.0,26.0,1019.3,1016.7,14.1,21.9,No,No
40,2009-02-10,Nuriootpa,9.4,20.4,0.0,SSE,44.0,SSE,SSE,17.0,26.0,57.0,38.0,1020.5,1019.2,13.2,17.6,No,No
41,2009-02-11,Nuriootpa,7.2,20.6,0.0,SSE,50.0,SSE,SSE,17.0,28.0,46.0,32.0,1022.7,1020.0,13.1,19.7,No,No
42,2009-02-12,Nuriootpa,9.2,23.4,0.0,SSE,52.0,SE,SE,24.0,24.0,62.0,21.0,1022.0,1019.1,13.0,21.4,No,No
43,2009-02-13,Nuriootpa,11.55,26.2,0.0,SE,54.0,ESE,E,19.0,24.0,49.0,26.0,1021.5,1019.0,16.2,23.6,No,No
44,2009-02-14,Nuriootpa,13.9,29.8,0.0,ESE,54.0,E,SE,19.0,20.0,46.0,21.0,1020.4,1017.7,21.0,27.2,No,No
45,2009-02-15,Nuriootpa,14.5,30.0,0.0,SE,44.0,E,N,4.0,7.0,46.0,18.0,1017.1,1014.2,19.0,29.4,No,No
46,2009-02-16,Nuriootpa,15.9,30.3,0.0,SE,37.0,ESE,SE,19.0,7.0,58.0,24.0,1016.3,1013.1,19.8,28.6,No,No
47,2009-02-17,Nuriootpa,15.0,31.9,0.0,SE,37.0,NE,ENE,9.0,13.0,39.0,23.0,1013.2,1010.9,24.6,28.9,No,No
48,2009-02-18,Nuriootpa,15.1,32.8,0.0,SE,30.0,ENE,E,6.0,13.0,33.0,16.0,1010.8,1008.0,24.7,30.7,No,No
49,2009-02-19,Nuriootpa,14.1,34.2,0.0,WSW,56.0,ESE,W,2.0,31.0,34.0,43.0,1009.2,1008.5,25.6,28.4,No,Yes
50,2009-02-20,Nuriootpa,14.4,25.1,1.6,S,37.0,SW,W,9.0,24.0,66.0,44.0,1016.6,1015.8,17.0,23.4,Yes,No
51,2009-02-21,Nuriootpa,14.4,25.7,0.0,ESE,39.0,SSE,SE,22.0,20.0,58.0,31.0,1020.0,1016.9,16.9,24.6,No,No
52,2009-02-22,Nuriootpa,12.8,30.7,0.0,SE,39.0,E,W,17.0,11.0,64.0,19.0,1016.7,1012.8,16.9,27.9,No,No
53,2009-02-23,Nuriootpa,10.6,28.9,0.0,WSW,44.0,E,W,0.0,28.0,50.0,21.0,1012.2,1012.9,19.5,27.9,No,No
54,2009-02-24,Nuriootpa,10.5,25.1,0.0,ESE,48.0,ESE,ESE,22.0,19.0,55.0,19.0,1019.5,1016.8,13.8,23.3,No,No
55,2009-02-25,Nuriootpa,12.9,30.0,0.0,ESE,37.0,ENE,E,19.0,13.0,37.0,12.0,1018.2,1015.9,16.7,28.6,No,No
56,2009-02-26,Nuriootpa,16.7,35.0,0.0,NNE,35.0,ENE,NNE,19.0,15.0,21.0,7.0,1015.6,1012.4,22.1,33.7,No,No
57,2009-02-27,Nuriootpa,21.9,34.2,0.0,W,46.0,SE,W,7.0,22.0,13.0,33.0,1012.4,1011.7,25.5,29.6,No,No
58,2009-02-28,Nuriootpa,12.7,29.1,0.0,SSW,52.0,SE,SSW,17.0,11.0,66.0,22.0,1015.3,1013.2,16.9,27.8,No,No
59,2009-03-01,Nuriootpa,13.1,23.1,0.0,E,35.0,ESE,E,17.0,6.0,64.0,35.0,1016.3,1014.2,14.1,21.9,No,No
60,2009-03-02,Nuriootpa,13.8,26.2,0.2,ENE,37.0,ENE,E,17.0,15.0,60.0,47.0,1012.5,1009.3,16.8,25.5,No,No
61,2009-03-03,Nuriootpa,16.4,28.0,1.0,WSW,65.0,WNW,W,15.0,37.0,39.0,96.0,1003.9,1008.5,26.1,16.4,No,Yes
62,2009-03-04,Nuriootpa,12.1,19.5,12.6,WSW,72.0,W,WSW,35.0,41.0,55.0,46.0,1019.5,1020.3,14.8,18.5,Yes,No
63,2009-03-05,Nuriootpa,11.7,21.3,0.2,SW,37.0,SW,SW,13.0,19.0,81.0,52.0,1023.0,1021.2,14.1,20.7,No,No
64,2009-03-06,Nuriootpa,13.0,21.7,0.0,SW,26.0,SW,SSW,2.0,9.0,82.0,53.0,1019.6,1016.4,14.1,19.7,No,No
65,2009-03-07,Nuriootpa,9.6,23.7,0.0,SE,50.0,ESE,E,9.0,13.0,82.0,41.0,1017.7,1015.6,15.3,23.4,No,No
66,2009-03-08,Nuriootpa,11.3,25.3,0.0,SE,54.0,ESE,SE,19.0,19.0,60.0,32.0,1019.4,1017.0,14.6,23.7,No,No
67,2009-03-09,Nuriootpa,13.2,27.2,0.0,SE,35.0,ESE,SE,17.0,13.0,56.0,23.0,1019.1,1016.8,16.6,26.4,No,No
68,2009-03-10,Nuriootpa,15.6,28.3,0.0,ESE,31.0,SE,SE,13.0,13.0,66.0,20.0,1017.3,1015.4,17.3,27.4,No,No
69,2009-03-11,Nuriootpa,14.7,28.2,0.0,SSE,31.0,E,NE,7.0,7.0,67.0,33.0,1016.9,1014.1,19.2,26.5,No,No
70,2009-03-12,Nuriootpa,13.8,29.3,0.0,SW,33.0,NNE,ENE,6.0,13.0,62.0,32.0,1016.0,1013.9,20.4,28.9,No,Yes
71,2009-03-13,Nuriootpa,13.6,31.5,1.2,WSW,30.0,NNE,WSW,0.0,13.0,64.0,19.0,1015.9,1013.5,19.4,30.3,Yes,No
72,2009-03-14,Nuriootpa,16.6,21.1,0.2,WSW,61.0,W,WSW,20.0,33.0,89.0,42.0,1013.6,1014.0,17.0,19.4,No,No
73,2009-03-15,Nuriootpa,8.1,20.0,0.0,SW,50.0,W,WSW,20.0,26.0,64.0,43.0,1018.0,1016.7,14.7,19.3,No,Yes
74,2009-03-16,Nuriootpa,12.8,19.7,1.6,SW,39.0,WSW,WSW,13.0,24.0,92.0,51.0,1018.3,1017.5,13.9,18.6,Yes,No
75,2009-03-17,Nuriootpa,11.1,23.3,0.0,ESE,30.0,SSE,SE,9.0,15.0,87.0,36.0,1020.9,1017.5,12.5,22.5,No,No
76,2009-03-18,Nuriootpa,10.2,28.3,0.0,NW,37.0,ENE,NW,13.0,20.0,64.0,20.0,1015.7,1012.4,15.9,27.1,No,No
77,2009-03-19,Nuriootpa,11.7,27.8,0.0,NW,44.0,N,WSW,7.0,22.0,39.0,46.0,1013.6,1013.4,21.4,25.3,No,No
78,2009-03-20,Nuriootpa,11.9,32.2,0.0,NW,33.0,NE,N,9.0,17.0,73.0,26.0,1015.8,1011.7,16.2,29.6,No,No
79,2009-03-21,Nuriootpa,12.4,32.5,0.0,W,52.0,ENE,NNW,9.0,24.0,46.0,16.0,1011.1,1009.5,22.1,31.7,No,No
80,2009-03-22,Nuriootpa,10.8,23.4,0.0,WSW,41.0,SSE,WSW,15.0,6.0,64.0,30.0,1016.7,1014.7,15.3,23.3,No,No
81,2009-03-23,Nuriootpa,9.4,24.0,0.0,SE,33.0,ESE,NE,11.0,15.0,73.0,36.0,1017.4,1014.4,13.3,22.0,No,No
82,2009-03-24,Nuriootpa,12.7,25.35,0.4,SE,33.0,N,W,6.0,13.0,65.0,46.0,1016.5,1014.7,16.1,23.3,No,No
83,2009-03-25,Nuriootpa,12.149999999999999,26.7,0.0,WNW,33.0,ENE,WSW,7.0,20.0,64.0,44.0,1016.2,1015.5,18.5,25.9,No,No
84,2009-03-26,Nuriootpa,11.6,25.9,0.0,SSE,37.0,SW,S,13.0,17.0,93.0,32.0,1023.3,1022.7,16.1,24.9,No,No
85,2009-03-27,Nuriootpa,9.6,24.9,0.0,SE,31.0,E,E,13.0,11.0,72.0,19.0,1027.8,1025.0,12.4,23.8,No,No
86,2009-03-28,Nuriootpa,7.6,30.1,0.0,NE,28.0,NE,W,13.0,13.0,56.0,7.0,1023.7,1020.0,15.3,29.0,No,No
87,2009-03-29,Nuriootpa,6.1,30.5,0.0,SE,33.0,ENE,E,4.0,9.0,34.0,8.0,1021.5,1019.5,16.5,29.5,No,No
88,2009-03-30,Nuriootpa,15.1,28.8,0.0,ESE,37.0,ESE,E,13.0,19.0,47.0,17.0,1022.2,1020.3,18.1,27.1,No,No
89,2009-03-31,Nuriootpa,16.0,30.5,0.0,SE,31.0,E,ENE,13.0,9.0,40.0,15.0,1020.6,1017.9,20.6,29.5,No,No
90,2009-04-01,Nuriootpa,12.6,31.0,0.0,NE,39.0,NE,NNE,13.0,13.0,33.0,18.0,1019.4,1017.3,22.6,30.5,No,No
91,2009-04-02,Nuriootpa,14.7,33.9,0.0,W,35.0,NE,WSW,7.0,19.0,40.0,14.0,1018.7,1016.1,22.3,33.4,No,No
92,2009-04-03,Nuriootpa,15.1,21.0,0.0,WSW,46.0,SW,WSW,24.0,30.0,62.0,36.0,1021.4,1020.7,16.8,20.4,No,No
