,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,PerthAirport,18.8,37.2,0.0,E,56.0,E,ENE,30.0,15.0,48.0,22.0,1011.0,1007.9,22.2,35.0,No,No
1,2009-01-02,PerthAirport,21.9,36.1,0.0,E,59.0,NE,W,11.0,20.0,39.0,31.0,1008.7,1007.9,27.5,33.9,No,No
2,2009-01-03,PerthAirport,20.3,34.4,0.0,SSW,44.0,S,W,17.0,24.0,57.0,34.0,1012.8,1010.7,23.5,33.0,No,No
3,2009-01-04,PerthAirport,18.5,36.5,0.0,SE,39.0,E,E,11.0,13.0,48.0,20.0,1017.1,1013.1,22.5,34.9,No,No
4,2009-01-05,PerthAirport,21.8,37.2,0.0,E,57.0,E,W,19.0,22.0,38.0,21.0,1014.7,1010.8,25.3,36.4,No,No
5,2009-01-06,PerthAirport,19.7,36.4,0.0,WSW,43.0,ESE,W,15.0,26.0,54.0,35.0,1014.5,1009.7,24.6,33.9,No,No
6,2009-01-07,PerthAirport,18.9,36.3,0.0,E,52.0,SE,SSE,15.0,17.0,50.0,23.0,1014.7,1011.1,23.1,34.3,No,No
7,2009-01-08,PerthAirport,20.3,37.2,0.0,ESE,41.0,ESE,SSE,15.0,13.0,48.0,24.0,1014.7,1011.4,24.2,36.3,No,No
8,2009-01-09,PerthAirport,19.1,37.1,0.0,SW,46.0,SSE,W,13.0,26.0,50.0,32.0,1015.7,1011.4,24.4,34.6,No,No
9,2009-01-10,PerthAirport,20.5,35.7,0.0,SW,48.0,ESE,SW,13.0,33.0,43.0,26.0,1013.1,1010.5,26.0,33.3,No,No
10,2009-01-11,PerthAirport,21.2,39.1,0.0,SW,41.0,ENE,WSW,20.0,20.0,41.0,15.0,1009.6,1005.4,25.6,38.0,No,No
11,2009-01-12,PerthAirport,13.5,28.4,0.0,SW,57.0,SW,WSW,24.0,35.0,54.0,52.0,1007.7,1009.0,23.8,26.6,No,No
12,2009-01-13,PerthAirport,10.3,26.9,0.0,SW,48.0,NNE,W,2.0,28.0,60.0,37.0,1017.8,1014.9,18.1,25.0,No,No
13,2009-01-14,PerthAirport,14.6,31.7,0.0,W,37.0,ESE,WSW,17.0,22.0,49.0,35.0,1017.5,1014.6,21.4,30.0,No,No
14,2009-01-15,PerthAirport,19.0,39.8,0.0,E,72.0,ENE,ESE,35.0,20.0,45.0,16.0,1016.4,1012.0,22.7,37.2,No,No
