,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Richmond,12.0,33.1,0.0,W,61.0,W,9.0,31.0,60.0,23.0,1005.5,1001.0,20.0,32.1,No,No
1,2009-01-02,Richmond,15.9,25.8,0.0,SE,50.0,SE,13.0,35.0,60.0,23.0,1012.6,1012.1,20.0,23.7,No,No
2,2009-01-03,Richmond,13.6,20.8,0.0,E,24.0,NNE,7.0,9.0,60.0,23.0,1021.9,1019.1,16.8,20.0,No,No
3,2009-01-04,Richmond,16.3,30.1,0.0,NE,33.0,NE,4.0,17.0,60.0,23.0,1018.7,1013.5,19.6,29.3,No,No
4,2009-01-05,Richmond,14.6,36.5,0.0,W,57.0,WSW,7.0,24.0,60.0,23.0,1013.1,1007.7,21.2,36.1,No,No
5,2009-01-06,Richmond,14.0,38.2,0.0,NNW,59.0,NE,6.0,11.0,60.0,23.0,1011.8,1006.1,22.5,38.0,No,No
6,2009-01-07,Richmond,15.6,38.2,0.0,W,48.0,NW,9.0,19.0,60.0,23.0,1010.0,1004.2,22.2,35.8,No,No
7,2009-01-08,Richmond,19.4,21.4,0.0,SE,43.0,SE,11.0,19.0,60.0,23.0,1012.4,1013.4,20.2,18.3,No,Yes
8,2009-01-09,Richmond,14.2,21.2,1.4,E,37.0,E,17.0,13.0,60.0,23.0,1020.3,1018.5,16.9,19.9,Yes,No
9,2009-01-10,Richmond,11.3,25.1,0.0,NE,35.0,E,6.0,19.0,60.0,23.0,1017.1,1012.7,17.2,23.3,No,No
10,2009-01-11,Richmond,11.8,28.5,0.0,ESE,37.0,NE,2.0,17.0,60.0,23.0,1014.3,1009.8,19.4,27.8,No,Yes
11,2009-01-12,Richmond,15.4,28.3,3.4,ENE,50.0,ESE,4.0,30.0,60.0,23.0,1015.8,1014.8,17.8,26.4,Yes,No
12,2009-01-13,Richmond,17.8,31.1,0.2,NE,35.0,NE,11.0,17.0,60.0,23.0,1019.4,1015.0,22.7,29.3,No,No
13,2009-01-14,Richmond,15.1,38.4,0.0,ENE,37.0,ENE,4.0,13.0,60.0,23.0,1014.6,1009.5,22.3,37.0,No,No
14,2009-01-15,Richmond,17.6,40.7,0.0,SE,72.0,NW,11.0,24.0,60.0,23.0,1008.9,1005.1,29.7,39.9,No,No
15,2009-01-16,Richmond,15.9,34.9,0.4,SE,63.0,NNE,6.0,11.0,60.0,23.0,1012.9,1007.4,19.8,30.7,No,No
16,2009-01-17,Richmond,14.7,21.4,0.2,SSE,35.0,SE,11.0,17.0,60.0,23.0,1020.8,1020.1,15.9,20.0,No,No
17,2009-01-18,Richmond,10.7,28.0,0.0,NE,33.0,ENE,4.0,11.0,60.0,23.0,1022.1,1018.5,18.0,27.1,No,No
18,2009-01-19,Richmond,11.6,33.5,0.0,ESE,41.0,NE,6.0,19.0,60.0,23.0,1019.4,1013.5,18.9,31.9,No,No
19,2009-01-20,Richmond,15.4,39.0,0.0,NNW,44.0,NW,4.0,19.0,60.0,19.0,1013.7,1008.8,22.7,38.5,No,No
20,2009-01-21,Richmond,21.6,38.9,0.0,SSW,46.0,NW,9.0,17.0,61.0,26.0,1011.7,1006.6,26.5,38.1,No,Yes
21,2009-01-22,Richmond,21.2,32.6,1.6,NW,48.0,NNW,13.0,22.0,65.0,48.0,1008.9,1005.7,26.0,30.9,Yes,No
22,2009-01-23,Richmond,23.0,36.4,0.2,ESE,46.0,ENE,17.0,19.0,53.0,40.0,1008.9,1006.0,29.6,35.0,No,No
23,2009-01-24,Richmond,23.0,41.0,0.0,SE,69.0,WNW,20.0,35.0,51.0,23.0,1004.8,1002.6,32.6,40.5,No,No
24,2009-01-25,Richmond,19.8,27.6,0.0,E,33.0,ENE,15.0,13.0,57.0,40.0,1019.8,1017.4,21.5,27.2,No,No
25,2009-01-26,Richmond,21.1,30.7,0.0,ESE,39.0,SE,9.0,19.0,64.0,51.0,1019.4,1018.1,22.5,30.1,No,Yes
26,2009-01-27,Richmond,19.8,29.2,10.6,S,28.0,SE,9.0,9.0,99.0,63.0,1021.4,1019.1,20.3,27.3,Yes,No
27,2009-01-28,Richmond,18.1,35.1,0.2,ENE,33.0,NE,7.0,17.0,99.0,38.0,1018.7,1014.6,19.3,32.9,No,No
28,2009-01-29,Richmond,16.9,34.7,0.0,ENE,35.0,NNE,6.0,11.0,89.0,37.0,1018.8,1014.9,21.5,32.8,No,No
29,2009-01-30,Richmond,17.6,34.8,0.0,ENE,37.0,NNE,6.0,13.0,74.0,32.0,1018.5,1014.2,24.3,33.3,No,No
30,2009-01-31,Richmond,17.5,37.5,0.0,E,35.0,ENE,6.0,15.0,76.0,31.0,1017.4,1012.1,23.5,36.6,No,No
31,2009-02-01,Richmond,19.7,33.3,0.0,SE,39.0,ESE,13.0,26.0,71.0,43.0,1015.6,1014.4,24.8,31.8,No,No
32,2009-02-02,Richmond,19.5,35.5,0.0,E,37.0,ENE,0.0,15.0,75.0,36.0,1016.3,1010.4,25.0,34.0,No,No
33,2009-02-03,Richmond,20.5,34.0,0.0,SE,46.0,SSE,6.0,28.0,69.0,37.0,1010.8,1008.7,24.0,31.9,No,No
34,2009-02-04,Richmond,21.6,33.2,0.0,E,31.0,NNE,2.0,11.0,77.0,43.0,1011.6,1007.9,23.9,31.8,No,No
35,2009-02-05,Richmond,19.7,40.1,0.0,ENE,35.0,NE,2.0,15.0,76.0,26.0,1009.2,1004.1,25.0,38.3,No,No
36,2009-02-06,Richmond,22.1,41.3,0.0,ENE,44.0,NE,11.0,20.0,71.0,23.0,1010.8,1006.2,26.0,40.4,No,No
37,2009-02-07,Richmond,21.7,41.9,0.0,ENE,43.0,NE,4.0,24.0,64.0,18.0,1013.4,1008.7,26.1,41.0,No,No
38,2009-02-08,Richmond,17.6,41.4,0.0,SE,43.0,NNE,9.0,11.0,54.0,24.0,1010.8,1005.7,24.3,39.5,No,No
39,2009-02-09,Richmond,21.6,23.5,0.0,S,30.0,SE,11.0,15.0,83.0,71.0,1012.1,1011.6,22.0,22.5,No,Yes
40,2009-02-10,Richmond,17.3,19.8,2.8,SE,24.0,S,9.0,9.0,95.0,97.0,1011.4,1010.2,18.2,19.2,Yes,Yes
