,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Sale,10.7,22.1,0.0,WSW,76.0,W,WSW,41.0,31.0,46.0,62.0,1001.7,1003.4,18.4,16.7,No,No
1,2009-01-02,Sale,8.0,18.9,0.0,W,50.0,W,WSW,30.0,33.0,61.0,36.0,1016.2,1017.3,12.5,16.7,No,No
2,2009-01-03,Sale,4.2,20.0,0.0,ESE,33.0,WNW,ESE,7.0,15.0,63.0,43.0,1020.9,1018.0,12.9,18.8,No,No
3,2009-01-04,Sale,6.7,24.3,0.0,ESE,33.0,SSW,E,6.0,19.0,70.0,47.0,1017.0,1013.4,16.4,23.2,No,No
4,2009-01-05,Sale,8.9,27.9,0.0,ENE,37.0,WNW,SE,11.0,24.0,79.0,52.0,1011.4,1008.9,15.9,25.5,No,No
5,2009-01-06,Sale,10.8,32.2,0.0,SE,44.0,W,SE,13.0,30.0,58.0,45.0,1010.0,1006.9,19.7,26.3,No,No
6,2009-01-07,Sale,15.3,20.2,0.0,W,30.0,SSW,SE,15.0,15.0,84.0,74.0,1008.6,1008.3,17.8,19.6,No,No
7,2009-01-08,Sale,11.4,20.4,0.0,SSW,43.0,W,SW,20.0,28.0,59.0,49.0,1016.0,1017.2,16.3,16.8,No,No
8,2009-01-09,Sale,4.7,21.1,0.0,E,43.0,NW,E,9.0,20.0,66.0,33.0,1021.6,1018.6,13.6,20.4,No,No
9,2009-01-10,Sale,10.6,26.3,0.0,S,44.0,NW,SSE,11.0,22.0,73.0,54.0,1012.8,1009.8,16.2,22.9,No,No
10,2009-01-11,Sale,11.0,22.5,0.0,SE,33.0,S,SE,11.0,13.0,73.0,61.0,1011.4,1009.7,19.3,21.4,No,No
11,2009-01-12,Sale,7.7,23.3,0.0,ESE,35.0,WNW,ESE,11.0,20.0,68.0,52.0,1018.4,1017.9,16.2,22.9,No,No
12,2009-01-13,Sale,11.9,34.7,0.0,ESE,37.0,ENE,SSE,6.0,15.0,74.0,27.0,1014.8,1010.1,18.4,33.1,No,No
13,2009-01-14,Sale,13.4,39.3,0.0,NW,56.0,E,SE,4.0,19.0,48.0,41.0,1006.3,1005.7,25.8,30.7,No,No
14,2009-01-15,Sale,15.1,25.7,0.0,W,54.0,WSW,W,31.0,26.0,65.0,36.0,1013.0,1012.7,16.8,23.1,No,No
15,2009-01-16,Sale,12.7,21.2,0.4,WSW,69.0,W,W,28.0,39.0,91.0,25.0,1014.8,1015.7,13.0,20.3,No,No
16,2009-01-17,Sale,9.3,22.4,0.4,SE,35.0,W,SE,15.0,24.0,60.0,40.0,1023.2,1021.8,14.1,20.7,No,No
17,2009-01-18,Sale,6.7,24.3,0.0,ESE,35.0,NW,ESE,9.0,24.0,72.0,46.0,1022.1,1018.9,13.8,22.7,No,No
18,2009-01-19,Sale,8.4,28.3,0.0,ESE,37.0,NNE,ESE,4.0,28.0,76.0,46.0,1014.6,1011.1,16.8,26.9,No,No
19,2009-01-20,Sale,12.5,39.7,0.0,WNW,57.0,NNE,W,7.0,35.0,53.0,11.0,1005.8,1002.5,22.8,39.3,No,No
20,2009-01-21,Sale,12.0,27.2,0.0,ESE,41.0,NNE,ESE,9.0,22.0,56.0,47.0,1010.6,1007.8,19.4,24.6,No,No
21,2009-01-22,Sale,13.8,33.3,0.0,NNW,70.0,N,NW,24.0,33.0,53.0,59.0,998.3,995.0,27.0,26.8,No,Yes
22,2009-01-23,Sale,15.2,24.0,1.2,E,43.0,SW,E,13.0,33.0,46.0,49.0,1008.2,1004.5,18.0,22.5,Yes,Yes
23,2009-01-24,Sale,13.2,23.7,1.2,WNW,76.0,WSW,WSW,37.0,39.0,69.0,35.0,1003.8,1009.9,18.5,22.7,Yes,No
24,2009-01-25,Sale,6.6,25.0,0.0,ESE,37.0,NNW,E,7.0,26.0,65.0,48.0,1018.2,1017.4,15.1,23.0,No,No
25,2009-01-26,Sale,10.4,24.9,0.0,ESE,41.0,NNW,ESE,7.0,26.0,69.0,49.0,1022.2,1021.9,17.8,23.1,No,No
26,2009-01-27,Sale,16.3,29.0,0.0,ENE,37.0,E,ESE,11.0,22.0,75.0,43.0,1018.1,1014.5,19.2,27.8,No,No
27,2009-01-28,Sale,12.6,41.2,0.0,E,46.0,N,WSW,6.0,9.0,77.0,19.0,1013.1,1009.6,22.1,40.2,No,No
28,2009-01-29,Sale,17.3,43.4,0.0,E,41.0,SSW,WNW,6.0,19.0,51.0,15.0,1011.3,1009.3,29.1,42.6,No,No
29,2009-01-30,Sale,18.9,43.4,0.0,SE,48.0,WNW,S,11.0,13.0,45.0,10.0,1011.8,1008.5,28.6,42.9,No,No
30,2009-01-31,Sale,19.5,34.8,0.0,S,44.0,S,S,6.0,26.0,72.0,38.0,1012.2,1012.7,22.8,31.7,No,No
31,2009-02-01,Sale,18.7,22.3,0.8,ESE,44.0,ESE,ESE,24.0,30.0,95.0,85.0,1019.9,1019.3,18.8,19.6,No,No
32,2009-02-02,Sale,18.5,24.6,0.2,SE,33.0,WSW,SSE,17.0,11.0,86.0,90.0,1011.3,1010.0,21.8,21.8,No,Yes
33,2009-02-03,Sale,17.9,20.1,1.2,ESE,37.0,ESE,ESE,24.0,30.0,87.0,71.0,1015.0,1014.4,18.4,19.8,Yes,No
34,2009-02-04,Sale,17.8,25.1,0.0,E,39.0,ESE,ESE,26.0,24.0,93.0,69.0,1011.3,1009.0,19.6,24.1,No,No
35,2009-02-05,Sale,18.8,37.2,0.0,S,48.0,W,SE,15.0,30.0,89.0,41.0,1005.0,1003.5,20.7,33.0,No,No
36,2009-02-06,Sale,14.4,24.7,0.0,E,31.0,S,ENE,13.0,19.0,76.0,58.0,1010.9,1008.8,17.7,23.1,No,No
37,2009-02-07,Sale,15.7,44.4,0.0,WNW,87.0,SSW,NW,4.0,43.0,64.0,7.0,1003.8,999.0,24.2,43.9,No,No
38,2009-02-08,Sale,18.6,24.5,0.8,WNW,64.0,WSW,S,9.0,22.0,75.0,64.0,1010.7,1012.2,20.0,20.4,No,No
39,2009-02-09,Sale,14.0,22.2,0.6,WNW,52.5,S,S,28.0,26.0,48.0,34.0,1016.6,1015.5,16.5,19.7,No,No
