,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,Tuggeranong,13.1,24.2,0.0,WNW,61.0,WNW,22.0,33.0,36.0,34.0,1005.6,1003.6,19.6,23.1,No,No
1,2008-12-02,Tuggeranong,5.7,24.2,0.0,WNW,48.0,WNW,17.0,26.0,38.0,25.0,1008.8,1006.3,16.4,22.9,No,No
2,2008-12-03,Tuggeranong,9.4,25.7,0.0,WNW,50.0,NW,11.0,24.0,35.0,26.0,1005.7,1005.9,19.4,24.6,No,No
3,2008-12-04,Tuggeranong,11.6,24.8,0.0,NE,43.0,NE,17.0,17.0,59.0,32.0,1017.7,1014.0,16.3,23.6,No,No
4,2008-12-05,Tuggeranong,14.6,29.1,0.4,WSW,35.0,WSW,6.0,11.0,91.0,47.0,1011.7,1007.7,15.5,25.6,No,No
5,2008-12-06,Tuggeranong,13.8,28.8,0.0,NW,46.0,NW,11.0,24.0,48.0,21.0,1007.6,1004.8,20.8,27.0,No,No
6,2008-12-07,Tuggeranong,16.5,26.4,0.0,WSW,56.0,W,15.0,24.0,38.0,12.0,1007.0,1005.2,20.8,26.2,No,No
7,2008-12-08,Tuggeranong,12.2,26.4,0.0,NW,39.0,NW,11.0,20.0,55.0,16.0,1012.7,1008.1,16.2,25.0,No,No
8,2008-12-09,Tuggeranong,10.0,28.1,0.0,W,41.0,WNW,6.0,19.0,69.0,14.0,1009.5,1004.6,17.1,26.0,No,No
9,2008-12-10,Tuggeranong,14.7,22.7,0.4,SE,39.0,ESE,6.0,19.0,53.0,48.0,1006.5,1007.0,19.2,22.7,No,No
10,2008-12-11,Tuggeranong,13.9,23.2,0.0,ENE,41.0,ENE,9.0,20.0,68.0,49.0,1012.4,1011.0,15.9,21.0,No,Yes
11,2008-12-12,Tuggeranong,12.5,20.7,4.8,ENE,46.0,E,6.0,11.0,92.0,90.0,1012.7,1006.7,12.9,14.4,Yes,Yes
12,2008-12-13,Tuggeranong,12.8,22.1,55.6,WNW,67.0,WNW,33.0,37.0,61.0,65.0,992.8,992.6,20.5,17.9,Yes,No
13,2008-12-14,Tuggeranong,12.7,20.0,0.0,WSW,44.0,W,24.0,26.0,52.0,41.0,996.2,996.8,15.4,19.0,No,No
14,2008-12-15,Tuggeranong,10.7,23.2,0.0,WNW,41.0,NNE,20.0,13.0,48.0,39.0,1006.5,1005.6,14.9,22.1,No,No
15,2008-12-16,Tuggeranong,7.5,24.6,0.0,NW,39.0,WNW,9.0,19.0,55.0,34.0,1011.2,1008.6,14.9,24.5,No,No
16,2008-12-17,Tuggeranong,10.2,24.8,0.0,NW,37.0,S,4.0,11.0,54.0,83.0,1010.5,1008.7,19.1,17.1,No,Yes
17,2008-12-18,Tuggeranong,13.0,24.1,8.0,W,46.0,W,13.0,26.0,72.0,39.0,1003.8,1000.5,17.5,22.9,Yes,No
18,2008-12-19,Tuggeranong,8.2,20.8,0.6,SSE,46.0,SE,9.0,20.0,46.0,35.0,1005.2,1006.3,15.1,19.4,No,No
19,2008-12-20,Tuggeranong,8.0,21.4,0.0,SSE,41.0,NNE,13.0,13.0,57.0,36.0,1018.3,1016.2,11.8,20.9,No,No
20,2008-12-21,Tuggeranong,9.6,25.0,0.0,E,33.0,SSE,7.0,11.0,56.0,30.0,1020.1,1015.8,14.8,23.5,No,No
21,2008-12-22,Tuggeranong,11.1,29.3,0.0,W,37.0,WNW,9.0,22.0,61.0,33.0,1016.2,1011.2,16.5,27.1,No,Yes
22,2008-12-23,Tuggeranong,16.3,25.7,1.8,SSE,37.0,N,9.0,19.0,79.0,53.0,1010.3,1007.8,19.1,24.0,Yes,Yes
23,2008-12-24,Tuggeranong,14.4,19.8,8.8,NE,26.0,NE,4.0,15.0,76.0,69.0,1012.6,1010.9,16.1,18.7,Yes,No
24,2008-12-25,Tuggeranong,15.4,29.0,0.0,ENE,31.0,NW,7.0,17.0,71.0,28.0,1013.3,1010.3,18.1,27.4,No,No
25,2008-12-26,Tuggeranong,14.1,30.9,0.0,W,35.0,WNW,0.0,17.0,78.0,22.0,1012.6,1008.9,18.0,30.3,No,No
26,2008-12-27,Tuggeranong,14.7,27.3,0.0,W,59.0,ENE,2.0,7.0,61.0,64.0,1008.4,1005.1,22.3,22.9,No,Yes
27,2008-12-28,Tuggeranong,14.1,29.4,24.8,W,44.0,WNW,17.0,28.0,81.0,38.0,1006.2,1002.1,19.7,28.0,Yes,No
28,2008-12-29,Tuggeranong,11.7,26.5,0.0,WNW,56.0,WNW,2.0,26.0,53.0,35.0,1003.7,1001.1,19.3,26.2,No,No
29,2008-12-30,Tuggeranong,11.5,21.1,0.0,W,50.0,NW,20.0,20.0,55.0,49.0,1001.6,1001.6,18.3,18.2,No,No
30,2008-12-31,Tuggeranong,13.2,23.4,0.0,WNW,48.0,WNW,17.0,28.0,41.0,32.0,1001.7,1001.7,17.5,22.5,No,No
31,2009-01-01,Tuggeranong,12.0,26.5,0.0,WNW,65.0,WNW,22.0,31.0,41.0,29.0,1002.3,1000.6,20.2,25.6,No,No
32,2009-01-02,Tuggeranong,11.0,25.2,0.0,E,43.0,NNE,4.0,19.0,39.0,18.0,1009.7,1009.0,16.1,24.2,No,No
33,2009-01-03,Tuggeranong,9.9,26.0,0.0,ENE,35.0,NNE,13.0,13.0,60.0,35.0,1019.0,1014.8,14.0,23.1,No,No
34,2009-01-04,Tuggeranong,10.9,30.8,0.0,NW,31.0,WNW,9.0,15.0,64.0,35.0,1015.9,1011.9,18.5,29.4,No,No
35,2009-01-05,Tuggeranong,13.3,32.3,0.0,WNW,39.0,W,6.0,26.0,58.0,17.0,1012.3,1009.2,22.2,30.9,No,No
36,2009-01-06,Tuggeranong,10.6,35.0,0.0,WNW,48.0,W,0.0,26.0,37.0,12.0,1011.6,1008.0,21.5,33.8,No,No
37,2009-01-07,Tuggeranong,11.9,36.6,0.0,NW,52.0,WNW,2.0,22.0,34.0,16.0,1008.8,1003.4,22.7,35.3,No,Yes
38,2009-01-08,Tuggeranong,15.1,28.3,1.2,ESE,46.0,E,13.0,26.0,72.0,41.0,1010.8,1007.6,18.5,27.0,Yes,No
39,2009-01-09,Tuggeranong,11.7,22.4,0.0,ENE,37.0,N,15.0,15.0,61.0,35.0,1018.6,1015.1,13.6,20.8,No,No
40,2009-01-10,Tuggeranong,9.0,24.9,0.0,NNE,33.0,N,19.0,13.0,57.0,35.0,1014.8,1009.9,14.6,22.3,No,No
41,2009-01-11,Tuggeranong,10.1,29.1,0.0,NW,39.0,NW,4.0,17.0,62.0,32.0,1011.5,1007.1,17.6,28.5,No,Yes
42,2009-01-12,Tuggeranong,13.5,28.0,4.4,ENE,37.0,NNE,4.0,19.0,73.0,45.0,1014.3,1013.1,19.3,27.2,Yes,No
43,2009-01-13,Tuggeranong,16.8,34.0,0.0,NW,43.0,WNW,6.0,26.0,72.0,23.0,1017.4,1012.4,18.7,32.4,No,No
44,2009-01-14,Tuggeranong,15.3,37.4,0.0,NW,39.0,W,11.0,20.0,41.0,21.0,1013.9,1010.3,26.2,36.0,No,No
45,2009-01-15,Tuggeranong,19.5,37.1,0.0,WNW,48.0,NW,13.0,22.0,35.0,20.0,1009.8,1006.4,28.6,36.4,No,No
46,2009-01-16,Tuggeranong,14.4,29.4,0.0,WNW,44.0,NW,11.0,31.0,60.0,14.0,1011.1,1007.9,18.8,28.0,No,No
47,2009-01-17,Tuggeranong,9.4,26.2,0.0,ENE,43.0,WNW,20.0,7.0,42.0,17.0,1019.0,1016.4,13.0,23.6,No,No
48,2009-01-18,Tuggeranong,10.1,29.7,0.0,ENE,33.0,NW,4.0,13.0,63.0,26.0,1020.2,1016.1,14.4,26.8,No,No
49,2009-01-19,Tuggeranong,11.0,33.0,0.0,W,46.0,NW,6.0,19.0,51.0,19.0,1016.7,1011.4,19.9,31.8,No,No
50,2009-01-20,Tuggeranong,14.0,34.2,0.0,NW,61.0,SSE,7.0,11.0,40.0,55.0,1013.3,1009.8,25.4,24.7,No,Yes
51,2009-01-21,Tuggeranong,17.0,33.9,29.2,ENE,56.0,NW,9.0,15.0,65.0,33.0,1011.4,1007.7,22.6,32.2,Yes,No
52,2009-01-22,Tuggeranong,20.5,29.1,0.0,W,52.0,NW,15.0,22.0,62.0,51.0,1007.2,1002.8,22.9,26.6,No,Yes
53,2009-01-23,Tuggeranong,18.8,31.3,11.8,NW,48.0,NW,15.0,19.0,81.0,50.0,1008.1,1005.9,22.9,29.3,Yes,Yes
54,2009-01-24,Tuggeranong,17.7,29.1,12.4,NW,54.0,WNW,24.0,22.0,62.0,28.0,1003.5,1006.6,24.3,27.9,Yes,No
55,2009-01-25,Tuggeranong,15.3,27.5,0.0,NE,30.0,SE,11.0,9.0,69.0,51.0,1018.0,1016.1,16.4,23.7,No,No
56,2009-01-26,Tuggeranong,13.4,32.2,0.0,ENE,39.0,NNE,2.0,15.0,70.0,27.0,1018.6,1016.2,20.4,31.3,No,No
