,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Watsonia,13.9,20.0,0.0,SSW,61.0,W,SW,19.0,31.0,56.0,48.0,1004.8,1006.0,16.9,18.0,No,No
1,2009-01-02,Watsonia,8.9,18.4,0.8,SW,52.0,SW,SW,13.0,24.0,75.0,41.0,1017.8,1019.0,11.7,17.1,No,No
2,2009-01-03,Watsonia,5.2,21.4,0.0,SSW,28.0,SE,SW,6.0,17.0,59.0,44.0,1020.7,1017.4,12.9,19.9,No,No
3,2009-01-04,Watsonia,7.7,30.5,0.0,SSW,30.0,NNE,SSW,6.0,13.0,73.0,16.0,1016.4,1012.7,13.7,29.0,No,No
4,2009-01-05,Watsonia,10.6,29.9,0.0,SW,33.0,ENE,SW,4.0,13.0,66.0,27.0,1011.5,1010.1,18.8,28.4,No,No
5,2009-01-06,Watsonia,12.8,31.7,0.0,SSW,48.0,E,SSW,6.0,24.0,53.0,36.0,1010.4,1007.4,20.9,29.7,No,No
6,2009-01-07,Watsonia,16.5,22.6,0.0,SSW,39.0,SSE,SW,7.0,24.0,89.0,58.0,1009.7,1009.9,16.9,21.9,No,No
7,2009-01-08,Watsonia,11.4,19.3,0.0,S,52.0,SW,SSW,19.0,30.0,59.0,42.0,1017.2,1018.6,15.1,17.7,No,No
8,2009-01-09,Watsonia,9.6,22.4,0.0,SW,43.0,SSE,SSE,13.0,15.0,52.0,36.0,1021.4,1017.3,15.0,21.4,No,No
9,2009-01-10,Watsonia,10.8,25.6,0.0,SW,39.0,NW,SSW,4.0,22.0,69.0,46.0,1013.6,1009.6,15.2,23.2,No,No
10,2009-01-11,Watsonia,13.4,25.4,0.0,SW,41.0,E,SSW,6.0,17.0,85.0,51.0,1011.8,1009.4,15.1,23.8,No,No
11,2009-01-12,Watsonia,10.0,26.0,0.0,S,30.0,E,S,2.0,13.0,75.0,44.0,1018.4,1017.1,14.7,23.9,No,No
12,2009-01-13,Watsonia,11.4,37.2,0.0,NNW,43.0,NE,NNW,9.0,17.0,62.0,15.0,1013.9,1009.8,20.5,34.4,No,No
13,2009-01-14,Watsonia,20.5,34.5,0.0,N,46.0,N,WSW,28.0,17.0,12.0,44.0,1006.9,1008.5,33.3,27.5,No,No
14,2009-01-15,Watsonia,14.4,24.4,0.0,SW,44.0,WSW,SW,17.0,20.0,63.0,41.0,1015.6,1014.4,16.6,22.3,No,No
15,2009-01-16,Watsonia,14.0,20.3,0.0,SSW,57.0,WSW,SSW,24.0,26.0,51.0,39.0,1017.0,1018.4,17.0,20.0,No,No
16,2009-01-17,Watsonia,12.6,21.5,0.0,SW,44.0,S,SW,15.0,22.0,53.0,43.0,1022.7,1022.2,15.1,19.6,No,No
17,2009-01-18,Watsonia,8.2,27.8,0.0,SW,30.0,ESE,SW,6.0,19.0,64.0,39.0,1021.7,1018.5,14.9,24.7,No,No
18,2009-01-19,Watsonia,10.9,37.2,0.0,N,37.0,NE,NNW,11.0,17.0,51.0,10.0,1013.8,1008.9,20.8,35.9,No,No
19,2009-01-20,Watsonia,16.6,40.6,0.0,W,65.0,NE,SSW,4.0,33.0,37.0,26.0,1005.5,1005.3,25.8,29.0,No,No
20,2009-01-21,Watsonia,14.5,29.7,0.0,S,33.0,E,SSW,6.0,20.0,66.0,37.0,1010.3,1006.1,18.9,28.5,No,No
21,2009-01-22,Watsonia,15.7,35.8,0.0,W,76.0,N,WNW,31.0,31.0,58.0,14.0,998.3,993.9,27.8,35.3,No,No
22,2009-01-23,Watsonia,11.9,32.1,0.0,NW,56.0,W,N,6.0,22.0,46.0,13.0,1008.2,1002.5,17.4,30.7,No,No
23,2009-01-24,Watsonia,16.1,23.6,0.0,W,50.0,WSW,SSW,20.0,22.0,56.0,37.0,1007.7,1011.2,18.0,22.8,No,No
24,2009-01-25,Watsonia,9.3,30.6,0.0,SW,39.0,NE,S,4.0,9.0,62.0,18.0,1018.3,1016.3,15.1,28.6,No,No
25,2009-01-26,Watsonia,11.6,27.2,0.0,SSW,39.0,S,SW,11.0,20.0,72.0,47.0,1022.0,1019.9,16.7,26.0,No,No
26,2009-01-27,Watsonia,14.4,37.5,0.0,N,39.0,NE,SW,7.0,19.0,74.0,14.0,1017.6,1013.4,18.8,36.0,No,No
27,2009-01-28,Watsonia,15.9,42.9,0.0,N,31.0,ENE,NNW,9.0,11.0,36.0,10.0,1012.2,1009.2,24.9,41.5,No,No
28,2009-01-29,Watsonia,24.9,44.7,0.0,SSW,57.0,N,NW,24.0,19.0,18.0,12.0,1011.4,1009.2,36.4,43.1,No,No
29,2009-01-30,Watsonia,22.7,44.0,0.0,N,44.0,ENE,NNW,9.0,15.0,42.0,10.0,1011.9,1008.9,29.2,42.7,No,No
30,2009-01-31,Watsonia,19.5,33.2,0.0,S,43.0,ENE,SW,6.0,19.0,57.0,52.0,1013.4,1013.5,25.2,29.2,No,No
31,2009-02-01,Watsonia,19.1,35.9,0.0,SW,48.0,E,SSE,6.0,11.0,72.0,40.0,1016.4,1011.8,21.5,32.7,No,No
32,2009-02-02,Watsonia,20.0,28.1,0.0,SSW,39.0,W,SW,7.0,24.0,77.0,65.0,1012.1,1009.9,21.8,26.1,No,No
