,Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2009-01-01,Williamtown,15.2,34.0,0.0,NW,41.0,WNW,SE,17.0,20.0,62.0,36.0,1005.2,1001.5,23.7,28.7,No,No
1,2009-01-02,Williamtown,18.3,24.5,0.0,S,54.0,S,E,13.0,30.0,61.0,57.0,1012.1,1011.7,21.6,23.4,No,No
2,2009-01-03,Williamtown,16.8,23.5,0.4,NE,37.0,ESE,ENE,19.0,22.0,60.0,58.0,1020.4,1018.4,20.1,21.7,No,No
3,2009-01-04,Williamtown,17.5,27.8,0.0,E,50.0,NE,ENE,19.0,35.0,60.0,51.0,1018.4,1014.6,22.7,26.4,No,No
4,2009-01-05,Williamtown,14.8,36.0,0.0,ENE,37.0,NNW,ENE,15.0,26.0,67.0,39.0,1013.6,1008.7,22.5,33.8,No,No
5,2009-01-06,Williamtown,18.6,33.7,0.0,ENE,39.0,SSE,ESE,13.0,19.0,68.0,49.0,1011.1,1008.1,26.3,29.2,No,No
6,2009-01-07,Williamtown,19.7,35.5,0.0,NE,30.0,S,ENE,15.0,19.0,81.0,40.0,1009.9,1005.8,24.1,33.8,No,No
7,2009-01-08,Williamtown,20.7,23.8,0.0,SSW,48.0,SSW,S,35.0,24.0,83.0,79.0,1010.3,1011.9,21.7,21.8,No,Yes
8,2009-01-09,Williamtown,17.6,23.0,1.4,S,43.0,SE,SSE,24.0,28.0,61.0,51.0,1018.7,1017.6,19.1,21.9,Yes,No
9,2009-01-10,Williamtown,13.3,24.9,0.0,ESE,44.0,NE,ESE,7.0,30.0,57.0,46.0,1016.2,1012.8,20.6,22.9,No,No
10,2009-01-11,Williamtown,12.9,27.9,0.0,ESE,43.5,NE,ENE,17.0,28.0,56.0,45.0,1013.3,1010.3,22.7,26.6,No,No
11,2009-01-12,Williamtown,16.1,28.2,0.0,SE,43.0,ENE,ESE,6.0,31.0,64.0,61.0,1014.4,1014.5,24.0,27.1,No,No
12,2009-01-13,Williamtown,16.6,28.2,0.0,ENE,46.0,NE,ENE,17.0,26.0,62.0,50.0,1018.8,1016.1,23.7,27.7,No,No
13,2009-01-14,Williamtown,16.7,35.2,0.0,ENE,39.0,N,ENE,13.0,26.0,67.0,33.0,1015.2,1011.5,24.3,34.5,No,No
14,2009-01-15,Williamtown,17.1,42.0,0.0,SSW,57.0,N,WNW,11.0,22.0,51.0,15.0,1010.4,1006.2,26.8,40.5,No,Yes
15,2009-01-16,Williamtown,19.3,26.2,6.0,SE,46.0,S,SE,17.0,22.0,80.0,64.0,1012.1,1009.1,20.2,25.1,Yes,No
16,2009-01-17,Williamtown,18.8,23.2,0.0,SSE,48.0,SSE,SSE,30.0,30.0,57.0,52.0,1019.0,1019.4,19.8,20.9,No,No
17,2009-01-18,Williamtown,11.5,24.2,0.0,E,39.0,W,ESE,7.0,28.0,69.0,45.0,1021.5,1019.6,19.7,23.1,No,No
18,2009-01-19,Williamtown,11.1,30.0,0.0,ENE,35.0,NE,ENE,13.0,22.0,59.0,46.0,1019.0,1014.8,21.2,26.3,No,No
19,2009-01-20,Williamtown,14.0,34.9,0.0,NE,44.0,N,NE,9.0,24.0,59.0,34.0,1014.4,1010.3,24.5,33.3,No,No
20,2009-01-21,Williamtown,20.5,38.8,0.0,N,50.0,NW,NE,11.0,19.0,69.0,40.0,1012.6,1008.3,25.4,33.6,No,No
21,2009-01-22,Williamtown,21.8,28.8,0.0,NW,41.0,N,NNW,11.0,13.0,67.0,84.0,1010.1,1008.0,25.7,24.9,No,No
22,2009-01-23,Williamtown,20.1,35.7,1.0,NE,41.0,WNW,E,13.0,22.0,62.0,44.0,1010.1,1007.0,27.9,33.3,No,No
23,2009-01-24,Williamtown,22.8,40.8,0.0,SSW,61.0,NNW,WNW,11.0,24.0,60.0,32.0,1006.0,1003.5,29.6,38.9,No,Yes
24,2009-01-25,Williamtown,18.6,23.5,10.4,S,57.0,S,SSE,22.0,26.0,72.0,68.0,1018.2,1017.6,21.0,22.1,Yes,No
25,2009-01-26,Williamtown,19.1,24.5,1.0,S,37.0,W,S,11.0,22.0,99.0,87.0,1018.3,1017.8,20.1,24.0,No,No
26,2009-01-27,Williamtown,20.0,27.9,0.4,ESE,37.0,ENE,ESE,13.0,24.0,86.0,69.0,1019.9,1018.5,24.1,27.3,No,No
27,2009-01-28,Williamtown,16.7,30.3,0.0,ENE,39.0,NNE,ESE,15.0,28.0,82.0,52.0,1018.1,1015.3,23.6,29.5,No,No
28,2009-01-29,Williamtown,17.6,31.7,0.0,ENE,50.0,NNE,ENE,15.0,37.0,74.0,60.0,1017.7,1015.6,25.5,29.0,No,No
29,2009-01-30,Williamtown,16.7,32.3,0.0,NE,52.0,NNE,E,17.0,33.0,57.0,53.0,1017.9,1014.5,25.0,30.3,No,No
30,2009-01-31,Williamtown,19.0,33.7,0.0,ENE,54.0,N,ENE,13.0,28.0,61.0,44.0,1017.2,1013.6,26.1,32.2,No,No
31,2009-02-01,Williamtown,18.1,31.7,0.0,ENE,54.0,NE,E,9.0,33.0,66.0,47.0,1014.8,1013.0,25.2,30.0,No,No
32,2009-02-02,Williamtown,18.5,30.9,0.0,ENE,48.0,NNE,ENE,13.0,28.0,74.0,53.0,1015.3,1011.7,25.3,28.7,No,No
33,2009-02-03,Williamtown,17.1,31.9,0.0,E,46.0,NNE,ENE,13.0,31.0,66.0,52.0,1009.9,1007.4,24.6,30.4,No,No
34,2009-02-04,Williamtown,19.9,31.0,0.0,ENE,41.0,SE,SE,9.0,22.0,86.0,54.0,1010.4,1008.0,24.0,30.1,No,No
35,2009-02-05,Williamtown,19.2,34.2,0.0,ENE,39.0,N,E,13.0,22.0,70.0,44.0,1008.8,1005.7,25.4,34.0,No,No
36,2009-02-06,Williamtown,20.5,38.1,0.0,ENE,37.0,NE,ENE,7.0,24.0,66.0,28.0,1009.7,1007.5,26.3,36.6,No,No
37,2009-02-07,Williamtown,22.8,38.4,0.0,E,48.0,NE,ENE,19.0,28.0,43.0,26.0,1013.5,1010.3,29.1,35.8,No,No
38,2009-02-08,Williamtown,18.3,35.2,0.0,NE,37.0,NNE,E,17.0,20.0,57.0,38.0,1010.8,1006.9,25.4,34.8,No,No
39,2009-02-09,Williamtown,18.8,26.3,0.0,SSW,50.0,S,S,19.0,37.0,84.0,72.0,1010.8,1010.1,22.6,24.1,No,No
40,2009-02-10,Williamtown,19.2,22.4,0.0,SSW,48.0,SSW,S,22.0,20.0,90.0,83.0,1010.3,1008.3,20.4,21.9,No,Yes
41,2009-02-11,Williamtown,17.1,23.8,15.0,SSW,50.0,SW,SSW,22.0,28.0,89.0,80.0,1009.5,1009.1,17.9,20.6,Yes,Yes
42,2009-02-12,Williamtown,16.4,23.1,11.0,SSE,43.0,ESE,SE,22.0,22.0,76.0,77.0,1015.4,1017.3,20.0,20.1,Yes,Yes
43,2009-02-13,Williamtown,15.6,24.5,31.2,S,48.0,S,ESE,9.0,28.0,90.0,49.0,1023.6,1021.9,18.5,23.1,Yes,Yes
44,2009-02-14,Williamtown,17.8,19.1,2.2,SE,56.0,ESE,SE,31.0,39.0,91.0,98.0,1020.2,1015.5,18.1,18.7,Yes,Yes
45,2009-02-15,Williamtown,17.1,21.9,134.8,SSE,54.0,E,SSE,19.0,28.0,90.0,99.0,1012.3,1012.0,18.5,17.9,Yes,Yes
46,2009-02-16,Williamtown,17.5,26.1,14.4,SE,50.0,ESE,SSE,28.0,31.0,71.0,60.0,1015.5,1015.3,21.7,23.6,Yes,No
47,2009-02-17,Williamtown,19.7,23.6,0.0,SSE,52.0,ESE,SE,28.0,33.0,71.0,88.0,1014.4,1012.7,21.6,21.0,No,Yes
48,2009-02-18,Williamtown,18.4,25.4,19.4,SW,48.0,WNW,SE,19.0,17.0,92.0,72.0,1010.3,1008.3,19.9,23.7,Yes,No
49,2009-02-19,Williamtown,17.6,30.7,0.0,SE,31.0,NW,NW,7.0,20.0,93.0,43.0,1008.2,1005.0,21.0,30.2,No,No
50,2009-02-20,Williamtown,20.0,30.0,0.0,ESE,35.0,SW,ESE,11.0,24.0,90.0,72.0,1011.4,1009.4,22.6,26.8,No,No
51,2009-02-21,Williamtown,21.5,26.1,0.0,ESE,39.0,ENE,ESE,13.0,30.0,79.0,77.0,1012.3,1011.8,24.0,23.6,No,No
52,2009-02-22,Williamtown,15.9,26.0,1.0,ESE,33.0,ESE,ESE,17.0,22.0,74.0,61.0,1017.4,1016.4,22.9,25.3,No,No
53,2009-02-23,Williamtown,16.2,31.6,0.0,NE,37.0,NW,SSE,13.0,17.0,85.0,53.0,1016.6,1013.4,21.4,29.7,No,No
54,2009-02-24,Williamtown,20.2,34.9,0.2,WNW,41.0,NNW,WNW,6.0,13.0,83.0,34.0,1014.6,1011.5,24.0,33.6,No,No
55,2009-02-25,Williamtown,21.5,27.3,0.4,ESE,39.0,S,ESE,9.0,24.0,88.0,67.0,1015.9,1013.6,22.6,26.1,No,No
56,2009-02-26,Williamtown,19.6,25.7,0.0,SSE,41.0,SSE,SSE,22.0,30.0,63.0,62.0,1018.8,1017.6,22.5,24.0,No,No
57,2009-02-27,Williamtown,15.8,24.3,0.2,S,37.0,WSW,SSE,13.0,20.0,80.0,56.0,1017.1,1015.3,20.6,22.7,No,No
58,2009-02-28,Williamtown,12.8,32.3,0.0,WNW,28.0,NW,SE,7.0,20.0,84.0,52.0,1010.0,1006.3,18.7,28.1,No,No
59,2009-03-01,Williamtown,18.6,26.1,0.0,SSW,37.0,SSE,ESE,22.0,20.0,79.0,65.0,1009.9,1009.8,23.4,25.0,No,No
60,2009-03-02,Williamtown,17.1,26.9,0.2,SE,39.0,NE,SE,2.0,28.0,87.0,61.0,1015.6,1014.4,21.5,25.3,No,No
61,2009-03-03,Williamtown,16.8,28.6,0.0,E,37.0,NE,ESE,11.0,28.0,69.0,59.0,1017.6,1014.4,23.6,27.1,No,No
62,2009-03-04,Williamtown,21.0,30.5,0.0,S,48.0,N,S,13.0,28.0,78.0,79.0,1008.8,1007.4,23.9,24.4,No,Yes
63,2009-03-05,Williamtown,12.1,23.8,17.2,W,48.0,WNW,SE,30.0,20.0,48.0,32.0,1010.0,1008.7,17.8,22.5,Yes,No
64,2009-03-06,Williamtown,11.7,24.5,0.0,W,39.0,WNW,SE,13.0,20.0,75.0,58.0,1012.9,1010.8,17.1,22.5,No,No
65,2009-03-07,Williamtown,12.9,26.4,0.0,SE,30.0,WNW,SSE,19.0,15.0,84.0,58.0,1013.5,1011.0,18.9,26.0,No,No
66,2009-03-08,Williamtown,15.2,26.5,0.0,ESE,39.0,WNW,ESE,7.0,26.0,95.0,58.0,1016.5,1016.6,21.1,25.2,No,No
67,2009-03-09,Williamtown,17.5,25.8,0.0,ESE,41.0,E,E,22.0,26.0,72.0,57.0,1020.8,1019.3,23.4,25.0,No,No
68,2009-03-10,Williamtown,19.9,24.8,0.0,ESE,35.0,ENE,E,15.0,24.0,68.0,64.0,1021.1,1020.2,22.0,23.2,No,No
69,2009-03-11,Williamtown,16.7,25.3,0.0,ESE,35.0,ESE,ESE,26.0,31.0,78.0,66.0,1022.4,1021.1,21.8,24.8,No,Yes
70,2009-03-12,Williamtown,14.7,26.8,3.2,E,35.0,ENE,ENE,15.0,24.0,70.0,56.0,1021.7,1019.3,22.4,26.1,Yes,No
71,2009-03-13,Williamtown,17.7,28.0,0.0,NW,35.0,N,ESE,9.0,19.0,71.0,58.0,1018.2,1015.2,21.7,26.3,No,Yes
72,2009-03-14,Williamtown,17.5,30.0,2.0,SW,39.0,N,N,7.0,17.0,95.0,57.0,1014.7,1010.6,21.0,28.0,Yes,Yes
73,2009-03-15,Williamtown,16.9,31.1,4.4,NE,37.0,NW,N,15.0,7.0,81.0,48.0,1010.7,1007.0,21.7,30.6,Yes,No
74,2009-03-16,Williamtown,17.8,25.5,0.0,NE,36.0,SSW,ESE,13.0,11.0,43.0,44.0,1011.4,1008.5,19.3,24.6,No,No
75,2009-03-17,Williamtown,11.7,23.9,0.0,SSE,35.0,W,SE,17.0,24.0,63.0,32.0,1013.2,1012.1,18.0,23.1,No,No
