,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,8.8,15.7,5.0,7,48.0,12,13,13.0,15.0,92.0,67.0,1017.4,1017.7,13.5,14.9,1,0
1,2008-07-02,12.7,15.8,0.8,12,35.0,11,12,13.0,15.0,75.0,52.0,1022.4,1022.6,13.7,15.5,0,0
2,2008-07-03,6.2,15.1,0.0,13,20.0,5,12,2.0,11.0,81.0,56.0,1027.8,1026.5,9.3,13.9,0,0
3,2008-07-04,5.3,15.9,0.0,5,30.0,5,4,6.0,13.0,71.0,46.0,1028.7,1025.6,10.2,15.3,0,0
4,2008-07-05,9.8,15.4,0.0,3,30.0,5,4,9.0,9.0,56.0,67.0,1023.6,1020.2,11.3,13.8,0,1
5,2008-07-06,11.3,15.7,8.1,6,52.0,5,6,15.0,22.0,62.0,62.0,1019.5,1016.2,13.0,14.4,1,1
6,2008-07-07,7.6,11.2,16.2,15,46.0,14,12,17.0,13.0,83.0,88.0,1015.9,1017.9,9.8,9.3,1,1
7,2008-07-08,5.3,13.5,17.0,12,43.0,12,15,11.0,22.0,73.0,91.0,1025.8,1025.9,10.9,10.8,1,1
8,2008-07-09,8.4,14.3,1.8,7,41.0,3,7,9.0,19.0,90.0,64.0,1025.8,1022.7,10.8,13.5,1,1
9,2008-07-10,9.5,13.1,9.0,15,52.0,15,12,24.0,20.0,54.0,66.0,1019.8,1019.6,10.9,11.2,1,0
10,2008-07-11,8.2,14.0,0.2,12,28.0,1,6,9.0,13.0,70.0,43.0,1023.8,1021.2,10.0,13.5,0,1
11,2008-07-12,8.1,15.8,2.0,3,48.0,4,3,24.0,22.0,65.0,42.0,1014.0,1009.8,9.5,15.6,1,1
12,2008-07-13,9.4,16.8,2.9,6,54.0,3,6,17.0,28.0,67.0,47.0,1011.2,1009.5,11.7,16.5,1,1
13,2008-07-14,10.0,15.4,3.8,3,48.0,13,13,15.0,19.0,85.0,72.0,1014.0,1015.4,13.2,15.2,1,1
14,2008-07-15,11.1,14.7,4.0,15,43.0,13,15,17.0,24.0,91.0,72.0,1020.4,1020.1,12.0,13.0,1,0
15,2008-07-16,6.3,14.1,0.2,6,39.0,5,3,7.0,19.0,74.0,52.0,1019.9,1015.3,10.0,13.9,0,0
16,2008-07-17,9.8,14.7,0.2,7,44.0,3,7,17.0,22.0,58.0,61.0,1009.8,1007.4,10.5,14.7,0,1
17,2008-07-18,7.4,15.3,1.4,14,39.0,4,7,9.0,19.0,86.0,58.0,1014.3,1012.4,9.3,13.7,1,1
18,2008-07-19,9.3,18.1,4.1,6,52.0,3,1,19.0,11.0,44.0,47.0,1004.7,997.9,14.2,17.6,1,1
19,2008-07-20,9.9,12.0,5.4499999999999975,3,46.0,3,1,26.0,11.0,67.0,91.0,1000.7,1000.4,10.0,9.6,1,1
20,2008-07-21,6.5,14.2,6.8,10,41.0,8,8,13.0,15.0,69.0,55.0,1021.2,1024.7,11.9,12.8,1,0
