,Date,MinTemp,MaxTemp,Rainfall,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Pressure3pm,Temp9am,RainToday,RainTomorrow
0,2008-12-01,13.3,18.5,0.0,6,4.0,82.0,1017.9,1015.2,15.2,0,0
1,2008-12-02,14.7,21.0,0.0,4,6.0,64.0,1012.8,1009.3,17.8,0,0
2,2008-12-03,16.5,24.0,0.2,1,19.0,36.0,999.8,998.7,20.0,0,1
3,2008-12-04,14.1,20.6,7.8,3,13.0,69.0,1006.7,1008.5,19.8,1,0
4,2008-12-05,13.0,17.8,0.0,12,13.0,73.0,1015.3,1016.3,16.0,0,0
5,2008-12-06,14.8,18.5,0.0,2,11.0,46.0,1020.1,1017.9,16.9,0,0
6,2008-12-07,14.0,20.0,0.0,1,7.0,62.0,1013.4,1007.9,18.0,0,0
7,2008-12-08,16.3,19.6,0.0,12,20.0,68.0,1008.2,1008.0,18.3,0,0
8,2008-12-09,10.8,19.4,0.0,6,6.0,71.0,1010.5,1010.3,17.0,0,1
9,2008-12-10,13.6,19.2,14.4,1,6.0,84.0,1013.1,1013.0,14.9,1,0
10,2008-12-11,14.6,19.7,0.2,2,22.0,71.0,1016.3,1015.1,18.5,0,0
11,2008-12-12,14.6,21.0,0.2,12,17.0,72.0,1018.1,1016.6,17.7,0,0
12,2008-12-13,16.5,21.3,0.2,13,4.0,90.0,1020.0,1019.1,18.0,0,0
13,2008-12-14,14.6,22.5,0.0,4,6.0,72.0,1018.9,1015.6,19.5,0,0
14,2008-12-15,17.5,20.6,0.0,8,24.0,81.0,1012.4,1013.3,18.5,0,0
15,2008-12-16,14.0,18.8,0.8,3,9.0,87.0,1017.6,1016.9,14.9,0,0
16,2008-12-17,14.5,19.0,0.2,13,6.0,69.0,1018.3,1018.3,17.2,0,0
17,2008-12-18,12.0,21.0,0.0,1,6.0,85.0,1019.1,1014.8,17.0,0,0
18,2008-12-19,15.8,22.0,0.0,2,19.0,76.0,1010.6,1007.7,20.2,0,0
19,2008-12-20,18.9,27.7,0.2,14,9.0,71.0,998.9,997.6,21.9,0,0
20,2008-12-21,15.5,18.5,0.6,3,37.0,87.0,1011.9,1013.1,16.0,0,1
21,2008-12-22,10.5,20.8,1.2,5,4.0,68.0,1016.2,1014.4,17.5,1,0
22,2008-12-23,12.0,21.2,0.0,13,6.0,67.0,1012.5,1010.9,17.8,0,0
23,2008-12-24,14.0,19.6,0.0,9,7.0,57.0,1016.5,1013.8,17.5,0,0
24,2008-12-25,12.2,21.1,0.0,14,9.0,66.0,1014.7,1013.1,18.0,0,0
25,2008-12-26,13.4,21.0,0.8,13,6.0,58.0,1015.7,1013.4,18.0,0,0
26,2008-12-27,17.5,24.6,0.0,13,6.0,77.0,1013.2,1011.0,20.0,0,1
27,2008-12-28,14.75,20.0,2.4,8,19.0,69.0,1018.4,1016.7,17.4,1,0
28,2008-12-29,12.0,21.5,0.0,11,4.0,77.0,1018.4,1017.3,17.0,0,0
29,2008-12-30,16.5,21.0,0.0,2,6.0,76.0,1018.1,1014.4,18.4,0,0
30,2008-12-31,16.9,20.5,0.0,9,19.0,73.0,1015.2,1014.0,18.3,0,0
31,2009-01-01,16.4,21.4,0.0,0,13.0,64.0,1017.9,1015.6,19.4,0,0
32,2009-01-02,17.1,22.8,0.0,2,31.0,79.0,1014.5,1011.1,19.8,0,0
33,2009-01-03,17.8,21.5,0.4,10,19.0,72.0,1017.1,1016.7,19.2,0,0
34,2009-01-04,15.0,24.0,0.0,15,2.0,77.0,1020.2,1017.7,19.5,0,0
35,2009-01-05,15.0,23.5,0.0,9,7.0,84.0,1018.2,1014.9,19.6,0,0
36,2009-01-06,18.9,23.0,0.0,8,4.0,75.0,1018.5,1017.2,19.8,0,0
37,2009-01-07,16.5,23.0,0.0,1,9.0,56.0,1021.0,1018.3,18.8,0,0
38,2009-01-08,17.7,22.2,0.0,0,20.0,73.0,1020.5,1018.5,20.2,0,0
39,2009-01-09,17.9,23.5,0.0,2,15.0,74.0,1020.1,1017.7,21.5,0,0
40,2009-01-10,15.0,23.5,0.0,5,6.0,72.0,1015.8,1015.1,20.0,0,0
41,2009-01-11,15.5,28.3,0.0,5,7.0,73.0,1012.4,1006.4,21.2,0,0
42,2009-01-12,16.1,25.7,0.0,14,6.0,79.0,1005.5,1007.5,22.0,0,1
43,2009-01-13,13.5,20.5,1.2,15,24.0,72.0,1016.4,1016.1,18.0,1,0
44,2009-01-14,14.4,22.5,0.8,13,6.0,68.0,1019.7,1019.5,18.5,0,0
45,2009-01-15,17.0,24.5,0.0,5,7.0,63.0,1022.5,1018.5,20.8,0,0
46,2009-01-16,18.5,31.7,0.0,1,7.0,63.0,1015.5,1009.8,22.5,0,0
47,2009-01-17,19.1,22.0,0.0,11,22.0,74.0,1018.2,1018.2,20.2,0,0
48,2009-01-18,18.3,19.6,0.0,8,7.0,70.0,1020.4,1019.3,19.3,0,0
49,2009-01-19,16.8,20.3,0.2,10,11.0,57.0,1021.0,1018.9,17.2,0,0
50,2009-01-20,14.8,22.0,0.0,3,7.0,68.0,1018.8,1016.8,17.8,0,0
51,2009-01-21,16.0,24.5,0.0,15,6.0,64.0,1012.9,1009.8,20.0,0,1
52,2009-01-22,17.6,22.7,1.2,15,30.0,74.0,1011.5,1009.9,19.5,1,1
53,2009-01-23,17.8,20.7,2.8,15,20.0,91.0,1010.9,1012.1,18.7,1,0
54,2009-01-24,15.5,23.1,0.0,15,6.0,68.0,1015.4,1013.8,18.4,0,1
55,2009-01-25,17.3,23.0,1.4,5,4.0,89.0,1017.2,1014.5,18.5,1,0
56,2009-01-26,18.5,23.0,0.0,2,9.0,78.0,1007.8,1007.8,22.0,0,0
57,2009-01-27,16.9,21.0,0.8,2,19.0,73.0,1012.9,1011.5,19.4,0,0
58,2009-01-28,18.0,20.5,0.0,10,19.0,82.0,1008.6,1006.8,19.2,0,1
59,2009-01-29,16.0,21.5,5.6,8,15.0,70.0,1010.4,1011.0,18.2,1,0
60,2009-01-30,16.5,22.5,0.0,0,19.0,85.0,1014.2,1013.0,18.5,0,0
61,2009-01-31,17.5,24.7,1.0,1,11.0,70.0,1013.9,1011.3,21.5,0,0
62,2009-02-01,20.2,26.0,0.0,4,6.0,84.0,1014.9,1012.7,22.0,0,0
63,2009-02-02,21.0,25.0,0.0,1,15.0,84.0,1013.1,1008.7,23.0,0,0
64,2009-02-03,20.2,23.0,0.0,15,22.0,93.0,1011.2,1011.5,20.8,0,0
65,2009-02-04,17.0,21.5,0.4,11,30.0,77.0,1015.1,1015.5,20.0,0,0
66,2009-02-05,14.0,22.5,0.0,3,2.0,71.0,1014.7,1012.1,18.0,0,0
67,2009-02-06,14.0,20.4,0.0,3,0.0,58.0,1009.7,1007.3,19.2,0,1
68,2009-02-07,14.0,18.8,2.4,15,31.0,61.0,1014.1,1016.6,17.0,1,0
69,2009-02-08,15.8,21.2,0.0,0,6.0,60.0,1023.3,1022.6,17.8,0,0
70,2009-02-09,17.6,22.5,0.0,2,19.0,59.0,1024.7,1022.9,19.5,0,0
71,2009-02-10,17.0,24.5,0.0,5,9.0,56.0,1023.7,1020.0,20.0,0,0
72,2009-02-11,17.0,28.8,0.0,1,17.0,60.0,1016.8,1011.8,19.7,0,0
73,2009-02-12,19.0,34.5,0.0,4,9.0,28.0,1008.4,1008.3,28.8,0,0
74,2009-02-13,17.0,19.8,0.2,8,31.0,80.0,1019.4,1019.6,17.5,0,1
75,2009-02-14,18.0,22.5,2.8,2,19.0,84.0,1017.9,1016.6,19.5,1,1
76,2009-02-15,19.0,31.0,1.8,5,6.0,70.0,1009.5,1005.3,22.0,1,0
77,2009-02-16,16.1,22.4,0.0,6,9.0,84.0,1010.5,1010.1,18.7,0,0
78,2009-02-17,18.2,21.1,0.0,8,19.0,71.0,1015.9,1015.8,19.4,0,0
79,2009-02-18,17.8,21.4,0.0,9,15.0,58.0,1017.8,1016.7,18.5,0,0
80,2009-02-19,17.4,21.0,0.0,0,15.0,60.0,1018.8,1018.1,18.5,0,0
81,2009-02-20,17.0,22.0,0.0,0,17.0,64.0,1021.6,1019.6,19.5,0,0
82,2009-02-21,16.6,27.5,0.0,0,9.0,71.0,1015.4,1009.7,19.7,0,0
83,2009-02-22,18.5,20.4,0.0,11,30.0,83.0,1014.6,1016.7,18.5,0,0
84,2009-02-23,15.2,22.0,0.0,1,15.0,57.0,1018.6,1014.4,18.0,0,0
85,2009-02-24,17.8,25.8,0.0,4,11.0,78.0,1003.9,1002.8,20.4,0,0
86,2009-02-25,14.5,22.0,0.0,5,7.0,66.0,1005.4,1004.1,17.0,0,0
87,2009-02-26,12.0,18.7,0.0,3,6.0,78.0,1013.7,1015.8,14.0,0,1
88,2009-02-27,13.5,21.1,1.4,4,4.0,84.0,1019.2,1016.4,15.6,1,1
89,2009-02-28,14.6,22.0,6.4,1,6.0,67.0,1017.8,1014.7,19.0,1,1
90,2009-03-01,18.5,24.5,5.4,1,7.0,87.0,1009.4,1004.8,20.6,1,1
91,2009-03-02,17.0,18.2,16.4,15,41.0,81.0,1006.5,1010.8,18.0,1,0
92,2009-03-03,13.3,17.8,0.4,12,17.0,53.0,1025.0,1027.2,14.6,0,0
93,2009-03-04,14.3,20.2,0.0,4,2.0,61.0,1031.8,1028.8,16.5,0,0
94,2009-03-05,15.1,23.6,0.0,4,9.0,70.0,1027.7,1023.5,17.6,0,0
95,2009-03-06,14.7,21.4,0.0,4,0.0,91.0,1024.0,1023.6,17.3,0,0
96,2009-03-07,16.0,20.5,0.0,0,28.0,61.0,1025.6,1022.9,17.0,0,0
97,2009-03-08,12.5,25.5,0.0,1,6.0,70.0,1020.5,1016.9,17.0,0,0
98,2009-03-09,16.2,24.0,0.0,4,2.0,73.0,1017.6,1015.3,19.0,0,0
99,2009-03-10,16.8,26.0,0.0,1,6.0,85.0,1016.3,1012.2,20.7,0,0
100,2009-03-11,16.2,22.4,0.0,15,19.0,84.0,1012.1,1014.7,21.0,0,0
101,2009-03-12,16.5,19.8,0.0,10,2.0,57.0,1017.1,1015.4,17.0,0,0
