,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,19.6,37.6,0.0,14,87.0,5,4,20.0,11.0,17.0,16.0,1010.5,1005.8,30.4,37.2,0,1
1,2008-12-02,21.0,39.1,1.2,6,41.0,6,8,24.0,9.0,18.0,13.0,1009.3,1004.6,32.5,38.2,1,0
2,2008-12-03,22.9,40.9,0.0,6,48.0,1,3,7.0,24.0,17.0,11.0,1006.3,1003.4,35.0,40.4,0,0
3,2008-12-04,24.7,40.5,0.0,14,72.0,11,13,2.0,22.0,29.0,24.0,1008.7,1006.9,32.3,36.5,0,0
4,2008-12-05,23.4,32.4,0.2,11,46.0,8,8,9.0,17.0,58.0,43.0,1014.0,1010.7,26.8,31.1,0,1
5,2008-12-06,21.7,25.1,2.6,10,35.0,11,3,19.0,11.0,90.0,78.0,1014.3,1011.1,21.9,22.9,1,1
6,2008-12-07,20.9,25.7,4.8,3,31.0,11,6,11.0,17.0,70.0,77.0,1011.4,1009.9,25.0,24.3,1,0
7,2008-12-08,17.7,34.6,0.6,0,26.0,1,6,15.0,9.0,63.0,27.0,1010.9,1005.9,24.5,33.6,0,0
8,2008-12-09,24.4,39.0,0.0,8,50.0,3,14,28.0,11.0,40.0,20.0,1006.2,1002.6,32.5,38.0,0,0
9,2008-12-10,25.3,38.6,0.0,13,54.0,5,15,22.0,35.0,38.0,51.0,1005.9,1004.4,32.8,29.6,0,0
10,2008-12-11,25.0,32.3,0.0,7,63.0,6,15,26.0,9.0,50.0,73.0,1005.6,1001.3,29.5,27.6,0,1
11,2008-12-12,20.7,32.2,14.4,7,41.0,6,15,13.0,19.0,88.0,37.0,1005.2,1002.7,22.5,31.0,1,0
12,2008-12-13,16.6,26.6,0.0,8,37.0,8,8,26.0,24.0,55.0,39.0,1012.9,1009.6,20.7,25.9,0,0
13,2008-12-14,13.7,26.8,0.0,10,46.0,9,10,20.0,19.0,37.0,24.0,1014.1,1010.5,20.5,26.0,0,0
14,2008-12-15,13.1,28.5,0.0,2,35.0,2,9,20.0,13.0,30.0,15.0,1013.7,1009.6,21.7,27.3,0,0
15,2008-12-16,13.6,31.7,0.0,1,31.0,0,12,22.0,13.0,21.0,15.0,1011.9,1007.9,24.6,31.2,0,0
16,2008-12-17,15.7,36.3,0.0,13,35.0,4,13,9.0,9.0,18.0,11.0,1009.3,1004.9,29.2,36.0,0,0
17,2008-12-18,19.6,36.9,0.0,8,41.0,11,11,15.0,17.0,21.0,12.0,1007.4,1004.9,31.0,36.2,0,0
18,2008-12-19,24.5,35.2,0.0,2,41.0,2,9,26.0,17.0,32.0,19.0,1010.1,1006.6,27.4,33.5,0,0
19,2008-12-20,19.4,35.2,0.0,0,41.0,2,2,31.0,13.0,20.0,14.0,1010.9,1007.0,26.9,34.4,0,0
20,2008-12-21,19.9,39.3,0.0,9,30.0,0,12,19.0,15.0,11.0,12.0,1007.8,1004.1,30.7,38.6,0,0
21,2008-12-22,21.5,39.9,0.0,0,33.0,4,1,13.0,19.0,16.0,13.0,1007.7,1004.9,33.2,38.2,0,0
22,2008-12-23,21.6,39.4,0.0,1,48.0,4,2,28.0,20.0,12.0,13.0,1007.9,1005.0,34.0,39.0,0,0
23,2008-12-24,22.5,38.5,0.0,9,37.0,2,8,20.0,17.0,17.0,19.0,1009.8,1005.7,30.5,37.1,0,0
24,2008-12-25,27.2,37.6,0.0,2,30.0,0,8,13.0,13.0,30.0,22.0,1010.2,1006.1,30.4,35.6,0,0
25,2008-12-26,26.8,38.9,0.0,3,69.0,0,12,20.0,35.0,21.0,58.0,1006.3,1003.5,33.5,27.5,0,1
26,2008-12-27,23.1,31.5,21.4,12,22.0,0,3,11.0,7.0,77.0,51.0,1009.0,1005.0,23.9,30.2,1,0
27,2008-12-28,23.3,34.0,0.2,5,46.0,0,9,0.0,19.0,71.0,37.0,1007.3,1003.8,25.9,33.3,0,1
28,2008-12-29,21.9,32.4,9.4,9,39.0,9,0,19.0,17.0,65.0,28.0,1008.5,1006.3,26.6,31.3,1,0
29,2008-12-30,18.7,32.7,0.0,2,37.0,2,9,28.0,17.0,21.0,14.0,1009.6,1006.2,26.4,32.0,0,0
30,2008-12-31,18.0,34.5,0.0,2,37.0,0,2,19.0,13.0,18.0,14.0,1007.3,1003.4,27.3,34.4,0,0
31,2009-01-01,22.2,36.0,0.0,9,54.0,0,2,22.0,28.0,18.0,12.0,1005.8,1002.9,29.0,35.0,0,0
32,2009-01-02,22.1,34.3,0.0,2,50.0,9,9,30.0,30.0,20.0,12.0,1009.2,1005.9,27.3,34.0,0,0
33,2009-01-03,18.6,34.7,0.0,9,54.0,9,2,19.0,24.0,17.0,20.0,1009.3,1004.4,26.9,33.3,0,0
34,2009-01-04,21.5,36.1,0.0,9,57.0,2,9,17.0,26.0,38.0,20.0,1007.7,1003.8,29.0,35.5,0,0
35,2009-01-05,20.6,36.5,0.0,2,57.0,9,9,20.0,30.0,38.0,20.0,1007.3,1003.2,29.6,35.8,0,0
36,2009-01-06,22.4,36.3,0.0,10,52.0,9,10,19.0,24.0,44.0,19.0,1006.4,1002.4,30.0,35.6,0,0
37,2009-01-07,21.1,35.7,0.0,8,59.0,11,9,22.0,37.0,65.0,32.0,1007.7,1004.2,27.1,33.3,0,0
38,2009-01-08,22.4,34.6,0.0,9,56.0,2,9,24.0,31.0,63.0,30.0,1009.4,1005.8,26.2,33.5,0,0
39,2009-01-09,21.2,36.2,0.0,10,46.0,9,9,24.0,24.0,25.0,17.0,1009.3,1004.6,29.0,35.3,0,0
40,2009-01-10,21.0,37.5,0.0,10,41.0,0,0,20.0,15.0,13.0,9.0,1006.6,1002.6,30.3,36.1,0,0
41,2009-01-11,17.7,37.3,0.0,10,44.0,2,8,17.0,17.0,11.0,6.0,1005.9,1003.3,30.0,36.7,0,0
42,2009-01-12,17.4,38.1,0.0,9,43.0,2,10,24.0,17.0,9.0,8.0,1009.3,1005.3,30.6,37.5,0,0
43,2009-01-13,23.2,38.2,0.0,0,33.0,3,1,24.0,11.0,35.0,8.0,1009.7,1005.1,31.6,37.7,0,0
44,2009-01-14,23.1,37.8,0.0,2,59.0,1,0,13.0,37.0,27.0,14.0,1008.9,1005.7,31.7,36.6,0,0
45,2009-01-15,20.4,38.4,0.0,2,67.0,0,9,22.0,35.0,25.0,12.0,1010.1,1006.6,30.9,37.3,0,0
46,2009-01-16,25.7,37.5,0.0,2,56.0,2,2,30.0,30.0,15.0,14.0,1012.6,1009.0,30.1,37.5,0,0
