,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,5.8,17.6,3.2,13,52.0,13,14,26.0,30.0,71.0,37.0,1008.2,1007.5,10.4,15.7,1,0
1,2008-12-02,4.3,19.5,0.4,14,44.0,14,14,20.0,24.0,66.0,47.0,1009.3,1007.3,12.5,17.6,0,0
2,2008-12-03,9.5,18.8,0.6,13,43.0,15,12,22.0,20.0,82.0,42.0,1009.5,1011.5,11.2,16.5,0,0
3,2008-12-04,6.7,21.8,0.2,5,39.0,1,3,9.0,22.0,60.0,33.0,1016.2,1012.6,14.4,20.6,0,1
4,2008-12-05,13.3,25.6,1.2,7,61.0,6,7,30.0,39.0,74.0,40.0,1006.6,1005.5,18.3,24.3,1,0
5,2008-12-06,9.6,23.0,0.0,14,61.0,14,14,15.0,39.0,76.0,42.0,1009.6,1005.7,13.8,20.8,0,0
6,2008-12-07,4.6,16.4,0.0,12,39.0,12,12,20.0,24.0,71.0,42.0,1012.3,1012.1,9.6,15.6,0,0
7,2008-12-08,2.9,23.1,0.2,7,43.0,10,15,17.0,7.0,64.0,30.0,1014.0,1010.5,9.7,20.6,0,0
8,2008-12-09,5.3,17.6,0.0,8,35.0,7,10,9.0,19.0,55.0,87.0,1007.5,1006.4,13.2,12.4,0,1
9,2008-12-10,8.3,18.3,5.0,9,50.0,10,9,28.0,22.0,71.0,43.0,1011.8,1010.9,10.6,18.1,1,0
10,2008-12-11,6.9,23.8,0.0,10,54.0,9,10,28.0,26.0,67.0,28.0,1013.8,1011.0,12.2,22.9,0,0
11,2008-12-12,12.1,19.6,0.0,9,41.0,4,0,24.0,11.0,47.0,97.0,1006.2,1002.2,18.8,15.3,0,1
12,2008-12-13,13.1,13.9,53.6,12,63.0,11,12,26.0,39.0,99.0,99.0,990.5,996.5,13.5,13.0,1,1
13,2008-12-14,10.0,16.2,11.0,11,46.0,11,12,19.0,26.0,99.0,71.0,1005.8,1007.5,11.0,15.0,1,1
14,2008-12-15,8.3,18.7,1.4,13,37.0,12,14,17.0,20.0,72.0,50.0,1012.3,1011.2,9.2,16.9,1,0
15,2008-12-16,7.9,19.1,0.0,13,35.0,13,13,15.0,24.0,84.0,57.0,1012.5,1011.6,13.4,17.9,0,1
16,2008-12-17,10.3,20.1,1.8,2,31.0,8,15,7.0,7.0,91.0,64.0,1012.3,1008.8,12.3,18.7,1,0
17,2008-12-18,11.1,19.2,0.6,11,48.0,12,15,15.0,22.0,86.0,49.0,1005.6,1005.1,13.6,18.8,0,1
18,2008-12-19,6.3,16.9,1.4,11,52.0,11,11,26.0,26.0,69.0,41.0,1014.1,1014.6,8.9,16.3,1,0
19,2008-12-20,5.5,21.4,0.0,10,37.0,10,9,22.0,20.0,76.0,44.0,1020.4,1018.0,11.6,20.6,0,0
20,2008-12-21,6.8,26.7,0.0,3,46.0,5,3,20.0,28.0,44.0,32.0,1017.6,1013.8,19.2,25.2,0,0
21,2008-12-22,18.8,32.2,0.0,6,72.0,3,6,44.0,41.0,39.0,21.0,1007.6,1004.2,22.3,30.2,0,0
22,2008-12-23,10.5,20.1,0.0,11,44.0,11,8,26.0,24.0,90.0,52.0,1013.2,1012.7,11.2,18.0,0,0
23,2008-12-24,7.2,24.8,0.2,12,33.0,9,15,15.0,17.0,68.0,27.0,1013.2,1011.3,12.8,24.0,0,0
24,2008-12-25,8.8,25.5,0.0,15,37.0,9,11,13.0,9.0,61.0,32.0,1014.2,1012.3,15.9,22.7,0,0
25,2008-12-26,10.6,28.9,0.0,2,46.0,3,14,22.0,11.0,42.0,32.0,1010.3,1008.1,21.4,26.9,0,0
26,2008-12-27,11.3,28.0,0.0,8,43.0,3,13,13.0,19.0,55.0,43.0,1006.1,1003.2,22.6,26.5,0,0
27,2008-12-28,7.6,25.6,0.0,15,44.0,6,15,17.0,26.0,62.0,44.0,1003.9,1002.7,17.9,22.8,0,0
28,2008-12-29,9.3,19.8,0.0,13,46.0,15,12,17.0,24.0,70.0,40.0,1008.2,1008.0,11.8,17.4,0,1
29,2008-12-30,10.2,20.1,2.4,13,61.0,15,13,22.0,37.0,99.0,45.0,1003.6,1003.2,11.9,18.0,1,0
30,2008-12-31,9.0,20.4,0.2,7,39.0,15,7,15.0,26.0,81.0,44.0,1006.1,1004.7,10.6,17.2,0,0
31,2009-01-01,8.3,17.0,0.2,12,54.0,13,15,26.0,30.0,87.0,48.0,1004.7,1006.5,11.6,16.0,0,0
32,2009-01-02,3.0,17.0,0.4,11,52.0,12,11,26.0,28.0,70.0,35.0,1017.2,1017.6,9.1,15.9,0,0
33,2009-01-03,0.7,22.5,0.0,9,31.0,10,11,20.0,11.0,61.0,26.0,1018.7,1015.9,11.7,20.0,0,0
34,2009-01-04,5.9,28.8,0.0,8,39.0,10,12,13.0,11.0,24.0,14.0,1014.8,1012.8,20.4,27.1,0,0
35,2009-01-05,8.3,29.6,0.0,13,41.0,7,15,6.0,20.0,42.0,12.0,1012.1,1010.6,19.2,28.3,0,0
36,2009-01-06,10.8,30.3,0.0,11,41.0,14,15,9.0,19.0,48.0,30.0,1010.6,1008.0,20.1,29.9,0,0
37,2009-01-07,13.6,21.1,0.0,11,44.0,8,11,15.0,24.0,99.0,64.0,1009.2,1009.9,14.4,18.0,0,0
38,2009-01-08,7.3,18.2,0.0,11,50.0,11,11,26.0,28.0,71.0,36.0,1016.7,1017.2,11.4,16.9,0,0
39,2009-01-09,4.3,20.4,0.0,9,44.0,9,10,24.0,20.0,57.0,32.0,1019.5,1016.3,12.4,19.6,0,0
40,2009-01-10,9.0,26.7,0.0,9,44.0,9,13,13.0,6.0,61.0,16.0,1011.9,1008.6,15.4,24.9,0,0
41,2009-01-11,9.3,27.1,0.0,11,48.0,9,15,15.0,15.0,70.0,19.0,1010.0,1008.9,15.2,25.1,0,0
42,2009-01-12,8.7,26.6,0.0,2,39.0,8,10,20.0,17.0,86.0,30.0,1017.6,1015.9,12.9,24.2,0,0
43,2009-01-13,8.6,34.9,0.0,3,50.0,3,7,20.0,22.0,20.0,13.0,1013.8,1010.5,25.0,33.1,0,0
44,2009-01-14,20.3,33.9,0.0,8,41.0,3,15,19.0,13.0,16.0,25.0,1009.0,1007.8,27.5,32.7,0,0
45,2009-01-15,11.1,23.5,0.0,11,48.0,12,12,28.0,22.0,63.0,33.0,1014.8,1014.2,13.7,21.8,0,0
46,2009-01-16,9.8,18.6,0.0,15,54.0,15,12,26.0,30.0,66.0,43.0,1017.2,1018.3,12.6,16.3,0,0
47,2009-01-17,6.1,21.7,0.0,10,44.0,10,10,28.0,22.0,54.0,32.0,1021.3,1020.6,12.5,20.2,0,0
48,2009-01-18,6.1,29.1,0.0,9,35.0,9,12,20.0,19.0,38.0,13.0,1019.4,1017.2,16.6,28.0,0,0
49,2009-01-19,8.9,34.2,0.0,8,43.0,3,6,20.0,24.0,20.0,8.0,1013.8,1009.8,24.5,32.5,0,0
50,2009-01-20,13.7,36.5,0.0,7,67.0,3,12,22.0,30.0,21.0,18.0,1006.7,1006.7,26.5,31.0,0,0
51,2009-01-21,10.1,32.1,0.0,11,43.0,8,7,7.0,15.0,66.0,17.0,1009.5,1006.2,17.0,29.9,0,0
52,2009-01-22,13.6,30.6,0.0,6,83.0,3,7,37.0,50.0,28.0,28.0,998.5,996.6,21.2,27.0,0,0
53,2009-01-23,4.9,27.1,0.0,6,54.0,6,3,11.0,30.0,58.0,18.0,1007.0,1003.0,13.4,24.8,0,0
54,2009-01-24,11.1,21.6,0.0,14,54.0,15,15,28.0,28.0,77.0,33.0,1007.3,1010.8,12.9,20.2,0,0
55,2009-01-25,5.5,29.6,0.0,9,37.0,10,12,9.0,13.0,49.0,7.0,1016.9,1016.2,16.7,28.1,0,0
56,2009-01-26,10.7,27.7,0.2,9,39.0,10,9,30.0,20.0,70.0,30.0,1016.85,1015.15,15.0,26.2,0,0
57,2009-01-27,10.3,36.3,0.0,2,39.0,5,6,11.0,9.0,51.0,11.0,1016.8,1014.1,20.3,34.5,0,0
58,2009-01-28,16.6,40.0,0.0,3,48.0,5,6,22.0,17.0,17.0,8.0,1012.8,1010.7,30.7,39.1,0,0
59,2009-01-29,25.1,41.4,0.0,7,61.0,5,3,35.0,33.0,20.0,12.0,1011.9,1010.7,32.6,39.9,0,0
60,2009-01-30,19.9,41.1,0.0,5,54.0,3,6,20.0,17.0,17.0,9.0,1013.2,1010.6,34.1,39.0,0,0
61,2009-01-31,22.9,39.2,0.0,10,67.0,9,10,22.0,33.0,34.0,31.0,1013.3,1012.7,29.3,34.2,0,0
62,2009-02-01,16.4,34.7,0.0,9,54.0,9,9,31.0,30.0,72.0,25.0,1014.8,1012.4,20.4,32.7,0,0
63,2009-02-02,16.3,32.0,0.0,9,46.0,10,12,11.0,19.0,79.0,36.0,1012.0,1009.9,20.1,31.0,0,0
64,2009-02-03,17.0,27.3,0.0,9,59.0,9,9,35.0,33.0,80.0,51.0,1011.9,1010.3,18.6,24.9,0,0
65,2009-02-04,14.6,34.7,0.0,9,39.0,9,7,13.0,13.0,70.0,11.0,1008.4,1005.6,19.0,33.0,0,0
66,2009-02-05,15.0,33.0,0.0,12,39.0,12,12,2.0,20.0,27.0,30.0,1006.3,1006.8,26.8,30.9,0,0
67,2009-02-06,13.2,36.7,0.0,14,41.0,9,13,11.0,24.0,57.0,16.0,1008.3,1006.7,20.2,35.0,0,0
68,2009-02-07,20.2,44.1,0.0,6,93.0,3,6,39.0,61.0,25.0,6.0,1004.3,1000.1,30.3,43.1,0,0
69,2009-02-08,13.8,21.3,0.0,8,44.0,12,11,20.0,26.0,73.0,37.0,1011.4,1012.5,16.5,19.9,0,1
70,2009-02-09,7.6,18.9,1.2,8,54.0,8,10,31.0,26.0,58.0,37.0,1015.6,1014.7,12.3,18.2,1,0
71,2009-02-10,5.6,17.2,0.0,10,50.0,8,11,30.0,33.0,66.0,49.0,1016.2,1016.2,11.2,14.3,0,0
72,2009-02-11,7.9,18.0,0.0,8,57.0,11,11,28.0,35.0,73.0,42.0,1018.2,1017.8,10.1,15.5,0,0
73,2009-02-12,7.0,21.0,0.0,8,56.5,10,10,31.0,35.0,72.0,36.0,1020.0,1019.7,11.6,19.4,0,0
74,2009-02-13,8.4,24.5,0.0,9,56.0,9,2,20.0,9.0,54.0,25.0,1024.1,1022.1,13.0,23.2,0,0
75,2009-02-14,10.1,27.4,0.0,9,44.0,5,15,22.0,11.0,46.0,24.0,1022.0,1018.4,17.9,25.9,0,0
76,2009-02-15,12.8,23.5,0.0,10,56.0,9,10,24.0,30.0,75.0,47.0,1017.3,1016.4,15.5,21.7,0,0
77,2009-02-16,13.5,28.7,0.0,9,52.0,2,6,17.0,7.0,70.0,26.0,1017.9,1015.3,17.4,27.1,0,0
78,2009-02-17,12.7,29.1,0.0,5,46.0,5,5,30.0,11.0,43.0,26.0,1016.0,1013.9,18.7,26.1,0,0
79,2009-02-18,12.0,30.4,0.0,15,57.0,5,8,13.0,15.0,42.0,22.0,1012.1,1009.1,20.5,27.9,0,0
80,2009-02-19,10.3,31.3,0.0,8,48.0,2,13,4.0,20.0,24.0,17.0,1008.3,1006.3,22.1,29.5,0,0
81,2009-02-20,13.2,20.9,0.0,11,41.0,12,15,17.0,20.0,76.0,48.0,1012.5,1012.9,13.7,19.5,0,0
82,2009-02-21,12.4,23.3,0.0,10,48.0,8,10,26.0,31.0,82.0,38.0,1014.2,1012.9,14.2,21.9,0,0
83,2009-02-22,12.2,28.5,0.2,10,46.0,9,6,28.0,11.0,71.0,28.0,1015.9,1012.9,15.2,27.0,0,0
84,2009-02-23,11.3,31.8,0.0,7,57.0,3,14,19.0,28.0,53.0,14.0,1010.9,1008.3,19.5,30.5,0,0
85,2009-02-24,6.4,19.8,0.0,8,44.0,8,8,24.0,26.0,67.0,31.0,1018.0,1017.4,11.0,17.9,0,0
86,2009-02-25,7.6,22.3,0.0,10,44.0,8,10,24.0,24.0,78.0,47.0,1019.4,1017.6,12.3,20.3,0,0
87,2009-02-26,12.1,30.2,0.0,9,56.0,0,7,24.0,11.0,71.0,20.0,1017.3,1015.7,16.0,28.9,0,0
88,2009-02-27,13.6,32.4,0.0,3,52.0,5,3,31.0,28.0,36.0,17.0,1013.6,1010.5,21.5,30.2,0,0
89,2009-02-28,9.7,22.0,0.8,8,46.0,8,11,33.0,22.0,70.0,36.0,1011.9,1011.2,13.5,21.3,0,0
90,2009-03-01,10.5,18.9,0.0,11,43.0,8,8,28.0,24.0,83.0,59.0,1013.7,1013.7,11.8,17.0,0,0
91,2009-03-02,10.2,26.5,0.0,2,46.0,2,3,31.0,19.0,66.0,22.0,1013.9,1011.1,13.2,24.7,0,0
92,2009-03-03,13.1,31.7,0.8,3,89.0,5,3,41.0,61.0,55.0,33.0,1006.6,1001.0,20.0,27.2,0,1
93,2009-03-04,6.5,16.2,2.0,14,63.0,6,13,26.0,37.0,74.0,63.0,1011.4,1012.2,10.0,13.2,1,1
94,2009-03-05,8.9,15.3,2.8,15,44.0,12,12,17.0,24.0,99.0,74.0,1015.8,1015.9,10.3,14.6,1,1
95,2009-03-06,8.9,16.4,2.0,15,37.0,12,15,15.0,17.0,85.0,57.0,1016.0,1014.7,10.3,15.2,1,0
96,2009-03-07,11.0,18.6,0.0,12,30.0,12,11,17.0,22.0,79.0,56.0,1016.0,1015.7,12.2,16.8,0,0
97,2009-03-08,7.3,18.8,0.0,9,54.0,10,10,31.0,31.0,71.0,56.0,1019.4,1018.8,11.1,16.5,0,0
98,2009-03-09,9.2,26.2,0.0,9,52.0,9,8,24.0,20.0,75.0,30.0,1019.7,1017.3,12.7,25.1,0,0
99,2009-03-10,12.5,26.8,0.0,2,59.0,9,10,26.0,15.0,88.0,46.0,1019.3,1017.8,14.5,25.1,0,0
100,2009-03-11,13.7,28.6,0.8,5,54.0,5,4,11.0,26.0,88.0,31.0,1020.3,1017.8,17.1,27.0,0,1
101,2009-03-12,15.3,23.0,3.0,5,48.0,4,5,17.0,31.0,100.0,66.0,1017.8,1016.1,16.2,22.2,1,0
102,2009-03-13,12.9,28.0,0.2,14,39.0,5,5,11.0,13.0,100.0,42.0,1016.4,1014.1,17.7,24.7,0,1
103,2009-03-14,13.9,18.3,2.4,15,72.0,13,15,33.0,22.0,97.0,79.0,1010.4,1007.2,13.9,14.8,1,1
104,2009-03-15,7.6,15.6,16.4,13,56.0,14,14,26.0,28.0,87.0,57.0,1011.4,1010.4,9.4,14.3,1,0
105,2009-03-16,9.3,16.4,1.0,13,46.0,13,15,24.0,24.0,99.0,73.0,1012.0,1012.7,10.2,14.6,0,1
106,2009-03-17,9.6,17.3,2.8,11,31.0,12,12,22.0,17.0,98.0,57.0,1017.4,1016.7,10.2,15.9,1,0
107,2009-03-18,6.5,23.4,0.0,3,43.0,1,6,7.0,24.0,80.0,22.0,1016.0,1013.6,9.5,22.1,0,0
108,2009-03-19,9.3,30.3,0.0,14,56.0,5,7,17.0,17.0,37.0,19.0,1013.6,1011.5,18.3,29.1,0,0
109,2009-03-20,11.6,29.9,0.0,6,52.0,5,3,19.5,24.0,73.0,26.0,1014.7,1012.7,16.1,28.7,0,0
110,2009-03-21,12.5,33.1,0.0,3,59.0,5,5,22.0,43.0,30.0,12.0,1013.3,1009.8,21.4,31.5,0,0
111,2009-03-22,13.8,22.2,0.0,14,43.0,15,11,15.0,20.0,91.0,59.0,1012.1,1012.1,14.6,20.5,0,0
112,2009-03-23,10.2,20.1,0.0,8,37.0,10,8,19.0,20.0,92.0,47.0,1015.8,1014.6,11.1,18.5,0,0
113,2009-03-24,8.7,20.6,0.0,9,39.0,0,7,13.0,11.0,78.0,25.0,1015.9,1015.3,12.0,20.3,0,1
114,2009-03-25,11.9,23.3,5.8,15,28.0,10,13,6.0,9.0,100.0,60.0,1015.4,1015.1,15.7,20.2,1,0
115,2009-03-26,10.4,21.2,0.2,11,44.0,10,15,0.0,22.0,92.0,45.0,1019.7,1020.5,14.0,20.3,0,0
116,2009-03-27,5.3,19.7,0.0,8,37.0,8,8,13.0,17.0,92.0,42.0,1026.1,1024.5,8.4,18.0,0,0
117,2009-03-28,2.2,26.4,0.0,9,28.0,0,3,4.0,6.0,99.0,8.0,1022.8,1020.8,8.2,25.1,0,0
118,2009-03-29,5.6,27.1,0.0,9,44.0,2,8,6.0,20.0,58.0,17.0,1022.2,1020.8,13.7,26.6,0,0
119,2009-03-30,11.1,23.6,0.0,9,50.0,9,9,33.0,19.0,81.0,45.0,1024.2,1022.1,12.9,22.9,0,0
120,2009-03-31,8.6,27.7,0.0,3,46.0,5,3,22.0,15.0,64.0,30.0,1023.3,1020.6,17.1,26.4,0,0
121,2009-04-01,10.9,28.6,0.0,9,35.0,4,8,19.0,6.0,53.0,29.0,1023.2,1020.6,18.3,26.9,0,0
122,2009-04-02,11.8,28.6,0.0,5,50.0,5,3,20.0,30.0,60.0,36.0,1022.5,1019.1,19.0,26.6,0,0
123,2009-04-03,15.7,17.6,0.0,15,43.0,15,12,20.0,15.0,77.0,91.0,1016.5,1016.3,15.7,13.5,0,1
124,2009-04-04,5.0,14.9,4.2,8,33.0,12,12,9.0,17.0,95.0,53.0,1022.8,1022.6,7.9,13.6,1,0
125,2009-04-05,7.3,16.4,0.0,13,46.0,14,12,20.0,20.0,81.0,88.0,1020.0,1018.8,11.9,12.5,0,0
126,2009-04-06,2.4,13.3,0.2,12,39.0,11,11,19.0,19.0,81.0,53.0,1025.9,1024.9,8.7,12.5,0,0
127,2009-04-07,7.5,15.7,0.0,8,41.0,8,8,22.0,20.0,93.0,63.0,1029.4,1027.6,9.5,15.0,0,1
128,2009-04-08,9.2,18.8,2.4,10,33.0,9,8,20.0,13.0,90.0,51.0,1027.7,1024.9,10.5,18.4,1,0
129,2009-04-09,7.9,22.9,0.2,3,39.0,9,6,0.0,22.0,77.0,28.0,1023.0,1019.0,13.5,22.1,0,0
130,2009-04-10,5.5,20.2,0.0,9,37.0,8,8,7.0,17.0,79.0,47.0,1019.7,1018.7,12.0,19.1,0,0
131,2009-04-11,8.1,22.6,0.0,10,28.0,2,6,15.0,15.0,89.0,25.0,1023.4,1020.6,13.1,21.5,0,0
132,2009-04-12,3.7,21.8,0.0,14,41.0,6,15,6.0,26.0,80.0,28.0,1023.0,1021.1,14.0,20.9,0,0
133,2009-04-13,4.2,23.9,0.0,6,30.0,5,3,11.0,11.0,52.0,23.0,1022.6,1018.7,16.4,23.2,0,0
134,2009-04-14,8.4,25.2,0.0,14,56.0,5,7,26.0,31.0,48.0,21.0,1014.5,1010.4,17.7,24.2,0,1
135,2009-04-15,8.2,13.5,1.6,14,80.0,13,14,41.0,20.0,74.0,66.0,1008.0,1011.4,9.2,10.5,1,0
136,2009-04-16,0.2,17.5,0.4,7,57.0,3,7,28.0,35.0,75.0,48.0,1012.9,1010.0,7.2,15.7,0,0
137,2009-04-17,6.0,18.5,0.2,14,28.0,6,15,9.0,13.0,87.0,54.0,1017.8,1017.6,11.6,17.0,0,0
138,2009-04-18,5.4,16.6,0.0,10,35.0,11,11,9.0,19.0,93.0,63.0,1023.8,1022.9,11.6,16.0,0,0
139,2009-04-19,10.4,16.8,0.0,9,48.0,9,9,28.0,20.0,81.0,60.0,1025.0,1022.5,11.4,15.9,0,0
140,2009-04-20,7.1,21.2,0.0,2,35.0,2,3,11.0,15.0,80.0,36.0,1023.2,1020.3,12.8,20.7,0,0
141,2009-04-21,4.3,20.8,0.0,5,31.0,5,6,22.0,7.0,55.0,32.0,1024.4,1021.7,14.8,20.1,0,0
142,2009-04-22,3.1,21.1,0.0,3,41.0,5,3,13.0,20.0,57.0,33.0,1025.0,1021.4,14.8,20.3,0,0
143,2009-04-23,9.4,20.1,0.0,3,61.0,5,3,35.0,41.0,62.0,39.0,1017.2,1012.7,14.3,18.9,0,1
144,2009-04-24,11.9,15.1,2.0,5,61.0,5,3,37.0,20.0,99.0,98.0,1002.2,998.1,12.4,14.3,1,1
145,2009-04-25,7.8,15.5,3.6,6,74.0,3,3,24.0,44.0,100.0,73.0,1000.5,993.0,10.1,13.7,1,1
146,2009-04-26,3.6,9.8,10.2,14,78.0,7,13,35.0,41.0,77.0,85.0,998.0,1000.9,6.4,7.8,1,1
147,2009-04-27,1.2,10.1,3.4,7,35.0,3,7,20.0,20.0,99.0,69.0,1011.5,1010.5,4.8,9.7,1,1
148,2009-04-28,3.7,10.5,4.6,12,35.0,12,8,11.0,17.0,92.0,60.0,1020.2,1020.6,5.7,8.7,1,0
149,2009-04-29,1.7,10.0,0.0,10,24.0,11,8,7.0,13.0,93.0,58.0,1023.2,1021.4,5.0,9.6,0,0
150,2009-04-30,-2.4,13.7,0.0,3,31.0,11,6,14.5,19.0,99.0,41.0,1022.9,1020.4,4.5,13.3,0,0
151,2009-05-01,4.4,11.0,0.0,3,27.5,5,14,22.0,6.0,69.0,87.0,1023.4,1022.9,8.1,10.5,0,0
152,2009-05-02,0.9,15.0,0.2,10,24.0,5,8,0.0,11.0,99.0,50.0,1028.0,1026.1,7.8,14.4,0,0
153,2009-05-03,1.2,15.4,0.2,13,22.0,5,13,0.0,6.0,100.0,58.0,1029.6,1027.6,7.4,14.8,0,0
154,2009-05-04,3.0,14.8,0.0,8,30.0,11,10,13.0,20.0,97.0,72.0,1031.3,1030.2,9.7,14.7,0,0
155,2009-05-05,4.9,17.4,0.0,10,30.0,2,11,7.0,9.0,78.0,46.0,1031.7,1028.8,9.0,15.6,0,0
156,2009-05-06,5.2,12.8,0.0,10,30.0,9,8,19.0,17.0,82.0,72.0,1029.3,1027.1,8.0,11.6,0,0
157,2009-05-07,8.0,15.4,0.4,11,35.0,12,11,13.0,20.0,100.0,57.0,1028.5,1027.4,10.0,14.9,0,0
158,2009-05-08,5.4,12.4,0.2,8,37.0,8,8,20.0,20.0,100.0,88.0,1031.3,1029.4,9.1,12.0,0,0
159,2009-05-09,9.1,14.4,0.0,8,33.0,8,8,22.0,19.0,99.0,74.0,1028.6,1026.0,10.1,13.7,0,0
160,2009-05-10,7.8,14.8,0.0,9,39.0,9,9,26.0,17.0,77.0,62.0,1026.1,1023.9,10.6,13.6,0,0
161,2009-05-11,0.6,16.7,0.4,15,22.0,9,12,0.0,15.0,96.0,58.0,1025.3,1022.7,9.0,15.2,0,0
162,2009-05-12,3.0,14.2,0.0,12,24.0,8,12,9.0,15.0,70.0,62.0,1023.4,1020.3,7.5,12.4,0,0
163,2009-05-13,6.7,13.3,0.6,13,41.0,7,13,13.0,26.0,92.0,58.0,1017.7,1014.7,9.2,13.1,0,0
164,2009-05-14,4.2,13.7,0.4,14,54.0,7,14,19.0,35.0,92.0,74.0,1013.4,1011.3,9.5,11.9,0,0
165,2009-05-15,9.4,17.2,0.0,14,56.0,6,14,26.0,28.0,97.0,87.0,1010.6,1007.9,11.5,14.1,0,1
166,2009-05-16,8.1,11.5,3.2,13,59.0,15,15,24.0,26.0,88.0,68.0,1013.3,1015.2,8.8,10.8,1,1
167,2009-05-17,7.0,13.1,1.6,15,31.0,15,11,15.0,15.0,99.0,76.0,1022.3,1020.8,9.4,12.5,1,0
