,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,9.1,21.7,0.0,13,44.0,14,15,20.0,20.0,47.0,23.0,1009.1,1007.5,14.0,19.4,0,0
1,2008-12-02,6.2,23.0,0.0,13,48.0,14,14,20.0,26.0,49.0,29.0,1010.4,1007.8,15.2,21.2,0,0
2,2008-12-03,10.8,23.7,0.0,15,44.0,12,13,17.0,24.0,49.0,23.0,1009.4,1010.7,17.1,21.8,0,0
3,2008-12-04,8.2,24.6,0.0,5,41.0,9,5,17.0,13.0,50.0,22.0,1017.0,1012.5,16.1,23.6,0,0
4,2008-12-05,15.1,30.3,0.2,7,54.0,7,13,19.0,31.0,68.0,29.0,1008.0,1005.0,21.3,29.2,0,0
5,2008-12-06,9.9,27.2,0.2,14,54.0,14,7,9.0,30.0,60.0,29.0,1010.0,1005.6,18.0,26.2,0,0
6,2008-12-07,8.0,22.0,0.2,12,43.0,11,11,22.0,15.0,47.0,26.0,1012.4,1010.7,13.1,20.4,0,0
7,2008-12-08,7.8,25.5,0.0,13,35.0,8,15,11.0,17.0,47.0,17.0,1014.2,1010.6,13.9,23.5,0,0
8,2008-12-09,9.7,22.0,0.0,15,39.0,10,15,7.0,17.0,44.0,42.0,1007.0,1006.2,16.5,18.9,0,1
9,2008-12-10,9.8,23.2,3.2,9,39.0,9,8,24.0,17.0,62.0,30.0,1010.4,1009.3,15.3,21.6,1,0
10,2008-12-11,8.7,28.7,0.2,10,43.0,10,2,22.0,13.0,43.0,13.0,1012.8,1009.7,16.8,26.3,0,0
11,2008-12-12,16.5,19.9,0.0,1,44.0,4,1,13.0,20.0,57.0,94.0,1007.1,1001.9,19.4,16.6,0,1
12,2008-12-13,14.1,20.2,30.4,12,70.0,14,12,13.0,33.0,94.0,68.0,989.5,994.6,15.6,18.6,1,1
13,2008-12-14,10.9,21.5,4.0,8,50.0,11,11,19.0,28.0,79.0,41.0,1004.7,1005.4,14.4,20.8,1,0
14,2008-12-15,9.9,21.2,0.0,8,41.0,8,15,13.0,19.0,58.0,37.0,1012.7,1011.2,11.8,18.8,0,0
15,2008-12-16,7.9,23.9,0.0,13,39.0,13,14,13.0,19.0,49.0,41.0,1012.5,1011.2,18.3,22.0,0,1
16,2008-12-17,13.5,22.0,1.2,3,24.0,10,5,4.0,11.0,86.0,58.0,1012.5,1008.4,14.9,20.9,1,1
17,2008-12-18,12.7,21.8,10.0,11,44.0,3,12,7.0,20.0,95.0,44.0,1006.1,1004.1,14.7,20.3,1,1
18,2008-12-19,8.4,20.3,5.8,10,43.0,8,10,20.0,19.0,58.0,32.0,1013.5,1013.6,12.3,17.8,1,0
19,2008-12-20,6.3,24.4,0.0,9,35.0,9,9,22.0,11.0,51.0,24.0,1019.9,1017.3,14.8,23.0,0,0
20,2008-12-21,11.2,28.6,0.0,5,41.0,4,5,19.0,24.0,54.0,24.0,1018.1,1013.8,19.0,26.7,0,0
21,2008-12-22,15.3,35.0,0.0,5,44.5,5,7,20.0,30.0,38.0,15.0,1009.6,1004.3,23.9,34.4,0,0
22,2008-12-23,15.0,24.3,0.0,10,48.0,10,10,22.0,22.0,60.0,34.0,1012.0,1011.2,16.6,23.1,0,0
23,2008-12-24,8.0,28.7,0.0,13,37.0,10,15,11.0,19.0,53.0,10.0,1012.2,1010.2,16.6,27.7,0,0
24,2008-12-25,12.6,30.4,0.0,14,44.0,10,13,7.0,24.0,48.0,23.0,1013.4,1010.9,20.3,29.0,0,0
25,2008-12-26,14.5,33.4,0.0,7,41.0,0,6,6.0,22.0,46.0,23.0,1010.5,1007.3,21.7,30.7,0,0
26,2008-12-27,17.5,32.1,0.2,7,46.0,3,14,7.0,22.0,70.0,32.0,1006.8,1002.3,21.1,29.7,0,0
27,2008-12-28,10.9,29.5,0.0,13,46.0,14,14,15.0,30.0,49.0,25.0,1004.8,1002.7,19.8,27.8,0,0
28,2008-12-29,11.9,24.1,0.0,11,46.0,11,12,22.0,24.0,49.0,25.0,1008.3,1007.0,15.8,23.2,0,0
29,2008-12-30,13.0,25.2,0.2,14,56.0,14,15,24.0,26.0,68.0,25.0,1004.0,1002.4,16.0,23.6,0,0
30,2008-12-31,8.7,24.5,0.8,7,41.0,12,13,17.0,17.0,51.0,25.0,1006.7,1004.5,15.3,22.6,0,0
31,2009-01-01,11.1,24.6,0.0,12,56.0,7,15,15.0,31.0,53.0,27.0,1005.4,1004.7,16.6,23.1,0,0
32,2009-01-02,7.1,21.2,0.0,11,43.0,12,10,26.0,17.0,49.0,23.0,1017.3,1016.9,12.2,19.6,0,0
33,2009-01-03,5.4,26.8,0.0,0,35.0,10,11,13.0,13.0,47.0,13.0,1018.8,1015.4,13.8,25.0,0,0
34,2009-01-04,10.1,31.9,0.0,13,43.0,8,14,9.0,22.0,28.0,6.0,1015.0,1012.0,20.9,30.2,0,0
35,2009-01-05,10.9,34.2,0.0,13,54.0,6,13,6.0,24.0,31.0,3.0,1012.0,1009.8,23.6,33.3,0,0
36,2009-01-06,12.2,35.3,0.0,15,44.0,6,14,7.0,24.0,44.0,13.0,1010.7,1007.2,22.4,34.0,0,0
37,2009-01-07,13.6,29.6,0.0,12,48.0,15,12,9.0,30.0,55.0,34.0,1007.6,1007.3,23.9,27.8,0,0
38,2009-01-08,10.6,23.4,0.0,12,46.0,11,11,20.0,26.0,40.0,24.0,1016.5,1015.7,14.9,21.9,0,0
39,2009-01-09,7.9,25.5,0.0,9,43.0,2,0,22.0,19.0,45.0,16.0,1018.8,1015.2,14.7,24.0,0,0
40,2009-01-10,11.8,29.7,0.0,10,39.0,2,3,13.0,20.0,56.0,18.0,1012.4,1007.8,16.9,28.8,0,0
41,2009-01-11,12.8,31.9,0.0,9,48.0,10,13,13.0,9.0,54.0,17.0,1009.9,1007.4,19.8,29.6,0,0
42,2009-01-12,12.3,32.9,0.0,9,39.0,8,15,13.0,20.0,51.0,12.0,1016.0,1013.7,18.7,31.0,0,0
43,2009-01-13,11.8,36.8,0.0,3,41.0,4,3,15.0,11.0,44.0,12.0,1014.7,1010.6,22.7,34.9,0,0
44,2009-01-14,15.3,41.9,0.0,13,69.0,4,14,11.0,31.0,18.0,4.0,1008.7,1005.9,28.1,41.1,0,0
45,2009-01-15,14.6,27.8,0.0,15,43.0,11,11,19.0,20.0,57.0,18.0,1013.9,1012.8,15.6,26.7,0,0
46,2009-01-16,11.0,23.5,0.0,11,54.0,12,11,33.0,31.0,52.0,24.0,1017.0,1016.7,15.8,22.8,0,0
47,2009-01-17,8.5,26.2,0.0,10,39.0,10,11,22.0,17.0,50.0,18.0,1021.0,1019.5,15.1,24.2,0,0
48,2009-01-18,7.4,31.8,0.0,10,30.0,9,8,17.0,15.0,30.0,12.0,1019.4,1016.7,18.4,30.0,0,0
49,2009-01-19,12.3,36.4,0.0,3,37.0,2,7,9.0,20.0,27.0,8.0,1014.3,1009.7,23.8,35.5,0,0
50,2009-01-20,15.2,41.7,0.0,7,57.0,2,7,7.0,31.0,26.0,5.0,1007.2,1004.0,26.8,39.9,0,0
51,2009-01-21,14.2,35.9,0.0,6,48.0,9,13,11.0,26.0,39.0,13.0,1009.0,1005.8,23.5,34.4,0,0
52,2009-01-22,20.5,35.2,0.0,7,80.0,3,14,28.0,43.0,67.0,11.0,1000.4,995.9,26.1,34.9,0,0
53,2009-01-23,7.5,30.3,0.0,3,52.0,5,7,6.0,22.0,50.0,16.0,1008.0,1003.9,16.3,27.7,0,0
54,2009-01-24,16.3,26.3,0.0,11,48.0,12,12,30.0,22.0,46.0,21.0,1007.6,1010.3,17.9,24.5,0,0
55,2009-01-25,10.2,33.1,0.0,10,33.0,9,11,7.0,13.0,44.0,9.0,1016.7,1015.7,18.6,30.3,0,0
56,2009-01-26,14.3,35.0,0.0,10,39.0,10,8,20.0,11.0,44.0,13.0,1018.9,1016.8,19.9,33.4,0,0
57,2009-01-27,12.6,38.3,0.0,10,35.0,2,15,9.0,15.0,51.0,9.0,1017.2,1013.7,21.9,36.7,0,0
58,2009-01-28,18.2,42.2,0.0,6,33.0,0,6,11.0,7.0,25.0,8.0,1012.8,1010.0,29.5,40.7,0,0
59,2009-01-29,23.7,42.6,0.0,3,44.0,6,6,11.0,20.0,23.0,13.0,1012.8,1010.7,32.8,41.5,0,0
60,2009-01-30,22.0,43.2,0.0,8,39.0,1,12,11.0,11.0,28.0,9.0,1013.3,1009.7,31.5,41.7,0,0
61,2009-01-31,25.5,43.6,0.0,10,56.0,2,5,11.0,19.0,31.0,7.0,1012.4,1010.0,31.0,42.3,0,0
62,2009-02-01,24.2,40.0,0.0,10,46.0,10,2,22.0,15.0,42.0,18.0,1013.3,1010.4,27.3,38.5,0,0
63,2009-02-02,22.1,35.5,0.0,9,43.0,2,6,13.0,7.0,51.0,32.0,1011.2,1008.8,25.0,32.1,0,0
64,2009-02-03,18.7,34.5,0.0,9,37.0,10,10,24.0,20.0,60.0,27.0,1010.7,1007.7,23.2,33.4,0,0
65,2009-02-04,16.4,37.0,0.0,10,31.0,9,15,15.0,13.0,58.0,17.0,1008.5,1004.9,22.7,34.6,0,0
66,2009-02-05,18.0,40.2,0.0,10,44.0,10,15,9.0,19.0,35.0,10.0,1005.6,1003.8,28.5,38.5,0,0
67,2009-02-06,16.0,39.5,0.0,13,41.0,10,14,9.0,17.0,55.0,15.0,1008.5,1006.3,22.2,37.6,0,0
68,2009-02-07,21.2,45.4,0.0,7,72.0,4,6,6.0,37.0,30.0,6.0,1005.2,1001.0,30.2,44.4,0,0
69,2009-02-08,20.5,28.3,0.0,10,44.0,11,15,13.0,22.0,51.0,44.0,1009.0,1010.7,22.9,24.0,0,0
70,2009-02-09,12.2,23.3,0.0,10,50.0,8,8,30.0,30.0,44.0,19.0,1014.7,1013.3,15.4,22.6,0,0
71,2009-02-10,10.4,22.1,0.0,8,54.0,8,8,28.0,28.0,45.0,26.0,1015.6,1014.8,14.2,19.8,0,0
72,2009-02-11,10.9,21.0,0.0,8,59.0,8,8,24.0,31.0,49.0,29.0,1017.3,1016.5,13.7,20.1,0,0
73,2009-02-12,12.0,25.4,0.0,8,46.0,10,10,30.0,30.0,57.0,25.0,1018.6,1017.5,15.8,24.6,0,0
74,2009-02-13,10.3,28.0,0.0,10,33.0,9,2,17.0,13.0,40.0,19.0,1023.6,1021.1,15.6,26.2,0,0
75,2009-02-14,10.8,30.1,0.0,10,35.0,2,14,2.0,15.0,42.0,20.0,1022.6,1017.7,19.2,27.8,0,0
76,2009-02-15,12.5,28.6,0.0,10,44.0,9,9,17.0,9.0,63.0,31.0,1016.7,1014.9,17.4,25.5,0,0
77,2009-02-16,15.1,30.8,0.0,10,37.0,0,1,11.0,7.0,51.0,27.0,1018.1,1014.7,20.5,29.5,0,0
78,2009-02-17,15.0,30.8,0.0,3,35.0,4,14,11.0,13.0,40.0,23.0,1016.8,1013.5,20.0,28.3,0,0
79,2009-02-18,14.3,29.5,0.0,3,43.5,3,11,7.0,17.0,39.0,25.0,1012.7,1009.4,22.5,28.1,0,0
80,2009-02-19,13.1,34.9,0.0,15,52.0,3,12,0.0,24.0,29.0,13.0,1007.9,1005.4,22.4,33.7,0,0
81,2009-02-20,17.6,27.6,0.4,12,52.0,12,15,11.0,24.0,74.0,22.0,1010.9,1011.5,17.8,26.5,0,0
82,2009-02-21,12.2,26.7,0.0,8,54.0,8,10,24.0,31.0,56.0,31.0,1015.6,1014.3,18.8,24.9,0,0
83,2009-02-22,13.5,31.1,0.0,10,43.0,9,3,22.0,20.0,64.0,25.0,1015.5,1012.6,17.8,29.0,0,0
