,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-07-01,10.3,25.2,0.0,14,26.0,11,13,6.0,15.0,81.0,37.0,1019.6,1014.8,14.9,24.6,0,0
1,2008-07-02,8.1,22.9,0.0,13,30.0,13,14,15.0,19.0,41.0,30.0,1018.8,1015.0,16.2,22.4,0,0
2,2008-07-03,9.7,22.4,0.0,0,22.0,12,0,7.0,15.0,55.0,52.0,1021.4,1019.1,15.4,21.3,0,0
3,2008-07-04,11.8,20.0,0.8,12,24.0,12,10,9.0,7.0,76.0,53.0,1023.5,1021.7,14.1,19.6,0,0
4,2008-07-05,12.3,16.7,0.0,8,37.0,8,11,11.0,7.0,81.0,89.0,1027.3,1026.2,16.1,15.0,0,1
5,2008-07-06,12.6,21.5,16.2,1,31.0,11,0,7.0,17.0,78.0,52.0,1028.5,1025.7,15.9,20.0,1,0
6,2008-07-07,12.9,21.9,0.0,4,17.0,12,4,9.0,9.0,83.0,63.0,1026.9,1023.1,14.7,20.1,0,1
7,2008-07-08,14.5,17.4,24.2,15,31.0,12,7,7.0,2.0,94.0,73.0,1024.0,1019.3,14.7,17.0,1,1
8,2008-07-09,6.0,16.7,3.8,13,43.0,15,13,13.0,19.0,48.0,34.0,1022.6,1020.2,12.4,16.2,1,0
9,2008-07-10,10.3,19.7,0.2,13,39.0,15,15,17.0,17.0,47.0,34.0,1021.8,1017.0,13.2,18.8,0,0
10,2008-07-11,6.6,19.6,0.0,13,28.0,15,15,11.0,9.0,48.0,38.0,1021.7,1019.4,14.2,18.7,0,0
11,2008-07-12,7.9,21.1,0.0,1,30.0,12,0,7.0,15.0,60.0,48.0,1025.9,1023.4,12.8,19.3,0,0
12,2008-07-13,12.0,22.8,0.0,1,20.0,11,1,6.0,9.0,72.0,69.0,1026.6,1023.3,15.3,21.2,0,0
13,2008-07-14,13.6,25.7,0.0,3,19.0,11,4,4.0,9.0,86.0,65.0,1025.3,1021.0,18.3,23.3,0,0
14,2008-07-15,16.7,24.8,0.0,13,31.0,11,5,9.0,9.0,80.0,65.0,1022.2,1018.7,19.1,23.4,0,1
15,2008-07-16,16.5,18.9,5.4,12,19.0,15,15,2.0,4.0,93.0,71.0,1020.1,1017.8,17.1,18.7,1,1
16,2008-07-17,12.2,21.5,2.8,15,17.0,12,4,7.0,9.0,80.0,57.0,1020.6,1016.1,15.6,21.2,1,0
17,2008-07-18,9.4,25.4,0.0,14,37.0,12,14,6.0,15.0,72.0,34.0,1017.3,1011.9,15.2,25.0,0,0
18,2008-07-19,6.8,22.9,0.0,13,33.0,12,14,2.0,15.0,55.0,25.0,1018.3,1015.7,15.4,22.4,0,0
19,2008-07-20,7.5,22.9,0.0,5,30.0,12,5,6.0,15.0,60.0,45.0,1020.6,1015.4,13.6,21.3,0,0
20,2008-07-21,12.5,22.8,0.0,13,35.0,3,13,6.0,15.0,83.0,54.0,1014.9,1013.8,17.4,18.7,0,0
21,2008-07-22,12.1,20.4,0.0,13,33.0,12,0,7.0,15.0,48.0,52.0,1022.1,1021.3,16.6,18.7,0,0
22,2008-07-23,12.5,15.7,0.2,10,26.0,12,8,6.0,7.0,73.0,77.0,1026.7,1023.1,12.7,15.2,0,1
23,2008-07-24,12.4,14.3,12.6,8,28.0,11,8,9.0,9.0,92.0,72.0,1021.0,1018.6,12.9,16.549999999999994,1,1
24,2008-07-25,12.5,18.9,22.4,12,28.0,15,12,9.0,11.0,86.0,67.0,1014.8,1014.1,13.8,17.9,1,0
25,2008-07-26,8.3,19.9,0.4,15,24.0,12,14,9.0,11.0,62.0,42.0,1018.0,1014.1,14.7,19.4,0,0
26,2008-07-27,8.0,18.2,0.0,11,30.0,12,13,6.0,4.0,64.0,41.0,1016.7,1011.7,12.7,17.1,0,1
27,2008-07-28,8.2,15.7,2.4,15,39.0,15,15,11.0,15.0,75.0,49.0,1010.5,1005.9,11.5,14.3,1,0
28,2008-07-29,8.8,20.3,0.0,15,33.0,15,12,11.0,9.0,53.0,36.0,1012.3,1010.0,13.1,19.3,0,0
29,2008-07-30,6.3,20.6,0.0,14,22.0,15,15,11.0,6.0,55.0,25.0,1017.5,1014.2,13.8,20.3,0,0
30,2008-07-31,3.7,21.3,0.0,15,26.0,10,13,6.0,11.0,47.0,29.0,1020.5,1016.1,13.9,20.6,0,0
31,2008-08-01,7.1,28.7,0.0,13,35.0,12,3,2.0,7.0,54.0,28.0,1016.0,1009.6,15.7,28.6,0,0
32,2008-08-02,12.3,21.8,0.0,13,46.0,13,13,19.0,17.0,48.0,26.0,1017.3,1014.3,15.1,21.3,0,0
33,2008-08-03,8.5,21.3,0.0,15,22.0,11,4,11.0,11.0,47.0,45.0,1021.1,1018.1,14.0,20.2,0,0
34,2008-08-04,8.3,22.1,0.0,4,26.0,12,4,7.0,11.0,75.0,53.0,1021.7,1017.2,14.0,20.9,0,0
35,2008-08-05,8.5,22.4,0.0,0,22.0,15,1,7.0,11.0,62.0,33.0,1019.2,1016.0,15.4,20.8,0,0
36,2008-08-06,9.2,21.7,0.2,13,39.0,12,13,7.0,15.0,56.0,29.0,1018.6,1016.0,16.1,21.2,0,0
37,2008-08-07,7.0,21.2,0.0,13,30.0,12,13,9.0,19.0,49.0,29.0,1021.6,1017.4,15.5,20.5,0,0
38,2008-08-08,7.2,20.9,0.0,13,48.0,13,13,11.0,19.0,36.0,26.0,1021.5,1018.1,13.8,20.4,0,0
39,2008-08-09,7.5,21.5,0.0,12,19.0,12,1,7.0,13.0,47.0,32.0,1023.4,1019.4,14.3,19.8,0,0
40,2008-08-10,5.0,21.6,0.0,13,31.0,8,13,6.0,17.0,47.0,21.0,1021.4,1016.0,13.2,21.1,0,0
41,2008-08-11,4.5,18.7,0.0,13,37.0,15,15,11.0,13.0,34.0,16.0,1020.2,1016.2,13.7,18.0,0,0
42,2008-08-12,4.1,19.4,0.0,12,24.0,15,11,9.0,4.0,36.0,19.0,1024.1,1021.1,12.5,18.8,0,0
43,2008-08-13,7.1,19.9,0.0,14,20.0,12,6,7.0,6.0,50.0,28.0,1025.3,1021.5,12.1,19.0,0,0
44,2008-08-14,6.5,19.8,0.0,13,30.0,12,14,9.0,11.0,48.0,25.0,1024.1,1018.1,12.6,19.4,0,0
45,2008-08-15,9.8,21.4,0.0,14,41.0,13,13,17.0,17.0,34.0,22.0,1016.4,1011.4,14.4,21.0,0,0
46,2008-08-16,10.6,20.3,0.0,14,43.0,13,13,17.0,22.0,42.0,27.0,1015.4,1012.0,15.0,19.9,0,0
47,2008-08-17,6.4,20.1,0.0,15,56.0,12,4,13.0,11.0,45.0,34.0,1020.6,1019.5,14.5,18.9,0,0
48,2008-08-18,8.5,16.9,0.0,14,19.0,12,10,7.0,4.0,68.0,54.0,1025.3,1022.8,12.1,16.8,0,0
49,2008-08-19,6.7,20.5,0.0,12,30.0,12,5,15.0,9.0,33.0,26.0,1026.8,1024.8,13.9,19.1,0,0
50,2008-08-20,7.9,22.1,0.0,0,22.0,12,4,11.0,13.0,52.0,45.0,1029.5,1026.5,14.2,20.6,0,0
51,2008-08-21,9.3,20.5,0.0,3,17.0,11,4,6.0,9.0,70.0,53.0,1026.7,1022.2,14.2,19.1,0,0
52,2008-08-22,11.4,24.9,0.0,13,39.0,5,7,9.0,15.0,64.0,66.0,1017.3,1011.6,20.3,20.4,0,1
53,2008-08-23,9.8,21.7,10.0,12,39.0,13,12,17.0,9.0,43.0,28.0,1020.4,1018.6,13.6,21.6,1,0
54,2008-08-24,7.5,21.6,0.0,1,24.0,12,4,9.0,13.0,47.0,40.0,1027.2,1024.7,15.3,20.0,0,0
55,2008-08-25,8.9,21.6,0.0,1,30.0,11,0,11.0,17.0,58.0,42.0,1027.9,1024.3,15.2,20.7,0,0
56,2008-08-26,10.9,22.3,0.0,11,50.0,8,5,6.0,13.0,66.0,48.0,1025.7,1021.7,17.0,20.3,0,0
57,2008-08-27,11.0,23.0,0.2,14,19.0,2,14,2.0,7.0,68.0,58.0,1024.1,1021.3,17.9,20.6,0,0
58,2008-08-28,12.5,20.9,0.0,0,22.0,11,2,4.0,9.0,68.0,57.0,1025.4,1021.9,17.5,19.9,0,1
59,2008-08-29,14.0,23.2,5.0,1,28.0,11,1,2.0,15.0,72.0,59.0,1024.1,1020.2,18.7,21.4,1,0
60,2008-08-30,13.8,24.6,0.4,5,28.0,13,4,2.0,15.0,71.0,56.0,1023.2,1019.7,19.6,22.8,0,0
61,2008-08-31,14.5,24.1,0.0,5,35.0,3,5,11.0,19.0,69.0,70.0,1021.9,1017.6,20.7,21.8,0,1
62,2008-09-01,16.8,25.1,1.6,2,26.0,12,15,7.0,4.0,74.0,52.0,1023.1,1020.5,19.6,23.4,1,0
63,2008-09-02,12.9,23.0,0.0,2,26.0,9,1,11.0,17.0,64.0,57.0,1024.8,1022.3,21.1,21.7,0,0
64,2008-09-03,15.0,22.9,0.0,9,44.0,9,2,19.0,20.0,58.0,50.0,1026.4,1023.5,19.7,21.2,0,1
65,2008-09-04,15.6,19.7,6.0,10,43.0,9,10,11.0,13.0,90.0,92.0,1024.1,1020.1,16.0,15.9,1,1
66,2008-09-05,15.0,23.2,41.6,14,30.0,5,5,6.0,11.0,78.0,86.0,1014.2,1010.3,19.6,20.3,1,1
67,2008-09-06,15.5,22.5,3.8,13,61.0,13,15,22.0,26.0,61.0,47.0,1012.2,1009.4,18.1,21.9,1,0
68,2008-09-07,11.9,23.8,0.0,13,24.0,12,5,9.0,7.0,56.0,41.0,1015.3,1012.3,18.1,22.5,0,0
69,2008-09-08,11.2,23.2,0.0,4,22.0,12,4,9.0,11.0,60.0,51.0,1018.9,1015.0,18.1,22.4,0,0
70,2008-09-09,12.5,21.9,0.0,4,26.0,8,1,7.0,13.0,62.0,53.0,1022.2,1019.9,18.9,20.2,0,0
71,2008-09-10,12.1,22.9,0.0,5,24.0,13,4,7.0,11.0,66.0,56.0,1022.2,1016.9,18.5,21.2,0,0
72,2008-09-11,11.8,23.7,0.0,5,28.0,15,1,9.0,15.0,64.0,60.0,1020.1,1015.2,18.2,21.4,0,0
73,2008-09-12,16.1,25.0,0.0,5,37.0,5,4,2.0,15.0,66.0,60.0,1019.1,1015.5,19.6,22.6,0,0
74,2008-09-13,13.6,24.7,0.4,3,30.0,3,4,4.0,13.0,66.0,61.0,1021.6,1017.9,20.7,23.5,0,0
75,2008-09-14,17.0,24.5,0.2,1,33.0,3,5,13.0,15.0,61.0,60.0,1021.9,1015.9,21.7,22.1,0,0
76,2008-09-15,14.9,25.5,1.0,4,28.0,8,5,2.0,15.0,72.0,61.0,1019.2,1014.3,20.4,24.4,0,0
77,2008-09-16,15.4,26.9,0.0,9,33.0,3,1,2.0,15.0,61.0,63.0,1016.7,1013.1,23.4,25.4,0,0
78,2008-09-17,16.8,21.9,0.0,8,30.0,9,0,13.0,17.0,63.0,54.0,1022.4,1020.1,19.7,20.7,0,0
79,2008-09-18,14.7,20.8,0.0,1,20.0,9,1,0.0,11.0,70.0,64.0,1021.7,1018.3,19.2,20.1,0,0
80,2008-09-19,18.2,24.9,0.4,4,26.0,5,4,7.0,15.0,85.0,66.0,1020.7,1016.5,20.7,24.0,0,0
