,Date,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2008-12-01,25.2,32.3,0.4,4,31.0,0,1,7.0,13.0,62.0,66.0,1011.3,1008.1,31.2,30.7,0,1
1,2008-12-02,24.2,32.3,8.4,4,35.0,8,4,11.0,13.0,75.0,62.0,1011.9,1008.0,29.0,31.1,1,0
2,2008-12-03,23.9,32.8,0.6,10,31.0,10,0,17.0,20.0,69.0,42.0,1012.2,1009.9,29.1,31.6,0,0
3,2008-12-04,22.2,33.6,0.0,9,39.0,10,2,19.0,24.0,60.0,31.0,1013.3,1010.9,29.6,32.5,0,0
4,2008-12-05,23.2,33.5,0.0,9,43.0,10,2,22.0,26.0,64.0,56.0,1013.8,1011.0,29.7,32.2,0,0
5,2008-12-06,24.7,33.4,0.0,4,33.0,9,4,15.0,20.0,64.0,67.0,1012.7,1009.2,30.8,31.5,0,0
6,2008-12-07,23.9,32.0,0.0,5,28.0,7,4,7.0,17.0,70.0,73.0,1010.9,1007.1,29.3,30.6,0,0
7,2008-12-08,26.6,33.2,0.0,5,30.0,7,5,13.0,15.0,65.0,69.0,1009.8,1005.8,31.3,31.7,0,1
8,2008-12-09,26.1,32.8,4.6,5,28.0,4,3,9.0,13.0,72.0,77.0,1009.5,1006.9,30.8,30.2,1,0
9,2008-12-10,26.0,32.6,0.2,1,28.0,2,5,15.0,11.0,80.0,72.0,1009.9,1007.5,28.9,29.5,0,0
10,2008-12-11,25.3,32.9,0.4,1,33.0,1,4,15.0,22.0,64.0,57.0,1010.6,1006.6,30.4,31.4,0,0
11,2008-12-12,22.9,33.3,0.0,1,31.0,10,8,19.0,15.0,55.0,57.0,1010.5,1007.6,30.4,31.5,0,0
12,2008-12-13,24.7,33.0,0.0,5,30.0,9,4,9.0,15.0,63.0,68.0,1009.5,1006.3,30.9,31.1,0,0
13,2008-12-14,26.5,34.1,0.0,3,37.0,14,5,15.0,20.0,57.0,68.0,1007.2,1003.2,32.5,32.3,0,1
14,2008-12-15,23.8,32.9,31.8,8,35.0,12,3,4.0,17.0,79.0,74.0,1008.8,1005.0,26.3,30.5,1,0
15,2008-12-16,25.5,33.9,0.2,10,41.0,10,9,11.0,19.0,64.0,59.0,1009.8,1007.4,30.8,31.5,0,0
16,2008-12-17,25.1,32.6,0.0,1,37.0,10,3,17.0,11.0,64.0,77.0,1011.0,1008.9,30.6,28.0,0,1
17,2008-12-18,23.8,31.7,3.6,10,28.0,8,5,7.0,13.0,69.0,70.0,1010.7,1007.7,28.9,30.2,1,0
18,2008-12-19,25.3,32.4,0.0,3,24.0,13,4,9.0,9.0,71.0,69.0,1008.6,1006.8,28.7,29.9,0,0
19,2008-12-20,25.2,32.1,0.0,3,26.0,7,5,9.0,15.0,70.0,72.0,1008.4,1006.6,30.2,31.1,0,0
20,2008-12-21,23.0,33.1,0.0,4,35.0,10,4,13.0,24.0,68.0,63.0,1009.8,1007.3,29.5,32.4,0,0
21,2008-12-22,25.3,33.4,0.2,0,35.0,2,5,15.0,17.0,63.0,56.0,1011.1,1009.3,30.6,31.8,0,1
22,2008-12-23,24.1,32.3,10.8,0,36.0,10,2,17.0,28.0,79.0,60.0,1011.7,1008.8,26.9,30.0,1,0
23,2008-12-24,25.5,32.7,0.0,0,37.0,9,2,15.0,26.0,62.0,50.0,1011.4,1007.9,29.0,31.5,0,0
24,2008-12-25,21.8,33.3,0.0,1,35.0,10,0,13.0,26.0,56.0,51.0,1010.0,1007.5,29.2,32.1,0,0
25,2008-12-26,23.4,33.9,0.0,10,41.0,10,9,19.0,26.0,61.0,47.0,1009.9,1006.6,29.4,32.2,0,1
26,2008-12-27,24.5,31.1,17.4,8,37.0,7,1,7.0,11.0,92.0,72.0,1009.3,1005.8,26.2,30.2,1,1
27,2008-12-28,24.1,30.2,26.8,4,26.0,15,3,13.0,13.0,94.0,79.0,1008.4,1005.2,24.3,28.8,1,1
28,2008-12-29,24.2,31.4,35.0,5,28.0,15,3,0.0,17.0,78.0,73.0,1007.7,1004.6,28.3,29.5,1,0
29,2008-12-30,25.7,31.9,0.0,3,28.0,14,3,6.0,13.0,65.0,75.0,1007.2,1004.1,30.4,29.2,0,1
30,2008-12-31,23.2,30.1,54.8,3,37.0,14,7,9.0,17.0,88.0,94.0,1007.3,1005.5,26.1,26.0,1,1
31,2009-01-01,23.6,31.4,15.8,5,28.0,0,3,4.0,19.0,77.0,70.0,1008.1,1005.6,28.0,30.1,1,1
32,2009-01-02,23.5,31.6,1.2,5,28.0,9,5,9.0,11.0,68.0,70.0,1008.8,1006.8,30.1,30.5,1,0
33,2009-01-03,25.0,31.6,0.0,4,30.0,9,4,9.0,13.0,68.0,70.0,1009.4,1007.0,30.8,30.2,0,0
34,2009-01-04,25.4,32.7,0.4,1,28.0,8,8,13.0,19.0,81.0,76.0,1009.3,1006.6,27.8,28.5,0,0
35,2009-01-05,25.1,31.6,0.8,9,33.0,10,8,13.0,13.0,78.0,87.0,1008.4,1005.7,27.8,27.0,0,1
36,2009-01-06,24.3,32.4,7.4,9,35.0,2,9,2.0,24.0,80.0,63.0,1008.8,1004.4,28.1,31.1,1,0
37,2009-01-07,25.4,32.4,0.0,8,30.0,13,8,9.0,7.0,71.0,68.0,1007.8,1004.2,28.4,30.3,0,0
38,2009-01-08,24.7,31.4,0.2,4,31.0,13,12,9.0,6.0,71.0,67.0,1005.9,1003.2,29.0,30.3,0,0
39,2009-01-09,24.7,29.6,0.6,8,44.0,8,0,17.0,11.0,91.0,86.0,1005.3,1001.9,24.9,27.2,0,1
40,2009-01-10,22.1,27.6,68.2,8,35.0,10,4,9.0,13.0,96.0,93.0,1005.0,1003.0,24.1,24.8,1,1
41,2009-01-11,23.0,28.7,47.0,10,39.0,8,2,17.0,13.0,74.0,66.0,1006.7,1005.4,25.5,27.2,1,1
42,2009-01-12,22.3,27.4,278.4,7,59.0,10,6,17.0,11.0,96.0,98.0,1003.5,999.6,24.7,25.3,1,1
43,2009-01-13,22.7,30.2,140.2,3,39.0,6,3,20.0,13.0,77.0,67.0,1002.7,1001.2,27.0,28.7,1,0
44,2009-01-14,23.7,30.9,0.0,4,30.0,9,4,11.0,15.0,69.0,66.0,1006.9,1005.5,28.9,30.2,0,0
45,2009-01-15,24.3,31.6,0.0,14,28.0,1,5,6.0,13.0,73.0,69.0,1010.2,1008.7,29.0,30.0,0,1
46,2009-01-16,24.5,31.4,10.4,1,33.0,2,10,9.0,15.0,73.0,89.0,1011.7,1010.2,29.8,26.8,1,1
47,2009-01-17,24.1,31.4,12.8,5,28.0,9,5,9.0,11.0,77.0,68.0,1011.6,1008.2,28.4,30.5,1,1
48,2009-01-18,24.9,32.2,1.8,2,35.0,10,2,15.0,19.0,81.0,58.0,1011.4,1008.8,27.6,31.5,1,1
49,2009-01-19,22.8,30.9,102.2,9,43.0,9,2,13.0,28.0,80.0,62.0,1012.3,1008.6,26.1,30.7,1,1
50,2009-01-20,23.5,29.2,57.8,8,37.0,3,8,13.0,17.0,96.0,77.0,1012.2,1008.9,24.4,28.0,1,1
51,2009-01-21,23.1,32.3,62.0,2,31.0,8,2,13.0,20.0,70.0,57.0,1011.4,1007.9,29.0,31.8,1,0
52,2009-01-22,24.0,31.0,0.8,5,24.0,9,3,9.0,17.0,68.0,76.0,1009.7,1007.3,29.8,29.8,0,1
53,2009-01-23,25.2,31.0,3.4,5,22.0,9,3,0.0,13.0,81.0,73.0,1011.7,1008.5,28.6,30.6,1,0
54,2009-01-24,24.7,31.8,0.0,5,28.0,6,3,2.0,15.0,78.0,73.0,1011.7,1007.7,28.8,30.8,0,1
55,2009-01-25,25.0,31.6,3.8,6,26.0,13,3,11.0,13.0,75.0,70.0,1009.6,1006.9,28.4,30.8,1,1
56,2009-01-26,24.8,31.8,5.8,9,35.0,10,0,22.0,7.0,82.0,61.0,1010.6,1007.8,27.1,31.3,1,0
57,2009-01-27,25.1,31.5,0.0,2,37.0,10,2,15.0,22.0,73.0,62.0,1010.2,1006.2,28.1,30.4,0,0
58,2009-01-28,24.0,32.1,0.0,2,37.0,10,2,15.0,17.0,71.0,56.0,1008.3,1004.7,26.9,30.6,0,1
59,2009-01-29,23.0,31.5,11.8,10,35.0,10,2,17.0,20.0,69.0,60.0,1007.2,1003.5,27.6,31.1,1,0
60,2009-01-30,23.8,31.7,0.0,10,43.0,10,7,11.0,9.0,70.0,70.0,1005.1,1001.0,28.8,29.9,0,1
